"report_time","all_equity","all_A","float_A","restricted_A","change_from","scrapy_time","code"
"2019-09-30","19.03亿","17.96亿","7.88亿","10.08亿","三季报","2020-02-26 17:50:48","600848"
"2019-09-30","4.26亿","4.26亿","4.26亿","-","三季报","2020-02-26 17:50:50","600850"
"2019-09-30","12.07亿","7.38亿","7.38亿","-","三季报","2020-02-26 17:50:51","600851"
"2019-09-30","8.37亿","8.37亿","6.98亿","1.40亿","三季报","2020-02-26 17:50:55","600853"
"2019-09-30","5.19亿","5.19亿","5.19亿","-","三季报","2020-02-26 17:50:59","600854"
"2019-09-30","3.52亿","3.52亿","3.41亿","1109.96万","三季报","2020-02-26 17:51:01","600855"
"2019-09-30","13.67亿","13.67亿","13.43亿","2323.23万","三季报","2020-02-26 17:51:02","600856"
"2019-09-30","2.24亿","2.24亿","2.24亿","-","三季报","2020-02-26 17:51:08","600857"
"2019-09-30","5.20亿","5.20亿","5.18亿","251.86万","三季报","2020-02-26 17:51:06","600858"
"2019-09-30","7.76亿","7.76亿","5.69亿","2.07亿","三季报","2020-02-26 17:51:14","600859"
"2019-09-30","4.22亿","3.22亿","3.22亿","-","三季报","2020-02-26 17:51:16","600860"
"2019-09-30","3.17亿","3.17亿","3.17亿","-","三季报","2020-02-26 17:51:22","600861"
"2019-09-30","13.93亿","13.93亿","13.93亿","-","三季报","2020-02-26 17:51:28","600862"
"2019-09-30","58.08亿","58.08亿","58.08亿","-","三季报","2020-02-26 17:51:31","600863"
"2019-09-30","20.81亿","20.81亿","20.81亿","-","三季报","2020-02-26 17:51:38","600864"
"2019-09-30","3.76亿","3.76亿","3.76亿","-","三季报","2020-02-26 17:51:37","600865"
"2019-09-30","7.39亿","7.39亿","6.45亿","9362.57万","三季报","2020-02-26 17:51:42","600866"
"2019-09-30","20.34亿","20.34亿","20.34亿","-","三季报","2020-02-26 17:51:45","600867"
"2019-09-30","18.98亿","18.98亿","18.98亿","-","三季报","2020-02-26 17:51:49","600868"
