"code","first_industry","second_industry","c_industry"
"002307","建筑装饰","基础建设","建筑装饰 — 基础建设"
"002308","计算机","计算机设备","计算机 — 计算机设备"
"002309","电气设备","电源设备","电气设备 — 电源设备"
"002310","公用事业","环保工程及服务","公用事业 — 环保工程及服务"
"002311","农林牧渔","饲料Ⅱ","农林牧渔 — 饲料Ⅱ"
"002312","计算机","计算机应用","计算机 — 计算机应用"
"002313","通信","通信设备","通信 — 通信设备"
"002314","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"002315","传媒","互联网传媒","传媒 — 互联网传媒"
"002316","计算机","计算机应用","计算机 — 计算机应用"
"002317","医药生物","中药Ⅱ","医药生物 — 中药Ⅱ"
"002318","钢铁","钢铁","钢铁 — 钢铁"
"002319","化工","化学制品","化工 — 化学制品"
"002320","交通运输","航运Ⅱ","交通运输 — 航运Ⅱ"
"002321","农林牧渔","畜禽养殖","农林牧渔 — 畜禽养殖"
"002322","计算机","计算机应用","计算机 — 计算机应用"
"002324","化工","塑料Ⅱ","化工 — 塑料Ⅱ"
"002325","建筑装饰","装修装饰","建筑装饰 — 装修装饰"
"002326","化工","化学制品","化工 — 化学制品"
"002327","纺织服装","服装家纺","纺织服装 — 服装家纺"
"002328","汽车","汽车零部件","汽车 — 汽车零部件"
"002329","食品饮料","食品加工","食品饮料 — 食品加工"
"002330","食品饮料","食品加工","食品饮料 — 食品加工"
"002331","计算机","计算机应用","计算机 — 计算机应用"
"002332","医药生物","化学制药","医药生物 — 化学制药"
"002333","建筑材料","其他建材","建筑材料 — 其他建材"
"002334","电气设备","电气自动化设备","电气设备 — 电气自动化设备"
"002335","电气设备","电源设备","电气设备 — 电源设备"
"002336","商业贸易","一般零售","商业贸易 — 一般零售"
"002337","机械设备","专用设备","机械设备 — 专用设备"
"002338","机械设备","仪器仪表","机械设备 — 仪器仪表"
"002339","电气设备","电气自动化设备","电气设备 — 电气自动化设备"
"002340","有色金属","金属非金属新材料","有色金属 — 金属非金属新材料"
"002341","化工","化学制品","化工 — 化学制品"
"002342","机械设备","金属制品","机械设备 — 金属制品"
"002343","传媒","文化传媒","传媒 — 文化传媒"
"002344","商业贸易","商业物业经营","商业贸易 — 商业物业经营"
"002345","轻工制造","家用轻工","轻工制造 — 家用轻工"
"002346","电气设备","高低压设备","电气设备 — 高低压设备"
"002347","机械设备","通用机械","机械设备 — 通用机械"
"002348","计算机","计算机应用","计算机 — 计算机应用"
"002349","医药生物","中药Ⅱ","医药生物 — 中药Ⅱ"
"002350","电气设备","高低压设备","电气设备 — 高低压设备"
"002351","电子","电子制造","电子 — 电子制造"
"002352","交通运输","物流Ⅱ","交通运输 — 物流Ⅱ"
"002353","机械设备","专用设备","机械设备 — 专用设备"
"002354","传媒","互联网传媒","传媒 — 互联网传媒"
"002355","汽车","汽车零部件","汽车 — 汽车零部件"
"002356","轻工制造","家用轻工","轻工制造 — 家用轻工"
"002357","交通运输","公交Ⅱ","交通运输 — 公交Ⅱ"
"002358","电气设备","高低压设备","电气设备 — 高低压设备"
"002359","通信","通信设备","通信 — 通信设备"
"002360","化工","化学制品","化工 — 化学制品"
"002361","化工","化学制品","化工 — 化学制品"
"002362","计算机","计算机应用","计算机 — 计算机应用"
"002363","汽车","汽车零部件","汽车 — 汽车零部件"
"002364","电气设备","电源设备","电气设备 — 电源设备"
"002365","医药生物","化学制药","医药生物 — 化学制药"
"002366","机械设备","专用设备","机械设备 — 专用设备"
"002367","机械设备","专用设备","机械设备 — 专用设备"
"002368","计算机","计算机应用","计算机 — 计算机应用"
"002369","电子","电子制造","电子 — 电子制造"
"002370","医药生物","化学制药","医药生物 — 化学制药"
"002371","电子","半导体","电子 — 半导体"
"002372","建筑材料","其他建材","建筑材料 — 其他建材"
"002373","计算机","计算机应用","计算机 — 计算机应用"
"002374","建筑装饰","园林工程","建筑装饰 — 园林工程"
"002375","建筑装饰","装修装饰","建筑装饰 — 装修装饰"
"002376","计算机","计算机设备","计算机 — 计算机设备"
"002377","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"002378","有色金属","稀有金属","有色金属 — 稀有金属"
"002379","有色金属","工业金属","有色金属 — 工业金属"
"002380","电气设备","电气自动化设备","电气设备 — 电气自动化设备"
"002381","化工","橡胶","化工 — 橡胶"
"002382","医药生物","医疗器械Ⅱ","医药生物 — 医疗器械Ⅱ"
"002383","计算机","计算机设备","计算机 — 计算机设备"
"002384","电子","元件Ⅱ","电子 — 元件Ⅱ"
"002385","农林牧渔","饲料Ⅱ","农林牧渔 — 饲料Ⅱ"
"002386","化工","化学原料","化工 — 化学原料"
"002387","电子","光学光电子","电子 — 光学光电子"
"002388","电子","其他电子","电子 — 其他电子"
"002389","国防军工","航空装备","国防军工 — 航空装备"
"002390","医药生物","中药Ⅱ","医药生物 — 中药Ⅱ"
"002391","化工","化学制品","化工 — 化学制品"
"002392","建筑材料","其他建材","建筑材料 — 其他建材"
"002393","医药生物","化学制药","医药生物 — 化学制药"
"002394","纺织服装","纺织制造","纺织服装 — 纺织制造"
"002395","化工","塑料Ⅱ","化工 — 塑料Ⅱ"
"002396","通信","通信设备","通信 — 通信设备"
"002397","纺织服装","服装家纺","纺织服装 — 服装家纺"
"002398","建筑材料","其他建材","建筑材料 — 其他建材"
"002399","医药生物","化学制药","医药生物 — 化学制药"
"002400","传媒","营销传播","传媒 — 营销传播"
"002401","计算机","计算机应用","计算机 — 计算机应用"
"002402","电子","电子制造","电子 — 电子制造"
"002403","家用电器","白色家电","家用电器 — 白色家电"
"002404","纺织服装","纺织制造","纺织服装 — 纺织制造"
"002405","计算机","计算机应用","计算机 — 计算机应用"
"002406","汽车","汽车零部件","汽车 — 汽车零部件"
"002407","化工","化学制品","化工 — 化学制品"
"002408","化工","化学制品","化工 — 化学制品"
"002409","化工","化学制品","化工 — 化学制品"
"002410","计算机","计算机应用","计算机 — 计算机应用"
"002411","医药生物","化学制药","医药生物 — 化学制药"
"002412","医药生物","中药Ⅱ","医药生物 — 中药Ⅱ"
"002413","国防军工","航空装备","国防军工 — 航空装备"
"002414","电子","其他电子","电子 — 其他电子"
"002415","电子","电子制造","电子 — 电子制造"
"002416","商业贸易","专业零售","商业贸易 — 专业零售"
"002417","计算机","计算机应用","计算机 — 计算机应用"
"002418","家用电器","白色家电","家用电器 — 白色家电"
"002419","商业贸易","一般零售","商业贸易 — 一般零售"
"002420","家用电器","视听器材","家用电器 — 视听器材"
"002421","计算机","计算机应用","计算机 — 计算机应用"
"002422","医药生物","化学制药","医药生物 — 化学制药"
"002423","非银金融","多元金融","非银金融 — 多元金融"
"002424","医药生物","中药Ⅱ","医药生物 — 中药Ⅱ"
"002425","传媒","互联网传媒","传媒 — 互联网传媒"
"002426","机械设备","通用机械","机械设备 — 通用机械"
"002427","化工","化学纤维","化工 — 化学纤维"
"002428","有色金属","稀有金属","有色金属 — 稀有金属"
"002429","家用电器","视听器材","家用电器 — 视听器材"
"002430","机械设备","专用设备","机械设备 — 专用设备"
"002431","建筑装饰","园林工程","建筑装饰 — 园林工程"
"002432","医药生物","医疗器械Ⅱ","医药生物 — 医疗器械Ⅱ"
"002433","医药生物","中药Ⅱ","医药生物 — 中药Ⅱ"
"002434","汽车","汽车零部件","汽车 — 汽车零部件"
"002435","医药生物","化学制药","医药生物 — 化学制药"
"002436","电子","元件Ⅱ","电子 — 元件Ⅱ"
"002437","医药生物","化学制药","医药生物 — 化学制药"
"002438","机械设备","通用机械","机械设备 — 通用机械"
"002439","计算机","计算机应用","计算机 — 计算机应用"
"002440","化工","化学制品","化工 — 化学制品"
"002441","电气设备","高低压设备","电气设备 — 高低压设备"
"002442","化工","橡胶","化工 — 橡胶"
"002443","钢铁","钢铁","钢铁 — 钢铁"
"002444","机械设备","通用机械","机械设备 — 通用机械"
"002445","传媒","文化传媒","传媒 — 文化传媒"
"002446","通信","通信设备","通信 — 通信设备"
"002447","传媒","互联网传媒","传媒 — 互联网传媒"
"002448","汽车","汽车零部件","汽车 — 汽车零部件"
"002449","电子","光学光电子","电子 — 光学光电子"
"002451","电气设备","高低压设备","电气设备 — 高低压设备"
"002452","电气设备","高低压设备","电气设备 — 高低压设备"
"002453","计算机","计算机应用","计算机 — 计算机应用"
"002454","汽车","汽车零部件","汽车 — 汽车零部件"
"002455","化工","化学制品","化工 — 化学制品"
"002456","电子","光学光电子","电子 — 光学光电子"
"002457","建筑材料","其他建材","建筑材料 — 其他建材"
"002458","农林牧渔","畜禽养殖","农林牧渔 — 畜禽养殖"
"002459","机械设备","专用设备","机械设备 — 专用设备"
"002460","有色金属","稀有金属","有色金属 — 稀有金属"
"002461","食品饮料","饮料制造","食品饮料 — 饮料制造"
"002462","医药生物","医药商业Ⅱ","医药生物 — 医药商业Ⅱ"
"002463","电子","元件Ⅱ","电子 — 元件Ⅱ"
"002464","传媒","互联网传媒","传媒 — 互联网传媒"
"002465","国防军工","地面兵装","国防军工 — 地面兵装"
"002466","有色金属","稀有金属","有色金属 — 稀有金属"
"002467","通信","通信运营","通信 — 通信运营"
"002468","交通运输","物流Ⅱ","交通运输 — 物流Ⅱ"
"002469","建筑装饰","专业工程","建筑装饰 — 专业工程"
"002470","化工","化学制品","化工 — 化学制品"
"002471","电气设备","高低压设备","电气设备 — 高低压设备"
"002472","汽车","汽车零部件","汽车 — 汽车零部件"
"002473","家用电器","白色家电","家用电器 — 白色家电"
"002474","计算机","计算机应用","计算机 — 计算机应用"
"002475","电子","电子制造","电子 — 电子制造"
"002476","化工","化学制品","化工 — 化学制品"
"002478","钢铁","钢铁","钢铁 — 钢铁"
"002479","公用事业","环保工程及服务","公用事业 — 环保工程及服务"
"002480","机械设备","通用机械","机械设备 — 通用机械"
"002481","食品饮料","食品加工","食品饮料 — 食品加工"
"002482","建筑装饰","装修装饰","建筑装饰 — 装修装饰"
"002483","机械设备","专用设备","机械设备 — 专用设备"
"002484","电子","元件Ⅱ","电子 — 元件Ⅱ"
"002486","纺织服装","服装家纺","纺织服装 — 服装家纺"
"002487","机械设备","金属制品","机械设备 — 金属制品"
"002488","汽车","汽车零部件","汽车 — 汽车零部件"
"002489","轻工制造","家用轻工","轻工制造 — 家用轻工"
"002490","机械设备","专用设备","机械设备 — 专用设备"
"002491","通信","通信设备","通信 — 通信设备"
"002492","交通运输","物流Ⅱ","交通运输 — 物流Ⅱ"
"002493","化工","化学纤维","化工 — 化学纤维"
"002494","纺织服装","服装家纺","纺织服装 — 服装家纺"
"002495","食品饮料","食品加工","食品饮料 — 食品加工"
"002496","化工","化学制品","化工 — 化学制品"
"002497","化工","化学制品","化工 — 化学制品"
"002498","电气设备","高低压设备","电气设备 — 高低压设备"
"002499","电气设备","电源设备","电气设备 — 电源设备"
"002500","非银金融","证券","非银金融 — 证券"
"002501","有色金属","工业金属","有色金属 — 工业金属"
"002502","传媒","互联网传媒","传媒 — 互联网传媒"
"002503","纺织服装","服装家纺","纺织服装 — 服装家纺"
"002504","建筑装饰","装修装饰","建筑装饰 — 装修装饰"
"002505","商业贸易","贸易Ⅱ","商业贸易 — 贸易Ⅱ"
"002506","电气设备","电源设备","电气设备 — 电源设备"
"002507","食品饮料","食品加工","食品饮料 — 食品加工"
"002508","家用电器","白色家电","家用电器 — 白色家电"
"002509","建筑装饰","园林工程","建筑装饰 — 园林工程"
"002510","汽车","汽车零部件","汽车 — 汽车零部件"
"002511","轻工制造","造纸Ⅱ","轻工制造 — 造纸Ⅱ"
"002512","计算机","计算机设备","计算机 — 计算机设备"
"002513","化工","化学制品","化工 — 化学制品"
"002514","机械设备","通用机械","机械设备 — 通用机械"
"002515","食品饮料","食品加工","食品饮料 — 食品加工"
"002516","纺织服装","纺织制造","纺织服装 — 纺织制造"
"002517","传媒","互联网传媒","传媒 — 互联网传媒"
"002518","电气设备","电源设备","电气设备 — 电源设备"
"002519","家用电器","视听器材","家用电器 — 视听器材"
"002520","机械设备","通用机械","机械设备 — 通用机械"
"002521","轻工制造","造纸Ⅱ","轻工制造 — 造纸Ⅱ"
"002522","轻工制造","包装印刷Ⅱ","轻工制造 — 包装印刷Ⅱ"
"002523","机械设备","专用设备","机械设备 — 专用设备"
"002524","医药生物","医疗服务Ⅱ","医药生物 — 医疗服务Ⅱ"
"002526","机械设备","专用设备","机械设备 — 专用设备"
"002527","电气设备","电气自动化设备","电气设备 — 电气自动化设备"
"002528","计算机","计算机设备","计算机 — 计算机设备"
"002529","机械设备","专用设备","机械设备 — 专用设备"
"002530","计算机","计算机应用","计算机 — 计算机应用"
"002531","电气设备","电源设备","电气设备 — 电源设备"
"002532","机械设备","通用机械","机械设备 — 通用机械"
"002533","电气设备","高低压设备","电气设备 — 高低压设备"
"002534","电气设备","电源设备","电气设备 — 电源设备"
"002535","机械设备","专用设备","机械设备 — 专用设备"
"002536","汽车","汽车零部件","汽车 — 汽车零部件"
"002537","计算机","计算机应用","计算机 — 计算机应用"
"002538","化工","化学制品","化工 — 化学制品"
"002539","化工","化学制品","化工 — 化学制品"
"002540","有色金属","工业金属","有色金属 — 工业金属"
"002541","建筑装饰","专业工程","建筑装饰 — 专业工程"
"002542","建筑装饰","专业工程","建筑装饰 — 专业工程"
"002543","家用电器","白色家电","家用电器 — 白色家电"
"002544","通信","通信设备","通信 — 通信设备"
"002545","化工","化学制品","化工 — 化学制品"
"002546","电气设备","电气自动化设备","电气设备 — 电气自动化设备"
"002547","电子","电子制造","电子 — 电子制造"
"002548","农林牧渔","饲料Ⅱ","农林牧渔 — 饲料Ⅱ"
"002549","化工","化学制品","化工 — 化学制品"
"002550","医药生物","化学制药","医药生物 — 化学制药"
"002551","医药生物","医疗器械Ⅱ","医药生物 — 医疗器械Ⅱ"
"002552","机械设备","通用机械","机械设备 — 通用机械"
"002553","汽车","汽车零部件","汽车 — 汽车零部件"
"002554","采掘","采掘服务","采掘 — 采掘服务"
"002555","传媒","互联网传媒","传媒 — 互联网传媒"
"002556","化工","化学制品","化工 — 化学制品"
"002557","食品饮料","食品加工","食品饮料 — 食品加工"
"002558","传媒","互联网传媒","传媒 — 互联网传媒"
"002559","机械设备","通用机械","机械设备 — 通用机械"
"002560","电气设备","高低压设备","电气设备 — 高低压设备"
"002561","商业贸易","一般零售","商业贸易 — 一般零售"
"002562","医药生物","化学制药","医药生物 — 化学制药"
"002563","纺织服装","服装家纺","纺织服装 — 服装家纺"
"002564","建筑装饰","基础建设","建筑装饰 — 基础建设"
"002565","轻工制造","包装印刷Ⅱ","轻工制造 — 包装印刷Ⅱ"
"002566","医药生物","中药Ⅱ","医药生物 — 中药Ⅱ"
"002567","农林牧渔","饲料Ⅱ","农林牧渔 — 饲料Ⅱ"
"002568","食品饮料","饮料制造","食品饮料 — 饮料制造"
"002569","纺织服装","服装家纺","纺织服装 — 服装家纺"
"002570","食品饮料","食品加工","食品饮料 — 食品加工"
"002571","轻工制造","家用轻工","轻工制造 — 家用轻工"
"002572","轻工制造","家用轻工","轻工制造 — 家用轻工"
"002573","公用事业","环保工程及服务","公用事业 — 环保工程及服务"
"002574","轻工制造","家用轻工","轻工制造 — 家用轻工"
"002575","轻工制造","家用轻工","轻工制造 — 家用轻工"
"002576","电气设备","电机","电气设备 — 电机"
"002577","计算机","计算机设备","计算机 — 计算机设备"
"002578","有色金属","工业金属","有色金属 — 工业金属"
"002579","电子","元件Ⅱ","电子 — 元件Ⅱ"
"002580","电气设备","电源设备","电气设备 — 电源设备"
"002581","医药生物","生物制品Ⅱ","医药生物 — 生物制品Ⅱ"
"002582","食品饮料","食品加工","食品饮料 — 食品加工"
"002583","通信","通信设备","通信 — 通信设备"
"002584","化工","化学制品","化工 — 化学制品"
"002585","轻工制造","包装印刷Ⅱ","轻工制造 — 包装印刷Ⅱ"
"002586","建筑装饰","基础建设","建筑装饰 — 基础建设"
"002587","电子","光学光电子","电子 — 光学光电子"
"002588","化工","化学制品","化工 — 化学制品"
"002589","医药生物","医药商业Ⅱ","医药生物 — 医药商业Ⅱ"
"002590","汽车","汽车零部件","汽车 — 汽车零部件"
"002591","传媒","营销传播","传媒 — 营销传播"
"002592","汽车","汽车零部件","汽车 — 汽车零部件"
"002593","建筑装饰","专业工程","建筑装饰 — 专业工程"
"002594","汽车","汽车整车","汽车 — 汽车整车"
"002595","机械设备","专用设备","机械设备 — 专用设备"
"002596","建筑材料","其他建材","建筑材料 — 其他建材"
"002597","化工","化学制品","化工 — 化学制品"
"002598","机械设备","通用机械","机械设备 — 通用机械"
"002599","轻工制造","包装印刷Ⅱ","轻工制造 — 包装印刷Ⅱ"
"002600","电子","电子制造","电子 — 电子制造"
"002601","化工","化学制品","化工 — 化学制品"
"002602","传媒","互联网传媒","传媒 — 互联网传媒"
"002603","医药生物","中药Ⅱ","医药生物 — 中药Ⅱ"
"002605","轻工制造","家用轻工","轻工制造 — 家用轻工"
"002606","电气设备","高低压设备","电气设备 — 高低压设备"
"002607","传媒","文化传媒","传媒 — 文化传媒"
"002608","公用事业","电力","公用事业 — 电力"
"002609","计算机","计算机应用","计算机 — 计算机应用"
"002610","电气设备","电源设备","电气设备 — 电源设备"
"002611","汽车","汽车零部件","汽车 — 汽车零部件"
"002612","纺织服装","服装家纺","纺织服装 — 服装家纺"
"002613","机械设备","专用设备","机械设备 — 专用设备"
"002614","家用电器","白色家电","家用电器 — 白色家电"
"002615","轻工制造","家用轻工","轻工制造 — 家用轻工"
"002616","公用事业","环保工程及服务","公用事业 — 环保工程及服务"
"002617","电气设备","电源设备","电气设备 — 电源设备"
"002618","电子","元件Ⅱ","电子 — 元件Ⅱ"
"002619","传媒","互联网传媒","传媒 — 互联网传媒"
"002620","建筑装饰","装修装饰","建筑装饰 — 装修装饰"
"002621","传媒","文化传媒","传媒 — 文化传媒"
"002622","传媒","营销传播","传媒 — 营销传播"
"002623","建筑材料","玻璃制造","建筑材料 — 玻璃制造"
"002624","传媒","互联网传媒","传媒 — 互联网传媒"
"002625","汽车","汽车零部件","汽车 — 汽车零部件"
"002626","医药生物","化学制药","医药生物 — 化学制药"
"002627","交通运输","公交Ⅱ","交通运输 — 公交Ⅱ"
"002628","建筑装饰","基础建设","建筑装饰 — 基础建设"
"002629","采掘","采掘服务","采掘 — 采掘服务"
"002630","电气设备","电源设备","电气设备 — 电源设备"
"002631","轻工制造","家用轻工","轻工制造 — 家用轻工"
"002632","化工","化学制品","化工 — 化学制品"
"002633","机械设备","通用机械","机械设备 — 通用机械"
"002634","纺织服装","服装家纺","纺织服装 — 服装家纺"
"002635","电子","电子制造","电子 — 电子制造"
"002636","电子","元件Ⅱ","电子 — 元件Ⅱ"
"002637","化工","化学制品","化工 — 化学制品"
"002638","传媒","文化传媒","传媒 — 文化传媒"
"002639","机械设备","通用机械","机械设备 — 通用机械"
"002640","商业贸易","一般零售","商业贸易 — 一般零售"
"002641","建筑材料","其他建材","建筑材料 — 其他建材"
"002642","计算机","计算机应用","计算机 — 计算机应用"
"002643","化工","化学制品","化工 — 化学制品"
"002644","医药生物","中药Ⅱ","医药生物 — 中药Ⅱ"
"002645","机械设备","专用设备","机械设备 — 专用设备"
"002646","食品饮料","饮料制造","食品饮料 — 饮料制造"
"002647","非银金融","多元金融","非银金融 — 多元金融"
"002648","化工","化学原料","化工 — 化学原料"
"002649","计算机","计算机应用","计算机 — 计算机应用"
"002650","食品饮料","食品加工","食品饮料 — 食品加工"
"002651","机械设备","专用设备","机械设备 — 专用设备"
"002652","建筑材料","其他建材","建筑材料 — 其他建材"
"002653","医药生物","化学制药","医药生物 — 化学制药"
"002654","传媒","营销传播","传媒 — 营销传播"
"002655","电子","电子制造","电子 — 电子制造"
"002656","纺织服装","服装家纺","纺织服装 — 服装家纺"
"002657","计算机","计算机应用","计算机 — 计算机应用"
"002658","公用事业","环保工程及服务","公用事业 — 环保工程及服务"
"002659","传媒","文化传媒","传媒 — 文化传媒"
"002660","电子","电子制造","电子 — 电子制造"
"002661","食品饮料","食品加工","食品饮料 — 食品加工"
"002662","汽车","汽车零部件","汽车 — 汽车零部件"
"002663","建筑装饰","园林工程","建筑装饰 — 园林工程"
"002664","汽车","汽车零部件","汽车 — 汽车零部件"
"002665","电气设备","电源设备","电气设备 — 电源设备"
"002666","化工","化学制品","化工 — 化学制品"
"002667","机械设备","专用设备","机械设备 — 专用设备"
"002668","家用电器","白色家电","家用电器 — 白色家电"
"002669","化工","化学制品","化工 — 化学制品"
"002670","非银金融","证券","非银金融 — 证券"
"002671","建筑材料","其他建材","建筑材料 — 其他建材"
"002672","公用事业","环保工程及服务","公用事业 — 环保工程及服务"
"002673","非银金融","证券","非银金融 — 证券"
"002674","纺织服装","纺织制造","纺织服装 — 纺织制造"
"002675","医药生物","化学制药","医药生物 — 化学制药"
"002676","家用电器","白色家电","家用电器 — 白色家电"
"002677","家用电器","白色家电","家用电器 — 白色家电"
"002678","轻工制造","家用轻工","轻工制造 — 家用轻工"
"002679","农林牧渔","林业Ⅱ","农林牧渔 — 林业Ⅱ"
"002681","电子","电子制造","电子 — 电子制造"
"002682","交通运输","物流Ⅱ","交通运输 — 物流Ⅱ"
"002683","化工","化学制品","化工 — 化学制品"
"002684","电子","其他电子","电子 — 其他电子"
"002685","机械设备","通用机械","机械设备 — 通用机械"
"002686","机械设备","通用机械","机械设备 — 通用机械"
"002687","纺织服装","服装家纺","纺织服装 — 服装家纺"
"002688","农林牧渔","动物保健","农林牧渔 — 动物保健"
"002689","机械设备","专用设备","机械设备 — 专用设备"
"002690","机械设备","专用设备","机械设备 — 专用设备"
"002691","机械设备","专用设备","机械设备 — 专用设备"
"002692","电气设备","高低压设备","电气设备 — 高低压设备"
"002693","医药生物","生物制品Ⅱ","医药生物 — 生物制品Ⅱ"
"002694","建筑材料","其他建材","建筑材料 — 其他建材"
"002695","食品饮料","食品加工","食品饮料 — 食品加工"
"002696","农林牧渔","饲料Ⅱ","农林牧渔 — 饲料Ⅱ"
"002697","商业贸易","一般零售","商业贸易 — 一般零售"
"002698","机械设备","专用设备","机械设备 — 专用设备"
"002699","传媒","文化传媒","传媒 — 文化传媒"
"002700","公用事业","燃气Ⅱ","公用事业 — 燃气Ⅱ"
"002701","轻工制造","包装印刷Ⅱ","轻工制造 — 包装印刷Ⅱ"
"002702","食品饮料","食品加工","食品饮料 — 食品加工"
"002703","汽车","汽车零部件","汽车 — 汽车零部件"
"002705","家用电器","白色家电","家用电器 — 白色家电"
"002706","电气设备","高低压设备","电气设备 — 高低压设备"
"002707","休闲服务","旅游综合Ⅱ","休闲服务 — 旅游综合Ⅱ"
"002708","汽车","汽车零部件","汽车 — 汽车零部件"
"002709","化工","化学制品","化工 — 化学制品"
"002711","交通运输","物流Ⅱ","交通运输 — 物流Ⅱ"
"002712","传媒","营销传播","传媒 — 营销传播"
"002713","建筑装饰","装修装饰","建筑装饰 — 装修装饰"
"002714","农林牧渔","畜禽养殖","农林牧渔 — 畜禽养殖"
"002715","汽车","汽车零部件","汽车 — 汽车零部件"
"002716","有色金属","稀有金属","有色金属 — 稀有金属"
"002717","公用事业","环保工程及服务","公用事业 — 环保工程及服务"
"002718","建筑材料","其他建材","建筑材料 — 其他建材"
"002719","食品饮料","食品加工","食品饮料 — 食品加工"
"002721","轻工制造","家用轻工","轻工制造 — 家用轻工"
"002722","机械设备","专用设备","机械设备 — 专用设备"
"002723","家用电器","白色家电","家用电器 — 白色家电"
"002725","汽车","汽车零部件","汽车 — 汽车零部件"
"002726","食品饮料","食品加工","食品饮料 — 食品加工"
"002727","医药生物","医药商业Ⅱ","医药生物 — 医药商业Ⅱ"
"002728","医药生物","中药Ⅱ","医药生物 — 中药Ⅱ"
"002729","电子","其他电子","电子 — 其他电子"
"002730","机械设备","专用设备","机械设备 — 专用设备"
"002731","轻工制造","家用轻工","轻工制造 — 家用轻工"
"002732","食品饮料","食品加工","食品饮料 — 食品加工"
"002733","电气设备","电源设备","电气设备 — 电源设备"
"002734","化工","化学制品","化工 — 化学制品"
"002735","轻工制造","包装印刷Ⅱ","轻工制造 — 包装印刷Ⅱ"
"002736","非银金融","证券","非银金融 — 证券"
"002737","医药生物","中药Ⅱ","医药生物 — 中药Ⅱ"
"002738","采掘","采掘服务","采掘 — 采掘服务"
"002739","传媒","文化传媒","传媒 — 文化传媒"
"002740","轻工制造","家用轻工","轻工制造 — 家用轻工"
"002741","化工","化学制品","化工 — 化学制品"
"002742","建筑材料","其他建材","建筑材料 — 其他建材"
"002743","建筑装饰","专业工程","建筑装饰 — 专业工程"
"002745","电子","光学光电子","电子 — 光学光电子"
"002746","农林牧渔","畜禽养殖","农林牧渔 — 畜禽养殖"
"002747","机械设备","通用机械","机械设备 — 通用机械"
"002748","化工","化学制品","化工 — 化学制品"
"002749","化工","化学制品","化工 — 化学制品"
"002750","医药生物","中药Ⅱ","医药生物 — 中药Ⅱ"
"002751","轻工制造","其他轻工制造","轻工制造 — 其他轻工制造"
"002752","轻工制造","包装印刷Ⅱ","轻工制造 — 包装印刷Ⅱ"
"002753","化工","橡胶","化工 — 橡胶"
"002755","医药生物","化学制药","医药生物 — 化学制药"
"002756","钢铁","钢铁","钢铁 — 钢铁"
"002757","机械设备","专用设备","机械设备 — 专用设备"
"002758","医药生物","医药商业Ⅱ","医药生物 — 医药商业Ⅱ"
"002759","家用电器","白色家电","家用电器 — 白色家电"
"002760","机械设备","通用机械","机械设备 — 通用机械"
"002761","纺织服装","服装家纺","纺织服装 — 服装家纺"
"002762","纺织服装","服装家纺","纺织服装 — 服装家纺"
"002763","纺织服装","服装家纺","纺织服装 — 服装家纺"
"002765","汽车","汽车零部件","汽车 — 汽车零部件"
"002766","计算机","计算机应用","计算机 — 计算机应用"
"002767","电气设备","电气自动化设备","电气设备 — 电气自动化设备"
"002768","化工","塑料Ⅱ","化工 — 塑料Ⅱ"
"002769","交通运输","物流Ⅱ","交通运输 — 物流Ⅱ"
"002770","食品饮料","食品加工","食品饮料 — 食品加工"
"002771","计算机","计算机应用","计算机 — 计算机应用"
"002772","农林牧渔","种植业","农林牧渔 — 种植业"
"002773","医药生物","化学制药","医药生物 — 化学制药"
"002774","机械设备","专用设备","机械设备 — 专用设备"
"002775","建筑装饰","园林工程","建筑装饰 — 园林工程"
"002776","纺织服装","服装家纺","纺织服装 — 服装家纺"
"002777","计算机","计算机应用","计算机 — 计算机应用"
"002778","化工","石油化工","化工 — 石油化工"
"002779","机械设备","专用设备","机械设备 — 专用设备"
"002780","纺织服装","服装家纺","纺织服装 — 服装家纺"
"002781","建筑装饰","装修装饰","建筑装饰 — 装修装饰"
"002782","电子","电子制造","电子 — 电子制造"
"002783","化工","化学制品","化工 — 化学制品"
"002785","建筑材料","其他建材","建筑材料 — 其他建材"
"002786","机械设备","专用设备","机械设备 — 专用设备"
"002787","轻工制造","包装印刷Ⅱ","轻工制造 — 包装印刷Ⅱ"
"002788","医药生物","医药商业Ⅱ","医药生物 — 医药商业Ⅱ"
"002789","建筑装饰","装修装饰","建筑装饰 — 装修装饰"
"002790","轻工制造","家用轻工","轻工制造 — 家用轻工"
"002791","建筑材料","其他建材","建筑材料 — 其他建材"
"002792","通信","通信设备","通信 — 通信设备"
"002793","机械设备","通用机械","机械设备 — 通用机械"
"002795","机械设备","通用机械","机械设备 — 通用机械"
"002796","机械设备","专用设备","机械设备 — 专用设备"
"002797","非银金融","证券","非银金融 — 证券"
"002798","建筑材料","其他建材","建筑材料 — 其他建材"
"002800","交通运输","物流Ⅱ","交通运输 — 物流Ⅱ"
"002801","电气设备","电机","电气设备 — 电机"
"002802","化工","化学制品","化工 — 化学制品"
"002803","传媒","营销传播","传媒 — 营销传播"
"002805","化工","化学原料","化工 — 化学原料"
"002806","有色金属","工业金属","有色金属 — 工业金属"
"002807","银行","银行","银行 — 银行"
"002808","电子","光学光电子","电子 — 光学光电子"
