"c_name","c_type"
"富时罗素概念股","general"
"寨卡病毒概念","other"
"小米概念","general"
"小金属概念","general"
"小间距LED","other"
"小额贷款","other"
"尾气治理","other"
"尿素","other"
"屏下指纹技术","other"
"山东国资改革","other"
"山西国资改革","other"
"工业4.0","general"
"工业互联网","general"
"工业大麻","general"
"工业机器人","other"
"工程建材","other"
"己二酸","other"
"幕墙","other"
"干细胞","other"
"平安资管持股","other"
"平面媒体","other"
"年报预增","general"
"幼儿教育","general"
"广东国资改革","other"
"广东自贸区","general"
"广告营销","other"
"废品回收","other"
"废气处理","other"
"建筑涂料","other"
"建筑节能","other"
"引力波","other"
"影视娱乐","other"
"征信","other"
"徐翔概念股","other"
"微信小程序","general"
"微信概念","other"
"心脏支架","other"
"快递","other"
"恒大概念","other"
"情人节","other"
"成泉资本持股","other"
"成渝特区","other"
"手势识别","other"
"手机游戏","general"
"手足口病","other"
"抗癌","other"
"抗肿瘤","other"
"抗艾滋病","other"
"抗辐射药","other"
"指纹技术","other"
"指纹支付","other"
"挖掘机","other"
"挖矿设备","other"
"换芯","other"
"排水","other"
"搜索引擎","other"
"摘帽","general"
"数字中国","general"
"数字乡村","general"
"数字孪生","general"
"数字营销","other"
"数字视觉","other"
"数字货币","general"
"数字阅读","other"
"数据存储","other"
"文化传媒","general"
"新兴板概念","other"
"新型城镇化","other"
"新材料概念","general"
"新版人民币","other"
"新疆建设兵团","other"
"新疆振兴","general"
"新疆自贸区","other"
"新股与次新股","general"
"新能源","other"
"新能源整车","other"
"新能源汽车","general"
"新能源物流车","other"
"新零售","general"
"无人机","general"
"无人银行","other"
"无人零售","general"
"无人驾驶","general"
"无感支付","other"
"无线充电","general"
"无线耳机","general"
"明星参股概念","other"
"春节概念","other"
"春运","other"
"显卡","other"
"智慧党建","other"
"智慧城市","general"
"智能交通","general"
"智能医疗","general"
"智能家居","general"
"智能建筑","other"
"智能手表","other"
"智能服务","other"
"智能汽车","other"
"智能物流","general"
"智能电网","general"
"智能电视","other"
"智能眼镜","other"
"智能穿戴","general"
"智能纤维","other"
"智能表","other"
"智能金融","other"
"智能音箱","general"
"有声读物","other"
"有机硅","other"
"服务机器人","other"
"期货概念","general"
"机器人概念","general"
"机器学习","other"
"机器视觉","other"
"机床制造","other"
"机构重仓","other"
"机械装备","other"
"村镇银行","other"
"杭州亚运会","general"
"林场改革","other"
"染料","general"
"柔性屏","general"
"柴油发电","other"
"标普道琼斯A股","general"
"核电","general"
"核高基","other"
"棉花种植","other"
"横琴新区","general"
"橡胶","other"
"正丁醇","other"
"正定新区","other"
"正极材料","other"
"武汉自贸区","other"
"殡仪服务","other"
"比特币","other"
"民用无人机","other"
"民营医院","general"
"气凝胶","other"
"氟化工","general"
"氢氟酸","general"
"氢能源","general"
"氧化铝","other"
"氨纶","other"
"水价改革","other"
"水利","general"
"水域改革","other"
"水泥","general"
"永磁高铁","other"
"江苏国资改革","other"
"污水处理","general"
"汽车关税下调","other"
"汽车制造概念","other"
"汽车电子","general"
"沥青","other"
"沪伦通概念","general"
"沪台通","other"
"河南国资改革","other"
"河南自贸区","other"
"油价上调","other"
"油价下调","other"
"油品升级","other"
"油品改革","general"
"油改气","other"
"油气开采","other"
"油气管网","other"
"油气装备","other"
"油气运输仓储","other"
"油页岩","other"
"活性炭","other"
"流媒体","other"
"流感","other"
"流量银行","other"
"浙江国资改革","other"
"海上风电","other"
"海南旅游岛","other"
"海南自贸区","other"
"海峡西岸","other"
"海工装备","general"
"海水淡化","other"
"海洋经济","other"
"海绵城市","other"
"海航系","other"
"消费电子","general"
"消费金融","general"
"消防装备","other"
"涤纶","other"
"液化气","other"
"液态金属","other"
"液氯","other"
"深圳国资改革","general"
"游艇","other"
"游轮","other"
"湖北国资改革","other"
"湖南国资改革","other"
"湖南自贸区","other"
"潜水运动","other"
"潮汐发电","other"
"澳交所概念","general"
"激光器","other"
"火箭军","other"
"灾备存储","other"
"炭素","other"
"炭黑","other"
"烟草","general"
"烧碱","other"
"焦煤","other"
"焦虑症","other"
"煤化工","general"
"煤层气","other"
"煤矿安全","other"
"燃料乙醇","general"
"燃料电池","general"
"牛羊肉","other"
"物流电商平台","general"
"物流骨干网","other"
"物联网","general"
