"code","c_actual_controller","c_final_controller","c_chairman","c_chairman_secretary","c_legal_representative","c_general_manager"
"002015","朱共山","朱共山","朱钰峰","沈强","朱钰峰","费智"
"002016","梁社增","梁社增","梁家荣","严文俊","梁晓进","梁晓进"
"002017","中国普天信息产业集团有限公司","中国普天信息产业集团有限公司","周忠国","陈宗潮","张晓川","张晓川"
"002019","程先锋","程先锋","程先锋","冯德崎","程先锋","程先锋"
"002020","吕钢","吕钢","吕钢","洪贇飞","吕钢","金志平"
"002021","万钢","万钢","张黎曙","李保荣","张黎曙","张黎曙"
"002022",,,"胡勇敏","王锡林","胡勇敏","丁伟"
"002023","李飚","李飚","李飚","张龙勇","李飚","李江石"
"002024","张近东","张近东","张近东","黄巍","张近东","侯恩龙"
"002025","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","陈振宇","张旺","陈振宇","王跃轩"
"002026","杨桂模","杨桂模","杨明燕","张红江","杨明燕","刘友财"
"002027","江南春","江南春","江南春","孔微微","江南春","江南春"
"002028","董增平、陈邦栋","董增平、陈邦栋","董增平","林凌","董增平","董增平"
"002029","周永伟、周少明、周少雄","周永伟、周少明、周少雄","周少雄","陈平","李淑君","李淑君"
"002030","中山大学","中山大学","何蕴韶","张斌","何蕴韶","周新宇"
"002031","吴潮忠","吴潮忠","吴潮忠","吴豪","吴潮忠","郑栩栩"
"002032","SEB S.A.","SEB S.A.","Thierry de La Tour d’Artaise","叶继德","Thierry de La Tour d’Artaise","苏明瑞"
"002033","张松山","张松山","和献中","杨宁","和献中","刘晓华"
"002034","单建明","单建明","芮勇","王学庚","芮勇","王学庚"
"002035","潘叶江","潘叶江","潘叶江","吴刚","潘叶江","潘垣枝"
"002036","韩盛龙、陈伟","韩盛龙、陈伟","韩盛龙","饶威","韩盛龙","韩盛龙"
"002037","中国保利集团公司","国务院国有资产管理委员会","安胜杰","王丽春","安胜杰","魏彦"
"002038","徐明波、新乡白鹭投资集团有限公司","徐明波、河南省新乡市国有资产监督管理委员会","徐明波","梁淑洁","徐明波","徐明波"
"002039","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","陶云鹏","杨焱","陶云鹏","罗涛"
"002040","江苏省人民政府国有资产监督管理委员会","江苏省人民政府国有资产监督管理委员会","熊俊","陈明","熊俊","向平原"
"002041","李登海","李登海","王龙祥","原绍刚","王龙祥","颜理想"
"002042","孙伟挺,陈玲芬","孙伟挺,陈玲芬","孙伟挺","张正","孙伟挺","陈玲芬"
"002043","丁鸿敏","丁鸿敏","丁鸿敏","徐俊","丁鸿敏","陆利华"
"002044","俞熔","俞熔","俞熔","熊芳君","俞熔","徐可"
"002045","周海昌","周海昌","陆宏达","张金辉","何伟成","何伟成"
"002046","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","朱峰","赵祥功","朱峰","陈锋"
"002047","古少明","古少明","古少波","古少波","古少波","古少波"
"002048","周晓峰","周晓峰","周晓峰","韩铭扬","周晓峰","舒荣启"
"002049","清华控股有限公司","中华人民共和国教育部","刁石京","杜林虎","刁石京","马道杰"
"002050","张亚波、张少波、张道才","张亚波、张少波、张道才","张亚波","胡凯程","张亚波","王大勇"
"002051","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","罗艳","张春燕","罗艳","丁建"
"002052","袁明","袁明","刘灿","贺磊","刘灿","-"
"002053","云南省国有资产监督管理委员会","云南省国有资产监督管理委员会","谢一华","李政良","谢一华","周立新"
"002054","黄冠雄","黄冠雄","黄冠雄","朱闽翀","黄冠雄","陈秋有"
"002055","邱建民、邱为民","邱建民、邱为民","邱建民","王少华","邱建民","邱建民"
"002056","横店社团经济企业联合会","横店社团经济企业联合会","何时金","吴雪萍","何时金","任海亮"
"002057","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","王文军","章超","毛海波","毛海波"
"002058","沈雯","沈雯","李彧","殷骏","李彧","俞世新"
"002059","国务院国有资产监管管理委员会","国务院国有资产监管管理委员会","张睿","郭金","张睿","孙鹏"
"002060","广东省人民政府国有资产监督管理委员会","广东省人民政府国有资产监督管理委员会","谢彦辉","林广喜","谢彦辉","卢大鹏"
"002061","浙江省人民政府国有资产监督管理委员会","浙江省人民政府国有资产监督管理委员会","邵文年","邹宏","邵文年","董星明"
"002062","郑宏舫","郑宏舫","郑宏舫","吴谷华","郑宏舫","李剑彤"
"002063","--","50.43万","陈利浩","陈利浩","陈利浩","黄笑华"
"002064","尤小平","尤小平","杨从登","陈章良","杨从登","潘基础"
"002065","薛向东及其家族成员","薛向东及其家族成员","薛向东","杨健","薛向东","吕波"
"002066","中国建材集团有限公司","国务院国有资产监督管理委员会","曾大凡","邹琼慧","曾大凡","佟立金"
"002067","朱在龙","朱在龙","朱在龙","姚洁青","朱在龙","王志明"
"002068","景德镇市国有资产监督管理委员会","景德镇市国有资产监督管理委员会","王耀","李毅","王耀","魏明"
"002069","长海县獐子岛投资发展中心","长海县獐子岛投资发展中心","吴厚刚","阎忠吉","吴厚刚","吴厚刚"
"002071","赵锐勇","赵锐勇","赵锐均","赵锐均","赵锐均","胡晓芳"
"002072","--",,"纪晓文","朱小艳","李燕媚","李燕媚"
"002073","李兆年、杨浩涌","李兆年、杨浩涌","何宁","鲁丽娜","何宁","官炳政"
"002074","李缜","李缜","李缜","马桂富","李缜","李缜"
"002075","沈文荣","沈文荣","何春生","杨华","何春生","陈瑛"
"002076","柴国生","柴国生","柴国生","张桃华","柴国生","柴华"
"002077","镇江市人民政府国有资产监督管理委员会","镇江市人民政府国有资产监督管理委员会","王茂和","吴晓坚","王茂和","王靖宇"
"002078","李洪信","李洪信","李洪信","庞传顺","李洪信","李洪信"
"002079","吴念博","吴念博","吴念博","滕有西","吴念博","吴炆皜"
"002080","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","薛忠民","陈志斌","薛忠民","刘颖"
"002081","朱兴良","朱兴良","王汉林","宁波","王汉林","曹黎明"
"002082","赵守明、庄惠","赵守明、庄惠","赵守明","姜全州","赵守明","赵守明"
"002083","孙日贵","孙日贵","孙日贵","张萌","孙日贵","吴明凤"
"002084","唐台英及其家人、戎启平及其家人","唐台英及其家人、戎启平及其家人","唐台英","陈巍","唐台英","王瑞泉"
"002085","陈爱莲、吴良定家族","陈爱莲、吴良定家族","陈滨","章银凤","陈滨","董瑞平"
"002086","车轼","车轼","车轼","朱开星","车轼","车轼"
"002087","新野县财政局","新野县财政局","魏学柱","许勤芝","魏学柱","陶国定"
"002088","Behdad Eghbali、José E. Feliciano","Behdad Eghbali、José E. Feliciano","鹿成滨","张振明","鹿成滨","鹿超"
"002089","张亦斌、马玲芝","张亦斌、马玲芝","张亦斌","徐磊","张亦斌","张亦斌"
"002090","叶留金、朱华明、徐兵、贺安鹰、丁小异","叶留金、朱华明、徐兵、贺安鹰、丁小异","贺安鹰","李剑","贺安鹰","郭伟"
"002091","江苏国泰国际贸易有限公司","江苏国泰国际贸易有限公司","张子燕","郭盛虎","张子燕","陈晓东"
"002092","新疆维吾尔自治区人民政府国有资产监督管理委员会","新疆维吾尔自治区人民政府国有资产监督管理委员会","王洪欣","潘玉英","王洪欣","杨江红"
"002093","陈国鹰、林惠榕、林金全","陈国鹰、林惠榕、林金全","陈维","程伟熙","陈学华","陈学华"
"002094","陈索斌","陈索斌","陈索斌","杜心强","陈索斌","唐风杰"
"002095","孙德良","孙德良","孙德良","范悦龙","孙德良","孙德良"
"002096","湖南新天地投资控股集团有限公司","湖南省人民政府国有资产监督管理委员会","曾德坤","邹七平","曾德坤","张健辉"
"002097","广州市人民政府","广州市人民政府","何清华","王剑","付向东","付向东"
"002098","王立军","王立军","张国根","谢静波","张国根","施明取"
"002099","王云富","王云富","孙杨","许华青","孙杨","杨思卫"
"002100","新疆生产建设兵团国有资产经营有限责任公司","新疆生产建设兵团国有资产经营有限责任公司","杨焰","郭运江","杨焰","成辉"
"002101","广东省粤科金融集团有限公司","广东省人民政府","黎柏其","莫劲刚","黎柏其","徐飞跃"
"002102","林福椿、林文智、林文昌、林文洪","林福椿、林文智、林文昌、林文洪","陈烈权","黄华伦","姚晓琴","姚晓琴"
"002103","王利平","王利平","王利平","江淑莹","王利平","王君平"
"002104","钱京","钱京","钱京","陈妹妹","钱京","钱京"
"002105","廖学金","廖学金","廖学金","陈丽秋","廖学金","廖学湖"
"002106","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","臧卫东","王行村","臧卫东","李绍宗"
"002107","赵丙贤","赵丙贤","赵丙贤","赵彩霞","赵丙贤","曾英姿"
"002108","于桂亭","于桂亭","陈宏伟","李繁联","陈宏伟","于增胜"
"002109","陕西省人民政府国有资产监督管理委员会","陕西省人民政府国有资产监督管理委员会","樊洺僖","席永生","樊洺僖","王颖"
"002110","福建省人民政府国有资产监督管理委员会","福建省人民政府国有资产监督管理委员会","黎立璋","胡红林","黎立璋","卢芳颖"
"002111","李光太","李光太","李光太","罗丰","李光太","李文轩"
"002112","浙江省三门县人民政府","浙江省三门县人民政府","谢伟世","谢伟世","谢伟世","俞尚群"
"002113","赖淦锋","赖淦锋","麦少军","梁萍","麦少军","江峰"
"002114","罗平县财政局","罗平县财政局","李尤立","李尤立","李尤立","洪巩堤"
"002115","李越伦","李越伦","李越伦","汪剑","李越伦","李钢"
"002116","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","徐大同","林琳","徐大同","张建新"
"002117","--",,"王爱先","齐利国","王爱先","史建中"
"002118","郭春生","郭春生","郭春林","张万恒","郭春林","封有顺"
"002119","--",,"郑康定","赵勤攻","郑康定","郑康良"
"002120","聂腾云、陈立英","聂腾云、陈立英","聂腾云","符勤","聂腾云","聂腾云"
"002121","饶陆华","饶陆华","饶陆华","黄幼平","饶陆华","刘标"
"002122","徐茂栋","徐茂栋","武剑飞","武宁","武剑飞","武剑飞"
"002123","余文胜","余文胜","余文胜","朱雯雯","余文胜","余文胜"
"002124","张邦辉","张邦辉","张邦辉","章湘云","张邦辉","苏礼荣"
"002125","湘潭市国有资产监督管理委员会","湘潭市国有资产监督管理委员会","谭新乔","汪咏梅","谭新乔","张迎春"
"002126","徐小敏","徐小敏","徐小敏","陈敏","徐小敏","夏军"
"002127","张玉祥、朱雪莲","张玉祥、朱雪莲","张玉祥","曹益堂","张玉祥","张玉祥"
"002128","国家电力投资集团有限公司","国务院国有资产监督管理委员会","刘明胜","温泉","刘明胜","刘建平"
"002129","天津市人民政府国有资产监督管理委员会","天津市人民政府国有资产监督管理委员会","沈浩平","秦世龙","沈浩平","沈浩平"
"002130","周和平","周和平","周文河","王占君","周文河","王宏晖"
"002131","王相荣","王相荣","王相荣","周利明","王相荣","王相荣"
"002132","谢保军","谢保军","谢晓博","张召平","谢晓博","谢晓龙"
"002133","王轶磊","王轶磊","王轶磊","华欣","王轶磊","江利雄"
"002134","天津市人民政府国有资产监督管理委员会","天津市人民政府国有资产监督管理委员会","张太金","林晓华","张太金","王忠全"
"002135","郭明明","郭明明","郭明明","蒋建华","徐春祥","徐春祥"
"002136","铜陵市华盛化工投资有限公司","铜陵市国有资产监督管理委员会","陈书勤","王先龙","陈书勤","姚程"
"002137","陈亚妹、乔昕","陈亚妹、乔昕","陈亚妹","朱蕾","陈亚妹","高礼强"
"002138","-","-","袁金钰","徐祖华","袁金钰","施红阳"
"002139","武永强","武永强","武永强","文朝晖","武永强","武永强"
"002140","中国化学工程集团有限公司","中国化学工程集团有限公司","吴光美","张学明","吴光美","崔从权"
"002141","谢松锋、谢海滔","谢松锋、谢海滔","韩桃子","万荣杰","韩桃子","卢敏"
"002142","-","-","陆华裕","俞罡","陆华裕","罗孟波"
"002144","沈国甫","沈国甫","沈国甫","朱海东","沈国甫","沈国甫"
"002145","王泽龙","王泽龙","袁秋丽","邱北","袁秋丽","李玉峰"
"002146","耿建明","耿建明","耿建明","陈金海","耿建明","刘山"
"002147","虞云新、周晓光","虞云新、周晓光","周晓光","杨畅生","周晓光","虞云新"
"002148","傅乐民","傅乐民","傅乐民","黄潇","傅乐民","傅乐民"
"002149","陕西省财政厅","陕西省财政厅","巨建辉","顾亮","巨建辉","杨延安"
"002150","顾雄斌","顾雄斌","柳振江","蔡岚","柳振江","柳振江"
"002151","周儒欣","周儒欣","周儒欣","潘国平","周儒欣","周儒欣"
"002152","广州市国有资产监督管理委员会","广州市国有资产监督管理委员会","黄跃珍","钟勇","黄跃珍","叶子瑜"
"002153","李仲初","李仲初","李仲初","罗芳","李仲初","李仲初"
"002154","吴婷婷、吴志泽","吴婷婷、吴志泽","吴志泽","谢海静","吴志泽","吴志泽"
"002155","湖南省人民政府国有资产监督管理委员会","湖南省人民政府国有资产监督管理委员会","黄启富","王文松","黄启富","陈建权"
"002156","石明达","石明达","石明达","蒋澍","石明达","石磊"
"002157","林印孙","林印孙","程凡贵","王飞","程凡贵","林峰"
"002158","廖哲男","廖哲男","余昱暄","邱玉英","余昱暄","柯永昌"
"002159","艾路明","艾路明","卢胜","曹正","卢胜","张泉"
"002160","张平","张平","张平","王庆营","张平","朱明"
"002161","徐玉锁、陈光珠","徐玉锁、陈光珠","陈光珠","马琳","陈光珠","陈光珠"
"002162","李慈雄","李慈雄","李慈雄","程梅","李慈雄","李慈雄"
"002163","中国航空工业集团有限公司","国务院国有资产监督管理委员会","朱强华","周军","朱强华","王晖"
"002164","宋济隆、许丽萍","宋济隆、许丽萍","宋济隆","许行","宋济隆","宋和涛"
"002165","芮敬功","芮敬功","芮敬功","王玉生","芮益民","芮益民"
"002166","秦本军","秦本军","秦本军","罗华阳","秦本军","秦本军"
"002167","1.6万","--","吴锦鹏","吴锦鹏","吴锦鹏","江春"
"002168","汪超涌、李亦非","汪超涌、李亦非","徐海啸","刘扬","徐海啸","徐海啸"
"002169","李永喜","李永喜","芮冬阳","曹承锋","陈谨","陈谨"
"002170","黄培钊","黄培钊","黄培钊","郑宇","黄培钊","黄培钊"
"002171","姜纯","姜纯","姜纯","王刚","姜纯","姜纯"
"002172","沈学如","沈学如","沈学如","季超","沈学如","沈学如"
"002173","陈夏英","陈夏英","-","马韬","陈海军","马建建"
"002174","林奇","林奇","林奇","许彬","林奇","林奇"
"002175","宋小忠","宋小忠","张群","王宋琪","张群","张群"
"002176","朱军、卢顺民","朱军、卢顺民","朱军","闵银章","梁云","梁云"
"002177","杨文江","杨文江","谭骅","谭骅","谭骅","谭骅"
"002178","潘晖","潘晖","潘晖","唐文妍","潘晖","潘晖"
"002179","中国航空工业集团有限公司","中国航空工业集团有限公司","郭泽义","刘阳","郭泽义","赵勇"
"002180","汪东颖、李东飞、曾阳云","汪东颖、李东飞、曾阳云","汪东颖","张剑洲","汪东颖","严伟"
"002181","广州市国有经营性文化资产监督管理办公室","广州市国有经营性文化资产监督管理办公室","张强","朱萝伊","张强","张强"
"002182","梅小明","梅小明","梅小明","吴剑飞","梅小明","梅小明"
"002183","深圳市人民政府国有资产监督管理委员会","深圳市人民政府国有资产监督管理委员会","周国辉","夏镔","周国辉","周国辉"
"002184","许泓、郭孟榕","许泓、郭孟榕","许泓","吴秋农","许泓","郭孟榕"
"002185","肖胜利、肖智成、刘建军、崔卫兵、张玉明、宋勇、张兴安、陈建军、薛延童、杨前进、周永寿、常文瑛、乔少华","肖胜利、肖智成、刘建军、崔卫兵、张玉明、宋勇、张兴安、陈建军、薛延童、杨前进、周永寿、常文瑛、乔少华","肖胜利","常文瑛","肖胜利","李六军"
"002186","北京市国有资产监督管理委员会","北京市国有资产监督管理委员会","鲍民","唐颖","鲍民","周延龙"
"002187","广州市人民政府国有资产监督管理委员会","广州市人民政府国有资产监督管理委员会","王华俊","钟芬","王华俊","钱圣山"
"002188","楼永良","楼永良","周鑫","蒋中瀚","周鑫","蒋中瀚"
"002189","中国兵器装备集团有限公司","国务院国有资产监督管理委员会","王志亮","李宗杰","王志亮","李智超"
"002190","中国航空工业集团有限公司","中国航空工业集团有限公司","石晓卿","程雁","石晓卿","黄绍浒"
"002191","乔鲁予","乔鲁予","乔鲁予","李晓华","乔鲁予","侯旭东"
"002192","吕向阳、张长虹","吕向阳、张长虹","吕向阳","陈新华","吕向阳","吕向阳"
"002193","邱亚夫","邱亚夫","邱亚夫","徐长瑞","邱亚夫","杜元姝"
"002194","王丽丽、孟庆南","王丽丽、孟庆南","孟凡博","彭娜","孟凡博","夏勇"
"002195","106.4万",,"陈于冰","邱俊祺","陈于冰","陈于冰"
"002196","--","--","顾一峰","牟健","顾一峰","张敏"
"002197","曾胜强、许忠桂","曾胜强、许忠桂","曾胜强","傅德亮","曾胜强","曾胜强"
"002198","--","--","陈建宁","徐胜利","陈建宁","宋稚牛"
"002199","-",,"王皓","陈坤","王皓","王皓"
"002200","云南省国有资产监督管理委员会","云南省国有资产监督管理委员会","张清","谭仁力","张清","申毅"
"002201","王文银","王文银","王文银","任正勇","王文银","顾柔坚"
"002202","-","-","武钢","马金儒","武钢","曹志刚"
"002203","冯海良","冯海良","朱张泉","钱自强","朱张泉","朱张泉"
"002204","大连市人民政府国有资产监督管理委员会","大连市人民政府国有资产监督管理委员会","丛红","卫旭峰","丛红","田长军"
"002205","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","李鸿杰","-","李鸿杰","马军民"
"002206","高利民","高利民","高利民","吕佩芬","高利民","高王伟"
"002207","解直锟","解直锟","李岩","吕占民","孙德安","简伟"
"002208","合肥市国有资产监督管理委员会","合肥市国有资产监督管理委员会","王晓毅","田峰","王晓毅","陈奇梅"
"002209","张颂明","张颂明","张颂明","李春燕","张颂明","肖林"
"002210","黄壮勉","黄壮勉","费益昭","张健江","费益昭","费益昭"
"002211","杨鑫","杨鑫","杨鑫","杨鑫","杨鑫","周军"
"002212","郑钟南","郑钟南","郑汉武","彭韶敏","郑汉武","章先杰"
"002213","--","--","连松育","何强","连松育","蒋晖"
"002214","庞惠民","庞惠民","庞惠民","范奇","庞惠民","庞惠民"
"002215","卢柏强、卢翠冬、卢丽红、卢翠珠、卢叙安","卢柏强、卢翠冬、卢丽红、卢翠珠、卢叙安","卢柏强","莫谋钧","高焕森","高焕森"
"002216","贾岭达、陈南、陈希、陈泽民","贾岭达、陈南、陈希、陈泽民","陈南","李鸿凯","陈南","陈希"
"002217","福建省人民政府国有资产监督管理委员会","福建省人民政府国有资产监督管理委员会","文开福","金波","文开福","陈贵生"
"002218","李粉莉、陈琛、陈五奎","李粉莉、陈琛、陈五奎","陈五奎","杨国强","陈五奎","杨国强"
"002219","宋丽华","宋丽华","王伟","曹维","王伟","王伟"
"002220","黄作庆","黄作庆","黄作庆","孙立涛","黄作庆","李宏泽"
"002221","周一峰、王铭祥","周一峰、王铭祥","周一峰","邵勇健","周一峰","吴银龙"
"002222","中国科学院福建物质结构研究所","中国科学院福建物质结构研究所","陈辉","蔡德全","陈辉","陈秋华"
"002223","吴光明","吴光明","吴光明","陈坚","吴光明","吴群"
"002224","吴培生、吴琼瑛","吴培生、吴琼瑛","吴琼瑛","郭利军","吴琼瑛","吴琼瑛"
"002225","刘百宽家族","刘百宽家族","刘百宽","彭艳鸣","刘百宽","曹阳"
"002226","姚新义","姚新义","郭曙光","王敦福","郭曙光","沈跃华"
"002227","廖晓霞","廖晓霞","廖晓霞","吴云虹","廖晓霞","廖晓霞"
"002228","许晓光、许晓荣、吕秀英、许天津","许晓光、许晓荣、吕秀英、许天津","许晓光","康春华","许晓光","许晓光"
"002229","尤丽娟、尤友岳、尤友鸾、尤玉仙、章棉桃","尤丽娟、尤友岳、尤友鸾、尤玉仙、章棉桃","毛伟","李泽文","毛伟","毛伟"
"002230","刘庆峰、中科大资产经营有限责任公司","刘庆峰、中科大资产经营有限责任公司","刘庆峰","江涛","刘庆峰","刘庆峰"
"002231","单川、吴琼","单川、吴琼","吕琦","吕琦","吕琦","白利海"
"002232","中国第一汽车集团有限公司","国务院国有资产监督管理委员会","-","安威","-","张华"
"002233","钟烈华","钟烈华","钟朝晖","曾皓平","何坤皇","何坤皇"
"002234","孙希民","孙希民","孙希民","张东明","孙希民","孙宪法"
"002235","林旭曦、张杰","林旭曦、张杰","张杰","陈文坚","张杰","张杰"
"002236","傅利泉、陈爱玲","傅利泉、陈爱玲","傅利泉","吴坚","傅利泉","李柯"
"002237","江西省国有资产监督管理委员会","江西省国有资产监督管理委员会","黄小平","夏晓波","曲胜利","曲胜利"
"002238","深圳广播电影电视集团","深圳广播电影电视集团","郑鼎文","林杨","郑鼎文","张育民"
"002239","张永明","张永明","张永明","窦海涛","张永明","丁涛"
"002240","姚雄杰","姚雄杰","王天广","邓伟军","王天广","周祎"
"002241","姜滨、胡双美","姜滨、胡双美","姜滨","贾军安","姜滨","姜龙"
"002242","王旭宁","王旭宁","王旭宁","王旭宁","王旭宁","杨宁宁"
"002243","深圳市国有资产监督管理委员会","深圳市国有资产监督管理委员会","陈寿","彭晓华","陈寿","姚正禹"
"002244","戚金兴","戚金兴","戚金兴","李渊","戚金兴","朱慧明"
"002245","沈学如","沈学如","陈锴","林文华","陈锴","陈锴"
"002246","中国兵器工业集团有限公司","中国兵器工业集团有限公司","程向前","黄卫平","黄万福","黄万福"
"002247",,,"陈智剑","魏晓静","陈智剑","薄彬"
"002248","陈学利","陈学利","连小明","李晓萌","连小明","王海波"
"002249","鲁楚平、彭惠","鲁楚平、彭惠","鲁楚平","熊杰明","鲁楚平","徐海明"
"002250","牟金香","牟金香","王萍","陈飞彪","王萍","Andreas Winterfeldt"
"002251","王填","王填","王填","师茜","王填","王填"
"002252","黄凯、郑跃文","黄凯、郑跃文","陈杰","刘峥","陈杰","陈杰"
"002253","游志胜","游志胜","游志胜","吴俊杰","游志胜","张自力"
"002255","徐元生","徐元生","徐元生","张郭一","徐元生","徐元生"
"002256","陈永弟、沈少玲","陈永弟、沈少玲","张文","金红英","张文","张文"
"002258","中国工程物理研究院","中国工程物理研究院","尹英遂","刘军","尹英遂","尹英遂"
"002259","单洋","单洋","单洋","单洋","单洋","单洋"
"002261","李新宇","李新宇","李新宇","龙麒","李新宇","李新宇"
"002262","孙彭生、陈增良、付卿、杨自亮","孙彭生、陈增良、付卿、杨自亮","孙彭生","段保州","孙彭生","孙家权"
"002263","诸暨市国有资产监督管理委员会","诸暨市国有资产监督管理委员会","骆平","王陈","骆平","骆平"
"002264","陈发树","陈发树","金志国","郭建生","金志国","金志国"
"002265","中国兵器装备集团有限公司","国务院国有资产监督管理委员会","谢力","王家兴","谢力","董绍杰"
"002266","孙毅","孙毅","孙毅","房振武","孙毅","潘承东"
"002267","陕西省国有资产监督管理委员会","陕西省国有资产监督管理委员会","李谦益","毕卫","李谦益","方嘉志"
"002268","中国电子科技集团有限公司","中国电子科技集团有限公司","卿昱","刘志惠","卿昱","王忠海"
"002269","周成建","周成建","胡佳佳","胡周斌","胡佳佳","胡佳佳"
"002270","肖申、肖毅、肖日明","肖申、肖毅、肖日明","肖毅","雷纯立","肖毅","肖毅"
"002271","李卫国","李卫国","李卫国","张蓓","李卫国","张志萍"
"002272","罗丽华、钟利钢","罗丽华、钟利钢","罗永忠","李想","罗永忠","罗永忠"
"002273","叶仙玉","叶仙玉","林敏","熊波","林敏","王震宇"
"002274","--","--","朱郁健","卢龙","朱郁健","胡波"
"002275","邹节明家族","邹节明家族","邹节明","邹洵","邹节明","王许飞"
"002276","张德生","张德生","张珊珊","赵宇恺","张珊珊","孙小红"
"002277","胡子敬","胡子敬","胡子敬","陈学文","胡子敬","陈细和"
"002278","-","-","李芳英","李芳英","李芳英","顾承宇"
"002279","赵福君、董泰湘","赵福君、董泰湘","赵福君","王海霞","赵福君","施瑞丰"
"002280","何志涛","何志涛","何志涛","俞竣华","何志涛","何志涛"
"002281","中国信息通信科技集团有限公司","国务院国有资产监督管理委员会","余少华","毛浩","余少华","胡广文"
"002282","陈怀荣、吕桂芹、程辉、任京建、张淑玉","陈怀荣、吕桂芹、程辉、任京建、张淑玉","陈怀荣","井成铭","陈怀荣","庞博"
"002283","邢运波","邢运波","邢运波","刘立","邢运波","徐承飞"
"002284","黄来兴、黄伟中、黄伟潮","黄来兴、黄伟中、黄伟潮","黄伟中","邱蓉","黄伟中","施兴龙"
"002286","戴斯觉","戴斯觉","邓淑芬","李霞","邓淑芬","李洪波"
"002287","雷菊芳","雷菊芳","雷菊芳","冯平","雷菊芳","刘凯列"
"002288","梁健锋、梁俊丰","梁健锋、梁俊丰","梁宏","张士宝","梁宏","梁宏"
"002289","解直锟","解直锟","周璐","胡九成","周璐","周璐"
"002290","张伟","张伟","梁旭","王文其","梁旭","郭宏斌"
"002291","张泽民、梁怀宇","张泽民、梁怀宇","于洪涛","何建锋","于洪涛","于洪涛"
"002292","蔡东青","蔡东青","蔡东青","高丹","蔡东青","蔡东青"
"002293","薛伟成","薛伟成","薛伟成","田霖","薛嘉琛","薛嘉琛"
"002294","叶澄海、廖清清、陈志明、叶宇翔、叶宇筠","叶澄海、廖清清、陈志明、叶宇翔、叶宇筠","叶澄海","杨健锋","叶澄海","叶宇翔"
"002295","黄裕辉、周炳高、施晖、王卫冲、卫波、徐挺、张福斌、袁备","黄裕辉、周炳高、施晖、王卫冲、卫波、徐挺、张福斌、袁备","黄裕辉","吉天翊","卫国","卫国"
"002296",,,"李海鹰","杜旭升","李海鹰","谢春生"
"002297","湖南省人民政府国有资产监督管理委员会","湖南省人民政府国有资产监督管理委员会","李勇","曾光辉","李勇","吴厚平"
"002298","瞿洪桂","瞿洪桂","瞿洪桂","汪宇","瞿洪桂","瞿洪桂"
"002299","傅芬芳、傅光明、傅长玉","傅芬芳、傅光明、傅长玉","傅光明","廖俊杰","傅光明","傅芬芳"
"002300","刘秀萍、李文亮、李云孝","刘秀萍、李文亮、李云孝","李云孝","江永涛","李云孝","林芳"
"002301","陈钦鹏","陈钦鹏","陈钦鹏","黄家兵","陈钦鹏","陈钦鹏"
"002302","中国建筑集团有限公司","国务院国有资产监督管理委员会","吴文贵","林彬","吴文贵","吴志旗"
"002303","王海鹏","王海鹏","王海鹏","刘会丰","王海鹏","王治军"
"002304","宿迁市国有资产监督管理委员会","宿迁市国有资产监督管理委员会","王耀","丛学年","王耀","钟雨"
"002305","中国电力建设集团有限公司","国务院国有资产监督管理委员会","秦普高","畅文智","秦普高","钟永红"
"002306","陈继","陈继","陈继","陈继","陈继","陈继"
"002307","新疆生产建设兵团建设工程(集团)有限责任公司","新疆生产建设兵团建工师国资委","汪伟","顾建民","汪伟","熊保恒"
"002308","何正宇、何小远、何泳渝","何正宇、何小远、何泳渝","何正宇","李亦争","何正宇","何正宇"
"002309","王柏兴","王柏兴","王柏兴","诸燕","王柏兴","王伟峰"
"002310","北京市朝阳区人民政府国有资产监督管理委员会","北京市朝阳区人民政府国有资产监督管理委员会","慕英杰","陈莹","刘伟杰","刘伟杰"
"002311","薛华","薛华","薛华","黄志健","薛华","薛华"
"002312","补建","补建","朱江","宋华梅","朱江","朱江"
"002313","薛健","薛健","刘平","李玮","刘平","刘平"
"002314","中国南山开发(集团)股份有限公司","中国南山开发(集团)股份有限公司","田俊彦","蒋俊雅","田俊彦","王世云"
"002315","沈锦华","沈锦华","沈锦华","迟梦洁","沈锦华","沈锦华"
"002316","刘辉","刘辉","王永彬","华建强","王永彬","黄喜胜"
"002317","张玉冲","张玉冲","陈永红","张玉冲","陈永红","陈永红"
"002318","周志江","周志江","李郑周","寿昊添","李郑周","李郑周"
"002319","周镇科","周镇科","周宇斌","郭蒙","周宇斌","周宇斌"
"002320","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","林健","叶伟","林健","欧阳汉"
"002321","潢川县财政局","潢川县财政局","曹家富","曹家富","曹家富","汪开江"
"002322","周方洁、余艇、刘笑梅","周方洁、余艇、刘笑梅","周方洁","李雪会","周方洁","周方洁"
"002324","周文","周文","周文","储民宏","周文","周文"
