股票代码,pid
002090,43845
002091,46845
002092,30720
002093,35451
002094,6048
002095,41599
002096,39988
002097,12356
002098,15008
002099,44581
002100,14920
002101,33380
002102,7185
002103,7157
002104,12436
002105,39889
002106,14743
002107,2547
002108,51126
002109,38893
002110,46203
002111,37191
002112,12762
002113,31715
002114,19722
002115,41270
002116,32036
002117,50049
002118,11784
002119,14169
002120,12823
002121,15927
002122,21571
002123,50904
002124,4531
002125,50791
002126,17759
002127,35581
002128,5274
002129,16909
002130,20722
002131,31448
002132,660
002133,52458
002134,17525
002135,37342
002136,20279
002137,7845
002138,33844
002139,46547
002140,24806
002141,43786
002142,5968
002144,29205
002145,7325
002146,45593
002147,24988
002148,37875
002149,16250
002150,3735
002151,26854
002152,31428
002153,41238
002154,35061
002155,38241
002156,12978
002157,28921
002158,3068
002159,24021
002160,23625
002161,51451
002162,52849
002163,18432
002164,23713
002165,6884
002166,1174
002167,3219
002168,16203
002169,50363
002170,41358
002171,25616
002172,3845
002173,52159
002174,46251
002175,33521
002176,17497
002177,52994
002178,48204
002179,16279
002180,3976
002181,36546
002182,27601
002183,12180
002184,902
002185,38832
002186,6468
002187,38744
002188,21810
002189,45144
002190,23470
002191,12057
002192,27639
002193,18789
002194,43627
002195,20578
002196,51192
002197,10966
002198,24925
002199,23281
002200,45927
002201,34393
002202,42951
002203,52182
002204,47101
002206,8555
002207,37559
002208,4940
002209,10317
002210,37948
002211,8979
002212,23362
002213,11249
002214,7640
002215,35501
002216,2834
002217,4350
002218,50439
002219,53244
002220,41145
002221,14399
002222,1968
002223,12654
002224,44466
002225,53523
002226,13077
002227,15360
002228,34069
002229,38194
002230,51312
002231,22365
002232,41200
002233,45042
002234,2312
002235,6071
002236,42256
002237,34203
002238,23435
002239,13213
002240,39722
002241,28409
002242,47443
002243,3829
002244,31530
002245,50011
002246,19366
002247,47177
002248,53288
002249,9859
002250,25380
002251,17557
002252,31323
002253,4932
002255,5063
002256,19493
002258,46101
002259,31426
002261,16227
002262,12374
002263,3021
002264,959
002265,47469
002266,21285
