业务名称
婚庆服务
电网自动化及工业控制
客运
专用无线通信行业
模具及其他收入
工业炸药
行业之间抵消
炼油
超市
电子材料
典当利息收入
检修业务
工业机器人
心血管药
闭式塔
磷酸二铵
互联网社区工具收入
华北东北
第三方检测服务
好料系列
电池箔
节能环保业
轨道分部
塑料包装制品
工程总承包分部
前叉
亚太区
配餐业务
版权
石英玻璃材料
变速器零件
基板
大宗商品采购分销服务及物流服务
阴极电泳涂料
服务及软件
金
办公椅
其他品牌
销售-进料加工
线棒材
钢结构
钻井工程
路况快速检测系统开发与集成收入
四区
模具
笔记本电脑键盘薄膜开关线路板(MTS)
房地产销售产品
品牌西服
生猪
金融
供热及入网服
工业导爆索(管)
高效清洁能源设备
压实机械
光热发电
航空和军工
输变电成套工程
担保收入
餐饮管理与服务
冻干机
电子铝箔
种业产品
手表及其他消费电子类产品
海外业务
新媒体互动娱乐内容制作
其他电机及配件
石油化工行业
内贸
显示材料及触控器件
海内
亚洲地区(不含国内)
乌鲁木齐地区
建筑施工及基础设施投资业务
重卡变速器
中国香港
食品加工行业
军民融合
CG视觉场景综合服务
硫酸粘菌素类产品
通信、应急保障
国内(含其他业务收入)
CNG/LNG
安徽省内
环保功能涂料与辅料
自动化输送智能装配生产线
汽车零部件制造业
自产业务
信息产品及服务
猪用配合料
营养肉质零食
旅游服务(公民批发)
ATM融资租赁
交通运输辅助业
婴儿抚触等服务
巴西
光学光电子元器件制造
日韩
场馆设施
主题空间展示系统
美容护肤
治疗输液
环保稳定剂
生产、销售
其他城市
工程承包与勘测设计
其他业务及未分配项目
茶分部
京津冀大区
数字家庭多媒体产品
EMC及工程建设
轻钢结构
非功能性手套
PC及智能终端结构件
笔记本及台式机电脑键盘等输入设备及配件
钢材、铁合金等
电动工具行业
远红外理疗房
数字阅读
IDC运维服务
智能钢琴教室产品
笔记本电脑触控板及按键(Button/Touchpad)
其他业务分部
钢绳
信息服务
塔吉克斯坦
DCENTITIRE分部
花园泵
发泡剂
精准营销
商业-中药材及中药饮片
动态令牌
直营
压力仪表及配件
其他工业产品类
电磁起动器类
家居护理
集成电路设计行业
幕墙系统及材料
TPEE树脂
外套
工务维护系列
试剂收入
锻造产品
林果业
隔热减震类制品
醇醚类
收单服务
气体行业
沙特阿拉伯
盐城凤凰项目
电网类
大数据及网络服务
总部及其他
玻璃丝棉
北京区域(含香河)
备件
荧光灯室内照明系列
华中地区分部
轻型输送带
精密温控节能产品
翡翠类
电池材料行业
酒店服务业
内河运输
机械制造业
合成润滑基础油
照明器材及灯具
热力生产及供应
磁材产品销售
药盒
药品制剂
物流与仓储自动化成套装备
车灯
电视剧播映权运营
西方区
自营产品
投资运营业务
商品浆板
零配件及服务
环境工程、项目管理及其他
特种装备制造业
贸易业务分部
服务业及其他行业
机器人减速器
公司内各业务分部相互抵销
石油天然气行业
磺化医药系列产品
低聚果糖-健康配料
租赁及其他业务
射频开关
设计业务
汽油机机油泵
民用产品
锂离子电池自动化生产设备
可再生能源装备
宁宣杭高速公路
空调控制器
怀芷高速
起重机械
重型装备用非标准油缸
信息传播业
智慧城市业务
点对点光模块
跨境商品
复膜纸
客运索道收入
光伏发电行业
IT连锁
多晶硅产品
广东省(注1)
未分配
数据采集设备
矿山企业
认证服务
中国香港地区(中国香港地区)
石墨烯制备设备
摩通业务
《龙武》
投资物业和酒店业务
设计分部
抗肿瘤治疗领域核心产品
不动产投资业务
钎焊箔
天然气业务
精细化工行业
成品油销售业务
焦炭(含焦粉、焦粒)
药品零售
氨纶纤维
产品及开发服务
电子件
同步电机
太阳能电池银浆
消费电子制造业
金刚石切割线
ODN网络物理连接及保护设备
户外用品
非上海地区
批发收入
公司总部及境内子公司
食品与食品加工
子公司及结构化主体
医疗业
能源化工
商城
大宗贸易业务
工业智能化
机场业务分部
特种艇
期货经纪业务
闪存应用产品
硝酸
半导体
海洋系列
境外经营收入
药品-原料药
电子制造业
IT行业
冶炼加工
动力用电池
玻璃门体
其他铝制品
客车销售
田径器材
发电
铁路配餐及服务
离线式UPS
特种纺织品
冷运及医药业务
国内区域
煤机
安装工程
生活小家电
酱油类
电视机主板及机顶盒
自主产品-免疫规划疫苗
片式电子元件
网络设备制造
缝制及针纺设备电控
新能源及轨道交通产品
车载部件系列
存放中央银行款项利息收入
省内市场
颜料
国债逆回购
垃圾清运
人造板制造
锯切加工服务
标准机
空心导轨
制动盘
无锡栖园
交通运输业务
PE管道产品
共享出行业务收入
销售电力相关设备
海洋核动力
化学制品
电化学设备
房地产开发分部
计算机、通信和其他电子设备制造业-CNC金属精密结构件
热管理复合材料
生态环保
甲醇-自产
彩印包装装潢
"污水处理劳务,药剂"
定制类电源
有机硅胶
机械制造行业
动物保健品
汽车零配件制造业
气压制动系统
嵌入式实时信息处理业务
精密件
装备制造产业
铜加工行业
工业缝纫机
土木工程建筑业
工业涤纶长丝
车身件
轮胎业务-大陆及中国香港天成
平台收入
光纤
床垫
ACR抗冲改性剂
物流服务行业
公路养护决策咨询收入
神府矿区
智能终端
医疗健康服务
行业应用解决方案
两广地区
西藏区外
防水工程施工
装饰业务
有色金属采选冶炼及销售
公司自行车租赁业务
铜加工产品
雷达信号处理
生态景观
海工平台及船用机械
玩具自产业务
有色聚酯纤维
海工平台大型铸锻件
鱼糜制品
房地产经营业务
汽车
瓦楞原纸
软件及信息技术
定制软件
工业园区及工业污水处理
EVA环保改性材料及制品
机电产品及其他
驾驶培训
传统媒介代理
医疗器械诊断试剂
己二酸及中间品
汽车保养服务
代理产品收入
贸易商
日化业务
备件及其他
江浙
前期咨询、规划
干式变压器
货滚运输
摩擦及粉末冶金产品
平庆地区
养老服务
串制品
钢结构工程
水饺
烤箱
纺织机械
网站建设
办公用纸
境内其他地区
产品制造销售
水务运营管理
智能防火视频分析系统
装配式建筑项目
黑龙江省
北部区域
租赁及特许权收入
紧固件产品及其它
综合类机械
维护
光纤预制棒及光纤分部
广东省内其它地区
毛坯制造
项目管理
河北分部
大数据运营产品
服装销售
结合齿类
东北地区:黑龙江、吉林、辽宁
考试阅卷及测评
中药内科
试剂及其他耗材
不锈钢真空器皿
印刷包装业务
LKJ系统
电池
工程技术业务板块
销售交易业务
内燃机零部件
军事通信及配套业务
建材行业(自产品销售)
焊剂及其他
通用设备制造业-立式泵系列
大气污染减排
磁性材料制造
人体工学大屏支架
和源名邸
交易所业务
土建监理
高氯酸钾
配套产品天然气气门
中国香港及中国澳门
轮胎销售业务
专利专有设备及通用设备销售
信息服务类
其他主营业务收入
数据保护
成都北辰香麓
快运服务收入
浸渍纸
固体激光产品系列
办公工业设备板
云安全产品
娱乐
松小径
塑料品及模具
空调产品
家电业态
家居玻璃
广陵新城项目
特种车辆
港澳台地区
外购电
软泡匀泡剂
检测行业
电子信息
数字指挥调度系统
按摩椅椅身
农机设备
旅游客运行业
粘胶系列
线性驱动产品
商业零售收入
电子部品
红外光学、光纤材料
高档酒
亚洲(不含中国大陆和中国香港)
智能机器视觉检测设备
液化气系列
小容量注射液
品牌服装西北
商品
面膜系列
警务终端及警务信息化应用
产业发展服务
制动和传动系统
环保装备业务
保险行业
直梯
矿业行业
家居装饰用纸
冶金(钢铁)
车辆电气装备
转口业务
云锦-织锦
平台间关联交易
银金属
金融行业
医药及食品
聚丙烯
灰板纸
工艺美术品
电力工程服务
成都分部
玻璃杯
其他品种
其他地区
物流业务
房地产业务
有色金属行业
服饰制造及其他
配件修理
螺杆机
商贸
铁路运输业务分部
总部及其他营运板块
采购商品
奶制品
品牌授权及实景娱乐
建筑安装
风力发电+光伏分部
运维及服务
锗材料级产品
门窗业务
港口服务
围护系统产品
非油品
金融科技与医疗科技
原油加工及石油制品
大容量注射剂
小家电类
效果营销
新材料制造业
绿篱修剪机
车用养护品
致冷剂
速运物流及供应链
手续费及佣金收入:交易手续费净收入
纯碱业务
拆出资金利息收入
环保设备制造
无锡栖庭
天线
信用业务
塑料行业
燃气
智慧农水项目建设
信息技术服务
投资咨询业务
机械及配件制造业
货物贸易
智能检测装备
输配电及控制设备制造
内销(汽车后市场业务)
影视放映
卫浴产品
成套装置
汽车电子及服务
生物识别
多晶硅片、电池片、太阳能光伏组件
涡轮壳和中间壳
投资国债逆回购
进口运输
重型装备板块
除草剂
建材销售
游戏相关其他业务
汽车后市场业务
小乐器
华西区域
其他机械
医药生产-止痛类
金融业务投资收益
钩型普通型换向器
自营出口
工业料液分离
醋酐
温热物料振动筛
直接出口
电主轴
液晶显示模组
中水及其他
影视娱乐制作及营销
石河子地区
钢铁业
金属制品业(钢结构)
多元醇
批发代理
氢氧化钾(折百)
钢芯铝绞线系列
空调扁管
环境净化系列
光电器件及应用
条装拉链
电机及电操
平台
工程分包
柴油动力
境外经营分部
无线网络与小基站
注塑产品
系统建设
昌樟高速公路
有机胺
四氧化三钴
教育医疗
龙湖国际项目
专用无线通信终端产品
光伏收入
薄膜
加工补偿销售
校内内容及服务
烟草
北京金自天正分部
直流电源系统
维修工程
行政执法部门
转炉成套设备
兑换业务
中国福建省内
电镀产品
宽带网络终端设备
注射用泮托拉唑钠
辅料
注射用复方二氯醋酸二异丙胺
时效
环摬监测仪器与系统
黑白
工程设计及施工
槽型全塑型换向器
北方区
电子制造及互联网服务
其他胶印油墨
其他玩具
房地产业务分部
石油和天然气开采业
宠物用品
封装基板
互联网业务
商品零售业
智慧营销服务
金融电子及服务行业
海产品
变压吸附及相关工程服务及催化剂业务
玻化砖-抛光砖
茅台酒
教科文
钢琴配件
架空绝缘电缆等系列
自产其他产品
其他药品
融资租赁业务
秋刀鱼
角形硅微粉
内销--国内销售
物流辅助服务
合质金
资金运营业务
龙门吊
智慧能源信息化
黑龙江省外地区
香料香精
工程施工行业分部
水刺非织造材料
锦纶坯布
塑料油箱
酒精
特种纤维复合材料
核心精密仪器和高端装备制造业务板块
设备制造与租赁
商业物业租赁
勘察设计咨询业务
微波组件
新材料蜡烛及工艺品等
2.3.4.5-四氟苯系列
电源
粉剂
清洁环保设备
临床研究相关咨询服务
公司产品
对外检测
信息安全行业
浓缩料
电力自动化其他产品
航空航天船舶军工电子
长江以南
药品研发服务
中西部区域
加盟代理
汽车零部件及配件制造业
通用设备制造业板块
通讯设备制造业
纺织业务
医疗服务及专业咨询服务
固定电话芯片
废热锅炉
光学防伪膜
设计
米力农注射液
大数据业务
房地产开发业务
洗末煤
旅行服务
软件开发及系统集成收入
电能质量治理装备及其它
滑轨
北方区域
电力、热力、燃气及水生产和供应业
化工产品及其他
国际工程承包
低压电机及驱动
垃圾收转装备
表面技术
终端销售
移动游戏推广
其他(政府、企事业单位)
建筑五金业
住宅销售
打孔无纺布
西北及华中
调节器
余热发电设备成套
游戏产品收入
药品业务
海外销售
油品业务
LNG
分布式能源
婴童服装
药品批发零售
管索
输变电产业
工程塑料合金
宽带移动通信设备
橡胶注射机
指纹识别芯片
信息电子行业
其他互联网广告业务
其他密封胶
控制线缆组件
家装施工
管输费
辐条制造及销售
铝圈
硫磺
太阳能电站EPC与转让
租金、物业、服务收入
色织布
供热
专用设备制造业务
机荷东段
矿用设备制造
小料配料称量系统
纯净水销售
电动汽车电机控制器
新能源汽车及加氢站
铝合金车轮轻量化
石油钻采自动化产品及服务
设备及配件
运行设备维护
发动机及船级曲轴
对公业务
抗肿瘤药物
电力生产
软磁材料
家电复合材料行业
北部地区
加工助剂体系
环保阻燃材料
“惠商+”O2O业务
本部业务报告分部
设备状态管理系统类
环保高性能再生塑料
地方能源供应
纺织
物联网周界安防
高档
服装制造业
石化贸易
北京区域
智能产品
油品、大宗化学品仓储及贸易
重庆区域
钨钼等有色金属
解热镇痛
智能包装设备
水产食品
海安线
国内销售主营业务收入
白介素
东大区
公司银行业务
节能机电工程
采选化工
陇南地区
屠宰行业
贵金属收藏品
(甲基)丙烯酸及酯
智能终端应用处理器芯片
管材销售业务
政法业务
橡胶V带
建材行业
医疗后勤综合服务
冶金级萤石精粉
塑瓶
导航
商品百货
其中:云计算、大数据
智能专用设备
港务管理收入
配售电版块业务
第三方实验室产品业务
另类投资及私募股权投资管理业务
内蒙古电网地区
类金融收入
卡产品
水性密封胶
存储产品
广西省
LED照明产品
铁路轴承行业
PVC制品
附件及其他
旅行社
液体乳及乳制品制造业
汽车零部件板块
精雕机
塑料管材管件
江南地区
贸易-银产品
现代服务业及其他
西北片区
内蒙
代建收入和综合服务费
血糖监测系统
稀土氧化物
高端光通讯收发模块营业收入
饲料业务
风机材料
网络内容安全产品
集装箱
LED照明及其他
设备安装及销售
转向及安全系统
卫生和社会工作
设备产销业务
二氧化碳
境外欧洲
改性聚苯乙烯类
护理产品
冷藏车空调
房地产开发与经营
中部地区
胶东地区
境外电力分部
石油行业
净水器
动力行业
游戏发行及相关业务收入
影视版权运营及服务
除尘设备
军事通信及配套产品
奶酪
天水地区
旅行社服务
公共建筑装饰
广播电视
汽车及轨道交通
代理展
苦参凝胶
饲料行业
发行业务-音像制品
压缩机
机务安防系统
超纤
-3mm矿
电子产品
非汽车贸易
其他国家或地区
清洁制革材料
船舶配电系统
服饰运营
橡塑
供热行业
储运收入
针织衫
农业智能装备
遮阳板
八区
非银行金融机构及其他系统
皖通典当
市政行业(非水市政基础设施、城市光环境)
钢铁行业
新兴成长产业
其他矿产品
客车空调
受托加工物资
淀粉及联产品
境外制造业分部
食用油
上海黄金交易所
湖南区域
船用设备
软件销售收入
信托
包及其他
汽车类塑料件
风电及工业传动产品
检验收入
IT基础设施服务
华中区域
氯化铵
集中式局端设备
VGRASS-外套
机车制造业
南部
磨机
配套设备及配件
物业租售及其他
速运物流及供应链-华南
光通讯器件
管理及研发分部
电子支付产品及信息识读产品
油气
日化材料及特种化学品
机电设备
薄布
出租智能POS机
低压轮
蓝牙音频
其他地区(注3)
传感器
环保工程与环保设备
建筑设计
电脑互联产品及精密组件
南方市场
加工中心
绍兴地区
音视频技术
电气装备用线缆
外贸LNG运输
热塑性弹性体
智能电表
低压集抄系统
冷轧铝板带
其他互联网综合服务
食品销售
医疗器械与医学诊断
交运面料
酒店经营、物业管理收入
其他-贸易
针剂类产品
中间件软件
商业服务
染料
供应链运营业务
前端设备
枇杷止咳胶囊
商贸类
电能质量与电力安全
矿产收入
资产处置收益/(损失)
国内工程收入
塑料助剂
环境综合治理服务
九景高速公路
营养及健康行业
螺纹钢
轨道交通
日用化工
存拆放同业和其他金融机构往来业务利息收入
宁夏
教育业
线切割机改造技术
基础模块
新材料制造
江苏南京
提梁机
版权运营
铝材加工行业
机器人类
国外收入
拖轮及港务管理业务
智能设备
综合百货
软件产品开发与销售
工程机械
涤纶短纤维
车载电源集成产品
锅炉及配套产品
建造工程项目
中国大陆销售
树脂产品
测录井
铝灰收入
银精矿
道路石油沥青
集成电路产品
颗粒及纤维增强电接触功能复合材料及元件
其他国家和中国香港、中国澳门及中国台湾
海外分部
亚洲其他地区
肠胃宁
焦化行业
自动灭火系统
榆神矿区
计算机通信及其他电子设备制造业
影视剧收入
长沙珠江郦城
防静电超净技术产品
中高压断路器操作机构
私募股权投资业务
商用车-仪表板总成
银行金融
其他领域用药
复大医药经销业务-人血白蛋白
金融数据服务
园区建设
园林绿化
聚甲醛
西藏地区
物料搬运装备(即起重装备)
旅客、货运运输
压电石英晶体元器件
海南省
全过程咨询
其他行业
罗宁高速
网络安全
净化工程及设备
安全网关
煤炭行业
玻璃
工业导爆索
动力设备
陕甘宁区域
电子管
国内其他
大宗化学品
护肤品
飞机制造业(航电)
消费性电子
液晶显示屏及模组
粉末冶金
园林、市政工程建设
发酵乳
新能源汽车(动力总成)
印染助剂及染料
封装、锂电、控制器等非摩托车制造业
有色金属贸易
华东销售大区
贵金属再生资源材料
行业信息化解决方案
中国华北
云南
城市燃气行业
铜箔产品
闽东地区
光学膜材料
整体厨柜
硝基复合肥
陆上风电装备-内销
其他业务构成
外销管片
化学制剂
卫生巾等家庭卫生用品
西洋参口服液
福隆园项目
起重机
电力热力收入产品
电机系列
热交换器
太阳能光伏发电
成套设备出口和工程承包
西南区域
银行印章管理系统
非经营经营分部
层门装置
化肥板块
智能工程
D类
海外安保
真空电镀轮
川菜调味品
垃圾焚烧发电
户外及取暖用品
毛精纺纱线
餐厨垃圾处置
减震元件
O2O兑换服务
麻醉及肌松用药
数字艺术科技
其他销售
城市水环境
企事业
机械
智能刹车系统
非金属矿物制品
园林机械行业
教育服务业
电子信息零组件
汽车燃气设备改装等
华北销售大区
投资(损失)/收益
速冻肉制品
智能装备及工装
垃圾发电
新疆喀什地区
康复医疗
智能自助类终端设备
原料药和中间体
蜂窝陶瓷载体
西南地区(四川、重庆、云南、贵州、西藏)
电力造价软件
信号适配器
冷轧卷/板
中南片区
代理及其他
佛山管道燃气销售
投资与资产管理业务
园林绿化业务
影视相关其他业务
汽车零部件(冷却系统)
爆破工程
玻璃产品
红金消结片
医药制造业
身份证服务终端产品及软件
通信板块华东
健康体检
境外公网行业
厨柜
物业租赁及服务
大陆
金属贸易产品
铸造产业
公装施工
境外及其他
会员费
软件销售及维护
塑料载带
监测设备
玉米
铝型材
肠外营养系
尿素-自产
板块间抵销
测绘及信息系统工程
贸易境内市场
电子元器件产品
LED及其显示器件
处方药类
低压电气成套设备
超市自营
饲料加工
4G技术行业应用
胶囊类产品
微电子
无线网络
医学检测服务
全球移动大数据流量分发
其他(含出口)
非定制产品
增长服务
汽轮涂装轮
中原大区
互联网信息及其他服务
妇产科领域用药
交通自动化系统
通信电缆和光缆
32烧碱
计算机软件及信息系统集成
电力行业
顺酐化工类
备件修理培训
龙掌口含液
弹性体原液
PVC管材管件
服装(贸易)
IT工具
利息收入:买入返售金融资产
疆内
灵芝孢子粉类产品
温泉业务
通用磨床
支护设备租赁
版权衍生服务
国外(境外)
修船及相关业务分部
游戏运营及推广
豆干产品
旅游行业
勘测设计与咨询服务
环保类
汽车业务
货代服务
建筑重钢结构
零售服务类
营销托管
家电厨卫
工业雷管
国内市场
勘察设计安装
啤酒酿造设备及其他业务分部
血液制品
超纤绒面革
机动车检测设备及系统
非金属采选
品牌服装西南
低压电器检测
手机维修
基础物流
仓储物流设备制造业
工业电源
永盛苑
硫酸钡
油气工程及服务
物流及其他
外套类
