股票代码,pid,持有数量,占总股比例,质押占其直接持股比例,股份类型,十大股东排名,日期
002593,31431,2137.50万,3.05%,-,"受限流通股,流通A股",3,2019-09-30
002593,62691,1499.07万,2.14%,-,流通A股,4,2019-09-30
002593,62692,373.51万,0.53%,-,流通A股,6,2019-09-30
002593,62693,371.85万,0.53%,-,流通A股,7,2019-09-30
002593,62694,305.77万,0.44%,-,流通A股,8,2019-09-30
002593,62695,281.59万,0.40%,-,流通A股,9,2019-09-30
002594,879,5.14亿,18.83%,无质押,"受限流通股,流通A股",2,2019-09-30
002594,51638,2.39亿,8.77%,63.34%,"受限流通股,流通A股",3,2019-09-30
002594,34239,1.01亿,3.72%,22.71%,"受限流通股,流通A股",6,2019-09-30
002595,45546,2.40亿,30.06%,无质押,"受限流通股,流通A股",1,2019-09-30
002595,62696,750.00万,0.94%,无质押,流通A股,10,2019-09-30
002595,9602,1.08亿,13.48%,无质押,"受限流通股,流通A股",2,2019-09-30
002595,62697,5379.75万,6.72%,无质押,流通A股,3,2019-09-30
002595,62698,3882.65万,4.85%,54.09%,流通A股,4,2019-09-30
002595,62699,3231.12万,4.04%,15.47%,流通A股,5,2019-09-30
002596,49221,1.51亿,13.05%,98.84%,"受限流通股,流通A股",1,2019-09-30
002596,62700,1193.77万,1.03%,无质押,受限流通股,10,2019-09-30
002596,62701,1.30亿,11.22%,84.56%,流通A股,2,2019-09-30
002596,62702,6474.00万,5.61%,100.00%,流通A股,4,2019-09-30
002596,62703,3695.36万,3.20%,无质押,"受限流通股,流通A股",5,2019-09-30
002596,62704,3581.31万,3.10%,69.81%,受限流通股,6,2019-09-30
002596,62705,3523.89万,3.05%,无质押,"受限流通股,流通A股",7,2019-09-30
002596,62706,2681.82万,2.32%,无质押,流通A股,8,2019-09-30
002596,62707,2392.82万,2.07%,99.78%,"受限流通股,流通A股",9,2019-09-30
002597,62708,381.61万,0.68%,无质押,受限流通股,10,2019-09-30
002597,62709,2195.85万,3.93%,无质押,流通A股,2,2019-09-30
002598,52513,3401.38万,10.90%,34.10%,"流通A股,受限流通股",2,2019-12-10
002599,5432,1.33亿,24.21%,66.87%,"受限流通股,流通A股",1,2019-11-22
002599,50013,6812.40万,12.42%,79.96%,"受限流通股,流通A股",2,2019-11-22
002601,44218,4.17亿,20.50%,80.37%,"受限流通股,流通A股",1,2019-11-13
002601,62710,2.76亿,13.59%,无质押,流通A股,2,2019-11-13
002601,10146,2.48亿,12.22%,100.00%,"受限流通股,流通A股",3,2019-11-13
002601,62711,1.27亿,6.24%,无质押,流通A股,4,2019-11-13
002602,41258,4.88亿,8.19%,98.82%,"受限流通股,流通A股",2,2019-09-30
002602,41712,4.07亿,6.84%,100.00%,"受限流通股,流通A股",3,2019-09-30
002603,6922,2.48亿,20.59%,31.36%,"受限流通股,流通A股",2,2019-09-30
002603,62712,6896.62万,5.72%,无质押,流通A股,3,2019-09-30
002603,39642,2792.57万,2.31%,24.85%,"受限流通股,流通A股",4,2019-09-30
002603,62713,802.00万,0.66%,无质押,流通A股,8,2019-09-30
002603,62714,721.43万,0.60%,无质押,流通A股,9,2019-09-30
002605,19440,7050.23万,17.65%,51.06%,"流通A股,受限流通股",1,2019-09-30
002605,62715,744.38万,1.86%,无质押,流通A股,10,2019-09-30
002605,62716,6205.23万,15.54%,72.65%,流通A股,2,2019-09-30
002605,62717,3972.82万,9.95%,51.60%,"受限流通股,流通A股",3,2019-09-30
002605,8439,3405.23万,8.53%,无质押,"受限流通股,流通A股",4,2019-09-30
002605,35534,2075.23万,5.20%,52.04%,"受限流通股,流通A股",5,2019-09-30
002605,62718,1764.71万,4.42%,无质押,"受限流通股,流通A股",6,2019-09-30
002605,62719,1011.64万,2.53%,无质押,"受限流通股,流通A股",8,2019-09-30
002605,62720,905.89万,2.27%,无质押,流通A股,9,2019-09-30
002606,62721,123.49万,0.30%,无质押,流通A股,10,2019-09-30
002606,62722,3262.38万,8.01%,无质押,流通A股,2,2019-09-30
002606,62723,1526.63万,3.75%,无质押,流通A股,3,2019-09-30
002606,62724,264.94万,0.65%,无质押,流通A股,5,2019-09-30
002606,62725,175.33万,0.43%,无质押,流通A股,6,2019-09-30
002606,62726,172.77万,0.42%,无质押,流通A股,7,2019-09-30
002606,62727,161.13万,0.40%,无质押,流通A股,8,2019-09-30
002606,62728,146.79万,0.36%,无质押,流通A股,9,2019-09-30
002607,62729,25.51亿,41.36%,15.68%,受限流通股,1,2019-09-30
002607,62730,4818.53万,0.78%,无质押,流通A股,10,2019-09-30
002607,15033,11.31亿,18.35%,69.19%,"受限流通股,流通A股",2,2019-09-30
002607,43001,9.62亿,15.61%,8.17%,受限流通股,3,2019-09-30
002607,62731,7884.86万,1.28%,57.07%,流通A股,8,2019-09-30
002607,62732,7227.79万,1.17%,18.54%,流通A股,9,2019-09-30
002609,1025,1.80亿,27.94%,37.64%,"受限流通股,流通A股",1,2019-11-08
002609,36512,8557.73万,13.25%,14.34%,受限流通股,2,2019-11-08
002611,52889,2.71亿,14.72%,67.67%,"受限流通股,流通A股",1,2019-09-30
002611,62733,1.36亿,7.39%,无质押,流通A股,3,2019-09-30
002611,62734,4524.81万,2.46%,无质押,流通A股,7,2019-09-30
002612,6986,2.12亿,48.63%,68.33%,"流通A股,受限流通股",1,2019-09-30
002612,38710,2988.91万,6.87%,无质押,"流通A股,受限流通股",2,2019-09-30
002612,62735,1987.69万,4.57%,无质押,流通A股,3,2019-09-30
002612,62736,875.20万,2.01%,66.73%,流通A股,6,2019-09-30
002613,45637,5.08亿,54.23%,无质押,"受限流通股,流通A股",1,2019-09-30
002613,62737,332.78万,0.36%,无质押,流通A股,10,2019-09-30
002613,62738,4508.20万,4.81%,无质押,流通A股,2,2019-09-30
002613,62739,3346.22万,3.57%,无质押,受限流通股,3,2019-09-30
002613,62740,706.53万,0.75%,无质押,受限流通股,4,2019-09-30
002613,62741,569.00万,0.61%,无质押,流通A股,5,2019-09-30
002613,62742,440.00万,0.47%,无质押,流通A股,6,2019-09-30
002613,62743,404.08万,0.43%,无质押,流通A股,7,2019-09-30
002613,62744,386.83万,0.41%,无质押,流通A股,8,2019-09-30
002613,62745,358.51万,0.38%,69.73%,流通A股,9,2019-09-30
002614,33411,1.56亿,27.73%,28.26%,"受限流通股,流通A股",1,2019-09-30
002614,10123,1.41亿,25.03%,51.43%,"受限流通股,流通A股",2,2019-09-30
002614,62746,1860.90万,3.31%,99.95%,流通A股,3,2019-09-30
002614,62747,442.75万,0.79%,无质押,"受限流通股,流通A股",9,2019-09-30
002615,7406,2.11亿,51.51%,79.84%,"受限流通股,流通A股",1,2019-09-30
002615,16218,2077.65万,5.06%,无质押,"受限流通股,流通A股",2,2019-09-30
002615,26931,1384.38万,3.37%,无质押,"受限流通股,流通A股",3,2019-09-30
002615,62748,692.55万,1.69%,无质押,流通A股,4,2019-09-30
002615,62749,575.10万,1.40%,无质押,流通A股,5,2019-09-30
002615,62750,376.81万,0.92%,无质押,流通A股,8,2019-09-30
002615,62751,294.03万,0.72%,无质押,流通A股,9,2019-09-30
002616,38173,1.91亿,25.77%,26.15%,"受限流通股,流通A股",1,2019-09-30
002616,62752,444.00万,0.60%,无质押,流通A股,10,2019-09-30
002616,30439,1.71亿,23.06%,无质押,"受限流通股,流通A股",2,2019-09-30
002616,62753,2388.86万,3.22%,无质押,流通A股,4,2019-09-30
002616,40414,1392.00万,1.88%,24.07%,"受限流通股,流通A股",5,2019-09-30
002616,62754,1186.12万,1.60%,无质押,流通A股,6,2019-09-30
002616,62755,800.00万,1.08%,无质押,流通A股,8,2019-09-30
002616,62756,789.00万,1.06%,无质押,流通A股,9,2019-09-30
002617,62757,2475.84万,1.64%,无质押,"受限流通股,流通A股",10,2019-09-30
002617,62758,6120.00万,4.05%,99.67%,流通A股,6,2019-09-30
002617,44950,4576.34万,3.03%,99.99%,"受限流通股,流通A股",8,2019-09-30
002619,62759,5573.09万,3.02%,92.23%,流通A股,8,2019-09-30
002620,424,7630.59万,20.15%,17.04%,"受限流通股,流通A股",1,2019-09-30
002620,30289,130.00万,0.34%,无质押,受限流通股,10,2019-09-30
002620,62760,1250.00万,3.30%,99.99%,流通A股,4,2019-09-30
002620,62761,625.00万,1.65%,无质押,流通A股,5,2019-09-30
002620,62762,407.56万,1.08%,无质押,流通A股,6,2019-09-30
002620,23529,204.56万,0.54%,无质押,"受限流通股,流通A股",8,2019-09-30
002620,62763,162.28万,0.43%,无质押,流通A股,9,2019-09-30
002621,62764,986.67万,1.67%,-,流通A股,10,2019-09-30
002621,62765,8119.13万,13.74%,-,流通A股,2,2019-09-30
002621,62766,3247.08万,5.50%,-,流通A股,3,2019-09-30
002621,62767,2265.78万,3.83%,-,"受限流通股,流通A股",4,2019-09-30
002621,62768,2108.07万,3.57%,-,流通A股,5,2019-09-30
002621,62769,1297.40万,2.20%,-,流通A股,7,2019-09-30
002621,62770,1004.68万,1.70%,-,流通A股,8,2019-09-30
002621,62771,999.27万,1.69%,-,流通A股,9,2019-09-30
002622,62772,517.08万,0.62%,无质押,流通A股,10,2019-09-30
002622,62773,1426.63万,1.70%,无质押,流通A股,3,2019-09-30
002622,62774,777.43万,0.93%,无质押,流通A股,5,2019-09-30
002622,62775,585.28万,0.70%,无质押,流通A股,6,2019-09-30
002622,62776,528.61万,0.63%,无质押,流通A股,7,2019-09-30
002622,62777,520.28万,0.62%,无质押,流通A股,8,2019-09-30
002622,62778,517.28万,0.62%,无质押,流通A股,9,2019-09-30
002623,62779,55.00万,0.34%,无质押,流通A股,10,2019-09-30
002623,62780,1044.90万,6.53%,无质押,流通A股,2,2019-09-30
002623,62781,145.50万,0.91%,无质押,流通A股,5,2019-09-30
002623,62782,110.16万,0.69%,无质押,流通A股,6,2019-09-30
002623,62783,105.88万,0.66%,无质押,流通A股,7,2019-09-30
002623,62784,60.90万,0.38%,无质押,流通A股,8,2019-09-30
002623,20120,56.85万,0.36%,无质押,"受限流通股,流通A股",9,2019-09-30
002624,28322,1.33亿,10.25%,60.37%,流通A股,3,2019-11-29
002625,62785,9320.54万,4.33%,无质押,流通A股,5,2019-09-30
002625,62786,7369.73万,3.42%,无质押,流通A股,7,2019-09-30
002626,62787,1361.74万,2.21%,无质押,流通A股,5,2019-09-30
002626,62788,592.00万,0.96%,无质押,流通A股,7,2019-09-30
002626,62789,330.30万,0.54%,无质押,流通A股,9,2019-09-30
002627,62790,632.87万,1.89%,-,受限流通股,9,2019-09-30
002628,62791,7324.07万,9.63%,40.22%,流通A股,2,2019-11-29
002629,62792,180.41万,0.44%,无质押,流通A股,10,2019-09-30
002629,62793,650.00万,1.58%,无质押,流通A股,2,2019-09-30
002629,62794,370.00万,0.90%,无质押,流通A股,3,2019-09-30
002629,62795,330.03万,0.80%,无质押,流通A股,4,2019-09-30
002629,62796,295.08万,0.72%,无质押,流通A股,5,2019-09-30
002629,62797,277.54万,0.67%,无质押,流通A股,6,2019-09-30
002629,62798,264.50万,0.64%,无质押,流通A股,7,2019-09-30
002629,62799,200.00万,0.49%,无质押,流通A股,8,2019-09-30
002629,62800,183.00万,0.44%,无质押,流通A股,9,2019-09-30
002630,26022,2.72亿,23.05%,79.42%,"受限流通股,流通A股",1,2019-09-30
002630,62801,267.83万,0.23%,无质押,流通A股,10,2019-09-30
002630,62802,868.75万,0.74%,无质押,流通A股,4,2019-09-30
002630,62803,473.98万,0.40%,无质押,流通A股,5,2019-09-30
002630,62804,400.29万,0.34%,无质押,流通A股,6,2019-09-30
002630,24785,394.13万,0.33%,无质押,"受限流通股,流通A股",7,2019-09-30
002630,62805,352.90万,0.30%,无质押,流通A股,8,2019-09-30
002630,62806,293.00万,0.25%,无质押,流通A股,9,2019-09-30
002631,11773,141.98万,0.21%,无质押,"受限流通股,流通A股",10,2019-09-30
002631,62807,6161.62万,9.21%,19.48%,流通A股,2,2019-09-30
002631,62808,522.20万,0.78%,无质押,"受限流通股,流通A股",3,2019-09-30
002631,62809,402.25万,0.60%,无质押,流通A股,4,2019-09-30
002631,62810,294.33万,0.44%,无质押,"受限流通股,流通A股",5,2019-09-30
002631,5987,274.50万,0.41%,无质押,"受限流通股,流通A股",6,2019-09-30
002631,62811,170.00万,0.25%,无质押,流通A股,7,2019-09-30
002631,1571,167.60万,0.25%,无质押,"受限流通股,流通A股",8,2019-09-30
002631,62812,158.73万,0.24%,无质押,流通A股,9,2019-09-30
002632,62813,790.00万,1.26%,无质押,流通A股,10,2019-09-30
002632,62814,2950.80万,4.72%,无质押,流通A股,2,2019-09-30
002632,4178,2419.17万,3.87%,60.23%,"流通A股,受限流通股",3,2019-09-30
002632,47502,2367.17万,3.79%,无质押,"流通A股,受限流通股",4,2019-09-30
002632,62815,1237.55万,1.98%,无质押,流通A股,5,2019-09-30
002632,62816,1127.88万,1.81%,无质押,流通A股,6,2019-09-30
002632,62817,1120.00万,1.79%,无质押,流通A股,7,2019-09-30
002632,62818,983.00万,1.57%,无质押,流通A股,9,2019-09-30
002633,62819,4218.75万,28.12%,100.00%,流通A股,1,2019-09-30
002633,62820,80.70万,0.54%,无质押,流通A股,10,2019-09-30
002633,62821,1974.38万,13.16%,100.00%,流通A股,3,2019-09-30
002633,62822,150.27万,1.00%,无质押,流通A股,5,2019-09-30
002633,62823,115.20万,0.77%,无质押,流通A股,6,2019-09-30
002633,62824,82.99万,0.55%,无质押,流通A股,8,2019-09-30
002633,62825,81.36万,0.54%,无质押,流通A股,9,2019-09-30
002634,32048,1.30亿,28.22%,-,"受限流通股,流通A股",1,2019-12-02
002634,10929,4044.67万,8.81%,-,"受限流通股,流通A股",3,2019-12-02
002635,24761,2.04亿,29.61%,无质押,"受限流通股,流通A股",1,2019-09-30
002635,15617,1.47亿,21.31%,无质押,"受限流通股,流通A股",2,2019-09-30
002635,62826,1845.18万,2.68%,36.91%,受限流通股,3,2019-09-30
002635,62827,1722.82万,2.50%,48.29%,受限流通股,4,2019-09-30
002635,62828,1096.34万,1.59%,无质押,受限流通股,5,2019-09-30
002635,62829,726.82万,1.05%,无质押,受限流通股,6,2019-09-30
002635,62830,726.82万,1.05%,99.56%,受限流通股,7,2019-09-30
002636,62831,90.93万,0.12%,-,流通A股,10,2019-09-30
002636,21161,652.37万,0.90%,-,"受限流通股,流通A股",5,2019-09-30
002636,62832,374.01万,0.51%,-,流通A股,6,2019-09-30
002636,62833,94.42万,0.13%,-,流通A股,9,2019-09-30
002637,50209,2880.18万,6.80%,79.29%,"受限流通股,流通A股",3,2019-10-17
002637,62834,2280.00万,5.38%,100.00%,流通A股,4,2019-10-17
002638,62835,1763.67万,1.16%,无质押,"受限流通股,流通A股",10,2019-09-30
002638,62836,8818.34万,5.81%,100.00%,受限流通股,3,2019-09-30
002638,62837,8208.11万,5.40%,无质押,受限流通股,4,2019-09-30
002638,62838,7054.67万,4.65%,100.00%,受限流通股,5,2019-09-30
002638,62839,6349.21万,4.18%,100.00%,受限流通股,6,2019-09-30
002638,62840,1900.95万,1.25%,100.00%,受限流通股,8,2019-09-30
002639,34562,1.80亿,26.75%,61.28%,"受限流通股,流通A股",1,2019-09-30
002639,62841,1208.69万,1.79%,87.75%,流通A股,2,2019-09-30
002639,62842,1151.84万,1.71%,91.24%,流通A股,3,2019-09-30
002639,62843,1098.00万,1.63%,6.44%,流通A股,4,2019-09-30
002639,62844,900.00万,1.34%,无质押,流通A股,5,2019-09-30
002639,62845,591.00万,0.88%,无质押,流通A股,7,2019-09-30
002639,14650,480.00万,0.71%,无质押,"受限流通股,流通A股",8,2019-09-30
002640,964,2.37亿,15.22%,90.48%,"受限流通股,流通A股",1,2019-12-11
002640,8307,2.13亿,13.69%,98.42%,"受限流通股,流通A股",2,2019-12-11
002641,2636,1.68亿,15.00%,无质押,"受限流通股,流通A股",2,2019-09-30
002641,21117,1.04亿,9.27%,39.45%,"受限流通股,流通A股",3,2019-09-30
002641,62846,3041.00万,2.71%,无质押,流通A股,4,2019-09-30
002641,12505,1962.91万,1.75%,无质押,流通A股,5,2019-09-30
002641,62847,1759.49万,1.57%,无质押,流通A股,6,2019-09-30
002641,15037,1123.21万,1.00%,无质押,"受限流通股,流通A股",7,2019-09-30
002641,62848,900.00万,0.80%,无质押,流通A股,9,2019-09-30
002642,26328,1.14亿,17.26%,99.20%,流通A股,1,2019-11-11
002642,62849,6972.90万,10.54%,34.42%,流通A股,2,2019-11-11
002645,20674,3997.97万,8.64%,18.76%,"受限流通股,流通A股",2,2019-09-30
002645,15848,2016.85万,4.36%,无质押,"受限流通股,流通A股",3,2019-09-30
002645,30661,1355.24万,2.93%,无质押,"受限流通股,流通A股",4,2019-09-30
002645,53588,775.71万,1.68%,无质押,"受限流通股,流通A股",5,2019-09-30
002645,62850,775.71万,1.68%,无质押,流通A股,6,2019-09-30
002645,12603,775.71万,1.68%,无质押,"受限流通股,流通A股",7,2019-09-30
002645,62851,775.71万,1.68%,无质押,流通A股,8,2019-09-30
002645,62852,698.05万,1.51%,无质押,流通A股,9,2019-09-30
002647,62853,4063.78万,7.26%,80.76%,流通A股,3,2019-09-30
002647,62854,3287.76万,5.87%,38.78%,流通A股,4,2019-09-30
002647,62855,721.95万,1.29%,无质押,流通A股,8,2019-09-30
002647,62856,718.77万,1.28%,无质押,流通A股,9,2019-09-30
002648,62857,756.25万,0.71%,无质押,流通A股,9,2019-09-30
002649,43189,5208.18万,9.92%,45.02%,"受限流通股,流通A股",1,2019-12-06
002649,2340,4015.92万,7.65%,19.83%,"受限流通股,流通A股",2,2019-12-06
002649,62858,3586.10万,6.83%,无质押,"受限流通股,流通A股",3,2019-12-06
002650,43699,1.18亿,10.22%,99.20%,"流通A股,受限流通股",2,2019-09-30
002650,62859,8244.00万,7.16%,100.00%,"流通A股,受限流通股",3,2019-09-30
002650,62860,7056.00万,6.13%,100.00%,"流通A股,受限流通股",4,2019-09-30
002650,62861,900.00万,0.78%,无质押,流通A股,5,2019-09-30
002650,62862,689.59万,0.60%,无质押,流通A股,6,2019-09-30
002650,62863,630.00万,0.55%,无质押,流通A股,7,2019-09-30
002650,62864,577.60万,0.50%,无质押,流通A股,8,2019-09-30
002650,62865,475.02万,0.41%,无质押,流通A股,9,2019-09-30
002651,26869,3.52亿,34.60%,无质押,"受限流通股,流通A股",1,2019-09-30
002651,62866,240.00万,0.24%,无质押,流通A股,10,2019-09-30
002651,15929,2.90亿,28.48%,无质押,"受限流通股,流通A股",2,2019-09-30
002651,62867,1.35亿,13.29%,99.78%,流通A股,3,2019-09-30
002651,62868,750.00万,0.74%,无质押,"受限流通股,流通A股",5,2019-09-30
002651,62869,600.00万,0.59%,无质押,"受限流通股,流通A股",6,2019-09-30
002651,62870,546.48万,0.54%,无质押,流通A股,7,2019-09-30
002651,62871,253.54万,0.25%,无质押,流通A股,8,2019-09-30
002651,62872,246.93万,0.24%,无质押,流通A股,9,2019-09-30
002652,62873,130.89万,0.26%,无质押,流通A股,10,2019-09-30
002652,39259,8396.03万,16.40%,97.19%,"受限流通股,流通A股",2,2019-09-30
002652,62874,2496.00万,4.87%,无质押,流通A股,4,2019-09-30
002652,62875,235.44万,0.46%,无质押,流通A股,7,2019-09-30
002652,62876,174.36万,0.34%,无质押,流通A股,8,2019-09-30
002652,62877,147.66万,0.29%,无质押,流通A股,9,2019-09-30
002653,13745,4.00亿,36.85%,38.78%,"受限流通股,流通A股",1,2019-09-30
002653,27996,2.23亿,20.61%,40.96%,"受限流通股,流通A股",2,2019-09-30
002653,42903,1.71亿,15.76%,23.41%,"受限流通股,流通A股",3,2019-09-30
002653,62878,6499.70万,5.99%,无质押,流通A股,4,2019-09-30
002653,62879,4244.23万,3.91%,无质押,流通A股,5,2019-09-30
002653,62880,853.80万,0.79%,无质押,流通A股,7,2019-09-30
002654,62881,1396.68万,1.55%,100.00%,流通A股,10,2019-09-30
002654,20939,1.04亿,11.54%,无质押,受限流通股,2,2019-09-30
002654,62882,3655.52万,4.06%,62.22%,受限流通股,3,2019-09-30
002654,62883,3305.46万,3.67%,100.00%,受限流通股,4,2019-09-30
002654,62884,1491.42万,1.66%,无质押,流通A股,9,2019-09-30
002655,62885,1400.00万,3.89%,无质押,流通A股,3,2019-09-30
002655,62886,405.00万,1.13%,无质押,流通A股,6,2019-09-30
002655,62887,396.50万,1.10%,无质押,流通A股,7,2019-09-30
002655,62888,395.00万,1.10%,无质押,流通A股,8,2019-09-30
002656,62889,6638.96万,9.32%,-,受限流通股,2,2019-10-18
002657,53791,5039.29万,14.93%,78.30%,"受限流通股,流通A股",1,2019-09-30
002657,62890,1215.75万,3.60%,无质押,受限流通股,2,2019-09-30
002657,62891,656.64万,1.95%,无质押,流通A股,5,2019-09-30
002657,62892,630.97万,1.87%,无质押,流通A股,6,2019-09-30
002657,62893,540.87万,1.60%,无质押,流通A股,8,2019-09-30
002657,43647,326.45万,0.97%,无质押,"受限流通股,流通A股",9,2019-09-30
002658,30174,3.80亿,62.86%,14.46%,"受限流通股,流通A股",1,2019-09-30
002658,12848,212.59万,0.35%,无质押,"受限流通股,流通A股",10,2019-09-30
002658,36661,780.00万,1.29%,33.33%,"受限流通股,流通A股",2,2019-09-30
002658,28752,747.49万,1.24%,无质押,"受限流通股,流通A股",3,2019-09-30
002658,62894,393.90万,0.65%,无质押,流通A股,6,2019-09-30
002658,62895,390.00万,0.64%,无质押,流通A股,7,2019-09-30
002658,62896,270.00万,0.45%,无质押,流通A股,8,2019-09-30
002659,62897,1071.81万,2.15%,无质押,流通A股,4,2019-09-30
002660,34324,8404.75万,30.64%,99.94%,"受限流通股,流通A股",1,2019-09-30
002660,62898,110.09万,0.40%,无质押,流通A股,10,2019-09-30
002660,62899,615.98万,2.25%,95.62%,"受限流通股,流通A股",3,2019-09-30
002660,62900,600.34万,2.19%,99.98%,流通A股,4,2019-09-30
002660,62901,280.01万,1.02%,无质押,流通A股,5,2019-09-30
002660,62902,264.52万,0.96%,无质押,流通A股,6,2019-09-30
002660,62903,191.85万,0.70%,无质押,流通A股,7,2019-09-30
002660,62904,160.76万,0.59%,无质押,流通A股,9,2019-09-30
002661,62905,441.55万,1.34%,无质押,流通A股,7,2019-09-30
002663,31109,4.11亿,22.87%,无质押,"受限流通股,流通A股",1,2019-09-30
002663,62906,2095.09万,1.17%,98.70%,流通A股,10,2019-09-30
002663,54183,2.11亿,11.77%,无质押,"受限流通股,流通A股",2,2019-09-30
002663,62907,3300.00万,1.84%,无质押,流通A股,3,2019-09-30
002663,62908,2324.51万,1.29%,无质押,"受限流通股,流通A股",8,2019-09-30
002663,62909,2233.36万,1.24%,无质押,"受限流通股,流通A股",9,2019-09-30
002664,62910,5280.48万,13.20%,无质押,"流通A股,受限流通股",2,2019-09-30
002664,62911,3975.00万,9.94%,无质押,流通A股,3,2019-09-30
002664,62912,1125.00万,2.81%,60.44%,流通A股,4,2019-09-30
002664,9817,1118.66万,2.80%,无质押,"流通A股,受限流通股",5,2019-09-30
002664,62913,500.00万,1.25%,无质押,流通A股,7,2019-09-30
002664,62914,434.01万,1.08%,无质押,流通A股,9,2019-09-30
002665,47224,1.94亿,7.63%,100.00%,"受限流通股,流通A股",3,2019-12-09
002665,4648,1.07亿,4.20%,99.92%,"受限流通股,流通A股",4,2019-12-09
002666,15262,2.83亿,37.54%,无质押,"受限流通股,流通A股",1,2019-09-30
002666,62915,202.09万,0.27%,无质押,流通A股,10,2019-09-30
002666,44688,1.01亿,13.45%,33.51%,"受限流通股,流通A股",2,2019-09-30
002666,5484,2099.62万,2.78%,无质押,"受限流通股,流通A股",3,2019-09-30
002666,62916,294.29万,0.39%,无质押,流通A股,7,2019-09-30
002666,62917,271.68万,0.36%,无质押,流通A股,8,2019-09-30
002667,18689,5746.00万,24.86%,-,"受限流通股,流通A股",1,2019-09-30
002667,62918,100.00万,0.43%,-,流通A股,10,2019-09-30
002667,21867,3197.70万,13.83%,-,"受限流通股,流通A股",2,2019-09-30
002667,62919,629.00万,2.72%,-,流通A股,5,2019-09-30
002667,62920,204.00万,0.88%,-,流通A股,6,2019-09-30
002667,62921,103.76万,0.45%,-,流通A股,7,2019-09-30
002667,62922,100.56万,0.44%,-,流通A股,8,2019-09-30
002667,62923,100.00万,0.43%,-,流通A股,9,2019-09-30
002668,52796,1.69亿,15.58%,-,流通A股,1,2019-11-05
002669,54046,700.76万,2.78%,无质押,流通A股,2,2019-09-30
002669,62924,504.15万,2.00%,无质押,流通A股,4,2019-09-30
002669,62925,483.51万,1.91%,无质押,"受限流通股,流通A股",6,2019-09-30
002669,62926,460.35万,1.82%,无质押,流通A股,7,2019-09-30
002669,62927,332.20万,1.32%,无质押,流通A股,9,2019-09-30
002671,62928,9751.71万,20.64%,100.00%,受限流通股,1,2019-09-30
002671,62929,300.75万,0.64%,无质押,流通A股,10,2019-09-30
002671,62930,1256.93万,2.66%,无质押,流通A股,3,2019-09-30
002671,62931,925.86万,1.96%,68.58%,受限流通股,4,2019-09-30
002671,39572,781.25万,1.65%,无质押,"受限流通股,流通A股",5,2019-09-30
002671,62932,703.67万,1.49%,无质押,流通A股,6,2019-09-30
002671,62933,410.86万,0.87%,77.27%,"受限流通股,流通A股",7,2019-09-30
002671,62934,391.16万,0.83%,91.52%,受限流通股,8,2019-09-30
002671,62935,302.65万,0.64%,无质押,流通A股,9,2019-09-30
002672,62936,1691.71万,1.92%,47.29%,受限流通股,10,2019-09-30
002672,62937,2661.30万,3.03%,无质押,流通A股,5,2019-09-30
002674,62938,4901.82万,16.23%,49.00%,流通A股,2,2019-09-30
002674,62939,396.23万,1.31%,无质押,流通A股,7,2019-09-30
002674,23796,379.47万,1.26%,46.77%,"受限流通股,流通A股",8,2019-09-30
002675,21702,8092.43万,10.09%,51.99%,受限流通股,2,2019-09-30
002676,62940,1.75亿,24.36%,-,流通A股,2,2019-12-05
002676,62941,6094.70万,8.46%,-,流通A股,3,2019-12-05
002677,11848,1.50亿,23.20%,无质押,"受限流通股,流通A股",1,2019-09-30
002677,31603,1.36亿,20.99%,39.39%,"受限流通股,流通A股",2,2019-09-30
002677,34987,6600.00万,10.22%,无质押,"受限流通股,流通A股",3,2019-09-30
002677,24040,3986.00万,6.17%,无质押,"受限流通股,流通A股",4,2019-09-30
002677,48758,2698.74万,4.18%,无质押,"受限流通股,流通A股",5,2019-09-30
002677,52053,2525.26万,3.91%,无质押,"受限流通股,流通A股",6,2019-09-30
002678,62942,461.24万,0.34%,-,流通A股,10,2019-09-30
002678,62943,639.08万,0.47%,-,流通A股,5,2019-09-30
002678,62944,523.55万,0.39%,-,流通A股,6,2019-09-30
002678,62945,493.54万,0.36%,-,流通A股,7,2019-09-30
002678,62946,466.34万,0.34%,-,流通A股,8,2019-09-30
002678,62947,462.80万,0.34%,-,流通A股,9,2019-09-30
002679,62948,76.62万,0.32%,无质押,流通A股,10,2019-09-30
002679,62949,575.33万,2.44%,无质押,流通A股,2,2019-09-30
002679,62950,130.54万,0.55%,无质押,流通A股,4,2019-09-30
002679,62951,128.36万,0.54%,无质押,流通A股,5,2019-09-30
002679,62952,87.00万,0.37%,无质押,流通A股,7,2019-09-30
002679,62953,85.00万,0.36%,无质押,流通A股,8,2019-09-30
002679,62954,77.11万,0.33%,无质押,流通A股,9,2019-09-30
002681,42782,7.41亿,35.98%,73.06%,"受限流通股,流通A股",1,2019-12-04
002683,3612,4475.84万,6.33%,30.38%,"受限流通股,流通A股",2,2019-09-30
002683,20958,4117.84万,5.82%,无质押,"受限流通股,流通A股",3,2019-09-30
002683,32467,3818.18万,5.40%,26.19%,"受限流通股,流通A股",4,2019-09-30
002683,62955,1024.84万,1.45%,无质押,流通A股,9,2019-09-30
002684,41364,4227.09万,7.45%,98.59%,"受限流通股,流通A股",3,2019-09-30
002684,62956,2072.75万,3.65%,100.00%,受限流通股,5,2019-09-30
