股票代码,pid,持有数量,占总股比例,质押占其直接持股比例,股份类型,十大股东排名,日期
000011,59580,86.54万,0.15%,-,流通A股,8,2019-09-30
000014,59581,64.01万,0.32%,-,流通A股,10,2019-09-30
000014,59582,144.34万,0.72%,-,流通A股,2,2019-09-30
000014,59583,144.00万,0.71%,-,流通A股,3,2019-09-30
000014,59584,128.00万,0.63%,-,流通A股,4,2019-09-30
000014,59585,80.38万,0.40%,-,流通A股,6,2019-09-30
000014,59586,77.00万,0.38%,-,流通A股,7,2019-09-30
000014,59587,72.65万,0.36%,-,流通A股,8,2019-09-30
000016,59588,1665.68万,0.69%,-,流通A股,10,2019-09-30
000017,59589,389.11万,0.71%,-,流通B股,5,2019-09-30
000017,59590,318.74万,0.58%,-,流通B股,6,2019-09-30
000017,59591,248.67万,0.45%,-,流通B股,9,2019-09-30
000018,8984,5.83亿,34.36%,100.00%,"流通A股,受限流通股",1,2019-09-30
000018,59592,811.03万,0.48%,无质押,流通A股,10,2019-09-30
000018,59593,5480.05万,3.23%,无质押,流通A股,4,2019-09-30
000018,59594,1254.80万,0.74%,无质押,流通A股,8,2019-09-30
000018,59595,1009.05万,0.59%,无质押,流通A股,9,2019-09-30
000019,59596,108.01万,0.09%,-,流通A股,10,2019-09-30
000019,59597,343.65万,0.30%,-,流通B股,3,2019-09-30
000019,59598,290.00万,0.25%,-,流通A股,4,2019-09-30
000019,59599,220.00万,0.19%,-,流通A股,5,2019-09-30
000019,59600,131.22万,0.11%,-,流通A股,7,2019-09-30
000019,59601,109.72万,0.10%,-,流通A股,9,2019-09-30
000020,59602,86.42万,0.31%,无质押,流通B股,10,2019-09-30
000020,25212,283.00万,1.00%,无质押,流通B股,6,2019-09-30
000020,59603,98.94万,0.35%,无质押,流通B股,8,2019-09-30
000020,59604,92.48万,0.33%,无质押,流通A股,9,2019-09-30
000021,59605,1588.26万,1.08%,无质押,流通A股,3,2019-09-30
000021,59606,568.00万,0.39%,无质押,流通A股,8,2019-09-30
000021,59607,500.78万,0.34%,无质押,流通A股,9,2019-09-30
000023,59608,76.39万,0.55%,无质押,流通A股,10,2019-09-30
000023,59609,158.18万,1.14%,无质押,流通A股,5,2019-09-30
000023,59610,113.32万,0.82%,无质押,流通A股,6,2019-09-30
000023,59611,109.00万,0.79%,无质押,流通A股,7,2019-09-30
000023,59612,86.60万,0.62%,无质押,流通A股,8,2019-09-30
000023,59613,86.00万,0.62%,无质押,流通A股,9,2019-09-30
000025,59614,38.86万,0.09%,-,流通B股,10,2019-09-30
000025,59615,55.15万,0.13%,-,流通A股,5,2019-09-30
000025,59616,48.72万,0.11%,-,流通B股,7,2019-09-30
000025,59617,46.36万,0.11%,-,流通A股,8,2019-09-30
000025,59618,44.41万,0.10%,-,流通B股,9,2019-09-30
000026,59619,1801.35万,4.07%,-,流通A股,2,2019-09-30
000026,59620,469.60万,1.06%,-,流通A股,3,2019-09-30
000026,59621,133.33万,0.30%,-,流通A股,7,2019-09-30
000026,59622,115.00万,0.26%,-,流通A股,9,2019-09-30
000027,59623,1641.44万,0.41%,-,流通A股,7,2019-09-30
000030,59624,935.51万,0.52%,-,流通A股,7,2019-09-30
000032,59625,874.20万,2.12%,-,流通A股,4,2019-09-30
000032,59626,246.33万,0.60%,-,流通A股,9,2019-09-30
000034,29221,1.55亿,23.66%,98.18%,"受限流通股,流通A股",1,2019-09-30
000034,59627,590.90万,0.90%,78.13%,"受限流通股,流通A股",10,2019-09-30
000034,17387,6460.30万,9.88%,86.56%,"受限流通股,流通A股",3,2019-09-30
000034,59628,1605.78万,2.46%,8.00%,流通A股,6,2019-09-30
000034,59629,741.45万,1.13%,无质押,流通A股,9,2019-09-30
000035,9387,9390.12万,3.72%,34.08%,"受限流通股,流通A股",5,2019-10-22
000036,59630,557.75万,0.38%,-,流通A股,10,2019-09-30
000036,59631,998.69万,0.67%,-,流通A股,3,2019-09-30
000036,59632,808.02万,0.54%,-,流通A股,5,2019-09-30
000036,59633,591.36万,0.40%,-,流通A股,8,2019-09-30
000037,59634,892.19万,1.48%,-,"流通A股,流通B股",6,2019-09-30
000037,59635,760.24万,1.26%,-,流通B股,8,2019-09-30
000038,59636,1.12亿,21.42%,100.00%,受限流通股,1,2019-09-30
000038,59637,535.11万,1.02%,36.29%,"受限流通股,流通A股",10,2019-09-30
000038,59638,1.03亿,19.70%,84.07%,受限流通股,2,2019-09-30
000038,59639,2870.48万,5.49%,36.61%,"受限流通股,流通A股",4,2019-09-30
000038,59640,2613.89万,5.00%,88.10%,"受限流通股,流通A股",5,2019-09-30
000038,59641,599.41万,1.15%,无质押,受限流通股,7,2019-09-30
000045,59642,114.67万,0.23%,-,流通A股,10,2019-09-30
000045,59643,489.96万,0.96%,-,流通A股,3,2019-09-30
000045,59644,322.48万,0.63%,-,流通B股,4,2019-09-30
000045,59645,287.31万,0.56%,-,流通A股,5,2019-09-30
000045,59646,159.65万,0.31%,-,流通A股,6,2019-09-30
000045,59647,143.90万,0.28%,-,流通A股,7,2019-09-30
000045,59648,138.85万,0.27%,-,流通A股,8,2019-09-30
000045,59649,133.89万,0.26%,-,流通A股,9,2019-09-30
000046,59650,1.14亿,2.20%,无质押,流通A股,4,2019-09-30
000046,59651,4413.95万,0.85%,无质押,流通A股,8,2019-09-30
000049,59652,107.50万,0.52%,-,流通A股,10,2019-09-30
000049,59653,158.92万,0.77%,-,流通A股,7,2019-09-30
000049,59654,110.01万,0.53%,-,流通A股,9,2019-09-30
000055,59655,3407.17万,3.03%,-,流通A股,3,2019-12-05
000055,59656,423.70万,0.38%,-,流通A股,9,2019-12-05
000058,59657,715.58万,0.58%,-,流通B股,2,2019-09-30
000058,59658,331.81万,0.27%,-,流通B股,3,2019-09-30
000058,59659,294.00万,0.24%,-,流通B股,4,2019-09-30
000058,59660,178.00万,0.14%,-,流通B股,8,2019-09-30
000058,59661,138.95万,0.11%,-,流通A股,9,2019-09-30
000059,59662,489.97万,0.31%,-,流通A股,10,2019-09-30
000059,59663,3242.69万,2.03%,-,流通A股,4,2019-09-30
000059,59664,2207.08万,1.38%,-,流通A股,5,2019-09-30
000059,59665,588.92万,0.37%,-,流通A股,7,2019-09-30
000059,59666,567.04万,0.35%,-,流通A股,8,2019-09-30
000059,59667,499.98万,0.31%,-,流通A股,9,2019-09-30
000061,59668,1500.00万,0.88%,-,流通A股,10,2019-09-30
000061,59669,1348.74万,0.79%,-,流通A股,11,2019-09-30
000061,59670,1726.63万,1.02%,-,流通A股,8,2019-09-30
000062,59671,314.50万,0.30%,-,流通A股,10,2019-09-30
000062,59672,2827.02万,2.70%,-,流通A股,2,2019-09-30
000062,59673,2388.66万,2.28%,-,流通A股,3,2019-09-30
000062,59674,496.73万,0.47%,-,流通A股,6,2019-09-30
000062,59675,496.73万,0.47%,-,流通A股,7,2019-09-30
000065,59676,414.35万,0.54%,-,流通A股,5,2019-09-30
000065,59677,387.65万,0.50%,-,流通A股,6,2019-09-30
000066,59678,1300.01万,0.44%,-,流通A股,10,2019-09-30
000066,59679,4139.67万,1.41%,-,流通A股,3,2019-09-30
000066,59680,2000.01万,0.68%,-,流通A股,5,2019-09-30
000066,59681,1788.89万,0.61%,-,流通A股,9,2019-09-30
000068,59682,211.93万,0.21%,无质押,流通A股,10,2019-09-30
000068,59683,727.26万,0.72%,无质押,流通A股,4,2019-09-30
000068,59684,671.27万,0.67%,无质押,流通A股,5,2019-09-30
000068,59685,389.22万,0.39%,无质押,流通A股,6,2019-09-30
000068,59686,312.32万,0.31%,无质押,流通A股,7,2019-09-30
000068,59687,295.37万,0.29%,无质押,流通A股,8,2019-09-30
000068,59688,225.67万,0.22%,无质押,流通A股,9,2019-09-30
000070,59689,2333.18万,2.87%,15.02%,"受限流通股,流通A股",2,2019-09-30
000070,59690,1465.72万,1.80%,无质押,"受限流通股,流通A股",4,2019-09-30
000070,59691,491.19万,0.60%,无质押,流通A股,7,2019-09-30
000070,59692,476.63万,0.59%,无质押,"受限流通股,流通A股",8,2019-09-30
000078,59693,500.10万,0.18%,无质押,"受限流通股,流通A股",10,2019-09-30
000078,59694,2009.99万,0.73%,无质押,"受限流通股,流通A股",3,2019-09-30
000078,11788,1149.88万,0.42%,无质押,"受限流通股,流通A股",5,2019-09-30
000078,37589,680.00万,0.25%,无质押,"受限流通股,流通A股",7,2019-09-30
000078,59695,550.10万,0.20%,无质押,流通A股,9,2019-09-30
000089,59696,1601.29万,0.78%,-,流通A股,6,2019-09-30
000089,59697,1444.00万,0.70%,-,流通A股,7,2019-09-30
000096,59698,712.73万,1.35%,-,流通A股,10,2019-09-30
