股票代码,股东股票代码2,持有数量,占总股比例,质押占其直接持股比例,股份类型,十大股东排名,日期
603667,600282,497.06万,1.70%,无质押,流通A股,9,2019-09-30
603689,000543,1542.24万,4.59%,-,受限流通股,3,2019-09-30
603689,601918,1411.20万,4.20%,-,流通A股,4,2019-09-30
603697,000686,104.15万,0.34%,-,受限流通股,6,2019-09-30
603712,000100,1.47亿,19.07%,-,流通A股,2,2019-09-30
603797,601688,57.50万,0.18%,-,流通A股,8,2019-09-30
603822,002500,40.65万,0.55%,无质押,流通A股,9,2019-09-30
603885,600611,2316.02万,1.18%,无质押,流通A股,7,2019-09-30
603886,600030,98.90万,0.41%,-,流通A股,9,2019-09-30
603888,601801,383.54万,0.74%,-,流通A股,6,2019-09-30
603929,600837,150.88万,0.71%,无质押,流通A股,6,2019-09-30
603970,000525,691.20万,3.60%,99.83%,流通A股,4,2019-09-30
603999,600551,314.82万,0.55%,-,流通A股,6,2019-09-30
688003,601555,286.70万,1.48%,-,受限流通股,6,2019-09-30
688116,300037,686.61万,2.96%,-,受限流通股,9,2019-09-30
688199,601099,140.57万,1.26%,-,受限流通股,10,2019-11-05
688300,600183,2000.00万,23.26%,-,受限流通股,1,2019-11-15
831063,600551,887.32万,9.86%,-,三板流通A股,3,2019-09-30
831173,000776,136.70万,0.88%,无质押,三板流通A股,9,2019-09-30
833137,603158,235.00万,4.17%,-,三板流通A股,4,2019-06-30
833629,600958,379.62万,3.74%,无质押,三板流通A股,7,2019-09-30
836019,600805,1234.57万,5.39%,-,三板流通A股,3,2019-06-30
