股票代码,pid
002106,23259
002107,5552
002108,15427
002109,7514
002110,50061
002111,5758
002112,28990
002113,43145
002114,2333
002115,2758
002116,53297
002117,8452
002118,1944
002119,46939
002120,48678
002121,7808
002122,3047
002123,6847
002124,24108
002125,41050
002126,40927
002127,28602
002128,50525
002129,35587
002130,18548
002131,35841
002132,37001
002133,3231
002134,23587
002135,27825
002136,7188
002137,3632
002138,9662
002139,49581
002140,41007
002141,32528
002142,17273
002144,43134
002145,2398
002146,46674
002147,38636
002148,47474
002149,17921
002150,29757
002151,15930
002152,35420
002153,20263
002154,41597
002155,26368
002156,11835
002157,20301
002158,282
002159,19683
002160,334
002161,32720
002162,16669
002163,24596
002164,41463
002165,1765
002166,20576
002167,22594
002168,44070
002169,12982
002170,38163
002171,5770
002172,48555
002173,27213
002174,47183
002175,794
002176,21412
002177,52994
002178,29369
002179,28395
002180,40834
002181,18918
002182,13738
002183,26048
002184,1479
002185,365
002186,6106
002187,11516
002188,21810
002189,13511
002190,37314
002191,52788
002192,51638
002193,11859
002194,4000
002195,20126
002196,6375
002197,42229
002198,52836
002199,26583
002200,37813
002201,18749
002202,21644
002203,5033
002204,44312
002205,40116
002206,48986
002207,39372
002208,27269
002209,29496
002210,14710
002211,36940
002212,14343
002213,39252
002214,13578
002215,53593
002216,40986
002217,53616
002218,50439
002219,50155
002220,45816
002221,7551
002222,29128
002223,36492
002224,6368
002225,26355
002226,16678
002227,49464
002228,14768
002229,36911
002230,49685
002231,2314
002232,41815
002233,11511
002234,11190
002235,29900
002236,31336
002237,37570
002238,18942
002239,13199
002240,33701
002241,19441
002242,40829
002243,10297
002244,33492
002245,10999
002246,14014
002247,5107
002248,16600
002249,17316
002250,11637
002251,49499
002252,4900
002253,4911
002255,46846
002256,41351
002258,45668
002259,31426
002261,27042
002262,35024
002263,42809
002264,45299
002265,14904
002266,24463
002267,28051
002268,3049
002269,47806
002270,17678
002271,15794
002272,41
002273,41630
002274,35226
002275,53591
002276,51334
002277,42594
002278,46299
002279,16194
002280,39958
002281,42446
002282,4561
002283,49301
002284,13734
002286,48735
002287,22510
002288,5661
002289,13773
002290,52978
002291,32942
002292,1692
002293,31078
002294,39927
002295,16498
002296,19068
002297,27794
002298,15228
002299,10419
002300,214
002301,5336
002302,36081
002303,13001
002304,53204
002305,2872
002306,43337
002307,4108
002308,31344
002309,44071
002310,22393
002311,43084
002312,48961
002313,47544
002314,9214
002315,50793
002316,4535
002317,21974
002318,49491
002319,17207
002320,43955
002321,3517
002322,4974
002324,10492
002325,52067
002326,36194
002327,19630
002328,38783
002329,11541
002330,35327
002331,36394
002332,19492
002333,48603
002334,47346
002335,32586
002336,5663
002337,12996
002338,2537
002339,9729
002340,22609
002341,3306
002342,22771
002343,18427
002344,20604
002345,15087
002346,17039
002347,50757
002348,643
002349,10700
002350,33221
002351,29481
002352,18707
002353,12158
002354,27588
002355,6919
002356,31451
002357,26793
002358,30883
002359,41193
002360,12643
002361,31160
002362,15137
002363,24709
002364,26395
002365,17041
002366,44696
002367,45318
002368,22368
002369,49467
002370,27763
002371,48868
002372,47245
002373,11260
002374,21382
002375,14509
002376,38634
002377,24444
002378,21547
002379,28351
002380,13899
002381,47961
002382,12577
002383,10773
002384,6003
002385,26587
002386,38476
002387,40314
002388,3281
002389,15830
002390,25414
002391,47322
002392,14542
002393,42183
002394,13613
002395,37399
002396,10020
002397,17710
002398,10618
002399,2575
002400,52050
002401,36078
002402,20574
002403,30770
002404,15293
002405,32778
002406,52757
002407,38660
002408,5023
002409,1272
002410,42571
002411,20827
002412,35462
002413,46409
002414,33082
002415,33724
002416,22686
002417,53783
002418,52603
002419,22022
002420,18327
002421,7822
002422,46167
002423,3962
002424,22716
002425,2302
002426,45971
002427,10229
002428,16344
002429,29471
002430,1594
002431,21146
002432,7147
002433,38999
002434,45850
002435,40800
002436,37318
002437,39486
002438,44323
002439,43670
002440,27064
002441,14701
002442,6576
002443,22074
002444,3826
002445,50211
002446,10913
002448,24974
002449,16104
002451,1680
002452,31243
002453,12356
002454,1932
002455,2223
002456,3199
002457,51201
002458,44787
002459,6498
002460,2609
002461,24068
002462,21505
002463,35091
002464,39940
002465,39324
002466,807
002467,32901
002468,7471
002469,11597
002470,27917
002471,37714
002472,2766
002473,27394
002474,27901
002475,38251
002476,19792
002478,15214
002479,15218
002480,21322
002481,5297
002482,45356
002483,27832
002484,2000
002487,9937
002488,19203
002489,47319
002490,38049
002491,24726
002492,53354
002493,36603
002494,6517
002495,26270
002496,3084
002497,32518
002498,30180
002499,30836
002500,45003
002501,45309
002503,13046
002504,32171
002505,33343
002506,41313
002507,14764
002508,14508
002509,37601
002510,41496
002511,18682
002512,17141
002513,4832
002514,22977
002515,38428
002516,45704
002517,39135
002518,32903
002519,24887
002520,22107
002521,47697
002522,7321
002523,35300
002524,13599
002526,31977
002527,44129
002528,29565
002530,4381
002531,3370
002532,52208
002533,10734
002534,46541
002535,52876
002536,26334
002537,9054
002538,29603
002539,2512
002540,48373
002541,19961
002542,39483
002543,7145
002544,45155
002545,23009
002546,44320
002547,40647
002548,36294
002549,26211
002550,44553
002551,12914
002552,35507
002553,49928
002554,48520
002555,1491
002556,34779
002557,20009
002558,46121
002559,51464
002560,29224
002561,45896
002562,16012
002563,19069
002564,54222
002565,49425
002566,17330
002567,42870
002568,32327
002569,24753
002570,21554
002571,48614
002572,772
002573,51550
002574,9292
002575,38092
002576,52234
002577,10696
002578,48272
002579,33789
002580,30201
002581,17756
002582,14638
002583,24157
002584,22145
002585,21361
002586,16365
002587,2662
002588,37386
002589,36659
002590,27103
002591,14497
002592,18539
002593,47603
002594,879
002595,4688
002596,49221
002597,39273
002598,21514
002599,5432
002600,29210
002601,9104
002602,10967
002603,6922
002605,19440
002606,36633
002607,43001
002608,50567
002609,13326
002610,19504
002611,6724
002612,38710
002613,1925
002614,33411
002615,41025
002616,30439
002617,22066
002618,22932
002619,50920
002620,30289
002621,21732
002622,39109
002623,17602
002624,10077
002625,17519
002626,45380
002627,42743
002628,42968
002629,17014
002630,24785
002631,11773
002632,47502
002633,19086
002634,32048
002635,24761
002636,21161
002637,50209
002639,34562
002640,964
002641,27165
002642,50965
002643,7181
002645,53588
002646,5583
002647,8930
002648,28877
002649,2340
002650,7026
002651,3393
002652,39259
002653,27996
002654,20939
002655,27040
002656,37163
002657,53791
002658,30174
002659,52131
002660,39074
002661,42890
002662,22479
002663,23023
002664,34878
002665,31914
002666,15262
002667,21867
002668,21288
002669,17087
002670,26044
002671,35178
002672,39893
002673,18723
002674,10217
002675,48116
002676,43472
002677,31603
002678,17619
002679,32082
002681,42782
002682,23708
002683,20958
002684,41364
002685,936
002686,33077
002687,40744
002688,49627
002689,15642
002690,32194
002691,26110
002692,5362
002693,10723
002694,14423
002695,4612
002696,30235
002697,48762
002698,40051
002699,39472
002700,9811
002701,15688
002702,46600
002703,41576
002705,16690
002706,49810
002707,52130
002708,49591
002709,2846
002711,23610
002713,33035
002714,5093
002715,37290
002716,52674
002717,7857
002718,47814
002719,33080
002721,46829
002722,13721
002723,15707
002725,14936
002726,34484
002727,47283
002728,19786
002729,22783
002730,4845
002731,45519
002732,33594
002733,3082
002734,15131
002735,156
002736,36643
002737,15775
002738,49732
002739,29752
002740,48147
002741,28307
002742,41659
002743,12987
002745,8279
002746,41223
002747,32867
002748,37187
002749,21398
002750,15349
002751,18281
002752,3028
002753,43620
002755,53404
002756,22635
002757,13620
002758,11522
002759,51055
002760,52299
002761,24646
002762,42150
002763,28956
002765,13138
002766,5196
002767,32246
002768,2970
002769,41932
002770,9223
002771,10388
002772,8485
002773,50223
002774,5190
002775,4322
002776,24501
002777,30339
002778,11615
002779,26096
002780,42922
002781,22237
002782,39367
002783,29082
002785,53100
002786,10650
002787,8626
002788,26071
002789,544
002790,7938
002791,5863
002792,49952
002793,30285
002795,2071
002796,19632
002797,29318
002798,5099
002800,3227
002801,33462
002802,24221
002803,14160
002805,9001
002806,8608
002807,24328
002808,3566
002809,15565
002810,9961
002811,27217
002812,1766
002813,10283
002815,15482
002816,38400
002817,33202
002818,9683
002819,42067
002820,28091
002821,41451
002822,46797
002823,48906
002824,41430
002825,49746
002826,7568
002827,12359
002828,27948
002829,52927
002830,7235
002831,46002
002832,33968
002833,47557
002835,2313
002836,26900
002837,1398
002838,34468
002839,32916
002840,44084
002841,45461
002842,32310
002843,45899
002845,46815
002846,39037
002847,27742
002848,23109
002849,33454
002850,10841
002851,19968
002852,665
002853,40360
002855,47027
002856,14688
002857,31918
002858,415
002859,46440
002860,28923
002861,11555
002862,31403
002863,48540
002864,48185
002865,5263
002866,53266
002867,47368
002868,41620
002870,49297
002871,24892
002873,13412
002875,16036
002876,19399
002877,5447
002878,13788
002879,52906
002880,22160
002881,33280
002882,51121
002883,38941
002884,46403
002885,30208
002886,14478
002887,18861
002888,39321
002889,36740
002890,13217
002892,25376
002893,25785
002895,44415
002896,48359
002897,35932
002898,29856
002899,4338
002900,25278
002901,17516
002902,52883
002903,37416
002905,49815
002906,2569
002907,50338
002908,20341
002909,34817
002910,24360
002911,34305
002912,30736
002913,53269
002915,21228
002916,36239
002917,44263
002918,11115
002919,6465
002920,41384
002921,34599
002922,7511
002923,31738
002925,18783
002926,50922
002927,2651
002928,8030
002929,24086
002930,22062
002931,38224
002932,13399
002933,11822
002935,34940
002936,36249
002937,49523
002938,21099
002939,3522
002940,42214
002941,47625
002942,40299
002943,9857
002945,12481
002946,15437
002947,4292
002948,53985
002949,16514
002950,43112
002951,5490
002952,26947
002953,45075
002955,9345
002956,12666
002957,15873
002958,23876
002959,43052
002960,53311
002961,34275
002962,39035
002963,865
002965,41806
002966,50844
002967,6528
002968,4674
002969,50499
003816,20239
300001,818
300002,48882
300003,17752
300004,36908
300005,16300
300006,42756
300007,14376
300008,2904
300009,33061
300010,23083
300011,49609
300012,16995
300013,30308
300014,18781
300015,15509
300016,15811
300017,31641
300018,52734
300019,41425
300020,10280
300021,4614
300022,20563
300023,3753
300024,23417
300025,31693
300026,41678
300027,37833
300029,39900
300030,3763
300031,12604
300032,14013
300033,47194
300034,43391
300035,15960
300036,25250
300037,5818
300038,33341
300039,31800
300040,7629
300041,19009
300042,22696
300043,22067
300044,51457
300045,1810
300046,26843
300047,4150
300048,14020
300049,50432
300050,37319
300051,43648
300052,22266
300053,34498
300054,28663
300055,18886
300056,4813
300057,7158
300058,24339
300059,41955
300061,18187
300064,50162
300065,34720
300066,34128
300067,31313
300068,50467
300069,37197
300070,25431
300071,54384
300072,15650
300073,50950
300074,18790
300075,52308
300076,28700
300077,30910
300078,11785
300079,5845
300080,49726
300081,10266
300082,51202
300083,18030
300085,49870
300086,34681
300087,4190
300088,39414
300089,25248
300090,6300
300091,1716
300092,17371
300093,52312
300094,52960
300095,15323
300096,14800
300098,42834
300099,38809
300100,51418
300101,38567
300102,44873
300103,9531
300105,8502
300106,1261
300107,7456
300108,36687
300109,3288
300110,26874
300111,26664
300112,41452
300113,27929
300114,41589
300115,25905
300116,39849
300117,33837
300118,11040
300119,26245
300120,40975
300121,39499
300122,23068
300123,53651
300124,49035
300125,5544
300126,29085
300127,1427
300128,24498
300129,29495
300130,7277
300131,18250
300132,28193
300133,32292
300134,28557
300135,3295
300136,29941
300137,32849
300138,45859
300139,6438
300140,42042
300141,28493
300142,52517
300143,4826
300144,28766
300145,22640
300146,41403
300147,19
300148,32266
300149,14213
300150,46354
300151,16541
300152,10874
300153,50203
300154,25139
300155,45735
300156,10059
300157,2336
300158,31872
300159,24517
300160,41809
300161,15989
300162,39595
300163,33522
300164,20392
300165,381
300166,54028
300167,9648
300168,4962
300169,41447
300170,30976
300171,39061
300172,3719
300173,13475
300174,23754
300175,26578
300176,7126
300177,19521
300178,5452
300179,53617
300180,38526
300181,36452
300182,49709
300183,30355
300184,43558
300185,12711
300187,24356
300188,12125
300189,10336
300190,35353
300191,5305
300192,17028
300193,24442
300194,31674
300195,44828
300196,9788
300197,41606
300198,40076
300200,28624
300201,3139
300202,13821
300203,28400
300204,53215
300205,30131
300206,33570
300207,19390
300208,37474
300209,48935
300210,5548
300211,30083
300212,22150
300213,28001
300214,13008
300215,51388
300217,4142
300218,39789
300219,22934
300220,51279
300221,4629
300222,29605
300223,5384
300224,40660
300225,23379
300226,43388
300227,2413
300228,33494
300229,44326
300230,17890
300231,45506
300232,35568
