股票代码,pid
300251,15119
300252,35641
300257,37719
300262,2750
300264,51468
300265,13467
300266,54346
300267,8087
300270,9015
300271,1325
300272,45329
300274,17807
300275,36372
300276,49195
300285,3476
300286,9204
300288,12539
300290,17035
300291,54347
300292,7914
300296,21778
300298,14427
300299,52534
300301,48120
300304,21246
300307,45565
300308,20636
300311,970
300313,42407
300321,45945
300322,28323
300324,41120
300325,38450
300327,20156
300331,41804
300332,3029
300333,13207
300336,6700
300340,32692
300341,48767
300343,2735
300348,29464
300350,35528
300352,21281
300353,50368
300354,10132
300355,29093
300356,29876
300358,48718
300360,28617
300362,5539
300364,20280
300366,26624
300370,48106
300371,17672
300373,39529
300374,39751
300375,33282
300379,18839
300381,46494
300382,10823
300383,35351
300384,12678
300386,22940
300388,25611
300392,54348
300396,54349
300398,27520
300399,22463
300400,52975
300401,8672
300404,22521
300405,31054
300408,46897
300409,15020
300412,48566
300416,44314
300418,40343
300421,35511
300423,47719
300426,28186
300431,51722
300434,11691
300437,31729
300438,28346
300439,6088
300440,47351
300441,20499
300443,20076
300444,15753
300447,36309
300448,53612
300449,27679
300451,45731
300452,27008
300456,5396
300459,17586
300460,35224
300462,18610
300465,30612
300468,48059
300469,10684
300471,3081
300473,36013
300475,35172
300476,34196
300478,29278
300479,44997
300480,53381
300485,31577
300489,7361
300494,45739
300496,16367
300497,42163
300503,30530
300505,51554
300506,27393
300507,17153
300515,11320
300517,36259
300518,31217
300519,6425
300525,30113
300529,22447
300530,54350
300532,15635
300533,39820
300537,23256
300540,6886
300545,5387
300549,42517
300551,47236
300552,17224
300553,13404
300554,19242
300555,27476
300556,45037
300560,25581
300561,20723
300562,20338
300566,36848
300567,23472
300569,41784
300572,29076
300573,14496
300577,33969
300580,44642
300581,29353
300582,44513
300586,28102
300590,20585
300592,49307
300593,38530
300595,43408
300596,35680
300599,26581
300600,47551
300601,614
300602,9505
300603,36865
300607,409
300608,1191
300609,6128
300610,50542
300611,9097
300613,13891
300620,5575
300621,21849
300624,53019
300626,31388
300627,45690
300638,47085
300640,2058
300642,38927
300643,9346
300645,53540
300650,17599
300654,39568
300655,53953
300657,301
300659,23987
300660,13288
300661,51775
300663,20094
300665,50560
300666,33210
300668,40369
300669,29542
300670,20229
300671,4506
300672,20568
300674,27037
