要点名称
资产质量持续向好
智能化零售银行
发力基础零售、私行财富与消费金融
科技引领业务发展
平安旗下
全国性股份制商业银行
聚焦战略客群、小微客群
住宅租赁、长租公寓
参投中信资本医疗健康专项基金
国内领先的物流服务商
房地产龙头
商业开发与运营
冰雪度假、养老、教育等业务
地铁集团成为第一大股东
宝能处置万科资管计划
物业服务领先
拟12.81亿元全购智游网安
移动互联网游戏业务
完成山东华泰股权出售事宜
工程服务
深圳车港经营权置换
有机固废处理、清洁能源的相关业务
城市更新项目
设立境外并购基金
布局粤港澳大湾区
加强国企资源整合
与深圳市地铁集团合作开发物业
拟购港澳资讯50.5480%股权(终止)
实际控制人变更
资本运作与产业并购
获朴和恒丰及其一致人举牌
参投联威以色列理工科技基金
车辆运营维护智能装备研发
与腾讯云计算签署框架合作协议
大数据产品
线路领域智能化装备与服务
南部新城集团拟参与公司重整
教育培训业务
向美购买TADS系统及其专用技术
5.66亿参设中车世纪一期契约型股权投资基金
轨交运维全产业链公司
国投集团成为公司实控人
房地产及其他产业
3D打印粉开发
2018年股票期权激励计划
生物医药产业
控股子公司友诚科技挂牌新三板
控股国际精密布局汽车零件业务
武汉华博军工项目
哈尔滨万鑫石墨谷
高新技术产业
投资业务
新材料为主的高科技产业集团
贝特瑞向动力电池供应商转变
参与设立投资基金
持有福建隧道70%的股权
红信鼎通竞得公司5.23%股份
积极拓展公司业务领域
控股权及实际控制人发生变更
深投成为公司控股股东
房屋租赁业务
物业管理
电子玻璃及显示器件业务
触控显示领域
工程玻璃业务
平板玻璃业务
股权激励计划
雄安新区外墙玻璃唯一供应商
太阳能业务
成为特斯拉大项目合作商
2019年经营计划
房地产开发企业
土地储备
项目进展
深业集团旗下
多策并举盘活存量资产
中科汇通举牌
拟定增30亿偿债及补充流动资金
产业布局与新业务落地
康佳一带一路总部基地
互联网业务
半导体光电产业园
发起成立产业并购基金
整合多媒体业务
深入推进混合所有制改革
环保业务
140亿元建智能家电及装备产业园等项目
定增8亿升级营销网络平台等
介入锂电池材料业务
自行车及锂电池材料
自行车电商零售业务
引入国资南部新城集团
完善医疗服务产业布局
建筑施工类子公司迁址雄安新区
智慧房屋
定增不超过25亿元补血(批复失效)
医疗工程及质子治疗项目
国际业务
粮油产业链流通服务
互联网 粮食
定增收购深粮集团
粮油加工业务
注塑业务
视讯业务
保丽龙业务
深圳城市更新项目
机器人、无人机等业务
新能源业务
工业物联网产品
计量系统业务
比特币挖矿机产品
医疗产品业务
集成电路相关产品
控股股东变更为中国电子有限
房地产业务
控股股东变更
与国志环保合建混凝土搅拌站
物业管理经营
混凝土业务
资源性资产管理
珠宝服务业务
互联网综合服务平台
实际控制人-深圳国资委
掌握珠宝行业核心聚集地物业资源
转型珠宝产业综合运营服务商
创新创业平台
精密制造业务
限制性股票激励计划（第一期）
推进“FIYTA”品牌提升
中航集团背景
名表销售
联手阿里巴巴打造“智能腕表”
新能源和环保产业
参股深创投
2×100万千瓦燃煤机组扩建工程项目
综合性能源企业
参股永诚保险
控股股东为深圳市国资委
医药零售业务
医药零售龙头企业
器械耗材业务
互联网 医疗
独具影响力的国药品牌
国大药房推出的“新概念”试点药店
医药分销业务
新能源产品蓄势待发
知名汽车零部件制造集团
一汽股权投资成为公司股东
一汽集团资源优势
2018
加快国际化步伐
产业地产
酒店与长租公寓
大悦城购物中心
中粮集团唯一的地产业务平台
控股股东中粮集团
147.56亿元收购大悦城地产64%股份
轨道交通通信信号领域
向新物流业务转型
智慧产业
中国电子集团旗下公司
专业的信息服务供应商
边缘计算产业联盟理事单位
顶尖的云资源优势
全高清云视频
云计算业务
全面加强云生态协同
中国最大的IT领域分销商
投资城市环境综合治理产业基金
环境综合服务运营商
定增投入环保主业
间接持有Urbaser100%股权
智慧环境管理系统平台业务
智慧环卫
垃圾分类互联网
垃圾焚烧发电
设立创投基金
前海梧桐
打造特色高端物业服务模式
深圳城市更新单元
参股神州长城
土地收储进展
开辟南山热电厂第二气源
参股核电
供电供热
深南电工程/深南电环保
拟在鹤岗市建工业大麻种植基地
综合性户外媒体联网联播服务
成立大麻合伙企业及合资公司
收购浩南生物69%股权
移动新媒体产业
线上广告一体化整合营销服务
传媒生态链领域业务
民间资本业务
分拆概念
中集车辆拟港交所上市
能源、化工及液态食品装备业务
大股东变更为招商工业集团
产城业务
物流服务业务
定增募资加码融资租赁业务（终止）
空港装备业务
集装箱龙头
海洋工程业务
定增加码主业
深耕上海大都市圈
获注中洲集团35亿元资产(终止)
粤港澳大湾区布局
黄金台项目纳入土地整备计划
重视成渝片区发展
拟购招商物业100%股权
未来战略转型方向
实控人拟变更为招商局集团
商业经营业务
智慧物业平台
物业管理知名企业
置出房地产开发业务
推进7号线项目建设
控股股东启动国企改革
超大尺寸电视用偏光片产业化项目
偏光片生产领先企业
技术实力
控股股东支持
金融业务
与阿里云战略合作
金融、房地产等综合性公司
涉足文化传媒领域
战略投资业务
京基集团发起要约收购
中国农牧第一股
地产板块
公共事业板块
控股股东变更为京基集团
金融板块
现代农业板块
拟26亿投建物联网电源高端智造项目
锂电池产业链龙头企业
新能源汽车电池
2018年限制性股票激励计划
无刷电机控制系统
客户资源
中型锂电池电源管理系统及封装业务
苹果产业链
拟定增73亿元 加码AMOLED生产线
全面屏产品技术领先
AMOLED、柔性显示等新技术
获华为质量专项奖
刚性与柔性AMOLED屏兼具
深耕中小尺寸显示领域
逾百亿并购厦门天马和天马有机
投建第6代LTPSAMOLED生产线二期项目
房地产产业
全球最大屏蔽门供应商
回购B股事项实施完毕
新能源产业
6M综合性商业管理模式
不动产综合解决方案提供商
拟继续收购同心再贷款股权
拟置入重庆皇庭100%股权
公寓运营
商业不动产的配套服务业务
限制性股票激励计划
赛格导航
智慧停车项目
橙果酒店
电子专业市场业务
专业电子市场创办者
获注大股东资产
参与设立红土赛格智能产业投资基金
化肥业务
军用柴油、军舰用燃料油
道路沥青业务
兵器工业集团
综合性石油化工企业之一
持有缅甸金属19.9%股权
矿产资源
佩利雅位于澳大利亚的勘探活动
位于多米尼加共和国的勘探活动
金汇期货
跨国矿业企业
广东国资旗下
锂镍电池
与万科签署战略合作框架协议
农产品流通网络运营商
设立农产品流通产业基金
国有股份无偿划转
布吉农产品中心批发市场城市更新项目
重组供应链业务
“大白菜 ”电商平台
股权投资
拟收购深蕾科技75%股权加码主业
电子元器件授权分销商湘海电子
拓展长尾需求市场
主流机顶盒配套芯片代理
打造创新创业服务平台
华强集团拟参与河北省（含雄安新区）建设
逾6亿收购鹏源电子70%股权
携手腾讯，构建创客生态空间
电子专业市场，华强电子网
华为海思全系列产品代理商
电子信息产业服务商
电子元器件授权分销业务
拟定增强化5G布局
掌握核心的IPv6及其相关技术
超视频概念
5G行业应用
5G作为发展核心战略
人工智能助力网络智能化
跨界进入新能源汽车无线充电领域
支持裸眼3D智能手机
全球综合通信信息解决方案提供商
边缘计算服务器
物流自动化设备系统集成服务
践行国家“一带一路”倡议
国际工程承包业务
金属包装容器的生产和销售
太阳能产品贸易及新能源项目开发
实际控制人背景
收购克罗地亚能源工程股份公司76%股权
收购天津飞腾部分股权涉足芯片业务
控股股东变更为中国电子
与百度共建人工智能平台
切入太阳能电池领域
安全可靠生态圈
收购并增资长城信安
高新电子业务
230亿吸收3家军工企业
网络安全与信息化
电源业务
与中科院声学所等共设合资公司
实际控制人拟发生变更
海绵城市建设运营经验优势
增资奥原新材料，试水石墨烯
环境综合治理服务商
环保工程业务
新增对外投资业务平台
巩固旅游主业领军优势
文旅主业
股权投资成效显著
主题公园、旅游产领军者
拓展房地产业务发展新空间
军工信息化产业
光纤光缆 智能接入 军工信息化
收购神州飞航70%股权
深圳国资委旗下
光纤光缆产业
参股投资基金
智能接入产业
医药商业
实力雄厚的医药企业
医药制造和食品、保健品
拟定增募资25亿元偿债及补充流动资金
国际化业务及精准医疗布局
通过婴幼儿奶粉配方注册制认证
抗肿瘤药研发进展
虎杖苷注射液
港口业务
仓储物流业务
布局长江流域
路桥业务
参股双流机场
物流业务
地处粤港澳大湾区
运营深圳宝安国际机场
加快布局国际网络
综合开发业务
城市综合运营商
城市建设
子公司参与上海临港重大资产重组
助力新型业务落地
城市服务
推进市属国资结构调整和战略重组
电力投资业务
深南燃气
深圳市唯一的大型液体化工品仓储企业
参股新材料创投基金
通航维修
开展航空器等设备融资租赁等业务
海上石油业务
业务多元化
通用航空综合服务提供商
直升机配置
持有上海银行5%股权
子公司获得腾讯战略投资
47.6亿元出售智能终端业务
智能制造和工业互联网
聚焦半导体显示产业
与小米集团签订战略合作协议
完善AMOLED产品线
创投与投资业务
作为LP参股利元亨
新一代显示技术研发
2019年限制性股票激励计划
达孜赛勒康拟引入战略投资者
养老社区投资及运营
收购永川卧龙医院65%股权
涉足中医产业领域
拟配股募资用于医院建设项目等(终止)
转型医疗大健康产业
互联网医疗
完善综合性医疗服务平台
部分项目进展
国投集团大力支持
强大的品牌影响力
参与投资设立产业基金
加码抗癌药物
药房连锁业务
参股徽商银行
拟发起设立锂电产业基金
化工产品贸易
拟收购能投锂业50%股权
聚焦资本运作
风电业务
推进“智慧小区”建设
数字化内容的运营商
与华为战略合作
新媒体多业务协同发展
参股当虹科技
智能融合视频云平台
版权资源优势和内容服务优势
马云史玉柱战略入股
中科云谷工业互联网平台
拟30亿元合设中联产业投资基金
中高端农业机械
参股金融
参股泰嘉股份
新兴产业
常山云数据中心项目
与华为、腾讯等的战略合作
参股河北银行
林芝腾讯入股
人工智能 智慧城市
纺织和软件双主业运营
子公司为汉麻联盟的成员
互联网家纺家居项目
生物柴油项目
重大资产重组
回购股份
境外石油炼化厂
参股万家基金
投资SSK英语学习软件
期货经纪业务
研究咨询业务
资产管理业务
推动投资业务转型
多元化的金融产品及服务提供商
企业金融业务
拟定增50亿元打通产业链
参股金元证券
定增收购国望高科
物联网
拟购虹港石化布局PTA产业
拟重组后实际控制人变更
参股创投
热电业务、清洁能源项目
虹港石化注入承诺
整合智慧家居业务
库卡机器人业务
换股吸收合并小天鹅
人工智能与云平台
美的支付
工业互联网平台
氢燃料电池
完成全系列国六发动机开发
欧洲最大的叉车制造商
新业态、新能源、 新科技布局
特高压保持领先地位
新型大功率充电桩
智能变电站
参与雄安新区的充电桩建设
国家电网旗下
