公司名称
江苏新华沣裕资本管理有限公司-新华·沣裕1号私募投资基金
浙商糖酒集团有限公司
香港科技创业股份有限公司
工银瑞信基金-农业银行-工银瑞信投资管理有限公司
上海自贸区股权投资基金管理有限公司-上海自贸试验区智芯投资中心(有限合伙)
圆信永丰汇利混合型证券投资基金(LOF)
鹏华弘实灵活配置混合型证券投资基金A类
湖南太阳鸟控股有限公司
华安基金-兴业银行-中兵投资管理有限责任公司
兰州银行股份有限公司
天津港(集团)有限公司
盛稷股权投资基金(上海)有限公司
中瑞合作基金
"Scentshill Capital I, Limited"
鹏华中证空天一体军工指数证券投资基金(LOF)
上海智鼎博能投资合伙企业(有限合伙)
国盛华兴投资有限公司
北京达安世纪投资管理有限公司
深圳市大勇投资有限公司
工银瑞信添颐债券型证券投资基金A类
金元顺安价值增长混合型证券投资基金
银华优势企业证券投资基金
张家界国家森林公园管理处
宁波理瑞股权投资合伙企业(有限合伙)
上海高讯投资有限公司
中银蓝筹精选灵活配置混合型证券投资基金
嘉实中证医药卫生交易型开放式指数证券投资基金
上海锦汇稀贵金属有限公司
中驰惠程企业管理有限公司
华夏睿磐泰荣混合型证券投资基金A
前海开源清洁能源主题精选灵活配置混合型证券投资基金A
深圳市领汇基石股权投资基金合伙企业(有限合伙)
农银汇理中证500指数证券投资基金
法泰达管理(杭州)有限公司
招商丰泽灵活配置混合型证券投资基金A
新疆硅谷天堂恒瑞股权投资合伙企业(有限合伙)
中民国际通用航空有限责任公司
东方成长回报平衡混合型证券投资基金
阿拉山口市弘通股权投资有限合伙企业
无锡中保嘉沃投资合伙企业(有限合伙)
广东世纪城集团有限公司
中国银行-嘉实服务增值行业证券投资基金
深圳市一体投资控股集团有限公司
广州天朗六菱摄影器材有限公司
方正富邦深证100交易型开放式指数证券投资基金
安徽中辰投资控股有限公司
江苏大千投资发展有限公司
珠海方圆资本管理有限公司
上海祥禾涌安股权投资合伙企业(有限合伙)
中欧基金-招商银行-中欧增值资产管理计划
Ever Union(H.K.) Limited
荷瑞股权投资基金管理(上海)有限公司
天津盛鑫元通有限公司
中银多策略灵活配置混合型证券投资基金
厦门时则壹号投资管理合伙企业(有限合伙)
奇瑞汽车股份有限公司
堆龙荣诚企业管理有限责任公司
西藏藏格创业投资集团有限公司
杭州阿里巴巴泽泰信息技术有限公司
广发中证全指信息技术交易型开放式指数证券投资基金
MORGAN STANLEY & CO. INTERNATIONAL PLC.
电光科技有限公司
东方永熙18个月定期开放债券型证券投资基金A
永新华韵文化产业投资集团有限公司
常州市聚益农业技术服务中心(有限合伙)
民生加银稳健成长混合型证券投资基金
武汉市高德电气有限公司
东方国际集团上海市家用纺织品进出口有限公司
融通资本(固安)投资管理有限公司
苏州兰阳咨询有限公司
发行人未明确持有人
嘉兴长元投资合伙企业(有限合伙)
鹏华优选回报灵活配置混合型证券投资基金
上海中民银孚投资管理有限公司-上海鸿傲投资管理中心(有限合伙)
陕西省国际信托股份有限公司-陕国投·持盈27号证券投资集合资金信托计划
比特(香港)投资有限公司
东莞市三正金融投资有限公司
富国中证煤炭指数分级证券投资基金
嘉实农业产业股票型证券投资基金
国联安优选行业混合型证券投资基金
江苏达胜热缩材料有限公司
南方中证国有企业改革指数分级证券投资基金
长春嘉信股权投资基金管理有限公司-嘉信六合策略精选3号基金
山西汇景企业管理咨询有限公司
广东粤财信托有限公司-粤财信托·腾鑫1号证券投资集合资金信托计划
浙江永贵电器股份有限公司-第1期员工持股计划
白云电气集团有限公司
金元顺安基金-兴业银行-上海爱建信托-爱建信托欣欣7号定向增发事务管理类单一资金信托
中国北方航空公司
天津礼仁投资管理合伙企业(有限合伙)
宁晋县晶泰福科技有限公司
西藏信托有限公司-西藏信托-泓景19号集合资金信托计划
融通中国风1号灵活配置混合型证券投资基金
北京致远天成科技中心(有限合伙)
石家庄鑫汇金科技有限公司
中国建设银行股份有限公司-银华鑫锐定增灵活配置混合型证券投资基金
宁波乐盈投资管理中心(有限合伙)
九泰基金-交通银行-九泰慧通定增2号特定客户资产管理计划
北京市海淀区国有资产投资经营有限公司
摩根士丹利华鑫新机遇灵活配置混合型证券投资基金
华夏银行股份有限公司沈阳分行
上海豪园科技发展有限公司
盾安控股集团有限公司
宁波梅山保税港区万银股权投资合伙企业(有限合伙)
浙江杭钢商贸集团有限公司
西安曲江天授大健康投资合伙企业(有限合伙)
新华水利控股集团有限公司
西藏广博环保投资有限责任公司
东方红创新优选三年定期开放混合型证券投资基金
龙岩市汇金发展集团有限公司
凯伦控股投资有限公司
浙江升华控股集团有限公司
天津滨河汇鼎信息技术合伙企业(有限合伙)
福建省水利投资开发集团有限公司
新华基金-浦发银行-粤财信托-粤财信托·弘盛6号单一资金信托计划
建信消费升级混合型证券投资基金
湖南发展资产管理集团有限公司
新昌县昌欣投资发展有限公司
上海美馨投资管理有限公司
浙江阳光照明电器集团股份有限公司回购专用证券账户
磐厚蔚然(上海)资产管理有限公司-磐厚蔚然-PHC互联网金融产业投资基金
亚东复星瑞哲安泰发展有限公司
潍柴控股集团有限公司
广州粤安建筑劳务有限公司
渤海银行股份有限公司大连分行
民生加银基金-建设银行-西南证券股份有限公司
海南省农垦投资控股集团有限公司
广发聚优灵活配置混合型证券投资基金A
福建柏瑞嘉源资产管理有限公司-柏瑞嘉源成长1号基金
常州创研投资咨询有限公司
海南红棉投资有限公司
招商银行股份有限公司-东方红睿丰灵活配置混合型证券投资基金(LOF)
陕西省国际信托股份有限公司-陕国投·清新环境员工持股计划集合资金信托计划
泰康资产丰华股票专项型养老金产品-中国工商银行股份有限公司
中信建投基金-中信证券-中信建投基金定增10号资产管理计划
西藏紫光春华投资有限公司
西藏晟新创资产管理有限公司
农银汇理物联网主题灵活配置混合型证券投资基金
中通汽车工业集团有限责任公司
华宝科技先锋混合型证券投资基金
上海鸿黔投资管理中心(有限合伙)
康地饲料添加剂(北京)有限公司
浙江省中医药健康产业集团有限公司
苏州海亮房地产有限公司
浙江瀚叶股份有限公司回购专用证券账户
深圳市辉科轻金属研发管理有限公司
鹏华兴合定期开放灵活配置混合型证券投资基金A
上海小村汉宏创业投资合伙企业(有限合伙)
陕西省国际信托股份有限公司-陕国投【融鑫26号】证券投资集合资金信托计划
中国工商银行股份有限公司-诺安价值增长混合型证券投资基金
兴全社会责任混合型证券投资基金
景德镇黑猫集团有限责任公司
中银证券瑞享定期开放灵活配置混合型证券投资基金A
平安安心灵活配置混合型证券投资基金A
中电国睿集团有限公司
GE Smallworld (Singapore) Pte Ltd.
深圳裕龙资本投资管理有限公司
鹏华资产-宁波银行-邓振国
招商丰盛稳定增长灵活配置混合型证券投资基金A
上海中路(集团)有限公司
科迪食品集团股份有限公司
北京神州牧投资基金管理有限公司-神州牧旭宏证券投资基金
山东省文化产业投资集团有限公司
上海新世界(集团)有限公司
武义美润投资管理合伙企业(有限合伙)
上海鼎锋久成股权投资基金合伙企业(有限合伙)
浙江合力创业投资有限公司
苏州瀚川德和投资管理合伙企业(有限合伙)
深圳市前海宏泰恒信基金管理有限公司-宏泰牛刀1号私募证券投资基金
天津润泽物业管理有限公司
上海网智企业管理中心(有限合伙)
宁波东方嘉元投资合伙企业(有限合伙)
无锡通达进出口贸易有限公司
工银瑞信美丽城镇主题股票型证券投资基金
安徽九华山文化旅游集团有限公司
泰信发展主题混合型证券投资基金
北京天厚地德投资管理中心(有限合伙)
索德尚亚洲投资有限公司
红土创新稳健混合型证券投资基金A
樟树市磐鑫投资管理中心(有限合伙)
云南省农村信用社企业年金计划-中国光大银行
DBS NOMINEES PTE LTD
南昌水业集团有限责任公司
天津滨海发展投资控股有限公司
横店集团控股有限公司
景顺长城内需增长贰号混合型证券投资基金
深圳市华昊股权投资合伙企业(有限合伙)
常州光洋控股有限公司
鹏华睿投灵活配置混合型证券投资基金
招商财富-招商银行-德赢1号专项资产管理计划
上海艾顿物资销售有限公司
宁波源开鼎盛投资合伙企业(有限合伙)
上证50交易型开放式指数证券投资基金
深证300交易型开放式指数证券投资基金
"Citibank,National Association"
深圳市中和春生壹号股权投资基金合伙企业(有限合伙)
利田发展有限公司
长信先锐债券型证券投资基金
山东鲁北企业集团总公司
冠联国际投资有限公司
东方盛世灵活配置混合型证券投资基金
League Agent(HK) Limited
长信基金管理有限责任公司-辽宁曙光汽车集团股份有限公司
珠海横琴新区恒荣润业股权投资合伙企业(有限合伙)
合慧伟业商贸(北京)有限公司
华润元大安鑫灵活配置混合型证券投资基金A
深圳抱朴容易资产管理有限公司-抱朴容易1号私募证券投资基金
福州市华侨远致富海并购产业投资合伙企业(有限合伙)
永新县中科投资管理有限公司
上海明河投资管理有限公司-明河成长2号私募证券投资基金
招商银行股份有限公司-华安安华灵活配置混合型证券投资基金
兴业国际信托有限公司-兴业信托·顺网科技1号员工持股集合资金信托计划
中国电信股份有限公司
上海青尚股权投资合伙企业(有限合伙)
北京云集财富投资基金中心(有限合伙)
深圳市得胜资产管理有限公司
基本养老保险基金八零八组合
北京仁东信息技术有限公司
招商先锋证券投资基金
华融汇通资产管理有限公司
深圳腾晋天元投资中心(有限合伙)
中国工商银行股份有限公司-天弘文化新兴产业股票型证券投资基金
中金量化多策略灵活配置混合型证券投资基金
宁波禹舜商贸有限公司
江信基金-光大银行-中航信托-中航信托·天顺【2016】350号方正东亚江信基金投资单一资金信托
吉林日昇投资管理有限公司-日昇飞跃巅峰一期私募证券投资基金
浙江创辉产业投资管理有限公司-健盛投资基金
GL GLEE Investment Hong Kong Limited
莱克(苏州)投资有限公司
国通信托有限责任公司-国通信托·百华1号证券投资单一资金信托
南京医药集团有限公司
长江养老保险股份有限公司-盛世华章养老保障管理产品-安泰振兴股权投资计划专项投资账户
上海翼丰投资管理有限公司
银河君信灵活配置混合型证券投资基金A
天津泰达投资控股有限公司
深圳永宁现代包装实业有限公司
深圳茂业商厦有限公司
美国航空公司
全国社保基金一零七组合
大族控股集团有限公司
新华信托股份有限公司
洛阳城市发展投资集团有限公司(弃用)
