股票代码,公司名称
000725,北京市人民政府国有资产监督管理委员会
000726,刘德铭、刘子斌
000727,国务院国有资产监督管理委员会
000728,安徽省国有资产监督管理委员会
000729,北京市人民政府
000731,国务院国有资产监督管理委员会
000733,国务院国有资产监督管理委员会
000736,国务院国有资产监督管理委员会
000737,山西省人民政府国有资产监督管理委员会
000738,国务院国有资产监督管理委员会
000739,横店社团经济企业联合会
000751,于洪
000753,漳州市人民政府国有资产监督管理委员会
000755,山西省国有资产监督管理委员会
000756,山东省国有资产监督管理委员会
000757,天津市国有资产管理委员会
000759,武汉市国有资产监督管理委员会
000760,张展玉
000761,辽宁省国有资产监督管理委员会
000762,西藏自治区国有资产监督委员会
000767,山西省人民政府国有资产监督管理委员会
000768,国务院国有资产监督管理委员会
000777,国务院国有资产监督管理委员会
000778,国务院国有资产监督管理委员会
000779,甘肃省政府国有资产监督管理委员会
000780,国务院国有资产监督管理委员会
000785,武汉市国有资产监督管理委员会
000786,国务院国有资产监督管理委员会
000788,北京大学
000789,江西省国有资产监督管理委员会
000790,王仁果、张碧华
000791,甘肃省国有资产监督管理委员会
000792,青海省国有资产监督管理委员会
000793,中国国际广播电台
000795,横店社团经济企业联合会
000797,福建省国有资产管理委员会
000798,国务院国有资产监督管理委员会
000799,国务院国有资产监督管理委员会
000800,国务院国有资产监督管理委员会
000801,绵阳市国有资产监督管理委员会
000803,南充市国有资产监督管理委员会、北京市人民政府国有资产监督管理委员会
000806,潘琦
000807,国务院国有资产监督管理委员会
000809,铁岭市财政局
000811,烟台市人民政府国有资产监督管理委员会
000815,国务院国有资产监督管理委员会
000816,罗韶宇
000818,卫洪江
000819,国务院国有资产监督管理委员会
000820,吴道洪
000822,国务院国有资产管理委员会
000823,汕头市国有资产监督管理委员会
000825,山西省国有资产监督管理委员会
000826,教育部
000828,东莞市国有资产监督管理委员会
000829,深圳市人民政府国有资产监督管理委员会
000830,聊城市人民政府国有资产监督管理委员会
000831,国务院国有资产监督管理委员会
000833,广东省国有资产监督管理委员会
000835,赵锐勇、赵非凡
000836,王建沂
000837,陕西省人民政府国有资产监督管理委员会
000838,卢生举
000848,鲁伟鼎
000850,安庆市财政局
000851,国务院国有资产监督管理委员会
000852,国务院国有资产监督管理委员会
000856,北京市人民政府国有资产监督管理委员会
000858,宜宾市政府国有资产监督管理委员会
000859,合肥市人民政府国有资产监督管理委员会
000860,北京市顺义区国有资产监督管理委员会
000861,邵建明、邵建聪、邵建佳
000862,国务院国有资产监督管理委员会
000868,安徽省人民政府国有资产监督管理委员会
000869,烟台裕华投资发展有限公司、意迩瓦萨隆诺控股股份公司、烟台国丰投资控股有限公司、国际金融公司
000875,国务院国有资产监督管理委员会
000877,国务院国有资产监督管理委员会
000878,国务院国有资产监督管理委员会
000880,山东省国有资产监督管理委员会
000881,国务院国有资产监督管理委员会
000882,海南省文化交流促进会
000883,国务院国有资产监督管理委员会
000885,河南省发展和改革委员会
000886,海南省交通运输厅
000888,峨眉山风景名胜区管理委员会
000890,周江、张炜、周津如、邓峰、缪勤、黄翔、林炳兴
000892,陈援、钟君艳
000895,Rise Grand Group Limited
000897,天津市国有资产监督管理委员会
000898,国务院国有资产监督管理委员会
000899,江西省国有资产监督管理委员会
000900,湖南省人民政府国有资产监督管理委员会
000901,国务院国有资产监督管理委员会
000903,昆明市人民政府国有资产监督管理委员会
000905,厦门市国有资产监督管理委员会
000906,浙江省国有资产监督管理委员会
000909,杭州市人民政府
000910,戴品哎、陈建军、陈巧玲、陈晓龙
000911,广西壮族自治区人民政府
000912,泸州市国有资产监督管理委员会
000913,李书福
000915,山东大学
000917,湖南省国有文化资产监督管理委员会
000918,许家印
000919,南京市国有资产监督管理委员会
000920,国务院国有资产监督管理委员会
000921,青岛市人民政府国有资产监督管理委员会
000922,国务院国有资产监督管理委员会
000923,河北省国有资产监督管理委员会
000926,湖北省汉川市钢丝绳厂
000927,国务院国有资产监督管理委员会
000928,国务院国有资产监督管理委员会
000930,国务院国有资产监督管理委员会
000931,黄光裕
000932,湖南省国有资产监督管理委员会
000933,商丘市人民政府国有资产监督管理委员会
000936,江阴市华士镇华西新市村村民委员会
000937,河北省人民政府国有资产监督管理委员会
000938,教育部
000948,云南省人民政府国有资产监督管理委员会
000949,新乡市财政局
000950,重庆市国有资产监督管理委员会
000951,济南市国有资产监督管理委员会
000952,湖北省国有资产监督管理委员会
000957,山东省人民政府国有资产监督管理委员会
000958,国务院国有资产监督管理委员会
000959,北京市国有资产监督管理委员会
000960,云南省国有资产监督管理委员会
000961,陈锦石及一致行动人
000962,国务院国有资产监督管理委员会
000963,胡凯军
000965,天津港保税区国有资产管理局
000966,国务院国有资产监督管理委员会
000968,山西省国有资产监督管理委员会
000969,国务院国有资产监督管理委员会
000970,中国科学院
000972,Veronique Bibi
000973,广东省人民政府
000975,沈国军
000976,江逢坤
000977,山东省人民政府国有资产监督管理委员会
000978,桂林市国有资产监督管理委员会
000980,应建仁、徐美儿
000982,马生国
000983,山西省国有资产监督管理委员会
000985,国务院国有资产监督管理委员会
000987,广州市人民政府国有资产监督管理委员会
000988,教育部
000990,中华人民共和国教育部
000993,宁德市国有资产监督管理委员会
000996,姜荣、刘润红
000998,中华人民共和国财政部
000999,国务院国有资产监督管理委员会
001872,国务院国有资产监督管理委员会
001896,河南省发展和改革委员会
001965,国务院国有资产监督管理委员会
001979,国务院国有资产监督管理委员会
002001,胡柏藩、胡柏剡
002003,章卡鹏、张三云
002006,金良顺
002009,黄伟兴
002010,徐冠巨、徐观宝、徐传化
002012,解直锟
002013,中国航空工业集团有限公司
002014,黄山市供销合作社联合社
002016,梁社增
002017,中国普天信息产业集团有限公司
002021,万钢
002025,国务院国有资产监督管理委员会
002028,董增平、陈邦栋
002029,周永伟、周少明、周少雄
002030,中山大学
002032,SEB S.A.
002034,单建明
002036,韩盛龙、陈伟
002037,国务院国有资产管理委员会
002038,徐明波、河南省新乡市国有资产监督管理委员会
002039,国务院国有资产监督管理委员会
002040,江苏省人民政府国有资产监督管理委员会
002042,"孙伟挺,陈玲芬"
002046,国务院国有资产监督管理委员会
002047,古少明
002049,中华人民共和国教育部
002050,张亚波、张少波、张道才
002051,国务院国有资产监督管理委员会
002052,袁明
002053,云南省国有资产监督管理委员会
002055,邱建民、邱为民
002056,横店社团经济企业联合会
002057,国务院国有资产监督管理委员会
002059,国务院国有资产监管管理委员会
002060,广东省人民政府国有资产监督管理委员会
002061,浙江省人民政府国有资产监督管理委员会
002063,50.43万
002065,薛向东及其家族成员
002066,国务院国有资产监督管理委员会
002068,景德镇市国有资产监督管理委员会
002069,长海县獐子岛投资发展中心
002073,李兆年、杨浩涌
002075,沈文荣
002077,镇江市人民政府国有资产监督管理委员会
002080,国务院国有资产监督管理委员会
002081,朱兴良
002082,赵守明、庄惠
