股票代码,公司名称,持有数量,占总股比例,质押占其直接持股比例,股份类型,十大股东排名,日期
300624,浙江华睿盛银创业投资有限公司,749.14万,9.20%,-,流通A股,3,2019-11-08
300627,广发信德投资管理有限公司,385.53万,1.58%,无质押,流通A股,8,2019-09-30
300641,深圳市创新投资集团有限公司,2458.22万,5.02%,-,流通A股,4,2019-09-30
300657,国泰君安创新投资有限公司,706.72万,3.41%,无质押,流通A股,5,2019-09-30
300663,杭州兆富投资合伙企业(有限合伙),906.67万,3.00%,无质押,流通A股,5,2019-09-30
300677,深圳市创新投资集团有限公司,1543.27万,7.78%,无质押,流通A股,2,2019-11-20
300688,北京用友创新投资中心(有限合伙),92.26万,0.97%,无质押,流通A股,7,2019-09-30
300690,江苏省高科技产业投资股份有限公司,554.00万,4.99%,-,流通A股,2,2019-09-30
300697,渤海证券股份有限公司,29.58万,0.14%,无质押,流通A股,9,2019-09-30
300731,苏州天利投资有限公司,2260.40万,18.10%,无质押,流通A股,2,2019-11-19
300738,深圳索菲亚投资管理有限公司,336.44万,2.86%,无质押,流通A股,2,2019-09-30
300742,伊犁苏新投资基金合伙企业(有限合伙),463.36万,5.90%,无质押,流通A股,3,2019-09-30
300742,上海汉王歌石股权投资基金合伙企业(有限合伙),294.96万,3.76%,无质押,流通A股,5,2019-09-30
300748,金风投资控股有限公司,6000.00万,14.51%,-,流通A股,2,2019-11-22
300755,共青城银汐投资管理合伙企业(有限合伙),100.44万,0.43%,-,流通A股,9,2019-09-30
300767,广发信德投资管理有限公司,450.00万,5.62%,-,受限流通股,5,2019-09-30
300775,广东温氏投资有限公司,4107.00万,8.29%,-,受限流通股,2,2019-09-30
300779,山东省高新技术创业投资有限公司,347.25万,3.47%,无质押,受限流通股,4,2019-09-30
300795,沈阳麟龙投资顾问有限公司,25.50万,0.25%,无质押,受限流通股,10,2019-10-22
300796,上海焦点生物技术有限公司,342.00万,2.82%,-,受限流通股,7,2019-11-15
600008,昆仑信托有限责任公司,8038.59万,1.41%,-,受限流通股,5,2019-09-30
600015,中国人民财产保险股份有限公司,25.63亿,16.66%,无质押,流通A股,3,2019-09-30
600016,新希望六和投资有限公司,18.28亿,4.18%,无质押,流通A股,5,2019-09-30
600035,天安财产保险股份有限公司,1939.66万,1.15%,无质押,受限流通股,5,2019-09-30
600039,安徽省中安金融资产管理股份有限公司,5115.09万,1.42%,-,流通A股,3,2019-09-30
600056,上海汽车集团股权投资有限公司,4270.46万,4.00%,16.67%,受限流通股,3,2019-09-30
600061,中铁二十二局集团有限公司,6116.78万,1.45%,-,流通A股,7,2019-09-30
600098,长电资本控股有限责任公司,5400.00万,1.98%,-,流通A股,3,2019-09-30
600115,上海吉道航企业管理有限公司,5.89亿,3.60%,100.00%,受限流通股,3,2019-09-30
600116,三峡资本控股有限责任公司,4053.08万,4.08%,-,流通A股,4,2019-09-30
600116,长电资本控股有限责任公司,3891.42万,3.92%,-,流通A股,5,2019-09-30
600117,西宁特殊钢集团有限责任公司,3.70亿,35.37%,43.44%,流通A股,1,2019-09-30
600141,中国人民财产保险股份有限公司,1639.34万,1.59%,无质押,受限流通股,7,2019-12-10
600168,三峡资本控股有限责任公司,3476.84万,4.90%,-,流通A股,3,2019-09-30
600173,浙江卧龙置业投资有限公司,3.14亿,44.80%,36.93%,流通A股,1,2019-09-30
600184,安信证券股份有限公司,1017.52万,2.00%,无质押,流通A股,10,2019-09-30
600185,杭州滨创股权投资有限公司,3126.84万,1.52%,无质押,流通A股,8,2019-09-30
600206,中国稀有稀土股份有限公司,2000.00万,2.36%,-,流通A股,2,2019-09-30
600223,上海方大投资管理有限责任公司,4929.69万,4.92%,无质押,流通A股,2,2019-09-30
600226,国盛证券有限责任公司,6055.73万,1.93%,无质押,流通A股,6,2019-09-30
600267,渤海证券股份有限公司,468.44万,0.49%,-,流通A股,10,2019-09-30
600276,中国医药投资有限公司,1.85亿,4.19%,无质押,流通A股,5,2019-09-30
600290,中广核财务有限责任公司,701.64万,0.92%,无质押,流通A股,10,2019-09-30
600315,上海家化(集团)有限公司,3.17亿,47.25%,-,流通A股,1,2019-09-30
600331,四川川商发展控股集团有限公司,1002.00万,0.49%,无质押,流通A股,7,2019-09-30
600335,广发乾和投资有限公司,541.74万,0.37%,-,流通A股,9,2019-09-30
600351,新余市合盛锦禾投资管理中心(有限合伙),817.56万,1.06%,无质押,流通A股,7,2019-09-30
600378,国家军民融合产业投资基金有限责任公司,3785.00万,4.22%,无质押,受限流通股,3,2019-10-10
600379,中冀投资股份有限公司,499.88万,1.51%,-,流通A股,6,2019-09-30
600399,东北特殊钢集团股份有限公司,5.77亿,29.25%,80.03%,流通A股,1,2019-09-30
600420,中国医药投资有限公司,1.74亿,16.94%,-,"受限流通股,流通A股",2,2019-10-25
600444,熊猫财务顾问管理有限公司,227.38万,1.55%,无质押,流通A股,6,2019-09-30
600458,中车株洲电力机车研究所有限公司,2.92亿,36.43%,-,流通A股,1,2019-09-30
600458,中车株洲电力机车有限公司,1233.88万,1.54%,-,流通A股,4,2019-09-30
600458,中车资阳机车有限公司,717.97万,0.89%,-,流通A股,6,2019-09-30
600458,中车大连机车车辆有限公司,557.45万,0.69%,-,流通A股,8,2019-09-30
600461,三峡资本控股有限责任公司,3869.00万,4.11%,无质押,流通A股,7,2019-11-14
600483,三峡资本控股有限责任公司,1.15亿,7.40%,无质押,流通A股,2,2019-09-30
600483,上海汽车集团股权投资有限公司,2173.91万,1.40%,无质押,流通A股,6,2019-09-30
600486,江苏扬农化工集团有限公司,1.12亿,36.17%,-,流通A股,1,2019-09-30
600488,天津药业集团有限公司,5.55亿,50.79%,-,"受限流通股,流通A股",1,2019-09-30
600488,天津宜药印务有限公司,381.28万,0.35%,-,流通A股,5,2019-09-30
600508,上海宝钢国际经济贸易有限公司,557.27万,0.77%,-,流通A股,2,2019-09-30
600517,安泰创业投资(深圳)有限公司,364.00万,0.27%,-,流通A股,10,2019-09-30
600528,中铁二局建设有限公司,6.35亿,28.58%,无质押,流通A股,1,2019-09-30
600535,天士力控股集团有限公司,6.83亿,45.18%,48.72%,流通A股,1,2019-09-30
600555,上海大新华实业有限公司,1.17亿,8.97%,100.00%,流通A股,2,2019-09-30
600586,航天科工财务有限责任公司,1960.00万,1.37%,无质押,流通A股,4,2019-09-30
600589,渤海证券股份有限公司,283.81万,0.40%,无质押,流通A股,8,2019-09-30
600596,中化农化有限公司,387.20万,0.55%,-,流通A股,10,2019-09-30
600611,大众(香港)国际有限公司,4587.17万,1.94%,-,流通B股,3,2019-09-30
600640,同方投资有限公司,1265.19万,1.59%,-,流通A股,5,2019-09-30
