股票代码,公司名称,持有数量,占流通股比例,股份类型,十大流通股东排名,日期
000001,中国平安保险(集团)股份有限公司-集团本级-自有资金,96.19亿,49.57%,流通A股,1,2019-09-30
000001,全国社保基金一零四组合,5846.94万,0.30%,流通A股,10,2019-09-30
000001,香港中央结算有限公司,14.22亿,7.33%,流通A股,2,2019-09-30
000001,中国平安人寿保险股份有限公司-自有资金,11.86亿,6.11%,流通A股,3,2019-09-30
000001,中国平安人寿保险股份有限公司-传统-普通保险产品,4.40亿,2.27%,流通A股,4,2019-09-30
000001,中国证券金融股份有限公司,4.29亿,2.21%,流通A股,5,2019-09-30
000001,中央汇金资产管理有限责任公司,2.16亿,1.11%,流通A股,6,2019-09-30
000001,深圳中电投资股份有限公司,1.61亿,0.83%,流通A股,7,2019-09-30
000001,河南鸿宝企业管理有限公司,1.03亿,0.53%,流通A股,8,2019-09-30
000001,交通银行-易方达50指数证券投资基金,6214.36万,0.32%,流通A股,9,2019-09-30
000002,深圳市地铁集团有限公司,32.43亿,28.71%,流通A股,1,2019-09-30
000002,中国工商银行股份有限公司-平安中证粤港澳大湾区发展主题交易型开放式指数证券投资基金,1.71亿,1.51%,流通A股,10,2019-09-30
000002,HKSCC NOMINEES LIMITED,15.78亿,13.97%,流通H股,2,2019-09-30
000002,深圳市钜盛华股份有限公司,8.00亿,7.08%,流通A股,3,2019-09-30
000002,安邦人寿保险股份有限公司-保守型投资组合,4.85亿,4.29%,流通A股,4,2019-09-30
000002,国信证券-工商银行-国信金鹏分级1号集合资产管理计划,4.57亿,4.05%,流通A股,5,2019-09-30
000002,香港中央结算有限公司,4.21亿,3.73%,流通A股,6,2019-09-30
000002,招商财富-招商银行-德赢1号专项资产管理计划,3.29亿,2.92%,流通A股,7,2019-09-30
000002,前海人寿保险股份有限公司-海利年年,3.23亿,2.86%,流通A股,8,2019-09-30
000002,中央汇金资产管理有限责任公司,1.90亿,1.68%,流通A股,9,2019-09-30
000004,深圳中农大科技投资有限公司,2387.68万,28.90%,流通A股,1,2019-09-30
000004,深圳丰盈传褀资产管理有限公司-丰盈传褀一期,117.53万,1.42%,流通A股,10,2019-09-30
000004,中科汇通(深圳)股权投资基金有限公司,539.76万,6.53%,流通A股,2,2019-09-30
000004,国华人寿保险股份有限公司-万能三号,420.89万,5.10%,流通A股,3,2019-09-30
000004,宁波津原投资有限公司,181.89万,2.20%,流通A股,7,2019-09-30
000005,中国投资有限公司,1.84亿,17.41%,流通A股,1,2019-09-30
000005,杭州钱江中小企业创业投资有限公司,433.10万,0.41%,流通A股,10,2019-09-30
000005,深圳市博睿意碳源科技有限公司,4794.53万,4.53%,流通A股,2,2019-09-30
000005,杭州环博投资有限公司,628.74万,0.59%,流通A股,6,2019-09-30
000005,上海勤幸投资管理中心(有限合伙),596.93万,0.56%,流通A股,7,2019-09-30
000005,杭州智耀投资合伙企业(有限合伙),471.60万,0.45%,流通A股,9,2019-09-30
000006,深圳市人民政府国有资产监督管理委员会,2.96亿,21.96%,流通A股,1,2019-09-30
000006,深圳市远致投资有限公司,1.90亿,14.09%,流通A股,2,2019-09-30
000006,中央汇金资产管理有限责任公司,4736.82万,3.51%,流通A股,3,2019-09-30
000006,中国证券金融股份有限公司,1459.84万,1.08%,流通A股,4,2019-09-30
000006,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,1027.62万,0.76%,流通A股,5,2019-09-30
000007,汉富控股有限公司,7500.01万,24.28%,流通A股,1,2019-09-30
000007,北京朴和恒丰投资有限公司,817.00万,2.64%,流通A股,4,2019-09-30
000007,南通伟易服饰有限公司,373.64万,1.21%,流通A股,6,2019-09-30
000008,中国国投高新产业投资有限公司,5.64亿,21.73%,流通A股,1,2019-09-30
000008,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,2100.99万,0.81%,流通A股,10,2019-09-30
000008,北京市海淀区国有资产投资经营有限公司,3.50亿,13.49%,流通A股,2,2019-09-30
000008,鹏华资产-浦发银行-鹏华资产方圆6号资产管理计划,3530.32万,1.36%,流通A股,3,2019-09-30
000008,鹏华资产-浦发银行-鹏华资产金润28号资产管理计划,3219.90万,1.24%,流通A股,4,2019-09-30
000008,青岛城投金融控股集团有限公司,3058.82万,1.18%,流通A股,5,2019-09-30
000008,长安国际信托股份有限公司-长安信托-长安投资1121号证券投资单一资金信托,3050.00万,1.18%,流通A股,6,2019-09-30
000008,上海豪石九鼎股权投资基金合伙企业(有限合伙),2192.91万,0.85%,流通A股,9,2019-09-30
000009,深圳市富安控股有限公司,3.07亿,12.08%,流通A股,1,2019-09-30
000009,深圳市宝安区投资管理有限公司,1.44亿,5.65%,流通A股,2,2019-09-30
000009,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,2796.56万,1.10%,流通A股,4,2019-09-30
000009,欧阳学荣,1788.95万,0.70%,流通A股,6,2019-09-30
000009,香港中央结算有限公司,1621.50万,0.64%,流通A股,7,2019-09-30
000010,江阴鑫诚业展投资管理企业(有限合伙),3912.20万,7.49%,流通A股,1,2019-09-30
000010,佳源创盛控股集团有限公司,3139.46万,6.01%,流通A股,2,2019-09-30
000010,信达投资有限公司,2879.82万,5.52%,流通A股,3,2019-09-30
000010,新余瑞达投资有限公司,1744.50万,3.34%,流通A股,6,2019-09-30
000010,拉萨鑫宏雅投资咨询有限公司,1470.01万,2.82%,流通A股,7,2019-09-30
000010,上海衍金投资管理有限公司-衍金共生2号私募证券投资基金,1248.48万,2.39%,流通A股,8,2019-09-30
000010,深圳市德远投资有限公司-德远梧桐山9号私募基金,1230.53万,2.36%,流通A股,9,2019-09-30
000011,深圳市投资控股有限公司,3.80亿,64.03%,流通A股,1,2019-09-30
000011,武汉兴开源电力工程有限公司,105.00万,0.18%,流通A股,6,2019-09-30
000011,汕头市置业合信有限公司,85.00万,0.14%,流通A股,8,2019-09-30
000012,前海人寿保险股份有限公司-海利年年,4.66亿,15.21%,流通A股,1,2019-09-30
000012,VANGUARD EMERGING MARKETS STOCK INDEX FUND,1932.02万,0.63%,流通B股,10,2019-09-30
000012,前海人寿保险股份有限公司-万能型保险产品,1.18亿,3.86%,流通A股,2,2019-09-30
000012,深圳市钜盛华股份有限公司,8663.34万,2.82%,流通A股,3,2019-09-30
000012,前海人寿保险股份有限公司-自有资金,6476.52万,2.11%,流通A股,4,2019-09-30
000012,中央汇金资产管理有限责任公司,5791.55万,1.89%,流通A股,5,2019-09-30
000012,UBS AG,3657.59万,1.19%,流通A股,7,2019-09-30
000012,招商证券香港有限公司,3251.64万,1.06%,流通B股,8,2019-09-30
000012,深国际控股(深圳)有限公司,2909.50万,0.95%,流通A股,9,2019-09-30
000014,深业沙河(集团)有限公司,6861.34万,34.02%,流通A股,1,2019-09-30
000014,深圳市茂安源投资有限公司,102.12万,0.51%,流通A股,5,2019-09-30
000014,深圳市盈之泰投资物业管理有限公司,68.50万,0.34%,流通A股,9,2019-09-30
000016,华侨城集团有限公司,5.24亿,21.75%,流通A股,1,2019-09-30
000016,中信证券经纪(香港)有限公司,1.82亿,7.56%,流通B股,2,2019-09-30
000016,HOLY TIME GROUP LIMITED,5613.91万,2.33%,流通B股,3,2019-09-30
000016,国元证券经纪(香港)有限公司,5420.38万,2.25%,流通B股,4,2019-09-30
000016,"GAOLING FUND,L.P.",5280.13万,2.19%,流通B股,5,2019-09-30
000016,香港中央结算有限公司,2376.32万,0.99%,流通A股,6,2019-09-30
000016,招商证券香港有限公司,2306.02万,0.96%,流通B股,7,2019-09-30
000016,NAM NGAI,2120.73万,0.88%,流通B股,8,2019-09-30
000016,全国社保基金一一八组合,2109.95万,0.88%,流通A股,9,2019-09-30
000017,深圳市国晟能源投资发展有限公司,6350.87万,11.52%,流通A股,1,2019-09-30
000017,卓润科技有限公司,200.00万,0.36%,流通A股,10,2019-09-30
000017,大华继显(香港)有限公司,1590.79万,2.89%,流通B股,2,2019-09-30
000017,申万宏源证券(香港)有限公司,662.61万,1.20%,流通B股,4,2019-09-30
000017,招商证券香港有限公司,295.34万,0.54%,流通B股,7,2019-09-30
000017,深圳中华自行车(集团)股份有限公司破产企业财产处置专用账户,260.24万,0.47%,"流通A股,流通B股",8,2019-09-30
000018,STYLE-SUCCESS LIMITED,9297.09万,7.38%,流通B股,2,2019-09-30
000018,九泰基金-交通银行-九泰慧通定增2号特定客户资产管理计划,4069.68万,3.23%,流通A股,5,2019-09-30
000018,富冠投资有限公司,2323.53万,1.84%,流通B股,6,2019-09-30
000018,青海合一实业发展有限公司,1335.71万,1.06%,流通A股,7,2019-09-30
000019,深圳市福德国有资本运营有限公司,6605.25万,14.12%,流通A股,2,2019-09-30
000019,中央汇金资产管理有限责任公司,147.26万,0.31%,流通A股,6,2019-09-30
000020,武汉中恒新科技产业集团有限公司,1.19亿,42.13%,流通A股,1,2019-09-30
000020,赛格(香港)有限公司,1656.96万,5.85%,流通B股,2,2019-09-30
000020,GOOD HOPE CORNER INVESTMENTS LTD,1270.00万,4.49%,流通B股,3,2019-09-30
000020,国元证券经纪(香港)有限公司,387.01万,1.37%,流通B股,5,2019-09-30
000020,LI SHERYN ZHAN MING,102.26万,0.36%,流通B股,7,2019-09-30
000021,中国电子信息产业集团有限公司,6.40亿,43.57%,流通A股,1,2019-09-30
000021,深圳市和沣资产管理有限公司-和沣融慧私募基金,427.12万,0.29%,流通A股,10,2019-09-30
000021,博旭(香港)有限公司,1.07亿,7.26%,流通A股,2,2019-09-30
000021,平安银行股份有限公司-中证800交易型开放式指数证券投资基金,1471.30万,1.00%,流通A股,4,2019-09-30
000021,香港中央结算有限公司,1300.92万,0.89%,流通A股,5,2019-09-30
000021,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,797.53万,0.54%,流通A股,6,2019-09-30
000021,重庆国际信托股份有限公司-重庆信托-麒麟投资1号集合资金信托计划,700.05万,0.48%,流通A股,7,2019-09-30
000023,广东君浩股权投资控股有限公司,3800.00万,27.39%,流通A股,1,2019-09-30
000023,深圳市投资控股有限公司,1227.32万,8.85%,流通A股,2,2019-09-30
000023,佳兆业捷信物流(深圳)有限公司,464.22万,3.35%,流通A股,3,2019-09-30
000023,深圳市东部投资发展股份有限公司,425.89万,3.07%,流通A股,4,2019-09-30
000025,深圳市特发集团有限公司,2.12亿,49.09%,流通A股,1,2019-09-30
000025,深圳远致富海珠宝产业投资企业(有限合伙),8140.74万,18.89%,流通A股,2,2019-09-30
000025,GUOTAI JUNAN SECURITIES(HONGKONG) LIMITED,174.61万,0.41%,流通B股,3,2019-09-30
000025,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,99.71万,0.23%,流通A股,4,2019-09-30
000025,香港中央结算有限公司,49.71万,0.12%,流通B股,6,2019-09-30
000026,中航国际控股股份有限公司,1.63亿,37.18%,流通A股,1,2019-09-30
000026,招商证券香港有限公司,90.44万,0.21%,流通B股,10,2019-09-30
000026,吉林日昇投资管理有限公司-日昇飞跃巅峰一期私募证券投资基金,311.34万,0.71%,流通A股,4,2019-09-30
000026,全国社保基金一一四组合,275.45万,0.63%,流通A股,5,2019-09-30
000026,深圳市赫利丰原商贸有限公司,270.40万,0.62%,流通A股,6,2019-09-30
000026,领航投资澳洲有限公司-领航新兴市场股指基金(交易所),119.05万,0.27%,流通A股,8,2019-09-30
000027,深圳市人民政府国有资产监督管理委员会,18.96亿,47.82%,流通A股,1,2019-09-30
000027,全国社保基金四零七组合,794.48万,0.20%,流通A股,10,2019-09-30
000027,中国证券金融股份有限公司,9057.25万,2.28%,流通A股,3,2019-09-30
000027,深圳市远致投资有限公司,3784.24万,0.95%,流通A股,4,2019-09-30
000027,中央汇金资产管理有限责任公司,3527.59万,0.89%,流通A股,5,2019-09-30
000027,香港中央结算有限公司,2280.24万,0.58%,流通A股,6,2019-09-30
000027,中证500交易型开放式指数证券投资基金,1273.43万,0.32%,流通A股,8,2019-09-30
000028,国药控股股份有限公司,1.85亿,51.00%,流通A股,1,2019-09-30
000028,BBH BOS S/A FIDELITY FD-CHINA FOCUS FD,324.61万,0.90%,流通B股,10,2019-09-30
000028,香港中央结算有限公司,1916.39万,5.28%,流通A股,2,2019-09-30
000028,HTHK/CMG FSGUFP-CMG FIRST STATE CHINA GROWTH FD,1146.96万,3.16%,流通B股,3,2019-09-30
000028,中国医药对外贸易有限公司,532.30万,1.47%,流通A股,4,2019-09-30
000028,富达基金(香港)有限公司-客户资金,482.59万,1.33%,流通A股,5,2019-09-30
000028,北京昊青财富投资管理有限公司-昊青价值稳健8号投资基金,411.87万,1.14%,流通A股,6,2019-09-30
000028,基本养老保险基金一零零三组合,408.09万,1.13%,流通A股,7,2019-09-30
000028,中央汇金资产管理有限责任公司,380.44万,1.05%,流通A股,8,2019-09-30
000028,中国银行股份有限公司-嘉实医疗保健股票型证券投资基金,325.85万,0.90%,流通A股,9,2019-09-30
000030,一汽股权投资(天津)有限公司,4.42亿,24.45%,流通A股,1,2019-09-30
000030,中欧基金-农业银行-中欧中证金融资产管理计划,850.92万,0.47%,流通A股,10,2019-09-30
000030,吉林省天亿投资有限公司,3.31亿,18.34%,流通A股,2,2019-09-30
000030,吉林省国有资本运营有限责任公司,1.82亿,10.05%,流通A股,4,2019-09-30
000030,中国证券金融股份有限公司,4249.38万,2.35%,流通A股,5,2019-09-30
000030,中央汇金资产管理有限责任公司,3500.42万,1.94%,流通A股,6,2019-09-30
000030,工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划,850.92万,0.47%,流通A股,8,2019-09-30
000030,南方基金-农业银行-南方中证金融资产管理计划,850.92万,0.47%,流通A股,9,2019-09-30
000031,中粮集团有限公司,8.57亿,47.27%,流通A股,1,2019-09-30
000031,中央汇金资产管理有限责任公司,6586.46万,3.63%,流通A股,2,2019-09-30
000031,全国社保基金一零八组合,4000.00万,2.21%,流通A股,3,2019-09-30
000031,中国建设银行股份有限公司-博时主题行业混合型证券投资基金(LOF),4000.00万,2.21%,流通A股,4,2019-09-30
000031,香港中央结算有限公司,1991.39万,1.10%,流通A股,5,2019-09-30
000031,融通新蓝筹证券投资基金,1376.67万,0.76%,流通A股,6,2019-09-30
000031,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,1270.58万,0.70%,流通A股,7,2019-09-30
000031,全国社保基金四零七组合,900.60万,0.50%,流通A股,8,2019-09-30
000031,易方达基金-工商银行-易方达基金臻选2号资产管理计划,761.94万,0.42%,流通A股,9,2019-09-30
000032,中国中电国际信息服务有限公司,2.03亿,49.27%,流通A股,1,2019-09-30
000032,中国人民人寿保险股份有限公司-自有资金,199.99万,0.49%,流通A股,10,2019-09-30
000032,中国电子进出口有限公司,3839.12万,9.33%,流通A股,2,2019-09-30
000032,深圳市龙岗区城市建设投资集团有限公司,1129.82万,2.75%,流通A股,3,2019-09-30
000032,中国人民人寿保险股份有限公司-万能-个险万能,592.10万,1.44%,流通A股,5,2019-09-30
000032,中国人民人寿保险股份有限公司-分红-个险分红,467.41万,1.14%,流通A股,6,2019-09-30
000032,中国人民人寿保险股份有限公司-分红-团险分红,420.47万,1.02%,流通A股,7,2019-09-30
000032,中电金投控股有限公司,411.09万,1.00%,流通A股,8,2019-09-30
000034,中国希格玛有限公司,8018.57万,16.52%,流通A股,1,2019-09-30
000034,重庆国投股权投资管理有限公司,509.41万,1.05%,流通A股,10,2019-09-30
000034,深圳市宝安建设投资集团有限公司,2626.18万,5.41%,流通A股,3,2019-09-30
000034,中信建投基金-中信证券-中信建投基金定增16号资产管理计划,2311.96万,4.76%,流通A股,4,2019-09-30
000034,香港中央结算有限公司,938.95万,1.93%,流通A股,7,2019-09-30
000034,全国社保基金四一三组合,783.95万,1.61%,流通A股,8,2019-09-30
000035,南通乾创投资有限公司,4.09亿,31.92%,流通A股,1,2019-09-30
000035,中国天楹股份有限公司-第一期员工持股计划,1456.13万,1.14%,流通A股,10,2019-09-30
000035,南通坤德投资有限公司,7534.55万,5.88%,流通A股,2,2019-09-30
000035,民生加银基金-民生银行-民生加银资产管理有限公司,4380.95万,3.42%,流通A股,3,2019-09-30
000035,建信基金-民生银行-民生加银资产管理有限公司,3978.25万,3.11%,流通A股,4,2019-09-30
000035,西部信托有限公司-西部信托-中国天楹定增事务管理类单一资金信托,2272.73万,1.77%,流通A股,6,2019-09-30
000035,上海并购股权投资基金合伙企业(有限合伙),1515.15万,1.18%,流通A股,7,2019-09-30
000035,华宝投资有限公司,1515.15万,1.18%,流通A股,8,2019-09-30
000035,贵州铁路发展基金管理有限公司-贵州铁路人保壹期壹号股权投资基金中心(有限合伙),1500.00万,1.17%,流通A股,9,2019-09-30
000036,华联发展集团有限公司,4.93亿,33.41%,流通A股,1,2019-09-30
000036,香港中央结算有限公司,4555.05万,3.09%,流通A股,2,2019-09-30
000036,中国工商银行-富国中证红利指数增强型证券投资基金,867.71万,0.59%,流通A股,4,2019-09-30
000036,中国银行股份有限公司-华宝标普中国A股红利机会指数证券投资基金(LOF),676.74万,0.46%,流通A股,6,2019-09-30
000036,柳州佳力房地产开发有限责任公司,661.64万,0.45%,流通A股,7,2019-09-30
000036,柳州瑞恒机电有限责任公司,563.36万,0.38%,流通A股,9,2019-09-30
000037,香港南海洋行(国际)有限公司,9212.32万,15.28%,流通B股,1,2019-09-30
000037,LI SHERYN ZHAN MING,479.04万,0.79%,流通B股,10,2019-09-30
000037,深圳市能源集团有限公司,6510.61万,10.80%,流通A股,3,2019-09-30
000037,"高华-汇丰-GOLDMAN, SACHS & CO.LLC",1283.97万,2.13%,流通A股,4,2019-09-30
000037,BOCI SECURITIES LIMITED,1072.30万,1.78%,流通B股,5,2019-09-30
000037,招商证券香港有限公司,844.27万,1.40%,流通B股,7,2019-09-30
000037,美颐投资置业有限公司,520.76万,0.86%,流通A股,9,2019-09-30
000038,青岛亚星实业有限公司,7095.57万,30.96%,流通A股,1,2019-09-30
000038,云南国际信托有限公司-深大通员工持股计划集合资金信托计划,596.91万,2.60%,流通A股,3,2019-09-30
000038,孝昌和泰兴业投资中心(有限合伙),391.77万,1.71%,流通A股,6,2019-09-30
000039,香港中央结算有限公司,20.79亿,58.03%,"流通A股,流通H股",1,2019-09-30
000039,银华基金-农业银行-银华中证金融资产管理计划,1091.29万,0.30%,流通A股,10,2019-09-30
000039,中远集装箱工业有限公司,5.19亿,14.48%,流通A股,2,2019-09-30
000039,中国证券金融股份有限公司,8495.96万,2.37%,流通A股,3,2019-09-30
000039,中央汇金资产管理有限责任公司,4559.26万,1.27%,流通A股,4,2019-09-30
000039,招商银行股份有限公司-博时中证央企结构调整交易型开放式指数证券投资基金,1174.36万,0.33%,流通A股,5,2019-09-30
000039,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,1155.73万,0.32%,流通A股,6,2019-09-30
000039,中欧基金-农业银行-中欧中证金融资产管理计划,1110.29万,0.31%,流通A股,7,2019-09-30
000039,工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划,1105.42万,0.31%,流通A股,8,2019-09-30
000039,大成基金-农业银行-大成中证金融资产管理计划,1098.04万,0.31%,流通A股,9,2019-09-30
000042,深圳市中洲置地有限公司,3.28亿,49.56%,流通A股,1,2019-09-30
000042,陕西省国际信托股份有限公司-陕国投·金元宝68号证券投资集合资金信托计划,636.74万,0.96%,流通A股,10,2019-09-30
000042,南昌联泰投资有限公司,5518.90万,8.33%,流通A股,2,2019-09-30
000042,深圳市远致投资有限公司,4504.62万,6.80%,流通A股,3,2019-09-30
000042,深圳市联泰房地产开发有限公司,1074.38万,1.62%,流通A股,4,2019-09-30
000042,中铁宝盈资产-浦发银行-中铁宝盈-宝鑫77号特定客户资产管理计划,1035.10万,1.56%,流通A股,5,2019-09-30
000042,华润深国投信托有限公司-优瑞1期集合资金信托计划,906.71万,1.37%,流通A股,6,2019-09-30
000042,鹏华资产-浦发银行-鹏华资产方圆6号资产管理计划,815.15万,1.23%,流通A股,7,2019-09-30
000042,九泰基金-浦发银行-九泰基金-恒胜新动力分级1号资产管理计划,653.97万,0.99%,流通A股,8,2019-09-30
000042,云南国际信托有限公司-云霞3期证券投资集合资金信托计划,642.79万,0.97%,流通A股,9,2019-09-30
000043,中国航空技术深圳有限公司,1.38亿,20.62%,流通A股,2,2019-09-30
000043,深圳中航城发展有限公司,4782.79万,7.17%,流通A股,3,2019-09-30
000043,中国建设银行股份有限公司-汇添富消费行业混合型证券投资基金,1470.01万,2.20%,流通A股,4,2019-09-30
000043,全国社保基金一一六组合,983.63万,1.48%,流通A股,5,2019-09-30
000043,西安飞机工业(集团)有限责任公司,760.78万,1.14%,流通A股,6,2019-09-30
000043,泰康人寿保险有限责任公司-投连-多策略优选,719.55万,1.08%,流通A股,7,2019-09-30
000043,中国建设银行股份有限公司-宝盈新兴产业灵活配置混合型证券投资基金,495.33万,0.74%,流通A股,8,2019-09-30
000043,中华联合财产保险股份有限公司-传统保险产品,467.40万,0.70%,流通A股,9,2019-09-30
000045,深圳市投资控股有限公司,2.34亿,46.22%,流通A股,1,2019-09-30
000045,深圳市深超科技投资有限公司,1612.90万,3.18%,流通A股,2,2019-09-30
000046,中国泛海控股集团有限公司,35.59亿,68.77%,流通A股,1,2019-09-30
000046,香港中央结算有限公司,2762.24万,0.53%,流通A股,10,2019-09-30
000046,中国证券金融股份有限公司,1.64亿,3.16%,流通A股,2,2019-09-30
000046,泛海能源控股股份有限公司,1.24亿,2.40%,流通A股,3,2019-09-30
000046,德邦创新资本-渤海银行-中融国际信托有限公司,8462.22万,1.64%,流通A股,5,2019-09-30
000046,建信基金-兴业银行-华鑫信托-华鑫信托·慧智投资52号结构化集合资金信托计划,6147.66万,1.19%,流通A股,6,2019-09-30
000046,林芝锦华投资管理有限公司,6111.11万,1.18%,流通A股,7,2019-09-30
000046,广东粤财信托有限公司-粤财信托·粤中3号集合资金信托计划,3760.00万,0.73%,流通A股,9,2019-09-30
000048,京基集团有限公司,1.63亿,41.66%,流通A股,1,2019-09-30
000048,深圳市京基时代实业有限公司,1.17亿,29.85%,流通A股,2,2019-09-30
000048,深圳宝达金融服务有限公司,475.00万,1.22%,流通A股,7,2019-09-30
000048,深圳市吴川联合企业家投资有限公司,299.16万,0.77%,流通A股,9,2019-09-30
000049,广东德赛集团有限公司,9282.70万,45.23%,流通A股,1,2019-09-30
000049,中央汇金资产管理有限责任公司,702.79万,3.42%,流通A股,2,2019-09-30
000049,香港中央结算有限公司,258.34万,1.26%,流通A股,3,2019-09-30
000049,交通银行股份有限公司-汇丰晋信双核策略混合型证券投资基金,198.45万,0.97%,流通A股,4,2019-09-30
000049,中国农业银行股份有限公司-嘉实环保低碳股票型证券投资基金,194.73万,0.95%,流通A股,5,2019-09-30
000049,中国建设银行股份有限公司-交银施罗德经济新动力混合型证券投资基金,178.71万,0.87%,流通A股,6,2019-09-30
000049,台湾人寿保险股份有限公司-自有资金,148.03万,0.72%,流通A股,8,2019-09-30
000050,厦门金财产业发展有限公司,3.90亿,21.30%,流通A股,1,2019-09-30
000050,中航国际控股股份有限公司,2.92亿,15.94%,流通A股,2,2019-09-30
000050,湖北省科技投资集团有限公司,1.26亿,6.87%,流通A股,3,2019-09-30
000050,中国航空技术深圳有限公司,8637.50万,4.72%,流通A股,4,2019-09-30
000050,中国航空技术国际控股有限公司,8260.88万,4.52%,流通A股,5,2019-09-30
000050,武汉光谷新技术产业投资有限公司,4391.25万,2.40%,流通A股,6,2019-09-30
000050,深圳市通产集团有限公司,3727.64万,2.04%,流通A股,7,2019-09-30
000050,成都产业投资集团有限公司,2334.21万,1.28%,流通A股,8,2019-09-30
000050,上海工业投资(集团)有限公司,2025.00万,1.11%,流通A股,9,2019-09-30
000055,深圳市邦林科技发展有限公司,1.13亿,10.09%,流通A股,1,2019-09-30
000055,安信国际证券(香港)有限公司,375.77万,0.33%,流通B股,10,2019-09-30
000055,盛久投资有限公司,9568.88万,8.53%,流通B股,2,2019-09-30
000055,共青城时利和投资管理合伙企业(有限合伙),2679.15万,2.39%,流通A股,4,2019-09-30
000055,申万宏源证券(香港)有限公司,1370.52万,1.22%,流通B股,5,2019-09-30
000055,VANGUARD EMERGING MARKETS STOCK INDEX FUND,794.65万,0.71%,流通B股,6,2019-09-30
000055,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,587.20万,0.52%,流通B股,7,2019-09-30
000055,第一上海证券有限公司,400.17万,0.36%,流通B股,9,2019-09-30
000056,深圳市皇庭产业控股有限公司,2.55亿,22.27%,流通A股,1,2019-09-30
000056,深圳市皇庭投资管理有限公司,2.54亿,22.14%,流通A股,2,2019-09-30
000056,苏州和瑞九鼎投资中心(有限合伙),8438.09万,7.36%,流通A股,3,2019-09-30
000056,百利亚太投资有限公司,7263.41万,6.33%,流通B股,4,2019-09-30
000056,BOCI SECURITIES LIMITED,1635.08万,1.43%,流通B股,7,2019-09-30
000056,中铁宝盈资产-浦发银行-中铁宝盈-宝鑫77号特定客户资产管理计划,1447.97万,1.26%,流通A股,8,2019-09-30
000056,皇庭国际集团有限公司,1265.53万,1.10%,流通B股,9,2019-09-30
000058,深圳市赛格集团有限公司,2.50亿,31.84%,流通A股,1,2019-09-30
000058,重庆国际信托股份有限公司-渝信创新优势拾贰号集合资金信托,122.00万,0.16%,流通A股,10,2019-09-30
000058,中国证券金融股份有限公司,227.19万,0.29%,流通A股,5,2019-09-30
000058,LI SHERYN ZHAN MING,195.30万,0.25%,流通B股,6,2019-09-30
000058,浙江九章资产管理有限公司-九章幻方皓月20号私募基金,184.91万,0.24%,流通A股,7,2019-09-30
000059,北方华锦化学工业集团有限公司,5.14亿,32.16%,流通A股,1,2019-09-30
000059,振华石油控股有限公司,1.59亿,9.92%,流通A股,2,2019-09-30
000059,中兵投资管理有限责任公司,9240.05万,5.78%,流通A股,3,2019-09-30
000059,香港中央结算有限公司,1415.36万,0.88%,流通A股,6,2019-09-30
000060,广东省广晟资产经营有限公司,9.82亿,27.52%,流通A股,1,2019-09-30
000060,财通基金-建设银行-银华财富资本管理(北京)有限公司,1644.74万,0.46%,流通A股,10,2019-09-30
000060,深圳市广晟投资发展有限公司,1.40亿,3.92%,流通A股,2,2019-09-30
000060,中信保诚基金-浦发银行-云南国际信托-云信智兴2017-510号单一资金信托,8174.34万,2.29%,流通A股,3,2019-09-30
000060,中国证券金融股份有限公司,8075.31万,2.26%,流通A股,4,2019-09-30
000060,中央汇金资产管理有限责任公司,4417.64万,1.24%,流通A股,5,2019-09-30
000060,广东广晟有色金属集团有限公司,3065.37万,0.86%,流通A股,7,2019-09-30
000060,香港中央结算有限公司,2995.67万,0.84%,流通A股,8,2019-09-30
000060,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,2701.32万,0.76%,流通A股,9,2019-09-30
000061,深圳市福德国有资本运营有限公司,5.77亿,34.03%,流通A股,1,2019-09-30
000061,富德生命人寿保险股份有限公司-万能H,2.21亿,13.04%,流通A股,2,2019-09-30
000061,富德生命人寿保险股份有限公司-分红,2.16亿,12.72%,流通A股,3,2019-09-30
000061,富德生命人寿保险股份有限公司-万能G,7183.31万,4.24%,流通A股,4,2019-09-30
000061,深圳市深铁时代实业发展公司,2018.33万,1.19%,流通A股,5,2019-09-30
000061,深圳市人力资源和社会保障局,2018.33万,1.19%,流通A股,6,2019-09-30
000061,中央汇金资产管理有限责任公司,1883.67万,1.11%,流通A股,7,2019-09-30
000061,中国证券金融股份有限公司,1607.93万,0.95%,流通A股,9,2019-09-30
000062,深圳华强集团有限公司,7.40亿,70.84%,流通A股,1,2019-09-30
000062,中央汇金资产管理有限责任公司,1335.60万,1.28%,流通A股,4,2019-09-30
000062,中国证券金融股份有限公司,729.08万,0.70%,流通A股,5,2019-09-30
000062,香港中央结算有限公司,434.52万,0.42%,流通A股,8,2019-09-30
