pid,股票代码,职务,薪酬,直接持股数,高管类型
33399,000011,"董事长,董事",77.36万,-,董事会
10975,000011,董事,-,-,董事会
8306,000011,副总经理,90.58万,-,监事会
13427,000011,监事,-,-,监事会
52949,000011,监事会主席,79.15万,-,监事会
14087,000011,监事,-,-,监事会
32015,000011,独立董事,4.33万,-,董事会
6005,000011,副总经理,84.37万,-,监事会
41578,000011,独立董事,4.33万,-,董事会
26489,000011,董事,83.58万,-,董事会
50241,000011,董事,-,-,董事会
38878,000011,职工监事,60.09万,-,监事会
37705,000011,董事,123万,-,董事会
19029,000011,"董事会秘书,副总经理",113.3万,-,监事会
51167,000011,"副总经理,财务负责人",66.5万,-,监事会
25062,000011,独立董事,8万,-,董事会
37721,000011,职工监事,49.53万,-,监事会
32115,000011,董事,66.5万,-,董事会
8114,000012,副总裁,128.6万,204万,监事会
39445,000012,常务副总裁,506.1万,276.7万,监事会
30502,000012,董事,-,-,董事会
10587,000012,董事,-,-,董事会
41356,000012,独立董事,-,-,董事会
27311,000012,独立董事,10万,-,董事会
34692,000012,监事,10万,-,监事会
39515,000012,监事会主席,-,-,监事会
12394,000012,董事会秘书,185.5万,263.5万,监事会
32157,000012,"副董事长,董事",408.9万,230万,董事会
41997,000012,董事,-,-,董事会
4616,000012,独立董事,10万,-,董事会
32842,000012,"董事长,董事",-,368.9万,董事会
41071,000012,职工监事,27.93万,-,监事会
19948,000014,董事,-,-,董事会
7808,000014,董事,10万,-,董事会
5805,000014,董事,63.6万,-,董事会
47463,000014,副总经理,63.6万,-,监事会
48211,000014,监事,-,-,监事会
4002,000014,监事会主席,71.46万,-,监事会
24199,000014,董事,75.39万,-,董事会
20937,000014,独立董事,10万,-,董事会
40556,000014,副总经理,63.6万,-,监事会
16621,000014,董事会秘书,54.1万,-,监事会
45311,000014,独立董事,10万,-,董事会
40837,000014,董事,-,-,董事会
9782,000014,副总经理,63.6万,-,监事会
3,000014,副总经理,63.6万,-,监事会
7972,000014,"董事长,董事",-,-,董事会
41706,000014,独立董事,10万,-,董事会
18684,000014,职工监事,45.44万,-,监事会
44377,000016,副总裁,236.1万,-,监事会
46841,000016,董事,-,-,董事会
2417,000016,"董事局主席,董事",7.21万,-,董事会
27359,000016,董事局秘书,236.2万,-,监事会
42384,000016,董事,395.2万,-,董事会
29180,000016,副总裁,171.2万,2.6万,监事会
380,000016,独立董事,7.5万,-,董事会
36115,000016,董事,-,-,董事会
28528,000016,副总裁,251.4万,-,监事会
25194,000016,职工监事,105.5万,-,监事会
19466,000016,副总裁,228.6万,-,监事会
43322,000016,财务总监,216.6万,-,高管
42719,000016,监事,-,-,监事会
33097,000016,副总裁,189.9万,-,监事会
51581,000016,监事会主席,-,-,监事会
2932,000016,独立董事,2.5万,-,董事会
12862,000016,独立董事,2.5万,-,董事会
4179,000017,董事,-,-,董事会
10184,000017,董事,42.21万,-,董事会
49631,000017,独立董事,4.76万,-,董事会
50006,000017,独立董事,4.76万,-,董事会
32435,000017,董事,-,-,董事会
27243,000017,职工监事,14.82万,-,监事会
7692,000017,"董事长,董事",94.36万,-,董事会
1786,000017,监事会召集人,-,-,监事会
17418,000017,董事,-,-,董事会
5980,000017,独立董事,4.76万,-,董事会
8587,000017,监事,13.6万,5276,监事会
4758,000017,董事,15.75万,-,董事会
22349,000018,独立董事,1.37万,-,董事会
37546,000018,董事,-,-,董事会
5744,000018,监事会主席,14.1万,-,监事会
13496,000018,监事,3.12万,-,监事会
2094,000018,董事,43.46万,-,董事会
26651,000018,"副董事长,董事",52.15万,61.91万,董事会
50112,000018,副总经理,-,-,监事会
3579,000018,董事会秘书,22.8万,6.15万,监事会
4884,000018,董事,3300,-,董事会
31107,000018,"副董事长,董事",43.2万,60.1万,董事会
51461,000018,独立董事,11万,-,董事会
30713,000018,独立董事,1.37万,-,董事会
16146,000018,职工监事,1.24万,-,监事会
37296,000018,财务总监,-,-,监事会
8984,000018,"董事长,董事",36.6万,5.835亿,董事会
16442,000019,董事,2.5万,-,董事会
16084,000019,独立董事,-,-,董事会
44719,000019,监事,-,-,监事会
50443,000019,董事,-,-,董事会
28653,000019,副总经理,-,-,监事会
53494,000019,副总经理,-,-,监事会
8705,000019,副总经理,-,-,监事会
54285,000019,董事会秘书,-,-,监事会
41690,000019,独立董事,-,-,董事会
14214,000019,监事会主席,8.33万,-,监事会
37351,000019,董事,2.5万,-,董事会
7843,000019,"董事长,董事",-,-,董事会
21542,000019,董事,-,-,董事会
37529,000019,独立董事,-,-,董事会
27294,000019,职工监事,-,-,监事会
35393,000019,董事,-,-,董事会
8125,000019,监事,-,-,监事会
8378,000019,职工监事,-,-,监事会
44861,000020,独立董事,-,-,董事会
53952,000020,职工监事,-,-,监事会
