pid,股票代码,职务,薪酬,直接持股数,高管类型
47019,002534,董事,-,-,董事会
24001,002534,董事,-,-,董事会
4085,002534,副总经理,-,-,监事会
17889,002534,独立董事,-,-,董事会
35951,002534,监事,-,-,监事会
28379,002534,监事会主席,-,-,监事会
18821,002534,董事,-,-,董事会
24204,002534,财务负责人,74.28万,-,监事会
45141,002534,副总经理,76.96万,54万,监事会
51122,002535,监事会主席,19.3万,15.99万,监事会
32857,002535,"董事会秘书,副总经理",28万,-,监事会
47330,002535,财务负责人,-,-,监事会
8093,002535,独立董事,10.5万,-,董事会
18444,002535,独立董事,3.42万,-,董事会
17918,002535,职工监事,9.33万,-,监事会
25718,002535,独立董事,3.42万,-,董事会
4083,002535,职工监事,10.3万,-,监事会
18537,002535,董事,20.16万,-,董事会
33647,002535,董事,28.4万,5.644万,董事会
52069,002535,"董事长,董事",28.8万,2.39亿,董事会
52876,002535,董事,27.8万,10.14万,董事会
39361,002535,董事,10.5万,-,董事会
10629,002535,董事,20.16万,7055万,董事会
40585,002536,副总经理,23万,36万,监事会
37331,002536,副总经理,23万,177.8万,监事会
35546,002536,副总经理,23万,177.8万,监事会
50569,002536,"副总经理,财务总监",23万,191.3万,监事会
34138,002536,"董事长,董事",-,-,董事会
26334,002536,"副董事长,董事",57万,2786万,董事会
34815,002536,董事,-,-,董事会
52501,002536,副总经理,36万,29.93万,高管
8093,002536,独立董事,10.8万,-,董事会
50498,002536,董事,-,-,董事会
18255,002536,监事会主席,-,-,监事会
12935,002536,独立董事,8.1万,-,董事会
22806,002536,董事,-,-,董事会
29499,002536,董事,23万,177.8万,董事会
11655,002536,副总经理,23万,180万,监事会
43348,002536,副总经理,23万,182.3万,监事会
51758,002536,监事,5.9万,-,监事会
45825,002536,"董事会秘书,副总经理",23万,-,监事会
32644,002536,职工监事,4.9万,-,监事会
25659,002536,独立董事,10.8万,-,董事会
42924,002537,独立董事,1.17万,-,董事会
45954,002537,副总裁,33.45万,-,监事会
30712,002537,"董事会秘书,副总裁",10.91万,10万,监事会
9054,002537,"董事长,董事",48.37万,-,董事会
904,002537,董事,-,-,董事会
45753,002537,董事,30.34万,58.61万,董事会
33870,002537,董事,16.74万,-,董事会
34625,002537,独立董事,7万,-,董事会
30247,002537,独立董事,7万,-,董事会
20592,002537,独立董事,7万,-,董事会
49483,002537,董事,80.88万,48万,董事会
8412,002537,监事会主席,-,-,监事会
38447,002537,董事,37.82万,10万,董事会
52162,002537,职工监事,11.43万,-,监事会
11018,002537,监事,11.62万,-,监事会
16694,002537,董事,-,-,董事会
40075,002537,"副总裁,财务负责人",-,-,监事会
23466,002537,副总裁,20.17万,31万,监事会
12557,002538,监事,-,-,监事会
28047,002538,董事,-,-,董事会
51382,002538,董事,33.41万,-,董事会
4677,002538,副总经理,31.69万,-,监事会
23234,002538,董事,-,-,董事会
40276,002538,董事,-,29.98万,董事会
39026,002538,职工监事,15.36万,-,监事会
20390,002538,副总经理,35.34万,4300,监事会
24687,002538,监事会主席,-,-,监事会
33565,002538,独立董事,-,-,董事会
51076,002538,副总经理,35.34万,11万,监事会
43446,002538,独立董事,6万,-,董事会
31605,002538,"董事长,董事",103.5万,2456万,董事会
29603,002538,董事,38.15万,115.6万,董事会
39003,002538,独立董事,6万,-,董事会
11373,002539,独立董事,-,-,董事会
18873,002539,副总裁,33.68万,512万,监事会
43123,002539,董事,33.61万,-,董事会
21756,002539,监事会主席,31.33万,-,监事会
2512,002539,"副董事长,董事",49.24万,3.933亿,董事会
50440,002539,董事,5万,641.2万,董事会
30227,002539,董事,37.11万,516.2万,董事会
7464,002539,副总裁,-,-,监事会
19277,002539,监事,20.2万,-,监事会
13104,002539,"董事长,董事",33.97万,1.232亿,董事会
281,002539,董事,36.47万,578.7万,董事会
16951,002539,独立董事,-,-,董事会
33355,002539,财务负责人,25.91万,17.5万,监事会
38587,002539,监事,6.79万,25万,监事会
11162,002539,副总裁,-,-,监事会
12808,002539,独立董事,5万,-,董事会
13135,002540,财务负责人,-,-,监事会
37432,002540,"董事长,董事",174.2万,4.964亿,董事会
8808,002540,监事会主席,38.64万,117万,监事会
19096,002540,独立董事,-,-,董事会
12612,002540,职工监事,-,-,监事会
42240,002540,董事会秘书,15.02万,-,监事会
42205,002540,董事,117.1万,119万,董事会
48373,002540,总经理,143万,50.01万,监事会
40214,002540,监事,10.47万,100,监事会
14637,002540,董事,75万,117万,董事会
27438,002540,独立董事,8万,-,董事会
38312,002541,董事,64.8万,371.3万,董事会
50168,002541,监事,19.24万,-,监事会
13392,002541,独立董事,6万,-,董事会
20350,002541,"董事长,董事",60万,1.962亿,董事会
17109,002541,董事,39.67万,540万,董事会
9299,002541,副总经理,31.68万,-,监事会
38321,002541,"董事会秘书,副总经理",40万,27.38万,监事会
43688,002541,监事会主席,20万,-,监事会
19961,002541,总经理,54万,-,监事会
30541,002541,独立董事,6万,-,董事会
18688,002541,职工监事,15.6万,-,监事会
39018,002541,副总经理,30.4万,-,监事会
35586,002542,董事,53万,8655万,董事会
48953,002542,副总经理,50.04万,-,监事会
20676,002542,"董事长,董事",42.22万,3.565亿,董事会
2029,002542,独立董事,6万,-,董事会
11944,002542,董事,25.82万,8405万,董事会
46522,002542,独立董事,6万,-,董事会
42473,002542,监事会主席,-,-,监事会
39483,002542,董事,74.81万,3493万,董事会
51135,002542,副总经理,50.04万,-,监事会
21658,002542,董事,24万,1822万,董事会
749,002542,监事,-,973.9万,监事会
43949,002542,副总经理,50.04万,500万,监事会
48799,002542,职工监事,27.3万,-,监事会
25280,002542,独立董事,6万,-,董事会
8487,002542,董事,-,-,董事会
38432,002542,"董事会秘书,副总经理",60.14万,100万,监事会
48511,002543,独立董事,5万,-,董事会
30063,002543,"董事会秘书,副总裁",44.04万,-,监事会
7145,002543,董事,106.1万,-,董事会
24409,002543,"副董事长,董事",-,5255万,董事会
22929,002543,董事,91.48万,3153万,董事会
32930,002543,"董事长,董事",114.6万,3153万,董事会
25223,002543,独立董事,-,-,董事会
980,002543,独立董事,-,-,董事会
20029,002543,财务总监,36万,7280,监事会
28457,002543,副总裁,65.25万,-,监事会
41951,002543,职工监事,29.38万,1.456万,监事会
25035,002543,监事,37.16万,7280,监事会
5256,002543,监事会主席,29.97万,7280,监事会
24916,002544,职工监事,16.2万,-,监事会
13338,002544,"董事长,董事",-,-,董事会
22657,002544,"董事会秘书,财务总监",116万,86.35万,监事会
52453,002544,副总裁,60.2万,-,监事会
20596,002544,副总裁,108.9万,298万,监事会
25343,002544,独立董事,4万,-,董事会
24026,002544,职工监事,18万,6600,监事会
45155,002544,董事,40.6万,-,董事会
10828,002544,监事,-,1.75万,监事会
48613,002544,副总裁,14.1万,-,监事会
40666,002544,"副董事长,董事",-,-,董事会
32154,002544,副总裁,13.6万,-,监事会
33903,002544,监事,-,-,监事会
47673,002544,职工监事,17万,-,监事会
17036,002544,董事,-,-,董事会
21520,002544,独立董事,4万,-,董事会
15147,002544,监事会主席,-,-,监事会
31984,002544,监事,-,-,监事会
5211,002544,董事,-,-,董事会
8960,002544,独立董事,4万,-,董事会
28037,002544,副总裁,199.5万,85.51万,监事会
29717,002544,独立董事,4万,-,董事会
47271,002545,董事,12万,-,董事会
32317,002545,财务总监,-,-,监事会
49322,002545,独立董事,-,-,董事会
36308,002545,董事,12万,-,董事会
34547,002545,独立董事,-,-,董事会
1064,002545,董事,-,60.31万,董事会
1293,002545,副总经理,12.11万,-,监事会
45419,002545,监事,-,-,监事会
41183,002545,董事,12万,-,董事会
21379,002545,副总经理,-,-,监事会
52941,002545,"副董事长,董事",18万,-,董事会
14984,002545,副总经理,6万,-,监事会
9422,002545,独立董事,6万,-,董事会
16944,002545,职工监事,-,-,监事会
47441,002545,副总经理,12万,-,监事会
46755,002545,"董事长,董事",24万,8775万,董事会
23009,002545,总经理,21.6万,8775万,监事会
43049,002545,副总经理,12万,-,监事会
30521,002545,监事会主席,7.81万,-,监事会
48526,002546,董事,58.18万,465.5万,董事会
42000,002546,副总经理,26.35万,2万,监事会
2543,002546,独立董事,7.24万,-,董事会
7636,002546,独立董事,7.24万,-,董事会
48100,002546,监事,25.67万,-,监事会
8479,002546,职工监事,13.9万,-,监事会
47038,002546,董事,16.11万,201.6万,董事会
48658,002546,独立董事,7.24万,-,董事会
44320,002546,董事,38.06万,-,董事会
47450,002546,董事,13.93万,-,董事会
51847,002546,"董事长,董事",56.05万,4374万,董事会
39489,002546,监事会主席,-,-,监事会
20707,002546,"副董事长,董事",31.93万,1196万,董事会
35576,002546,副总经理,24.91万,-,监事会
18746,002547,独立董事,-,-,董事会
13739,002547,监事,64.94万,-,监事会
19730,002547,职工监事,19.1万,-,监事会
39989,002547,"董事会秘书,副总经理",-,-,监事会
20226,002547,副总经理,46.86万,18万,监事会
22362,002547,副总经理,54.61万,-,监事会
12113,002547,独立董事,8.01万,-,董事会
45810,002547,董事,-,-,董事会
40647,002547,总经理,31.67万,37.83万,监事会
12687,002547,董事,46.86万,-,董事会
47406,002547,"董事长,董事",22.2万,3702万,董事会
10245,002547,监事会主席,46.81万,-,监事会
35116,002547,董事,30.3万,106.5万,董事会
35712,002547,独立董事,6.4万,-,董事会
17966,002548,独立董事,-,-,董事会
42746,002548,监事会主席,-,-,监事会
8350,002548,独立董事,-,-,董事会
4790,002548,独立董事,12万,-,董事会
20864,002548,职工监事,46.42万,2500,监事会
36294,002548,总经理,5.29万,-,监事会
52120,002548,"董事会秘书,副总经理",68.18万,-,监事会
29483,002548,董事,-,-,董事会
23077,002548,副总经理,54.61万,8.55万,监事会
23181,002548,财务负责人,37.53万,-,监事会
53716,002548,"董事长,董事",81.03万,1527万,董事会
51460,002548,副总经理,61.3万,1.26万,监事会
19142,002548,监事,-,-,监事会
52372,002549,职工监事,5.62万,-,监事会
27419,002549,监事,22.72万,-,监事会
17131,002549,董事,36.18万,-,董事会
46972,002549,独立董事,-,-,董事会
46254,002549,董事,36.8万,-,董事会
50658,002549,监事会主席,37.16万,-,监事会
39204,002549,董事,39.12万,-,董事会
7028,002549,独立董事,-,-,董事会
34281,002549,"董事长,董事",60.23万,462万,董事会
26211,002549,董事,69.18万,-,董事会
13855,002549,独立董事,5万,-,董事会
43877,002550,董事,90.65万,2406万,董事会
32068,002550,总监,87.61万,459.2万,监事会
23401,002550,"副总经理,总监",77.15万,30万,监事会
23304,002550,独立董事,10万,-,董事会
27055,002550,监事,24.07万,599.1万,监事会
34733,002550,副总经理,84.97万,-,监事会
43048,002550,"董事长,董事",154.9万,2.554亿,董事会
44553,002550,董事,130.3万,3821万,董事会
9522,002550,财务总监,48.87万,20万,监事会
7676,002550,审计总监,71.28万,134.4万,监事会
49365,002550,独立董事,10万,-,董事会
38816,002550,监事会主席,90.28万,4257万,监事会
49270,002550,董事,83.5万,480万,董事会
21825,002550,"副董事长,董事",15.84万,1.027亿,董事会
23588,002550,独立董事,10万,-,董事会
41986,002550,总监,54.96万,1204万,监事会
51314,002550,职工监事,15.39万,-,监事会
4377,002551,董事,1.53万,-,董事会
5755,002551,副总经理,31.8万,16.68万,监事会
5176,002551,副总经理,44.5万,16.96万,监事会
27720,002551,董事,43.9万,17.56万,董事会
41689,002551,董事,8.21万,-,董事会
13168,002551,"董事会秘书,副总经理",38.5万,17.56万,监事会
39293,002551,"副董事长,董事",51.8万,5809万,董事会
12914,002551,"董事长,董事",50万,2.794亿,董事会
21333,002551,独立董事,8.21万,-,董事会
6787,002551,财务总监,37.4万,7.907万,监事会
51138,002551,监事,23万,-,监事会
28135,002551,独立董事,8.21万,-,董事会
45085,002551,独立董事,8.21万,-,董事会
2211,002551,监事,21.3万,-,监事会
17163,002551,董事,32万,399.1万,董事会
25997,002551,监事会主席,14.3万,1.756万,监事会
33410,002552,独立董事,6万,-,董事会
29313,002552,副总经理,40万,-,监事会
50888,002552,职工监事,10.8万,-,监事会
35507,002552,"副董事长,董事",40万,9850万,董事会
27782,002552,"董事长,董事",40万,3463万,董事会
2026,002552,独立董事,-,-,董事会
14467,002552,董事,23万,-,董事会
24325,002552,独立董事,-,-,董事会
8548,002552,董事,40万,-,董事会
8525,002552,监事,11.2万,-,监事会
10938,002552,监事会主席,11.2万,-,监事会
17409,002552,财务总监,32万,-,监事会
45079,002553,独立董事,6万,-,董事会
39470,002553,"董事长,董事",32.29万,1.378亿,董事会
26404,002553,董事,24.2万,920万,董事会
19519,002553,职工监事,14.37万,-,监事会
49928,002553,董事,62.5万,-,董事会
34916,002553,独立董事,6万,-,董事会
39975,002553,监事,8.88万,-,监事会
2905,002553,监事会主席,20.97万,-,监事会
8046,002553,董事,33.74万,-,董事会
19600,002553,独立董事,6万,-,董事会
24025,002553,董事,17.69万,460.8万,董事会
26387,002553,"董事会秘书,副总经理",12.83万,-,监事会
19764,002554,董事,-,-,董事会
11133,002554,董事,-,-,董事会
36683,002554,董事,-,-,董事会
46731,002554,高级副总经理,-,-,高管
37433,002554,监事会主席,-,-,监事会
50385,002554,独立董事,-,-,董事会
20953,002554,独立董事,-,-,董事会
28161,002554,"董事会秘书,副总经理",72.94万,102.7万,监事会
52753,002554,高级副总经理,-,-,监事会
49434,002554,高级副总经理,-,-,监事会
46525,002554,高级副总经理,-,-,监事会
47350,002554,监事,46.15万,-,监事会
37678,002554,董事,-,-,董事会
42954,002554,职工监事,-,-,监事会
4161,002554,"副总经理,财务总监",-,-,监事会
33392,002554,高级副总经理,-,-,高管
46261,002554,副总经理,75.74万,8935万,监事会
8419,002554,独立董事,-,-,董事会
51033,002554,副总经理,69.5万,8230万,监事会
18825,002554,高级副总经理,-,-,监事会
10137,002554,"董事长,董事",-,-,董事会
7602,002554,高级副总经理,-,-,高管
48520,002554,"副董事长,董事",87.67万,1.542亿,董事会
32275,002555,监事会主席,251.3万,-,监事会
11829,002555,独立董事,10万,-,董事会
23049,002555,职工监事,48.21万,-,监事会
30331,002555,"董事会秘书,财务总监",128万,-,监事会
48244,002555,独立董事,10万,-,董事会
50194,002555,"副董事长,董事",-,-,董事会
18652,002555,独立董事,10万,-,董事会
14361,002555,副总经理,-,-,监事会
1491,002555,"董事长,董事",193.2万,4.037亿,董事会
962,002555,董事,192.8万,69.34万,董事会
32909,002555,监事,91.3万,-,监事会
49073,002555,董事,-,-,董事会
442,002555,独立董事,10万,-,董事会
34779,002556,"董事长,董事",75.45万,40.52万,董事会
24688,002556,董事,-,-,董事会
9981,002556,董事,-,-,董事会
20570,002556,独立董事,3万,-,董事会
23164,002556,独立董事,6万,-,董事会
5716,002556,独立董事,6万,-,董事会
18574,002556,董事,70.86万,11万,董事会
27970,002556,董事,71.81万,30.32万,董事会
31156,002556,监事,28.9万,5万,监事会
7411,002556,"董事会秘书,副总经理,财务负责人",14.43万,10万,监事会
45788,002556,董事,45.96万,162.6万,董事会
9132,002556,职工监事,9.54万,9万,监事会
4915,002556,监事会主席,13.71万,-,监事会
17722,002557,独立董事,6万,-,董事会
45327,002557,独立董事,6万,-,董事会
9798,002557,监事会主席,15万,5000,监事会
10651,002557,监事,-,-,监事会
5194,002557,职工监事,-,-,监事会
3421,002557,独立董事,6万,-,董事会
42302,002557,财务总监,46.47万,-,监事会
36288,002557,副总经理,-,-,监事会
4371,002557,董事,62.51万,-,董事会
20009,002557,"董事长,董事",99.6万,-,董事会
22331,002557,董事,-,-,董事会
38206,002557,董事,-,-,董事会
15372,002558,财务总监,173.2万,-,监事会
46121,002558,董事,216.9万,-,董事会
23646,002558,"董事长,董事",113.5万,-,董事会
18495,002558,职工监事,29.36万,-,监事会
43218,002558,董事,173.2万,-,董事会
29927,002558,董事,-,-,董事会
23386,002558,独立董事,30万,-,董事会
50500,002558,监事会主席,173.2万,-,监事会
22178,002558,独立董事,30万,-,董事会
24669,002558,监事,-,-,监事会
39399,002558,独立董事,30万,-,董事会
51464,002559,"董事长,董事",54万,1964万,董事会
6885,002559,董事,30万,2171万,董事会
16752,002559,职工监事,8.4万,-,监事会
49473,002559,独立董事,6万,-,董事会
50938,002559,监事会主席,22万,1016万,监事会
50022,002559,董事,-,-,董事会
21212,002559,"副董事长,董事",32万,1203万,董事会
1563,002559,监事,15.9万,340.3万,监事会
3183,002559,董事,42万,755.1万,董事会
30042,002559,独立董事,6万,-,董事会
26309,002559,独立董事,6万,-,董事会
39189,002559,董事,42万,763.2万,董事会
19929,002559,副总经理,31万,752.8万,监事会
53299,002559,董事会秘书,20万,22.5万,监事会
36426,002560,副总经理,-,471.7万,监事会
29029,002560,"副董事长,董事",-,-,董事会
34234,002560,独立董事,3.68万,-,董事会
49778,002560,监事,7.8万,-,监事会
41006,002560,监事,9.7万,-,监事会
17416,002560,董事,14.29万,48万,董事会
29224,002560,董事,19.49万,2193万,董事会
12213,002560,独立董事,3.68万,-,董事会
27028,002560,独立董事,3.68万,1.38万,董事会
9478,002560,监事会主席,9.35万,-,监事会
21973,002560,财务总监,13.88万,27.8万,监事会
25088,002560,"董事长,董事",19.49万,7405万,董事会
40789,002561,监事,-,-,监事会
13825,002561,"副董事长,董事",-,-,董事会
21401,002561,董事,-,-,董事会
3307,002561,副总经理,-,-,监事会
9079,002561,董事,91.22万,287.3万,董事会
43043,002561,职工监事,45.2万,-,监事会
19123,002561,独立董事,10.8万,-,董事会
7764,002561,副总经理,90.22万,-,监事会
45896,002561,董事,147.9万,176.5万,董事会
14043,002561,独立董事,10.8万,-,董事会
48072,002561,监事会主席,98.3万,314.9万,监事会
34710,002561,"副董事长,董事",24万,1546万,董事会
33385,002561,独立董事,10.8万,-,董事会
40187,002561,"董事长,董事",-,-,董事会
53306,002562,监事,15.74万,-,监事会
6859,002562,副总裁,49.22万,38.4万,监事会
23447,002562,董事,66.7万,337.6万,董事会
9652,002562,董事,45.38万,269.8万,董事会
30655,002562,监事会主席,23.34万,31.2万,监事会
7811,002562,财务总监,38.03万,54.59万,监事会
43630,002562,董事,62.58万,328万,董事会
6217,002562,董事,49.66万,94.4万,董事会
6140,002562,独立董事,8万,-,董事会
17938,002562,独立董事,8万,-,董事会
41075,002562,监事,13.99万,-,监事会
3633,002562,"副董事长,董事",3万,2.142亿,董事会
16012,002562,"董事长,董事",109.8万,2.574亿,董事会
7,002562,"董事会秘书,副总裁",39.2万,80万,监事会
52556,002562,独立董事,8万,-,董事会
22220,002563,独立董事,10万,-,董事会
9781,002563,"副董事长,董事",111.6万,2.5亿,董事会
42230,002563,监事会主席,-,-,监事会
48119,002563,董事会秘书,62.99万,-,监事会
28247,002563,副总经理,-,30万,监事会
19069,002563,董事,115.2万,1088万,董事会
53852,002563,独立董事,10万,-,董事会
18769,002563,职工监事,30.98万,-,监事会
29564,002563,监事,39.93万,-,监事会
52107,002563,"董事长,董事",115.2万,4.483亿,董事会
24541,002563,"副董事长,董事",115.2万,3.594亿,董事会
41357,002563,董事,99.33万,617.1万,董事会
33441,002563,独立董事,10万,-,董事会
3572,002563,董事,77万,30万,董事会
13617,002563,副总经理,-,-,监事会
20012,002564,副总经理,60万,-,监事会
21363,002564,董事,-,-,董事会
37824,002564,"董事长,董事",-,-,董事会
8010,002564,独立董事,8万,-,董事会
15786,002564,董事,-,-,董事会
38945,002564,财务总监,-,-,监事会
11652,002564,监事,-,-,监事会
9002,002564,监事会主席,-,-,监事会
40364,002564,董事,-,-,董事会
39038,002564,副总经理,80万,-,监事会
54222,002564,总经理,80万,-,监事会
38095,002564,副总经理,60万,-,监事会
9761,002564,副总经理,60万,-,监事会
30364,002564,董事,143.6万,12.68万,董事会
46576,002564,副总经理,157.5万,48.25万,监事会
2553,002564,独立董事,8万,-,董事会
39528,002564,职工监事,34万,59.01万,监事会
54064,002564,"副董事长,董事",100万,-,董事会
16781,002564,副总经理,60万,-,监事会
679,002564,独立董事,8万,-,董事会
21092,002565,职工监事,35.3万,4.5万,监事会
7431,002565,董事,-,-,董事会
44878,002565,副总裁,40.7万,11.27万,高管
51307,002565,监事会主席,54.7万,-,监事会
13894,002565,独立董事,12万,-,董事会
7747,002565,副总裁,74.6万,-,高管
3285,002565,副总裁,78.6万,17.85万,监事会
33252,002565,董事,78.6万,-,董事会
43583,002565,"副总裁,财务总监",45.6万,-,监事会
25648,002565,"董事长,董事",2.5万,-,董事会
41150,002565,独立董事,12万,-,董事会
39347,002565,副总裁,66.8万,14.81万,监事会
52366,002565,独立董事,6万,-,董事会
20524,002565,"董事会秘书,副总裁",55.2万,-,监事会
49425,002565,董事,97.3万,576.4万,董事会
15492,002565,监事,21万,1500,监事会
1549,002565,副总裁,54.6万,9.75万,监事会
4197,002566,"董事会秘书,副总经理",12.96万,-,监事会
24449,002566,监事会主席,7.84万,-,监事会
51253,002566,董事,8.33万,-,董事会
35746,002566,总工程师,-,-,监事会
44748,002566,监事,6.31万,-,监事会
36462,002566,董事,12.96万,-,董事会
36918,002566,"董事长,董事",20.16万,1.294亿,董事会
34608,002566,独立董事,-,-,董事会
7013,002566,董事,7.6万,-,董事会
14532,002566,独立董事,-,-,董事会
51688,002566,董事,12.96万,-,董事会
53256,002566,"副总经理,财务总监",12.96万,-,监事会
45007,002566,独立董事,5万,-,董事会
12895,002566,监事,6.23万,-,监事会
17330,002566,"副董事长,董事",15万,295.9万,董事会
47933,002567,独立董事,8万,-,董事会
46276,002567,监事会主席,25万,-,监事会
34133,002567,董事,63.5万,27万,董事会
4818,002567,独立董事,8万,-,董事会
50489,002567,董事,-,-,董事会
8835,002567,职工监事,15万,-,监事会
23053,002567,财务总监,-,-,监事会
45891,002567,独立董事,8万,-,董事会
16470,002567,职工监事,13.5万,-,监事会
18567,002567,董事,64.5万,27万,董事会
10309,002567,"董事长,董事",103.5万,67.5万,董事会
42870,002567,"副董事长,董事",75万,2100,董事会
13308,002567,董事,-,-,董事会
37758,002567,监事,-,-,监事会
32327,002568,"董事长,董事",94.5万,2.171亿,董事会
28264,002568,董事,91.35万,463.7万,董事会
43891,002568,监事会主席,12万,113.8万,监事会
13117,002568,独立董事,3.75万,-,董事会
24170,002568,董事,81.27万,256.1万,董事会
17797,002568,监事,20.67万,-,监事会
14547,002568,独立董事,14.75万,-,董事会
10398,002568,董事会秘书,21.79万,-,监事会
20503,002568,职工监事,18.6万,-,监事会
24576,002568,独立董事,14.75万,-,董事会
18167,002568,副总经理,80.75万,-,监事会
17488,002568,董事,14.75万,266.3万,董事会
49576,002569,监事会主席,-,-,监事会
1757,002569,"副总经理,财务负责人",-,-,监事会
26348,002569,监事,-,-,监事会
41759,002569,独立董事,6万,-,董事会
46108,002569,董事,-,-,董事会
46343,002569,独立董事,-,-,董事会
24753,002569,总经理,12.7万,-,监事会
53757,002569,"董事会秘书,副总经理",-,-,监事会
30436,002569,董事,-,-,董事会
25275,002569,"副董事长,董事",-,-,董事会
52929,002569,独立董事,6万,-,董事会
48130,002569,董事,-,-,董事会
25268,002569,副总经理,19万,17.8万,监事会
41214,002569,"董事长,董事",-,-,董事会
24848,002569,董事,-,-,董事会
50091,002569,独立董事,6万,-,董事会
24206,002569,监事,-,-,监事会
22618,002570,董事,1.65万,-,董事会
3074,002570,"副董事长,董事",1.65万,-,董事会
18367,002570,独立董事,6.21万,-,董事会
21554,002570,总经理,419.9万,-,监事会
15557,002570,监事,6000,-,监事会
35038,002570,副总经理,40.5万,5.5万,监事会
38167,002570,监事会主席,22.31万,-,监事会
41623,002570,董事,1.19万,-,董事会
29277,002570,职工监事,5.82万,-,监事会
11159,002570,独立董事,6.21万,-,董事会
24057,002570,副总经理,-,1.5万,监事会
43386,002570,副总经理,40.61万,-,监事会
51129,002570,董事,-,-,董事会
14691,002570,"董事长,董事",40.7万,-,董事会
29610,002570,"董事会秘书,副总经理",41.72万,-,监事会
22679,002570,财务总监,206.2万,-,监事会
28031,002570,独立董事,6.67万,-,董事会
51768,002570,董事,163.8万,5.8万,董事会
37442,002571,董事,52.65万,40万,董事会
36396,002571,职工监事,23.54万,-,监事会
2985,002571,独立董事,3.51万,-,董事会
7623,002571,董事,23.75万,60万,董事会
51945,002571,独立董事,3.51万,-,董事会
34272,002571,董事,45.53万,30万,董事会
49159,002571,董事,31.92万,22.5万,董事会
48614,002571,"董事长,董事",46.58万,1.242亿,董事会
32796,002571,独立董事,3.51万,-,董事会
38602,002571,董事,38.44万,-,董事会
19032,002571,监事,17.71万,-,监事会
33644,002571,副总经理,13.56万,-,监事会
49635,002571,监事会主席,16.65万,60万,监事会
38936,002572,副总经理,146.6万,-,监事会
399,002572,副总经理,90万,68万,监事会
18811,002572,监事会主席,44.78万,4万,监事会
772,002572,董事,125.5万,1.771亿,董事会
36450,002572,监事,9万,-,监事会
45628,002572,"董事长,董事",127.5万,1.871亿,董事会
16640,002572,监事,9万,-,监事会
1236,002572,董事,87.59万,60万,董事会
18254,002572,副总经理,99.22万,-,监事会
51469,002572,独立董事,9万,-,董事会
31967,002572,独立董事,9万,-,董事会
19194,002572,独立董事,9万,-,董事会
42193,002572,副总经理,98.07万,60万,监事会
28793,002572,董事,62.48万,-,董事会
22120,002573,董事,7.35万,1.47万,董事会
12879,002573,副总裁,82.66万,107.3万,监事会
27431,002573,总裁助理,-,-,监事会
31690,002573,独立董事,-,-,董事会
16771,002573,董事,103.3万,14.21万,董事会
51550,002573,"总裁,董事会秘书",56.08万,14.23万,监事会
19083,002573,职工监事,41.3万,-,监事会
19567,002573,董事,-,-,董事会
39409,002573,独立董事,-,-,董事会
20260,002573,副总裁,70.43万,19.69万,监事会
12249,002573,副总裁,3.06万,4.06万,监事会
43881,002573,董事,-,-,董事会
29819,002573,监事会主席,55.49万,-,监事会
40694,002573,财务总监,68万,47.74万,监事会
27653,002573,副总裁,83.45万,51.58万,监事会
17172,002573,"董事长,董事",-,-,董事会
1608,002573,监事,-,-,监事会
3561,002573,独立董事,-,-,董事会
27360,002573,副总裁,54.83万,-,监事会
44592,002574,财务总监,24.25万,-,监事会
7218,002574,独立董事,5万,-,董事会
9170,002574,职工监事,27.09万,-,监事会
28478,002574,独立董事,5万,-,董事会
43772,002574,董事,46.54万,-,董事会
41233,002574,董事,69.88万,-,董事会
10955,002574,独立董事,2.92万,-,董事会
45963,002574,监事,20.59万,-,监事会
18249,002574,监事会主席,14.63万,-,监事会
9292,002574,"副董事长,董事",46.55万,-,董事会
36444,002574,"董事长,董事",-,-,董事会
52775,002574,副总经理,47.12万,-,监事会
11290,002575,监事会主席,-,-,监事会
43371,002575,董事,-,-,董事会
1589,002575,财务总监,-,-,监事会
33557,002575,职工监事,-,-,监事会
6855,002575,独立董事,-,-,董事会
50723,002575,董事,-,-,董事会
36168,002575,"董事会秘书,副总经理",3.2万,-,监事会
38092,002575,"董事长,董事",-,-,董事会
22958,002575,董事,-,-,董事会
37591,002575,职工监事,-,-,监事会
22970,002575,独立董事,-,-,董事会
50924,002575,副总经理,-,-,监事会
705,002575,法务总监,-,-,监事会
20342,002576,"副总经理,财务负责人",24.55万,-,监事会
53264,002576,董事,-,-,董事会
14330,002576,监事会主席,-,-,监事会
4320,002576,独立董事,6万,-,董事会
4885,002576,职工监事,10.93万,-,监事会
26285,002576,董事,-,-,董事会
13228,002576,独立董事,6万,-,董事会
8269,002576,监事,-,-,监事会
9395,002576,"董事会秘书,副总经理",32.83万,-,监事会
52234,002576,董事,24.58万,91.3万,董事会
37562,002576,独立董事,6万,-,董事会
39233,002576,"董事长,董事",-,-,董事会
17591,002577,董事,24.06万,-,董事会
19036,002577,董事,-,-,董事会
42004,002577,独立董事,13.12万,-,董事会
10696,002577,"董事长,董事",36.42万,-,董事会
54024,002577,监事,14万,-,监事会
19246,002577,独立董事,13.12万,-,董事会
50628,002577,"董事会秘书,副总经理",65.76万,2万,监事会
5041,002577,财务总监,-,-,监事会
19836,002577,监事,-,-,监事会
7051,002577,监事会主席,-,-,监事会
8952,002578,"董事会秘书,副总经理",20万,-,监事会
