申万一级行业
银行
房地产
医药生物
公用事业
商业贸易
机械设备
综合
建筑装饰
建筑材料
家用电器
汽车
建筑装饰
商业贸易
电子
信息设备
建筑材料
汽车
轻工制造
公用事业
医药生物
汽车
信息设备
信息服务
传媒
机械设备
电子
农林牧渔
化工
有色金属
电子
交通运输
交通运输
交通运输
医药生物
传媒
机械设备
非银金融
化工
家用电器
电气设备
建筑材料
医药生物
公用事业
化工
机械设备
非银金融
商业贸易
化工
医药生物
休闲服务
交通运输
休闲服务
轻工制造
建筑装饰
农林牧渔
有色金属
国防军工
交通运输
休闲服务
电气设备
公用事业
汽车
采掘
交通运输
食品饮料
化工
农林牧渔
纺织服装
非银金融
有色金属
有色金属
电子
食品饮料
采掘
轻工制造
电子
传媒
国防军工
钢铁
医药生物
农林牧渔
农林牧渔
农林牧渔
电气设备
商业贸易
化工
通信
机械设备
电气设备
采掘
交通运输
国防军工
纺织服装
建筑装饰
休闲服务
采掘
交通运输
农林牧渔
轻工制造
建筑装饰
国防军工
农林牧渔
有色金属
信息服务
化工
房地产
机械设备
机械设备
医药生物
电子
信息服务
交运设备
轻工制造
