股票代码,主营业务
002075,优特钢产品的生产与销售
002077,镇江新区内工业园区综合开发建设与基础设施建设、市政工程建设、工业厂房建设与租赁、物流等。
002078,机制纸、纸制品、木浆、纸板的生产和销售；热电的生产
002079,分立器件和集成电路封测
002080,从事风电叶片、高压复合气瓶、高温过滤材料、锂电池隔膜及其他复合材料制品的制造和销售。
002081,建筑装饰
002082,铝加工业务、医疗器械业务及医药制造业务。
002083,毛巾系列产品、纺织品、针织品、床上用品、服装、工艺品的生产及销售
002084,开发、生产高档水暖器材及五金件；销售本企业产品
002085,铝轮毂业务、环保涂复业务、轻量化镁合金业务
002086,水产品加工、生物科技、保税仓储物流及海水苗种繁育、养殖业务
002088,耐火纤维制品生产制造和销售
002087,从事中高档棉纺织品的生产与销售
002089,通信产品的研发、生产与销售业务
002089,软件与服务业务
002089,以及LED产品研发、生产与销售业务；新能源纯电动物流车及配套的动力电池和以LED芯片。
002091,外贸和化工新材料
002090,电力自动化业务、IT业务、电力工程设计与服务业务及新能源投资运营业务
002093,为客户提供信息通信技术（ICT）综合解决方案
002094,新材料蜡烛制品和相关工艺制品的开发、生产和销售
002095,网络基础服务、网络信息推广服务、广告发布服务、生意通电子商务服务、化工贸易服务以及展会服务。
002096,民爆器材、军品的生产、研发与销售
002096,工程爆破服务
002096,物流运输等业务。
002097,生产销售液压静力压桩机、旋挖钻机、多功能小型液压挖掘机和一体化潜孔钻机四大系列产品。
002098,拉链业务与跨境电商(出口)零售业务
002099,特色原料药、制剂的生产和销售以及为国际制药企业提供定制生产、配套研发的服务;环保型活性染料、染料中间体以及颜料中间体的生产和销售。
002100,动物疫苗、饲料及饲用植物蛋白的生产及销售
002100,种猪繁育、生猪养殖、屠宰加工及肉制品销售
002100,融资担保业务
002101,精密铝合金压铸件的设计和生产制造
002102,医药中间体研发生产、家用品制造与分销业务、贸易业务、黄金采矿业、投资性房地产租赁经营业务
002105,自行车零配件、运动健身康复器材生产及销售
002104,密码卡、银行磁条卡、IC卡、模块封装、安全产品等的生产销售。
002106,研发和生产平板显示材料及触控器件
002107,心脑血管中成药的研发、生产和销售。
002109,合成氨、甲醇、甲胺、硝酸、硝酸铵、多孔硝铵、特种气体、铁粉的生产、加工、批发与零售;复合(复混)肥的生产、销售等。
002108,PE燃气、给水管材管件的生产和销售以及BOPA薄膜的生产和销售
002110,钢铁冶炼、轧制、加工及延压产品的生产和销售
002111,开发、生产、销售各类航空地面设备。
002112,电力变压器研发、生产和销售。
002114,铅锌矿石采选、锌冶炼、水力发电和资源综合利用项目
002113,移动网络游戏的研发及运营、移动游戏的代理运营和推广、从事运营商计费业务、广告精准投放业务和物业租赁等。
002116,为国内外工程建设提供设计、咨询、监理和总承包服务。
002115,通信工程和网络工程的系统集成
002115,网络技术服务
002115,软件的开发及技术服务
002115,通信设备、无线广播电视发射设备、无线电发射与接受设备的研发、生产和销售
002115,以及互联网广告投放业务。
002117,"商业票证印刷,智能卡制造与个性化处理,数据处理打印与邮发封装,个性化彩色印刷,普通商业标签与RFID智能标签,电子发票服务,彩票销售与自助销售终端的研发、运营,档案存储与电子化等"
002118,中成药的研发、生产、销售和中药材种植业务
002119,引线框架、键合丝等半导体封装材料的制造和销售
002120,综合快递物流业务。
002122,轴承及机床的生产和销售
002124,饲料技术咨询服务;水产品的养殖(限分公司经营);饲料、饲料原料的批发、零售;自营和代理货物和技术的进出口。
002123,移动互联网运营支撑业务
002125,锰系化工材料业务和污水处理业务
002126,专业研发、制造和销售各种汽车、工程机械等热交换器及后处理产品
002127,品牌授权服务、电商生态综合服务平台服务、柔性供应链园区服务、专业增值服务及货品销售业务
002128,煤炭系列产品的研制、生产和销售；火力发电；热力产品销售；废弃物综合利用及经营；设施租赁等。
002130,高分子核辐射改性新材料及系列电子、电力新产品和新设备的研发、制造和销售
002129,单晶硅材料和半导体器件的研发、生产和销售
002131,机械制造和互联网服务
002132,金属制品
002132,主要是子午轮胎用钢帘线、镀锌钢丝、钢绞线、PC钢绞线等系列产品的制造、销售。
002133,房地产投资、房地产开发经营、商品房销售及出租、实业投资、室内外装饰、工程技术咨询、仓储服务
002133,建筑材料的销售
002134,生产、销售双面和多层印刷电路板。
002135,大跨度空间钢结构、高层重钢结构、轻钢结构和住宅钢结构的设计、制造、安装
002136,钛白粉系列产品和磷酸铁系列产品。
002138,生产片式电感器和片式压敏电阻器
002137,包括企业互联网服务业务和电子制造服务(EMS)
002139,电器产品智能控制、智能电源及其控制、高效照明产品及其控制、高效精密电机及其控制的研发、生产和销售。
002140,主要为煤化工、天然气化工、石油化工、有机化工、无机化工、精细化工、环境市政、建筑、热电等多个行业或领域的工程项目建设提供设计咨询与工程总承包业务。
002141,漆包线及其相关产品的研发、生产和销售。
002142,存款
002142,贷款
002142,办理国内结算
002142,办理票据贴现
002142,发行金融债券
002142,代理发行、兑付债券
002142,代理收付款、保险业务
002142,保管箱服务。
002144,纺织面料、医疗器械的研发、生产和销售
002145,钛白粉、硫酸亚铁的生产、批发零售、研究
002146,房地产开发与销售
002147,"回转支承的生产与经营,地产开发与商业经营。"
002148,从事移动数据增值服务业务等
002150,金属制品和电器设备两大类产品的生产、研发和销售
002149,稀有金属材料的研发、生产和销售
002151,导航定位产品、基于位置的信息系统应用、基于位置的运营服务。
002152,为全球客户提供运营服务、大数据解决方案以及各种智能终端设备
002152,是国内领先的行业人工智能解决方案提供商。
002154,西服、衬衫、T恤等男士系列服饰产品的生产和销售
002155,金锑钨及其共(伴)生矿的勘探、开采、冶炼和加工
002153,从事酒店管理系统集成、软件开发、技术支持与服务
002157,饲料的生产和销售;种猪、商品猪的养殖与销售;畜禽屠宰加工与销售。
002156,集成电路封装测试
002158,螺杆式压缩机应用技术的研制开发、生产销售及售后服务。
002159,以风景区客运索道运输服务为主
002159,辅以旅游景区经营、景观房地产开发及景区酒店业务。
002160,空调器用铝箔和各类复合铝箔的生产和销售
002161,RFID技术及系统解决方案的开发、RFID系列产品的生产和销售
002163,主要从事建筑幕墙工程研发、设计、施工
002163,幕墙产品和太阳能超白压延玻璃、电子功能玻璃的生产、销售业务。
002162,玻化砖、釉面砖的生产与销售;以医养结合为核心的大健康产业
002164,传动设备、门控系统等通用设备的制造、加工和销售。
002165,聚氨酯硬泡组合聚醚和异丙醇胺生产经营
002166,植物功能成份的高纯度单体和标准化提取物的生产、销售
002167,锆及锆系列制品的研发、生产和经营
002169,电气控制设备、电力电缆、综合节能服务及用电服务
002168,电气业务和投资业务
002168,大数据精细化营销的流量经营业务和移动游戏的研发、发行及游戏平台的运营等信息科技业务
002170,复合肥产品的研发、生产和销售
002171,铜板带材的研制、生产和销售
002172,化学纤维及健康医疗
002173,珍珠饰品生产销售与医疗服务
002174,网页网络游戏、移动网络游戏的研发和运营
002176,电动机、发电机、机械产品、锂离子电池用材料、矿产品等的生产和销售。
002177,ATM产品销售和ATM合作运营服务
002178,楼宇智能化工程
002178,公共安全防范工程设计、施工、维修计算机网络系统集成
002178,系统设备采购、工程施工、集成调试、项目管理以及运维增值服务。
002179,光电元器件及电子信息产品的生产销售
002180,集成电路芯片、通用打印耗材及核心部件和再生打印耗材的研究、开发、生产和销售。
002181,设计、制作、代理国内各类广告业务
002181,印刷出版物
002181,销售书报刊
002181,广告经营、报纸发行、新媒体经营等
002182,有色金属的冶炼和压延加工业务。
002183,供应链管理服务
002184,工业电气产品分销业务和系统集成业务(包括公司自主研发产品)
002185,集成电路封装测试
002187,百货零售服务
002188,微型受话器、扬声器的销售和生产
002189,精密光学元组件、光学辅料、光敏电阻等光电产品的研发、设计、生产、销售
002186,餐饮服务及食品加工销售等
002190,主要从事汽车模具、汽车车身零部件、锂离子动力电池等产品的研发、生产、销售业务。
002191,高端包装印刷品和包装材料的研究生产
002193,主要从事精纺呢绒面料的设计、生产与销售业务
002192,锂矿采选行业、精密设备行业、锂电池系统行业、智能电子书包行业
002194,移动通信天馈系统射频子系统及器件研发和生产
002196,电机、缝纫机的制造、销售
002195,（1）互联网信息服务；（2）互联网金融服务。
002197,金融电子支付设备业务；IDC业务；社区O2O金融服务业务；LED照明电子业务。
002198,中成药的研发、生产和销售
002199,石英晶体元器件的研发、设计、生产和销售
002200,"绿化苗木种植及销售,绿化工程设计及施工。"
002201,玻璃纤维深加工制品、玻璃纤维复合材料以及高性能玻璃纤维、高性能玻璃纤维增强基材的制造和销售。
002202,风力发电机组研发、制造及销售
002202,风电服务及风电场投资、开发及销售业务
002203,铜管、铜棒、铜管接件、铜铝复合导体、铝型材等产品的研发、生产制造和销售。
002205,预应力钢筒混凝土管(PCCP)、各种输水管道及其异型管件和配件、地铁盾构环片等水泥制品的制造、运输及相关的技术开发和咨询服务
002205,城市市政基础设施、城市综合管廊、海绵城市等项目的投资、建设、运营。
002204,生产及销售不同品种及规格的冶金设备、散料装卸及港口机械、风电核心零部件及核电设备和起重机产品、数控产品、船用曲轴产品及上述产品的安装与调试。
002207,石油技术服务、建筑安装、运输服务和化工产品销售
002206,从事涤纶工业长丝、灯箱广告材料、帘子布的研发、生产和销售
002208,房地产开发
002209,从事液体包装机械的研发、生产和销售。
002211,高温硅橡胶系列产品的研究、生产和销售
002210,供应链管理服务(主要是综合物流服务、贸易执行服务)以及物流园经营服务
002213,电涡流缓速器件的研发、制造和销售
002212,主要从事电力电缆、电气装备用电线电缆的研发、生产和销售。
002214,非制冷焦平面探测器、红外热像仪、红外热成像系统的研发、生产和销售。
002215,农业生物高新技术产品的研发、生产和销售
002216,从事速冻食品的加工和销售。
002217,触屏显示业务和化工业务
002219,主要从事药品生产
002218,研发、生产及销售太阳电池芯片、组件、太阳能应用产品、太阳能发电系统、太阳能集热板及热水器系统。
002220,水产品加工、农产品加工、冰淇淋制造、药品销售和仓储。
002221,生产、销售液化气并提供相关售后服务。
002222,光学晶体、晶体材料、激光器件的制造及其技术咨询、技术服务。
002223,医疗器械和保健用品的生产和销售。
002224,主要生产销售各类橡胶V带
002224,包括包布V带、切割V带、输送带、联组带、农机带、汽车带等各类产品。
002225,主要从事研制、生产和销售定型、不定形耐火材料
002225,功能耐火材料及配套机构
002225,并承担各种热工设备用耐火材料设计、安装、施工服务等整体承包业务。
002226,"从事工业炸药、工业雷管、工业索类等民用爆炸物品的研发、生产、销售,以及为客户提供工程爆破服务"
002227,电力自动化电源设备及其智能单元的研发、制造、销售和服务。
002228,从事中高档瓦楞纸箱、纸板及缓冲包装材料的研发与设计、生产、销售及服务
002229,票据及票证印刷
002231,主要为运营商提供移动通信网络优化覆盖设备及系统
002231,包括方案设计、提供相关产品、设备安装及调试至达到与运营商约定的网络质量要求。
002230,语音支撑软件、行业应用产品/系统、信息工程和运维服务。
002233,各类硅酸盐水泥的生产和销售
002232,从事汽车业管理软件与汽车电子产品研发、制造及服务
002234,父母代肉种鸡的饲养、商品代肉鸡苗的生产与销售;商品代肉鸡的养殖与销售;饲料、鸡肉制品的生产与销售;利用鸡粪进行沼气发电
002234,并利用沼气发电的副产品开展有机肥的生产与销售
002235,版权业务为核心的知识产权服务业务、互联网营销服务及商务信息用纸服务
002236,安防视频监控产品的研发、生产和销售。
002238,主要负责深圳地区有线电视网络的规划建设、经营管理、维护和广播电视节目的接收、集成、传输
002238,以传输视频信息和开展网上多功能服务为主业。
002237,黄金采选、冶炼及化工生产等
002240,中(高)密度纤维板的生产与销售、林木种植与销售以及稀土、锂盐产品的生产与销售。
002241,电声器件业务和电子配件业务
002239,汽车热管理系统技术开发、产品生产及销售
002242,豆浆机和厨房小家电产品的研发、生产和销售
002243,化妆品、日用品、保健品及食品塑料包装和汽车轻量化解决方案和产品服务
002244,房地产开发及其延伸业务的经营。
002245,LED芯片业务、锂电池及金属物流配送
002247,移动游戏研发与发行及广告推广、中高端装饰贴面材料的研发、设计、生产和销售
002246,硝化棉系列产品、防护器材、活性炭及深加工和环保器材、特种工业泵
002249,微特电机、新能源汽车电驱动系统、汽车起动机及发电机和磁性材料等的生产和销售。
002248,以研发和生产经营数控机床、普通机床及其关键功能部件
002251,超市、百货、家电、批发业务
002250,精细化学高级中间体的研发、生产和销售。
002252,生产和销售血液制品
002253,航空与空管业务、虚拟现实(VR)和增强现实(AR)及“人工智能”业务
002256,精细化工、室内环境治理、生物降解材料、新能源太阳能发电、新能源汽车运营、新能源汽车充电投资
002255,从事余热锅炉、大型及特种材质压力容器和核电产品的制造销售
002255,以及固废、废水等污染物处理及回收利用的环境综合治理服务。
002258,主要从事农药原药及制剂的生产
002259,家居产业和清洁能源产业
002262,医药生产、研发和销售
002261,在线教育
002263,各种塑料包装薄膜的生产及销售。
002264,大卖场、综合超市及百货的连锁经营。
002265,生产经营汽车发动机连杆系列产品、其他工业产品、机床系列产品及零部件。
002266,水轮发电机组、特种发电机和石油采掘等。
002268,从事信息安全产品研制、生产及销售
002268,产品线覆盖数据安全、网络安全、应用安全、安全平台等类别
002267,长输管道的建设与运营及城市燃气销售
002269,服装设计开发；服装、鞋、针织品、皮革制品、羽绒制品、箱包、玩具、饰品、工艺品(除金银)、纸制品的销售
002270,变压器有载分接开关和数控机床的研发、生产及销售
002271,从事新型建筑防水材料的研发、生产、销售及防水工程施工业务
002272,流体机械与控制技术、节能环保动力装备的研发、生产和销售
002272,以及清洁能源项目投资运营及EPC服务
002273,光学影像、LED、微显示、反光材料等领域相关产品的研发、生产和销售
002274,化工原料、化工产品、化肥生产;金属材料、建筑材料、日用百货、煤炭销售
002275,中成药的研发、制造与销售
002275,同时涵盖化学药品制剂、生物制剂与日化保健大健康等多个细分行业
002276,电线电缆、高分子材料、汽车充电设备等产品的研发、生产和销售
002276,以及光伏发电与运维服务
002278,研发、制造、销售石油化工仪器装备
002279,从事电子政务、集团管控、大数据、移动互联领域软件的研究与开发。
002277,商品零售业、酒店业、餐饮业和休闲娱乐业的投资、经营、管理
002281,信息科技领域光、电器件技术及产品的研制、生产、销售和相关技术服务
002280,跨境电商、智能硬件、文化传媒和金融
002283,曲轴、连杆、铸件生产制造
002282,金刚石工具、电动工具、合金工具的研发、生产和销售。
002286,以农副产品为原料经生物工程深加工生产、销售低聚糖、果葡糖浆、赤藓糖醇等产品。
002284,汽车及轨道车辆制动系统、汽车底盘系统的开发、制造、销售和技术服务
002288,CCL、单双面及多层PCB及其上游的电子铜箔、专用木浆纸、半固化片（PP）等产品的研发、生产和销售。
002289,液晶显示屏及模组、触摸屏及模组、触摸显示一体化模组、玻璃盖板等产品的研发、生产和销售。
002287,藏药的研发、生产和销售
002290,专业从事家电外观复合材料（PCM/VCM）的研发、生产和销售
002292,动漫影视片制作、发行、授权以及动漫玩具和非动漫玩具的开发、生产与销售、媒体广告的经营。
002293,家纺产品和家居产品的研发、生产与销售。
002291,皮鞋、皮革制品的生产和销售以及移动互联网营销
002294,从事开发研究、生产化学原料药、粉针剂、片剂、胶囊。
002295,金属加工设备、精密铜管和铜管深加工产品的生产和销售。
002296,铁路信号通信领域产品的研制开发、生产及销售。
002297,航空航天及民用炭炭复合材料、汽车刹车和粉末冶金材料的研发、生产和销售
002299,肉鸡饲养、肉鸡屠宰加工、食品深加工
002298,公共安全与反恐、智慧城市
002298,输配电及控制设备制造及服务、电力设计及服务
002300,电线电缆制造
002303,轻型包装产品、重型包装产品、电子标签及RFID产品的研发、生产与销售
002303,并为客户提供包装产品设计、包装方案优化、包装材料第三方采购与包装产品物流配送、供应商库存管理以及现场辅助包装作业等包装一体化服务
002302,从事高性能预拌砼的生产、销售及其新技术、新工艺的研究开发与推广;新型建材及化工材料的研究及生产应用
002304,洋河、双沟系列白酒的生产和销售
002305,以商业地产为引导的综合性物业开发。
002306,酒楼餐饮服务、团餐餐饮服务和快餐餐饮服务
002307,公路工程、桥梁工程、隧道工程和市政交通工程等公共交通基础设施的施工
002308,超高分辨率数字拼接墙系统业务和幼儿园运营管理服务
002309,特种电缆业务
002310,"生态湿地、园林建设和水利市政等设计施工,向政府提供集生态城市规划、水利工程设计、市政工程施工一体化的全产业链服务。"
002312,磷化工及金融服务外包业务双主业
002311,水产预混料、水产配合饲料和畜禽配合饲料的研发、生产和销售。
002314,组合集成房屋的租赁、安装、拆迁及售后服务;与船舶舱室配套产品的售后服务、塔机租赁及配套服务。
002316,从事专网信息通信技术解决方案业务的服务商
002316,主要为能源、交通等行业提供信息通信技术解决方案
002316,包括相关软硬件产品的研发、制造与服务
002316,以及第三方支付业务。
002315,运营自主开发的中国制造网电子商务平台（Made-in-China.com）、百卓采购网（Abiz.com）、新一站保险网（xyz.cn）三大电子商务平台
002315,针对跨境贸易的外贸综合服务、海外仓储服务
002318,工业用不锈钢及特种合金管材、管件的研发、生产和销售
002317,药品研发、生产、销售
002319,从事以凹印油墨为主的各类印刷油墨的技术开发、生产与销售
002321,种鸭/鸡养殖、孵化、禽苗销售、饲料生产、商品鸭/鸡屠宰加工、冻品销售以及熟食、羽绒生产和销售
002320,海口至海安往返航线、海口至广州往返航线(已停运)、海口至北海往返航线、海口、三亚至西沙往返航线、泉州至金门往返航线
002322,智能电网在线监测、环境监测、电力信息化
002324,先进高分子材料和高性能纤维及其复合材料的研发、生产、销售和服务
002325,承接酒店、剧院会场、写字楼、图书馆、医院、体育场馆等公共装饰工程的设计及施工。
002326,医药、农药和电子化学品业务
002328,从事汽车零部件开卷、冲压、焊接
002328,以及电视屏散热板、通讯机柜机箱等产品的生产和销售
002329,乳制品的研发、生产加工和销售。
002330,生产和销售以“得利斯”为商标的冷却肉及冷冻肉等猪肉生肉制品、火腿等各类低温深加工熟肉制品
002331,"为高速公路、港口航运、城市智能交通等领域的行业用户提供集软件开发、系统集成和运行维护为一体的信息化产品和服务,并在此基础上开展“互联网+”商业模式创新,开展军工电子信息业务。"
002332,甾体原料药和制剂的研制、生产与销售
002333,铝合金挤压型材、铝合金熔铸的研发、生产和销售。
002334,高、中、低压变频器及伺服驱动器研发、制造和销售
002336,商品零售连锁经营
002337,各种子午线轮胎生产成套装备和检测设备的研发、生产和销售
002338,光电测控仪器设备及光学材料等产品的研发、生产与销售
002339,电网自动化（含电网调度自动化、变电站自动化）、配用电自动化和发电厂自动化设备与系统、公用事业自动化设备与系统产品的软件开发、生产和系统集成。
002340,废弃钴镍钨资源与电子废弃物的循环利用以及钴镍粉体材料、电池材料、碳化钨、金银等稀贵金属、铜与塑木型材的生产、销售。
002341,防静电、洁净室耗品的研发、生产、销售；净化工程的设计、施工、维护；超净清洗服务。
002342,索具及相关产品的研发、设计、生产和销售
002344,皮革专业市场的开发、租赁和服务
002343,影视剧的投资、制作、发行及衍生业务
002343,移动休闲游戏研发推广和渠道推广业务及艺人经纪业务
002345,从事中高端时尚消费品的品牌管理和产品的设计、研发、生产及销售
002346,成套开关设备生产与销售
002347,万向轴、联轴器、精密卷筒的研发、生产、和销售及再制造服务
002348,玩具和互联网教育
002349,中成药、中药材、原料药及医药中间体和西药制剂的研发、生产和销售
002350,从事环网柜、箱式变电站、永磁机构真空开关设备、故障定位类产品、柱上开关、自动化产品、电力电子成套设备及其他配电自动化产品的研发、生产和销售。
002351,多媒体音箱、耳机、汽车音响相关产品的研发、设计、生产和销售。
002354,网页网游和移动网游的研发和发行
002353,油田专用设备制造；设备维修改造及配件销售；油田工程技术服务。
002356,电子式电能表、用电管理终端、配备监测终端、预购电控制装置、配变监测系统、配网自动化系统、电能计量集抄系统、预付费网络管理系统和有线、无线电能计量自动化系统及水、电、气、热四表一体化采集等研发、生产及销售
002355,汽车钢制车轮与车载信息化硬件的研发、制造和销售
002358,高低压配电成套装置、电能质量治理、高压电器元器件系列产品开发、生产和销售。
002357,主要提供客运站服务和客运运输服务
002360,是民用炸药的研发、生产、销售（流通）
002360,以及为客户提供爆破工程的整体解决方案等
002359,各类铁塔产品以及立体停车设备的生产、销售业务；无线宽带数据服务业务。
002361,专业从事聚酯树脂系列产品的生产销售。
002362,从事以模式识别为核心的智能交互领域相关的软硬件产品生产、行业应用、技术授权及平台服务。
002363,制动盘、制动毂、轮毂、刹车片等汽车零部件产品的研发、设计、生产和销售
002365,牛磺酸、环氧乙烷的研发、生产和销售
002364,生产配电屏、机架、整流器模块以及电源开关
002366,核电专用设备的生产与销售
002367,从事电梯、自动扶梯、自动人行道及成套配件的产品研发、生产、销售及整机产品的安装和维保
002369,从事网络通讯、消费电子、智能终端类产品的研发、制造与销售
002368,云服务、网络安全服务、智慧应用与服务、系统集成服务等。
002371,电子工艺装备和电子元器件
002370,化学制剂、原料药、诊断试剂的研发、生产和销售
002370,以及提供医药研发外包（CRO）服务。
002372,各类中高档塑料管道制造与销售
002373,“智能交通+互联网”业务
002375,为建筑装饰装修工程、建筑幕墙工程、互联网家装、建筑智能化工程的设计和施工。
002374,园林生态和包装
002376,公司专业从事专用打印机及相关产品的研发、生产、销售和服务。
002377,改性沥青的研发、生产与销售和房地产中介服务。
002378,"钨及其他金属矿产品采掘,钨制品的冶炼和深加工,钨制品销售。"
002379,制造高精度铝板带业务。
002380,热工自动化和电厂信息化产品研发、生产、销售和服务
002381,橡胶输送带的研发、生产和销售
002382,健康防护手套的生产和销售。
002384,印刷电路板、LED电子器件和通信设备
002383,卫星导航定位软硬件产品及相关技术开发与服务。
002385,主要为养殖户和种植户提供高附加值的产品与服务
002386,氯碱化工、化工新材料、新能源电池材料
002387,OLED新型显示产品的研发、生产、销售和技术服务。
002388,提供电子制程系统解决方案及实施方案涉及的电子制程产品。
002389,无人机整机产品和应用服务；电容器专用电子薄膜的制造和销售。
002390,中成药的研发、生产和销售
002391,化学农药原药及制剂的生产
002393,化学药片剂、硬胶囊剂、滴丸剂、冻干粉针剂、水针剂、原料药等产品的生产销售
002394,专业化生产销售色织布、服装、纺织品的外向型棉纺织
002392,钢铁、有色、石化、建材等工业用耐火材料的生产和销售
002392,"并承担高温热工窑炉和装备的耐火材料设计研发、生产配套、施工安装、使用维护与技术服务为一体的""全程在线服务""的整体承包业务。"
002395,超细纤维超真皮革、PU合成革、PVC人造革的生产和销售
002395,经营进料加工和“三来一补”业务
002396,研发、生产和销售企业级网络通讯系统设备及终端设备
002398,建设综合技术服务、商品混凝土、外加剂新材料、蒸压加气混凝土砌块、特种工程施工等
002397,床上用品系列产品的研发、设计、生产和销售
002399,肝素钠原料药的研发生产和销售
002400,品牌管理、自有媒体发布、媒介代理、公关活动和杂志发行等
002401,主要从事智能交通和交通信息化、航运信息化、工业和港航自动化、安防系统等领域的业务
002402,智能控制器的研发、生产和销售
002402,包括智能控制技术的研究、对应的嵌入式软件与算法的开发、技术解决方案的提供、产品设计、生产、物流服务等。
002403,生产厨房炊具、厨房小家电、家居用品及机器人本体、机器人应用
002404,从事丝、绸、服装等产品的研发、生产和销售业务
002406,生产销售汽车和工程机械传动轴
002405,导航电子地图的开发和销售
002407,六氟磷酸锂及电子化学品、锂离子电池、新能源汽车、无机氟化盐
002408,对原料碳四进行深度加工转化成高附加值精细化工产品的研发、生产和销售
002410,提供工具类软件产品系列、管理类软件产品系列；提供实施服务、技术服务、培训服务
002409,磷酸酯阻燃剂和其他橡塑助剂的研发、生产和销售。
002412,传统中成药制剂、化学药、医用制剂的研发、生产和销售
002411,医药板块、新能源新材料板块以及药物中间体（医药中间体、农药中间体）板块三大类
002414,红外热像仪产品的研发、生产和销售
002414,并提供技术服务
002413,雷达系统、遥感测控、卫星导航、数字系统、模拟仿真、安全存储等产品研发、制造和销售。
002415,安防产品的研发、生产和销售。
002416,国内商业
002416,移动通讯、电子产品及相关配套产品的购销与代理
002416,供应链管理等
002417,大数据信息服务业
002418,"内螺纹钢管、精密铜管、钢管、铝管、冷轧钢带、铜带、冰箱、冷柜、空调金属管路配件的加工、销售,同时经营进出口业务"
002418,电机、电控、电空调等产品的研发、生产、销售
002418,融资租赁业务及相关的咨询、担保和商业保理
002419,提供服饰、日用品、生鲜、熟食等商品及餐饮、娱乐等服务
002420,设计、生产和销售电视机结构件、白色家电结构件以及汽车结构件等
002421,建筑智能化及建筑节能服务
002421,同时提供工业自动化系统集成和IC卡读写设备的生产、销售业务
002422,输液系列药品的开发、生产和销售
002423,金融业务
002424,从事止咳化痰用药、感冒用药、心脑血管用药等中成药的生产与销售
002425,网络游戏的研发及运营、IP运营、多媒体文化产品设计制作、文学剧本创作、影视策划、投资以及服装、服饰的设计、销售
002426,精密制造、智能制造和新能源
002428,从锗矿和含锗褐煤矿中提锗
002428,自有锗矿矿山和含锗褐煤矿山
002428,建有集采、冶、销售于一体的锗生产基地
002428,具有自营出口权。
002427,涤纶工业丝和锂电池
002429,家庭视听消费类电子产品研发、设计、生产、销售
002430,大中型空分设备、石化设备的生产和销售和工业气体的生产和销售
002431,风景园林规划设计、园林工程施工及苗木生产、销售。
002432,家用医疗器械的研发、生产及销售
002434,研发、生产、销售汽车变速器及其它汽车零部件。
002435,医药制造业务及机械制造业务
002436,印制线路样板及小批量板的研发、生产、销售
002437,从事药品生产、销售
002438,生产销售阀门及冶金、电力、化工机械、比例伺服阀
002439,专注于信息安全领域
002439,已经形成安全产品和安全服务两条业务主线
002439,可以较为完备地覆盖客户的网络安全需求。
002440,从事纺织染料、印染助剂和化工原料的研发、生产和销售
002441,"通过自有的销售网络分销签约供应商的工业电气元器件产品,以及进行系统集成产品和成套制造产品的生产和销售。"
002443,高等级石油天然气输送用螺旋焊管、镀锌钢管、钢塑复合管的研发、制造和销售
002444,五金工具的生产销售及进出口业务
002442,橡胶用炭黑、白炭黑及工业萘等煤焦油加工业务
002445,电视剧、电影项目的投资、策划、制作、发行、营销及其衍生品开发业务;艺人培养和艺人经纪;版权开发、运营;游戏制作、发行;文化产业的股权投资。
002446,通信设备的生产和销售
002446,提供通讯工程建设劳务。
002447,移动游戏业务。
002449,从事SMDLED器件及组件的的研发、生产和销售
002448,内燃机气缸套的研制、开发、制造、销售及技术服务
002451,电线电缆、风电塔筒和租赁保理
002452,高压隔离开关及接地开关的生产和销售
002453,金融科技和供应链管理
002454,专业从事移动式空调系统研发、生产及销售。
002455,醋酸酯类、偏苯三酸酐及酯类、醇醚类、多元醇类化工产品的研发、生产和销售
002457,各类供水、排水管道的研发、制造和销售
002456,光学光电业务、智能汽车业务
002459,硅片、太阳能电池片及太阳能电池组件的研发、生产和销售
002459,以及太阳能光伏电站的开发、建设、运营等光伏业务
002458,曾祖代肉种鸡的引进与饲养、祖代种鸡的引进与饲养、父母代种雏鸡的生产与销售、商品肉雏鸡的生产与销售、饲料的生产、种猪和商品猪的饲养和销售、奶牛的饲养与牛奶销售、有机肥的生产与销售、农牧设备的生产与销售。
002460,各种深加工锂产品的研究、开发、生产与销售
002461,啤酒的制造、加工、销售
002462,医药批发、连锁零售业务
002462,2005年公司开始经营与医药批发、零售相关的医药物流业务
002462,在满足公司自身医药批发、零售需求的基础上
002462,开展第三方医药物流配送业务。
002463,从事单、双面及多层电路板、高密度互连积层板(HDI)、电路板组装产品、电子设备使用的连接线和连接器等产品及同类和相关产品的批发、进出口业务。
002465,通信设备、导航设备的研制、生产、销售和服务
002464,为正版授权/注册码及游戏虚拟物品提供相关交易服务
002467,增值通信服务、企业通信服务、海外互联网综合服务业务及其他
002466,锂精矿及锂化工产品的生产、加工和销售。
002469,工程设计及工程总承包;催化剂的生产及销售
002468,快递服务业
002471,电力电缆、电气装备用电线电缆、裸电线、电缆材料、电缆接头、电磁线的生产和销售
002471,以及紫砂壶及其配件、金属材料的销售。
002470,研发、生产、销售各类农用肥料、原材料及提供相关许可范围内的资讯服务。
002472,齿轮产品的生产与销售
002473,温控器及电热水壶的研发、生产和销售
002474,电子政务、质检行业“三电工程”、信息安全、协同管理等软件产品的开发与销售、计算机系统集成及技术支持与服务。
002475,连接器产品研发、生产和销售
002476,油气工程技术服务、油气勘探开发、油田及非油田化学品的研发、生产和销售。
002478,钢管生产销售、医疗服务
