股票代码,主营业务
000488,机制纸及板纸和造纸原料、造纸机械、电力、热力的生产与销售
000498,路桥工程施工与养护施工
000501,商业零售及批发业务
000502,从事房地产开发及物业管理业务
000503,医药电子商务、医疗福利管理等
000504,生物医药、节能环保
000505,植物油加工及食品制造。
000506,矿业投资与房地产开发
000509,园林工程、大宗商品贸易。
000507,港口及其配套设施的项目投资；电力项目投资；玻璃纤维制品项目投资；饮料项目投资；化工原料及化工产品项目投资。
000510,从事PCV树脂和烧碱的生产与销售
000513,研究、开发、生产和销售医药产品。
000514,主要从事房地产开发、房屋销售及租赁、物业管理、会展经营、酒店经营管理、市政工程代理。
000517,从事房地产开发、经营；物业服务；建设工程承包等
000516,大健康医疗服务和现代医学技术转化应用
000518,药品、保健品的研发、生产和销售
000519,超硬材料及其制品和内燃机配件的研发、生产、销售
000520,从事干货运输
000521,冰箱、冰柜、空调、洗衣机白色家电产品研发、生产与销售。
000525,原药和制剂产品的生产销售、化肥生态肥的销售
000526,教育培训服务
000523,"从事""浪奇""、""高富力""和""维可倚""等品牌的洗涤用品和磺酸、精甘油、AES等化工原料的开发、生产和销售"
000529,肉类食品供应和教育出版物发行
000528,装载机、挖掘机、起重机、压路机、叉车、平地机、推土机、铣刨机、摊铺机、滑移装载机、挖掘装载机等工程机械及配件的生产、销售
000528,以及融资租赁业务
000530,工业制冷、食品冷冻冷藏、中央及商用空调以及制冷部件等制冷设备的生产和安装。
000531,电力、热力的生产和销售
000532,从事投资与资产管理、电子设备制造、电子器件制造、水质净化等业务。
000533,输配电设备业务、供应链管理业务
000534,微生态制剂、高温合金的研发、生产及销售
000536,从事新型平板显示器件、液晶显示屏、模组及零部件的研发、设计、生产、销售和售后服务。
000537,房地产开发与销售
000538,制造和销售以云南白药系列产品和天然植物药系列产品为主的各类药品。
000539,主要从事电力项目的投资、建设和经营管理
000539,电力的生产和销售业务
000540,房地产及金融业务
000541,照明产品的生产、研发和销售
000544,城市污水处理和集中供热业务
000543,从事投资建设、经营管理以电力生产为主的能源项目
000545,钛白粉生产及销售
000546,以水泥、商砼业务为核心的建材产业和以固(危)废处置为核心的环保产业两大业务板块。
000547,电子蓝军、指控通信、电磁安防和发电设备四大主营业务
000548,路桥收费、酒店经营和房地产开发、现代物业管理
000551,洁净环保工程及设备、输变电高压瓷绝缘子、滚针轴承、各类光机电算一体化测绘仪器、各类磨料磨具等产品的生产经营
000550,生产和销售商用车、SUV以及相关的零部件
000552,煤炭的生产与销售
000553,农药、化工产品的制造和销售
000553,农药、化工产品及其中间体的进出口贸易
000555,技术服务、农业信息化、应用软件开发、金融专用设备相关业务及集成解决方案。
000554,成品油的批发和零售、天然气的零售
000557,生态农业产业化、酒的研发、生产与销售
000557,铁路开发建设与经营管理、仓储和物流服务。
000559,生产底盘及悬架系统
000559,汽车制动系统
000559,汽车传动系统
000559,汽车燃油排气系统
000559,轮毂单元
000559,轴承
000559,精密件
000559,工程机械零部件等汽车系统零部件及总成。
000558,体育运营、房地产销售及租赁、能源及贸易销售
000560,房地产综合服务业务、商业零售业
000560,同时涉及房地产业、酒店旅游服务业和物业管理。
000563,投资银行的一般业务
000561,从事通信装备及电声器材的科研、生产、销售。
000565,油漆涂料的生产销售
000564,商业零售
000566,药品及医疗器械研发、生产和销售
000567,不良资产管理业务。
000570,以“常柴牌”为商标的中小型单缸和多缸柴油机的生产及销售
000568,“国窖1573”、“泸州老窖”等系列白酒的研发、生产和销售
000572,汽车及汽车发动机的研发、制造、销售、物流配送及相关业务
000572,金融服务业
000571,煤炭采掘;物流运输;电动车的生产经营和物业管理等
000576,贸易业务和电源产品、预制破片等军工产品的研发、生产、销售。
000573,开发经营工业区、房地产开发销售、原煤开采销售
000582,从事投资兴建港口、码头、装卸、仓储管理及服务
000582,交通运输（普通货运）
000582,机械加工及修理
000582,外轮代理、物流代理服务
000582,国内、国际商业贸易等
000581,汽车燃油喷射系统、汽车后处理系统、发动机进气系统等产品的开发、制造和销售业务
000585,电力电容器及封闭母线等系统保护及传输设备的制造和营销
000584,智能制造业务
000584,房地产销售、租赁业务以及氨纶生产销售业务。
000586,通信工程及系统集成业务、光纤、光缆及相关产品业务
000587,黄金珠宝首饰研发设计、加工制造、批发零售及品牌加盟
000587,融资租赁
000590,主要生产销售以古汉养生精（口服液、片剂）为代表的中成药系列产品
000590,以克林霉素磷酸酯小针剂和各类输液为主的西药制剂系列产品。
000589,轮胎生产及销售
000591,"太阳能光伏电站的投资运营,以及太阳能电池组件的生产销售"
000592,造林营林、林木产品加工与销售、以烟草化肥销售为主的农资贸易业务和与平潭综合实验区开发项目的有关业务。
000593,城市管道燃气和零售商业
000595,轴承制造、物资贸易
