股票代码,申万一级行业
000962,有色金属
000963,医药生物
000965,房地产
000966,公用事业
000967,公用事业
000968,采掘
000969,有色金属
000970,有色金属
000971,通信
000972,农林牧渔
000973,化工
000975,有色金属
000976,机械设备
000977,计算机
000978,休闲服务
000980,汽车
000981,汽车
000982,纺织服装
000983,采掘
000985,化工
000987,非银金融
000988,电子
000989,医药生物
000990,化工
000993,公用事业
000996,汽车
000997,计算机
000998,农林牧渔
000999,医药生物
001696,汽车
001872,交通运输
001896,公用事业
001965,交通运输
001979,房地产
002001,医药生物
002002,化工
002003,纺织服装
002004,化工
002005,电子
002006,机械设备
002007,医药生物
002009,机械设备
002010,交通运输
002012,轻工制造
002013,国防军工
002014,轻工制造
002015,公用事业
002016,房地产
002017,通信
002019,医药生物
002020,医药生物
002021,机械设备
002022,医药生物
002023,国防军工
002024,商业贸易
002025,国防军工
002026,机械设备
002027,传媒
002028,电气设备
002029,纺织服装
002030,医药生物
002031,机械设备
002032,家用电器
002033,休闲服务
002034,公用事业
002035,家用电器
002036,电子
002037,化工
002038,医药生物
002039,公用事业
002040,交通运输
002041,农林牧渔
002042,纺织服装
002043,建筑材料
002044,医药生物
002045,电子
002046,机械设备
002047,建筑装饰
002048,汽车
002049,电子
002050,家用电器
002051,建筑装饰
002052,家用电器
002053,化工
002054,化工
002055,电子
002056,有色金属
002057,有色金属
002058,电气设备
002059,机械设备
002060,建筑装饰
002061,建筑装饰
002062,建筑装饰
002063,计算机
002064,化工
002065,计算机
002066,建筑材料
002067,轻工制造
002068,化工
002069,农林牧渔
002071,传媒
002072,计算机
002073,机械设备
002074,电气设备
002075,钢铁
002076,电子
002077,电子
002078,轻工制造
002079,电子
002080,化工
002081,建筑装饰
002082,建筑材料
002083,纺织服装
002084,轻工制造
002085,汽车
002086,农林牧渔
002087,纺织服装
002088,建筑材料
002089,通信
002090,电气设备
002091,商业贸易
002092,化工
002093,通信
002094,化工
002095,传媒
002096,化工
002097,机械设备
002098,纺织服装
002099,医药生物
002100,农林牧渔
002101,汽车
002102,医药生物
002103,传媒
002104,通信
002105,汽车
002106,电子
002107,医药生物
002108,化工
002109,化工
002110,钢铁
002111,机械设备
002112,电气设备
002113,传媒
002114,有色金属
002115,通信
002116,建筑装饰
002117,轻工制造
002118,医药生物
002119,电子
002120,交通运输
002121,电气设备
002122,机械设备
002123,通信
002124,农林牧渔
002125,化工
002126,汽车
002127,商业贸易
002128,采掘
002129,电气设备
002130,有色金属
002131,传媒
002132,机械设备
002133,房地产
002134,电子
002135,建筑装饰
002136,化工
002137,传媒
002138,电子
002139,电子
002140,建筑装饰
002141,电子
002142,银行
002144,纺织服装
002145,化工
002146,房地产
002147,房地产
002148,传媒
002149,有色金属
002150,机械设备
002151,国防军工
002152,计算机
002153,计算机
002154,纺织服装
002155,有色金属
002156,电子
002157,农林牧渔
002158,机械设备
002159,休闲服务
002160,有色金属
002161,电子
002162,建筑材料
002163,建筑材料
002164,机械设备
002165,化工
002166,医药生物
002167,有色金属
002168,传媒
002169,电气设备
002170,化工
002171,有色金属
002172,化工
002173,医药生物
002174,传媒
002175,传媒
002176,电气设备
002177,计算机
002178,建筑装饰
002179,国防军工
002180,计算机
002181,传媒
002182,有色金属
002183,交通运输
002184,电气设备
002185,电子
002186,休闲服务
002187,商业贸易
002188,电子
002189,电子
002190,电气设备
002191,轻工制造
002192,机械设备
002193,纺织服装
002194,通信
002195,计算机
002196,电气设备
002197,计算机
002198,医药生物
002199,电子
002200,建筑装饰
002201,化工
002202,电气设备
002203,有色金属
002204,机械设备
002205,公用事业
002206,化工
002207,采掘
002208,房地产
002209,机械设备
002210,交通运输
002211,化工
002212,计算机
002213,汽车
002214,电子
002215,化工
002216,食品饮料
002217,电子
002218,电气设备
002219,医药生物
002220,农林牧渔
002221,化工
002222,电子
002223,医药生物
002224,化工
002225,建筑材料
002226,化工
002227,电气设备
002228,轻工制造
002229,轻工制造
002230,计算机
002231,通信
002232,计算机
