股票代码,申万二级行业
000811,通用机械
000812,包装印刷Ⅱ
000813,化学制药
000815,造纸Ⅱ
000816,通用机械
000818,化学原料
000819,石油化工
000820,环保工程及服务
000821,专用设备
000822,化学原料
000823,元件Ⅱ
000825,钢铁
000826,环保工程及服务
000828,高速公路Ⅱ
000829,专业零售
000830,化学制品
000831,稀有金属
000833,其他采掘Ⅱ
000835,互联网传媒
000836,通信设备
000837,通用机械
000838,房地产开发Ⅱ
000839,综合Ⅱ
000848,饮料制造
000850,纺织制造
000851,通信设备
000852,专用设备
000856,专用设备
000858,饮料制造
000859,塑料Ⅱ
000860,饮料制造
000861,商业物业经营
000862,电力
000863,房地产开发Ⅱ
000868,汽车整车
000869,饮料制造
000875,电力
000876,饲料Ⅱ
000877,水泥制造
000878,工业金属
000880,通用机械
000881,化学制品
000882,商业物业经营
000883,电力
000885,高速公路Ⅱ
000886,房地产开发Ⅱ
000887,汽车零部件
000888,景点
000889,通信运营
000890,多元金融
000892,文化传媒
000893,化学制品
000895,食品加工
000897,房地产开发Ⅱ
000898,钢铁
000899,电力
000900,高速公路Ⅱ
000901,仪器仪表
000902,化学制品
000903,汽车零部件
000905,港口Ⅱ
000906,贸易Ⅱ
000908,化学制药
000909,房地产开发Ⅱ
000910,家用轻工
000911,农产品加工
000912,化学制品
000913,其他交运设备
000915,化学制药
000917,文化传媒
000918,房地产开发Ⅱ
000919,化学制药
000920,环保工程及服务
000921,白色家电
000922,电机
000923,其他采掘Ⅱ
000925,运输设备
000926,房地产开发Ⅱ
000927,汽车整车
000928,专业工程
000929,饮料制造
000930,农产品加工
000931,化学制药
000932,钢铁
000933,工业金属
000935,水泥制造
000936,化学纤维
000937,煤炭开采Ⅱ
000938,计算机应用
000948,计算机应用
000949,化学纤维
000950,医药商业Ⅱ
000951,汽车整车
000952,化学制药
000953,化学制品
000955,纺织制造
000957,汽车整车
000958,电力
000959,钢铁
000960,稀有金属
000961,房地产开发Ⅱ
000962,金属非金属新材料
000963,化学制药
000965,房地产开发Ⅱ
000966,电力
000967,环保工程及服务
000968,石油开采Ⅱ
000969,金属非金属新材料
000970,金属非金属新材料
000971,通信设备
000972,农产品加工
000973,塑料Ⅱ
000975,黄金
000976,运输设备
000977,计算机设备
000978,景点
000980,汽车整车
000981,汽车零部件
000982,纺织制造
000983,煤炭开采Ⅱ
000985,化学制品
000987,多元金融
000988,其他电子
000989,中药Ⅱ
000990,化学制品
000993,电力
000996,汽车服务
000997,计算机设备
000998,种植业
000999,中药Ⅱ
001696,汽车零部件
001872,港口Ⅱ
001896,电力
001965,高速公路Ⅱ
001979,房地产开发Ⅱ
002001,化学制药
002002,化学原料
002003,纺织制造
002004,化学制品
002005,光学光电子
002006,专用设备
002007,生物制品Ⅱ
002009,专用设备
002010,物流Ⅱ
002012,造纸Ⅱ
002013,航空装备
002014,包装印刷Ⅱ
002015,电力
002016,房地产开发Ⅱ
002017,通信设备
002019,化学制药
002020,化学制药
002021,专用设备
002022,医疗器械Ⅱ
002023,航空装备
002024,专业零售
002025,航天装备
002026,通用机械
002027,营销传播
002028,电气自动化设备
002029,服装家纺
002030,医疗器械Ⅱ
002031,专用设备
002032,白色家电
002033,旅游综合Ⅱ
002034,环保工程及服务
002035,白色家电
002036,光学光电子
002037,化学制品
002038,生物制品Ⅱ
002039,电力
002040,港口Ⅱ
002041,种植业
002042,纺织制造
002043,其他建材
002044,医疗服务Ⅱ
002045,电子制造
002046,通用机械
002047,装修装饰
002048,汽车零部件
002049,半导体
002050,白色家电
002051,专业工程
002052,视听器材
002053,化学原料
002054,化学制品
002055,电子制造
002056,金属非金属新材料
002057,金属非金属新材料
002058,电气自动化设备
002059,专用设备
002060,基础建设
002061,基础建设
002062,基础建设
002063,计算机应用
002064,化学纤维
002065,计算机应用
002066,其他建材
002067,造纸Ⅱ
002068,橡胶
002069,渔业
002071,营销传播
002072,计算机应用
002073,专用设备
002074,电源设备
002075,钢铁
002076,光学光电子
002077,半导体
002078,造纸Ⅱ
002079,半导体
002080,化学制品
002081,装修装饰
002082,其他建材
002083,纺织制造
002084,家用轻工
002085,汽车零部件
002086,渔业
002087,纺织制造
002088,其他建材
002089,通信设备
002090,电气自动化设备
002091,贸易Ⅱ
002092,化学原料
002093,通信设备
002094,化学制品
002095,互联网传媒
002096,化学制品
002097,专用设备
002098,纺织制造
002099,化学制药
002100,饲料Ⅱ
002101,汽车零部件
002102,化学制药
002103,互联网传媒
002104,通信设备
002105,其他交运设备
002106,光学光电子
002107,中药Ⅱ
002108,塑料Ⅱ
002109,化学制品
002110,钢铁
002111,专用设备
002112,高低压设备
002113,互联网传媒
002114,工业金属
002115,通信设备
002116,基础建设
002117,包装印刷Ⅱ
002118,中药Ⅱ
002119,半导体
002120,物流Ⅱ
002121,电气自动化设备
002122,通用机械
002123,通信运营
002124,饲料Ⅱ
002125,化学原料
002126,汽车零部件
002127,专业零售
002128,煤炭开采Ⅱ
002129,电源设备
002130,金属非金属新材料
002131,营销传播
002132,金属制品
002133,房地产开发Ⅱ
002134,元件Ⅱ
002135,专业工程
002136,化学制品
002137,营销传播
002138,元件Ⅱ
002139,电子制造
002140,专业工程
002141,其他电子
002142,银行
002144,纺织制造
002145,化学制品
002146,房地产开发Ⅱ
002147,房地产开发Ⅱ
002148,互联网传媒
002149,金属非金属新材料
002150,金属制品
002151,航天装备
002152,计算机设备
002153,计算机应用
002154,服装家纺
002155,黄金
002156,半导体
002157,饲料Ⅱ
002158,通用机械
002159,旅游综合Ⅱ
002160,工业金属
002161,其他电子
002162,其他建材
002163,其他建材
002164,通用机械
002165,化学制品
002166,生物制品Ⅱ
002167,稀有金属
002168,互联网传媒
002169,电气自动化设备
002170,化学制品
002171,工业金属
002172,化学纤维
002173,医疗服务Ⅱ
002174,互联网传媒
002175,文化传媒
002176,电机
002177,计算机设备
002178,专业工程
002179,航空装备
002180,计算机设备
002181,文化传媒
002182,金属非金属新材料
002183,物流Ⅱ
002184,电气自动化设备
002185,半导体
002186,餐饮Ⅱ
002187,一般零售
002188,电子制造
002189,光学光电子
002190,电源设备
002191,包装印刷Ⅱ
002192,专用设备
002193,纺织制造
002194,通信设备
002195,计算机应用
002196,电机
002197,计算机设备
002198,中药Ⅱ
002199,元件Ⅱ
002200,园林工程
002201,化学制品
002202,电源设备
002203,工业金属
002204,专用设备
002205,环保工程及服务
002206,化学纤维
002207,采掘服务
002208,房地产开发Ⅱ
002209,专用设备
002210,物流Ⅱ
002211,化学制品
002212,计算机应用
002213,汽车零部件
002214,其他电子
002215,化学制品
002216,食品加工
002217,光学光电子
002218,电源设备
002219,医疗服务Ⅱ
002220,农产品加工
002221,石油化工
002222,元件Ⅱ
002223,医疗器械Ⅱ
002224,橡胶
002225,其他建材
002226,化学制品
002227,电源设备
002228,包装印刷Ⅱ
002229,包装印刷Ⅱ
002230,计算机应用
002231,通信设备
002232,计算机应用
002233,水泥制造
002234,畜禽养殖
002235,文化传媒
002236,电子制造
002237,黄金
002238,文化传媒
002239,汽车零部件
002240,家用轻工
002241,电子制造
002242,白色家电
002243,包装印刷Ⅱ
002244,房地产开发Ⅱ
002245,物流Ⅱ
002246,化学制品
002247,互联网传媒
002248,通用机械
002249,电机
002250,化学制品
