股票代码,经营范围
000025,通用零件的进出口业务
000025,进出口业务按深贸管证字第０９８号外贸审定证书办理。
000026,生产经营各种指针式机械表
000026,石英表及其机心
000026,零部件
000026,各种计时仪器
000026,加工批发K金手饰表
000026,智能手表；国内商业
000026,物资供销业（不含专营
000026,专控
000026,专卖商品）；物业管理及物业租赁；设计服务；自营进出口业务（按深贸管登证字第2007-072号文执行）。
000027,各种常规能源和新能源的开发
000027,生产
000027,购销；投资和经营与能源相关的原材料的开发和运输
000027,港口
000027,码头和仓储工业等。
000030,汽车零部件及相关产品的研发
000030,设计
000030,制造
000030,销售及售后服务;进出口业务;设备及工艺装备的设计
000030,制造及相关服务;租赁业务
000030,物业服务业务;仓储和配送业务及相关服务。
000032,研发
000032,生产
000032,销售通信设备
000032,交通通讯设备(生产场地营业执照另行办理)
000032,计算机及软件
000032,办公自动化设备
000032,机械
000032,光机电一体化设备
000032,电子检测设备
000032,税控设备
000032,税控收款机(不含限制项目)
000032,半导体照明产品；电子信息系统工程
000032,建筑智能化工程
000032,机电设备安装工程
000032,变配电工程的规划
000032,设计
000032,安装
000032,调试
000032,集成及技术咨询服务；智能交通设备及产品
000032,通信设备及产品
000032,安防监控系统产品的技术开发
000032,生产制造
000032,调试
000032,销售；软件及网络通讯产品的技术开发
000032,技术服务
000032,技术咨询；监控系统项目的设计
000032,开发
000032,咨询；国内商业
000032,物资供销业(不含专营
000032,专卖
000032,专控商品)；进出口业务按深贸管审证字第523号外贸企业审定证书规定办理；在合法取得使用权的土地上从事房地产开发经营，物业管理及自有物业租赁；兴办实业(具体项目另行申报)；仓储服务
000032,国内外货物运输及代理服务(需许可经营项目另行办理申请)。
000031,房地产开发经营
000031,国内商业
000031,物资供销业（不含专营
000031,专卖
000031,专控商品）
000031,建筑技术咨询
000031,进出口贸易。
000034,计算机硬件及配套零件的研究
000034,开发；网络产品
000034,多媒体产品
000034,电子信息产品及通讯产品
000034,办公自动化设备
000034,仪器仪表
000034,电器及印刷照排设备
000034,计算机应用系统的安装和维修；自产产品的技术咨询
000034,技术服务
000034,技术转让（法律
000034,行政法规
000034,国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）；经营进出口业务（法律
000034,行政法规
000034,国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）；计算机硬件
000034,软件及外围设施的代理销售；销售自产产品（法律
000034,行政法规
000034,国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）；国内贸易（不含专营
000034,专卖
000034,专控商品）。
000036,投资兴办实业（具体项目另行申报）；国内商业
000036,物资供销业（不含专营
000036,专控
000036,专卖商品）；在具有合法土地使用权的地块上从事房地产开发
000036,经营；自有物业管理；房地产经纪（不含限制项目）。
000035,生活垃圾焚烧发电及蒸汽生产，自产产品销售，危险废弃物处理（前述所有范围权限仅限分支机构经营）；生活垃圾焚烧发电
000035,可再生能源项目及环保设施的投资
000035,开发；污泥处理
000035,餐厨垃圾处理
000035,建筑垃圾处理
000035,污水处理
000035,大气环境治理
000035,噪声治理
000035,土壤修复；垃圾焚烧发电成套设备
000035,环保成套设备的研发
000035,生产
000035,销售；填埋气开发与利用；垃圾分类收运体系投资与运营；企业管理咨询服务；自营和代理上述商品和技术的进出口业务；道路普通货物运输；生活垃圾经营性清扫
000035,收集
000035,运输
000035,处理服务；道路清扫保洁；河道保洁
000035,绿化管护；物业管理。（不得以公开方式募集资金；不得公开交易证券类产品和金融衍生品；不得发放贷款；不得从事融资性担保；不得向投资者承诺投资本金不受损失或者承诺最低收益；依法须经批准的项目，经相关部门批准后方可开展经营活动）。
000037,供电
000037,"供热,提供相关技术咨询和技术服务。"
000039,现代化交通运输装备
000039,能源
000039,食品
000039,"化工等装备的制造及服务业务,其中主要包括制造修理各种集装箱及其有关业务,利用现有设备加工制造各类零部件结构件和有关设备,并提供切割"
000039,冲压成型
000039,"铆接表面处理,包括喷沙喷漆"
000039,焊接和装配等加工服务;开发
000039,生产
000039,销售各种高技术
000039,高性能的专用汽车
000039,半挂车系列;集装箱租赁;压力容器
000039,压缩机等高端燃气装备产品的研发
000039,生产
000039,销售及天然气输配系统的集成业务;静态储罐
000039,罐式码头设备的生产;在LNG
000039,LPG及其他石油化工气体的存贮
000039,"处理领域,为客户提供EP+CS(设计"
000039,"采购和建造监工)等技术工程服务。除此之外,本集团还从事物流服务"
000039,海洋工程
000039,铁路货车制造
000039,房地产开发等业务。
000042,房地产开发及商品房的销售
000042,管理；承接建筑安装工程；自有物业租赁。
000045,生产
000045,经营偏光片等光学膜产品；酒店
000045,物业租赁与经营管理；生产
000045,加工纺织品
000045,针织品
000045,服装
000045,装饰布
000045,带
000045,商标带
000045,工艺品（不含限制项目）；百货
000045,纺织工业专用设备，纺织器材及配件
000045,仪表
000045,标准件
000045,纺织原材料
000045,染料
000045,电子产品，化工产品
000045,机电设备
000045,轻纺产品
000045,办公用品及国内贸易（不含专营
000045,专控
000045,专卖商品）；经营进出口业务。
000043,物业资产管理(物业管理
000043,设备设施管理
000043,资产经营以及服务外包等)；商业物业资产的投资与经营；项目开发服务（项目咨询
000043,开发服务）；房地产开发
000043,经营；创新项目孵化。
000046,投资及投资管理；资产管理；经营房地产业务及物业管理；自有物业租赁；企业管理咨询；销售建筑材料
000046,装饰材料
000046,机械设备（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动）。
000048,养殖鸡
000048,鸡苗
000048,禽蛋
000048,生产制造肉制品
000048,饮料
000048,鸡场设备
000048,自酿鲜脾兴办实业（具体项目另行申报）；国内商业
000048,非银行金融业（以主管部门审批为准）；国内商业
000048,物资供销业（不含专营
000048,专控
000048,专卖商品）；货物及技术进出口；在合法取得使用权的土地上从事房地产开发经营；房屋租赁。
000049,无汞碱锰电池
000049,一次锂电池
000049,锌空气电池
000049,镍氢电池
000049,锂聚合物电池
000049,燃料电池及其他种类电池
000049,电池材料
000049,配件和设备的研究
000049,开发和销售；电源管理系统和新型电子元器件的开发
000049,测试及销售；移动通讯产品及配件的开发及销售；高科技项目开发
000049,投资
000049,咨询
000049,高科技企业投资。
000050,显示器件及相关的材料
000050,设备
000050,产品的设计
000050,制造
000050,销售；提供相关技术开发
000050,技术咨询
000050,技术服务和技术转让；信息技术服务
000050,咨询服务；普通货运；代理销售
000050,代理采购显示器件及相关材料（不含限制项目）；设备租赁（不含金融租赁）；自有物业租赁；经营进出口业务（法律
000050,行政法规
000050,国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）。
000056,经销日用百货
000056,文化用品
000056,纺织品
000056,服装
000056,劳保用品
000056,家用电子产品
000056,交通器材
000056,五金工具
000056,家用电器
000056,日用美术陶瓷
000056,家具
000056,糖果糕点
000056,饮料
000056,干鲜果品
000056,进出口业务按深贸管审证字第012号外贸企业审定证书办理(凡属专营商品按规定办)
000056,土产品
000056,装饰材料
000056,糖
000056,工艺美术品
000056,副食品
000056,五金杂品。
000055,（1）幕墙分部，建筑幕墙及材料的研发
000055,设计
000055,生产
000055,施工和销售；（2）轨道交通分部，地铁屏蔽门的研发
000055,设计
000055,生产
000055,施工和销售；（3）房地产分部，在合法取得使用权的土地上从事房地产开发经营
000055,物业管理；（4）新能源分部，光伏电站
000055,光伏建筑一体化（BIPV）等的研发
000055,设计
000055,生产
000055,施工
000055,运营及销售。
000058,投资兴办实业（具体项目另行申报）；经营与管理电子专业市场；经营网上贸易；互联网技术开发；从事广告业务；房屋租赁；销售计算机
000058,软件及辅助设备
000058,电子产品；文化艺术交流活动策划（不含演出）；承办展览展示活动；儿童产业链项目的投资及经营；儿童游乐设备租赁服务（不包括金融租赁活动）；游乐场经营及服务（限分支经营）；餐饮服务（限分支经营）；企业管理咨询；教育咨询；预包装食品兼散装食品
000058,乳制品（含婴幼儿配方奶粉）批发零售（限分支经营）；文化用品
000058,工艺礼品
000058,玩具
000058,童装
000058,电子产品
000058,工艺品
000058,日用百货的销售；摄影服务；新能源的技术开发；光伏发电和光伏一体化建筑工程总承包；碲化镉薄膜太阳能电池组件的技术开发
000058,技术服务；投资建设光伏电站
000058,承接建筑一体化光伏幕墙工程；国内贸易（不含专营
000058,专卖
000058,专控商品）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）^信息服务业务（仅限互联网信息服务）；食品销售；制造
000058,销售碲化镉太阳能电池组件产品。
000059,生产销售液氨
000059,压缩氮气
000059,液氧
000059,尿素
000059,液氩
000059,1.3—丁二烯
000059,石脑油
000059,煤油
000059,液化石油气
000059,工业硫磺
000059,氢气
000059,甲苯
000059,乙烯
000059,丙烯
000059,苯
000059,富氢甲烷
000059,乙苯
000059,苯乙烯
000059,粗甲苯
000059,混合苯
000059,混合苯1#
000059,混合苯3#
000059,焦油（安全生产许可证有效期至2021年6月7日止）；石油产品及化工产品销售（除易燃易爆危险品）；塑料制品
000059,建安工程
000059,压力容器制造
000059,普通货物运输（以上各项限分公司经营）。
000061,开发
000061,建设
000061,经营
000061,管理农产品批发市场（农产品批发市场的营业执照需另行申办），经营管理市场租售业务；国内商业
000061,物资供销业（不含专营
000061,专控
000061,专卖商品）；经营农产品
000061,水产品的批发
000061,连锁经营和进出口业务（具体经营需另行办理营业执照）；为农产品批发市场提供配套的招待所
000061,小卖部
000061,食店
000061,运输
000061,装卸
000061,仓储
000061,包装（具体项目营业执照另行申报）；从事信息咨询（不含法律
000061,行政法规
000061,国务院决定禁止及规定需审批的项目）
000061,物业管理
000061,酒店管理；自有物业租赁：市场投资
000061,投资兴办实业（具体项目另行申报）。
000060,兴办实业（具体项目另行申报）；国内贸易（不含专营
000060,专控
000060,专卖商品）；经济信息咨询（不含限制项目）；经营进出口业务；在韶关市设立分公司从事采癣冶炼
000060,制造
000060,加工：有色金属矿产品
000060,冶炼产品
000060,深加工产品
000060,综合利用产品（含硫酸
000060,氧气
000060,硫磺
000060,镓
000060,锗
000060,电炉锌粉的生产）及包装物
000060,容器（含钢提桶
000060,塑料编织袋）（以上经营范围仅限于分支机构生产，其营业执照另行申报）；建筑材料
000060,机械设备及管道安装
000060,维修；工程建设
000060,地测勘探
000060,科研设计；从事境外期货业务。
000062,投资兴办各类实业（具体项目须另行申报），国内贸易（不含专营
000062,专控
000062,专卖商品及限制项目）；经济信息咨询（不含限制项目）；自有物业管理；计算机软
000062,硬件及网络
000062,通信产品
000062,激光头及其应用产品的技术开发及销售（不含限制项目）；投资兴办电子专业市场；投资电子商务网；从事广告业务（法律法规
000062,国务院规定需另行办理广告经营审批的，需取得许可后方可经营）
