机构名称,类型
西藏星灿果盛科技有限公司,一般法人
西藏林芝清创资产管理有限公司,一般法人
西藏紫光卓远股权投资有限公司,一般法人
西藏紫光通信投资有限公司,一般法人
诺安新经济股票型证券投资基金,基金
银河定投宝中证腾讯济安价值100A股指数型发起式证券投资基金,基金
云南南天电子信息产业股份有限公司-第一期员工持股计划,一般法人
南天电子信息产业集团公司,一般法人
国寿养老研究精选股票型养老金产品-中国建设银行股份有限公司,一般法人
中原股权投资管理有限公司,一般法人
中原资产管理有限公司,一般法人
新乡市国有资产经营公司,一般法人
新乡平原发展投资有限公司,一般法人
新乡白鹭投资集团有限公司,一般法人
百瑞信托有限责任公司,信托公司
博时宏观回报债券型证券投资基金A/B,基金
天津天士建发生物科技发展合伙企业(有限合伙),一般法人
深圳茂业(集团)股份有限公司,一般法人
重庆战略性新兴产业医药专项股权投资基金合伙企业(有限合伙),一般法人
重庆智全实业有限责任公司,一般法人
中国重型汽车集团有限公司,一般法人
中国重汽(香港)有限公司,一般法人
武汉信用资本运营有限公司,一般法人
湖北省长江产业投资集团有限公司,一般法人
盛稷股权投资基金(上海)有限公司,一般法人
陕西省国际信托股份有限公司-陕国投·阳光财富5号证券投资集合资金信托计划,一般法人
北京中农富民管理咨询有限公司,一般法人
宁波梅山保税港区易函数联天下投资合伙企业(有限合伙),一般法人
江苏京南电商物流产业园有限公司,一般法人
海南永昌和投资有限公司,一般法人
海南筑华科工贸有限公司,一般法人
证券行业支持民企发展系列之财达证券1号集合资产管理计划,一般法人
中国公路车辆机械有限公司,一般法人
中通汽车工业集团有限责任公司,一般法人
国家电投集团河北电力有限公司,一般法人
广发中证京津冀协同发展主题交易型开放式指数证券投资基金发起式联接基金A,基金
北京安第斯投资发展有限公司,一般法人
北京石榴港商业管理有限公司,一般法人
首钢集团有限公司,一般法人
云南惠君投资合伙企业(有限合伙),一般法人
云南融智投资有限公司,一般法人
云南锡业集团(控股)有限责任公司,一般法人
云南锡业集团有限责任公司,一般法人
农银汇理(上海)资产-农业银行-华宝信托-投资[6]号集合资金信托计划,一般法人
华富可转债债券型证券投资基金,基金
华融瑞通股权投资管理有限公司,一般法人
建信人寿保险股份有限公司,保险公司
全国社保基金117组合,社保基金
华夏领先股票型证券投资基金,基金
华宝未来主导产业灵活配置混合型证券投资基金,基金
华宝生态中国混合型证券投资基金,基金
华泰柏瑞价值精选30灵活配置混合型证券投资基金,基金
建信稳健回报灵活配置混合型证券投资基金,基金
汇丰晋信2016生命周期开放式证券投资基金,基金
汇添富成长多因子量化策略股票型证券投资基金,基金
泰达宏利基金-工商银行-陕西省国际信托股份有限公司,一般法人
海富通改革驱动灵活配置混合型证券投资基金,基金
陕西省国际信托股份有限公司-陕国投·财富31号单一资金信托,一般法人
万家双利债券型证券投资基金,基金
全国社保基金106组合,社保基金
天弘安康颐养混合型证券投资基金,基金
富国稳健增强债券型证券投资基金A/B,基金
杭州华东医药集团有限公司,一般法人
泰康资产-积极配置投资产品,一般法人
天津国有资本投资运营有限公司,一般法人
天津天保控股有限公司,一般法人
天津市万博咨询有限公司,一般法人
天津津融投资服务集团有限公司,一般法人
工银瑞信双利债券型证券投资基金A类,基金
湖北正源电力有限公司,一般法人
Zara Green Hong Kong Limited,一般法人
中投天琪期货-浙商金汇信托股份有限公司-浙金·浦发-津杉-国泰定增1号集合资金信托计划,一般法人
太海联股权投资江阴有限公司,一般法人
宁波太石资产管理有限公司,一般法人
宁波绰易贸易有限公司,一般法人
广东恒健资本管理有限公司,一般法人
深圳市权策管理咨询有限公司,一般法人
盈峰投资控股集团有限公司,一般法人
中国中煤能源集团有限公司,一般法人
华夏希望债券型证券投资基金A类,基金
华夏节能环保股票型证券投资基金,基金
太原煤炭气化(集团)有限责任公司,一般法人
山西晋城无烟煤矿业集团有限责任公司,一般法人
建信环保产业股票型证券投资基金,基金
中国钢研科技集团有限公司,一般法人
前海开源基金-农业银行-中国钢研科技集团有限公司,一般法人
长江养老保险股份有限公司-盛世华章养老保障管理产品-安泰振兴股权投资计划专项投资账户,一般法人
TAIGENE METAL COMPANY L.L.C,一般法人
TRIDUS INTERNATIONAL INC,一般法人
北京三环控股有限公司,一般法人
宁波电子信息集团有限公司,一般法人
深圳前海美邦现代农业股权投资基金管理有限公司,信托公司
深圳市前海高搜易投资管理有限公司,一般法人
蓝鼎实业(湖北)有限公司,一般法人
全国社保基金1502组合,社保基金
景顺长城基金-工商银行-景顺长城基金工行500增强资产管理计划,一般法人
中国银泰投资有限公司,一般法人
信诚中证800有色指数分级证券投资基金,基金
农银汇理主题轮动灵活配置混合型证券投资基金,基金
农银汇理睿选灵活配置混合型证券投资基金,基金
前海开源沪港深核心资源灵活配置混合型证券投资基金A,基金
南方中证申万有色金属交易型开放式指数证券投资基金,基金
摩根士丹利华鑫进取优选股票型证券投资基金,基金
渤海汇金量化汇盈灵活配置混合型证券投资基金,基金
金鹰科技创新股票型证券投资基金,基金
银华MSCI中国A股交易型开放式指数证券投资基金发起式联接基金,基金
银泰资源股份有限公司-第一期员工持股计划,一般法人
义乌上达股权投资管理有限公司,一般法人
广东华铁通达高铁装备股份有限公司回购专用证券账户,一般法人
广州市鸿众投资合伙企业(有限合伙),一般法人
广州市鸿锋实业有限公司,一般法人
拉萨亚祥兴泰投资有限公司,一般法人
拉萨经济技术开发区泰通投资合伙企业(有限合伙),一般法人
江门市弘晟投资合伙企业(有限合伙),一般法人
苏州上达股权投资管理有限公司,一般法人
金鹰基金-金鹰穗通5号资产管理计划,一般法人
东吴价值成长双动力混合型证券投资基金,基金
东海中证社会发展安全产业主题指数型证券投资基金,基金
中邮健康文娱灵活配置混合型证券投资基金,基金
光大保德信中国制造2025灵活配置混合型证券投资基金,基金
农银汇理信息传媒主题股票型证券投资基金,基金
农银汇理尖端科技灵活配置混合型证券投资基金,基金
农银汇理物联网主题灵活配置混合型证券投资基金,基金
华商新趋势优选灵活配置混合型证券投资基金,基金
华商盛世成长混合型证券投资基金,基金
华商策略精选灵活配置混合型证券投资基金,基金
华安低碳生活混合型证券投资基金,基金
华安制造先锋混合型证券投资基金,基金
华安动态灵活配置混合型证券投资基金,基金
华安媒体互联网混合型证券投资基金,基金
华安成长创新混合型证券投资基金,基金
华安智能生活混合型证券投资基金,基金
华富智慧城市灵活配置混合型证券投资基金,基金
华泰保兴吉年丰混合型发起式证券投资基金A,基金
华泰保兴吉年利定期开放混合型发起式证券投资基金,基金
华泰保兴多策略三个月定期开放股票型发起式证券投资基金,基金
华泰保兴策略精选灵活配置混合型发起式证券投资基金A,基金
南华丰淳混合型证券投资基金A,基金
富兰克林国海估值优势灵活配置混合型证券投资基金,基金
富国中小盘精选混合型证券投资基金,基金
富国国家安全主题混合型证券投资基金,基金
富国祥利定期开放债券型发起式证券投资基金,基金
富国通胀通缩主题轮动混合型证券投资基金,基金
富安达优势成长混合型证券投资基金,基金
山西证券改革精选灵活配置混合型证券投资基金,基金
山西证券策略精选灵活配置混合型证券投资基金,基金
工银瑞信国家战略主题股票型证券投资基金,基金
工银瑞信研究精选股票型证券投资基金,基金
广发电子信息传媒产业精选股票型发起式证券投资基金,基金
汇丰晋信科技先锋股票型证券投资基金,基金
泰信优势增长灵活配置混合型证券投资基金,基金
泰信智选成长灵活配置混合型证券投资基金,基金
浪潮集团有限公司,一般法人
财通多策略升级混合型证券投资基金(LOF),基金
财通多策略精选混合型证券投资基金(LOF),基金
财通新视野灵活配置混合型证券投资基金A,基金
金鹰元丰债券型证券投资基金,基金
金鹰民丰回报定期开放混合型证券投资基金,基金
银华体育文化灵活配置混合型证券投资基金,基金
华夏基金-中国银行-中银国际证券有限责任公司,一般法人
华夏基金华兴2号股票型养老金产品,一般法人
华夏基金华益3号股票型养老金产品,一般法人
桂林五洲旅游股份有限公司,一般法人
桂林旅游发展总公司,一般法人
桂林航空旅游集团有限公司,一般法人
宁波梅山保税港区兴晟众泰投资管理中心(有限合伙),一般法人
宁波益方盛鑫投资合伙企业(有限合伙),一般法人
山高(烟台)新能源基金管理中心(有限合伙),一般法人
武汉天风智信投资中心(有限合伙),一般法人
长城(德阳)长富投资基金合伙企业(有限合伙),一般法人
黄山金马集团有限公司,一般法人
宁波开发投资集团有限公司,一般法人
宁波银亿控股有限公司,一般法人
上海宝钢国际经济贸易有限公司,一般法人
兴全沪深300指数增强型证券投资基金(LOF)A,基金
华宝资源优选混合型证券投资基金,基金
太原杰森实业有限公司,一般法人
太原西山劳动服务总公司,一般法人
山西焦煤集团有限责任公司,一般法人
招商中证煤炭等权指数分级证券投资基金,基金
中国石油大庆石油化工有限公司,一般法人
中国石油林源炼油有限公司,一般法人
大庆高新国有资产运营有限公司,一般法人
广州万力集团有限公司,一般法人
广州交通投资集团有限公司,一般法人
广州地铁集团有限公司,一般法人
广州市城市建设投资集团有限公司,一般法人
广州智能装备产业集团有限公司,一般法人
广州越秀企业集团有限公司,一般法人
广州越秀集团股份有限公司,一般法人
中金绝对收益策略定期开放混合型发起式证券投资基金,基金
南通金玖锐信投资管理有限公司-中汇金锐定增5期私募投资基金,一般法人
博时回报灵活配置混合型证券投资基金,基金
国投瑞银中证500指数量化增强型证券投资基金A,基金
武汉东湖国隆股权投资基金管理有限公司-武汉东湖华工定增私募投资基金,一般法人
武汉华中科技大产业集团有限公司,一般法人
长城国泰(舟山)产业并购重组基金合伙企业(有限合伙),一般法人
鹏华丰和债券型证券投资基金(LOF)A,基金
绵阳科技城产业投资基金(有限合伙),一般法人
鹏华资产-浦发银行-鹏华资产金润25号资产管理计划,一般法人
鹏华资产管理-浦发银行-鹏华资产金润18号资产管理计划,一般法人
黑龙江辰能哈工大高科技风险投资有限公司,一般法人
成都吉士达投资有限责任公司,一般法人
浙江冠东印染服饰有限公司,一般法人
鹰潭市经贸国有资产运营有限公司,一般法人
中期集团有限公司,一般法人
东兴信鑫3号集合资产管理计划,券商集合理财
中车金证投资有限公司,一般法人
新大陆科技集团有限公司,一般法人
福建省创新电子信息产业投资发展有限公司,一般法人
长城(天津)股权投资基金管理有限责任公司-长城国泰-高端装备并购契约型私募投资基金,一般法人
中信农业科技股份有限公司,一般法人
中航信托股份有限公司-天顺(2017)519号隆平高科证券投资单一资金信托,一般法人
全国社保基金115组合,社保基金
北大荒中垦(深圳)投资有限公司,一般法人
合煦智远消费主题股票型发起式证券投资基金A,基金
建信双息红利债券型证券投资基金A,基金
湖南新大新股份有限公司,一般法人
湖南杂交水稻研究中心,一般法人
华润医药控股有限公司,一般法人
摩根士丹利投资管理(ACD)有限公司,QFII
涿州京南永乐高尔夫俱乐部有限公司,一般法人
深圳市百业源投资有限公司,一般法人
西藏国龙实业有限公司,一般法人
重庆宗申动力机械股份有限公司-第一期员工持股计划,一般法人
招商局港通发展(深圳)有限公司,一般法人
信诚基金-中信证券-广州金控资本管理有限公司,一般法人
信诚基金-工商银行-中国对外经济贸易信托有限公司,一般法人
华章天地传媒投资控股集团有限公司,一般法人
北京首发投资控股有限公司,一般法人
基本养老保险基金1002组合,社保基金
天津市京津塘高速公路公司,一般法人
河北省公路开发有限公司,一般法人
兴业财富资产管理有限公司-华福证券有限责任公司,一般法人
北京奇点领誉一期投资中心(有限合伙),一般法人
博时资本-招商银行-博时资本管理有限公司,一般法人
国开金融有限责任公司,一般法人
招商局轮船有限公司,一般法人
招商局集团有限公司,一般法人
深圳市招为投资合伙企业(有限合伙),一般法人
上海重阳战略投资有限公司,信托公司
中意资管-招商银行-中意资产-招商银行-定增精选43号资产管理产品,一般法人
交银施罗德先锋混合型证券投资基金,基金
交银施罗德科技创新灵活配置混合型证券投资基金,基金
兴全全球视野股票型证券投资基金,基金
华安未来资产-工商银行-杭州丰信投资合伙企业(有限合伙),一般法人
华安未来资产-工商银行-杭州锐智投资合伙企业(有限合伙),一般法人
华安沪港深机会灵活配置混合型证券投资基金,基金
南华中证杭州湾区交易型开放式指数证券投资基金,基金
国投瑞银瑞泽中证创业成长指数分级证券投资基金之基础份额,基金
大成价值增长证券投资基金,基金
大成国家安全主题灵活配置混合型证券投资基金,基金
富国周期优势混合型证券投资基金,基金
新和成控股集团有限公司,一般法人
新疆前海联合添利债券型发起式证券投资基金A,基金
方正富邦深证100交易型开放式指数证券投资基金联接基金A,基金
浦银安盛双债增强债券型证券投资基金A,基金
诺安优选回报灵活配置混合型证券投资基金,基金
诺安先锋混合型证券投资基金,基金
诺安新动力灵活配置混合型证券投资基金,基金
乌海市皇冠实业有限公司,一般法人
华融证券-招商证券-华融股票宝19号集合资产管理计划,一般法人
广州市成禧经济发展有限公司,一般法人
鸿达兴业集团有限公司,一般法人
伟星集团有限公司,一般法人
西南证券股份有限公司约定购回式证券交易专用证券账户,一般法人
西藏汇邦科技有限公司,一般法人
浙江省科技开发中心,一般法人
精功集团有限公司,一般法人
中融新经济灵活配置混合型证券投资基金A,基金
博道卓远混合型证券投资基金A,基金
国投瑞银瑞利灵活配置混合型证券投资基金(LOF),基金
国金国鑫灵活配置混合型发起式证券投资基金,基金
富国天博创新主题混合型证券投资基金,基金
富国高端制造行业股票型证券投资基金,基金
平安智能生活灵活配置混合型证券投资基金A,基金
平安灵活配置混合型证券投资基金,基金
平安行业先锋混合型证券投资基金,基金
招商丰泰灵活配置混合型证券投资基金(LOF),基金
摩根士丹利华鑫多元收益债券型证券投资基金A类,基金
新疆前海联合国民健康产业灵活配置混合型证券投资基金A,基金
新疆晟康新开企业管理顾问有限合伙企业,一般法人
景顺长城智能生活混合型证券投资基金,基金
景顺长城沪港深领先科技股票型证券投资基金,基金
浦银安盛量化多策略灵活配置混合型证券投资基金A,基金
红土创新转型精选灵活配置混合型证券投资基金(LOF),基金
重庆市晟康生物科技开发有限公司,一般法人
鑫元聚鑫收益增强债券型证券投资基金A,基金
银华中证全指医药卫生指数增强型发起式证券投资基金,基金
香港科康有限公司,一般法人
东海核心价值精选混合型证券投资基金,基金
中银稳健添利债券型发起式证券投资基金A,基金
交银施罗德成长30混合型证券投资基金,基金
兴全合润分级混合型证券投资基金,基金
兴全商业模式优选混合型证券投资基金(LOF),基金
前海开源事件驱动灵活配置混合型发起式证券投资基金A,基金
华夏优势增长混合型证券投资基金,基金
华润元大润泰双鑫债券型证券投资基金A,基金
国投瑞银先进制造混合型证券投资基金,基金
国都智能制造混合型发起式证券投资基金,基金
大成科创主题3年封闭运作灵活配置混合型证券投资基金,基金
大族控股集团有限公司,一般法人
富国优化增强债券型证券投资基金A/B,基金
富国收益增强债券型证券投资基金A,基金
工银瑞信科技创新3年封闭运作混合型证券投资基金,基金
新华恒益量化灵活配置混合型证券投资基金,基金
新华高端制造灵活配置混合型证券投资基金,基金
永赢双利债券型证券投资基金A,基金
永赢惠添利灵活配置混合型证券投资基金,基金
永赢智能领先混合型证券投资基金A,基金
永赢消费主题灵活配置混合型证券投资基金A,基金
红土创新新科技股票型发起式证券投资基金,基金
诺德价值优势混合型证券投资基金,基金
金元顺安丰利债券型证券投资基金,基金
金元顺安沣楹债券型证券投资基金,基金
常州海坤通信设备有限公司,一般法人
无锡天奇投资控股有限公司,一般法人
上海凯石益正资产管理有限公司,信托公司
上海君彤璟联投资合伙企业(有限合伙),一般法人
上海陆家嘴股权投资基金合伙企业(有限合伙),一般法人
中国人寿保险(集团)公司,保险公司
传化集团有限公司,一般法人
北京新华汇嘉投资管理有限公司,信托公司
华安未来资产-工商银行-传化集团专项资产管理计划,一般法人
长城嘉信资产-宁波银行-王宝军,一般法人
长安财富-广发银行-长安资产·传化物流股权投资专项资产管理计划,一般法人
中广核财务有限责任公司,财务公司
中航鑫港担保有限公司,一般法人
合肥通用机械研究院有限公司,一般法人
国机财务有限责任公司,财务公司
浙江盾安精工集团有限公司,一般法人
盾安控股集团有限公司,一般法人
舟山如山汇金壹号投资合伙企业(有限合伙),一般法人
上海道铭投资控股有限公司,一般法人
凯恩集团有限公司,一般法人
华宝信托有限责任公司-“华宝丰进”31号单一资金信托,一般法人
中国航空救生研究所,一般法人
中航机载系统有限公司,一般法人
中航航空产业投资有限公司,一般法人
前海开源大安全核心精选灵活配置混合型证券投资基金,基金
博时军工主题股票型证券投资基金,基金
国联安基金管理有限公司-平安银行-上海汽车集团股权投资有限公司,一般法人
宁波景盛股权投资合伙企业(有限合伙),一般法人
全国社保基金502组合,社保基金
北京奥瑞金包装容器有限公司,一般法人
大永真空科技股份有限公司,一般法人
大连通和投资有限公司,信托公司
永邦中国投资有限公司,一般法人
美佳粉末涂料有限公司,一般法人
黄山永佳投资有限公司,一般法人
九泰久盛量化先锋灵活配置混合型证券投资基金A,基金
日喀则市世荣投资管理有限公司,一般法人
普天东方通信集团有限公司,一般法人
珠海普天和平电信工业有限公司,一般法人
中信建投行业轮换混合型证券投资基金A,基金
安徽省中安健康养老服务产业投资合伙企业(有限合伙),一般法人
江苏一带一路投资基金(有限合伙),一般法人
深圳国调招商并购股权投资基金合伙企业(有限合伙),一般法人
西部利得中证500等权重指数分级证券投资基金,基金
青岛海尔创业投资有限责任公司,一般法人
上海国际集团资产管理有限公司,一般法人
京新控股集团有限公司,一般法人
建信基金-杭州银行-杭州玖擎投资管理合伙企业(有限合伙),一般法人
芜湖弘唯基石投资基金管理合伙企业(有限合伙),信托公司
League Agent (HK) Limited,一般法人
华夏基金公司-华夏中证金融资产管理计划,一般法人
中小企业板交易型开放式指数基金,基金
华安新回报灵活配置混合型证券投资基金,基金
华富中小板指数增强型证券投资基金,基金
国联安双力中小板综指证券投资基金(LOF),基金
广发中小板300交易型开放式指数证券投资基金,基金
广发中小板300交易型开放式指数证券投资基金联接基金,基金
易方达中小板指数证券投资基金(LOF),基金
淘宝(中国)软件有限公司,一般法人
申万菱信中小板指数证券投资基金(LOF)A,基金
苏宁控股集团有限公司,一般法人
苏宁易购集团股份有限公司-第三期员工持股计划,一般法人
苏宁电器集团有限公司,一般法人
前海开源高端装备制造灵活配置混合型证券投资基金,基金
易方达平稳增长证券投资基金,基金
易方达科翔混合型证券投资基金,基金
航天江南集团有限公司,一般法人
贵州梅岭电源有限公司,一般法人
银华恒利灵活配置混合型证券投资基金A,基金
上海中谷投资管理合伙企业(有限合伙),一般法人
山东威达集团有限公司,一般法人
文登市昆嵛科技开发有限公司,一般法人
Gio2 Hong Kong Holdings Limited,一般法人
Media Management Hong Kong Limited,一般法人
上海宏琏投资管理中心(有限合伙),一般法人
上海筝菁投资管理合伙企业(有限合伙),一般法人
上海赡宏投资管理中心(有限合伙),一般法人
上海鸿莹投资管理中心(有限合伙),一般法人
上海鸿黔投资管理中心(有限合伙),一般法人
南方顺康灵活配置混合型证券投资基金,基金
嘉合磐通债券型证券投资基金A,基金
工银瑞信中证传媒指数分级证券投资基金,基金
广发中证传媒交易型开放式指数证券投资基金,基金
新华鑫利灵活配置混合型证券投资基金,基金
易方达价值成长混合型证券投资基金,基金
珠海晋汇创富叁号投资企业(有限合伙),一般法人
珠海融悟股权投资合伙企业(有限合伙),一般法人
西部利得新动向灵活配置混合型证券投资基金,基金
诺安策略精选股票型证券投资基金,基金
银华文体娱乐量化优选股票型发起式证券投资基金A,基金
阿里巴巴(中国)网络技术有限公司,一般法人
鹏华中证传媒指数分级证券投资基金,基金
鹏华文化传媒娱乐股票型证券投资基金,基金
鹏华金城灵活配置混合型证券投资基金,基金
上海承芯企业管理合伙企业(有限合伙),一般法人
上海集盖企业管理中心(有限合伙),一般法人
中银证券瑞益定期开放灵活配置混合型证券投资基金A,基金
厦门市高鑫泓股权投资有限公司,一般法人
福建七匹狼集团有限公司,一般法人
广州中大控股有限公司,一般法人
广州珠江实业集团有限公司,一般法人
广州生物工程中心,一般法人
鹏华资产-浦发银行-鹏华资产金润24号资产管理计划,一般法人
SEB INTERNATIONALE S.A.S,一般法人
法国巴黎银行,QFII
丽江市玉龙雪山景区投资管理有限公司,一般法人
丽江摩西风情园有限责任公司,一般法人
丽江玉龙雪山旅游开发有限责任公司,一般法人
云南省投资控股集团有限公司,一般法人
珠江人寿保险股份有限公司,保险公司
华泰资管-广州农商行-华泰资产定增全周期资产管理产品,一般法人
杭州金宁满投资管理合伙企业(有限合伙),一般法人
浙商汇金中证转型成长指数型证券投资基金,基金
湖州惠赢投资合伙企业(有限合伙),一般法人
湖州美欣达投资合伙企业(有限合伙),一般法人
美欣达集团有限公司,一般法人
先锋聚优灵活配置混合型证券投资基金A,基金
凯石湛混合型证券投资基金A,基金
天弘永利债券型证券投资基金A类,基金
景顺长城基金-建设银行-中国人寿-中国人寿委托景顺长城基金股票型组合,一般法人
浙商丰利增强债券型证券投资基金,基金
浙商聚潮产业成长混合型证券投资基金,基金
浦银安盛睿智精选灵活配置混合型证券投资基金A,基金
石河子奋进股权投资普通合伙企业,一般法人
米林县联动投资有限公司,一般法人
万年县吉融投资管理中心(有限合伙),一般法人
北京泓创创业投资中心(有限合伙),一般法人
天津硅谷天堂鸿盛股权投资基金合伙企业(有限合伙),一般法人
易方达新经济灵活配置混合型证券投资基金,基金
易方达科融混合型证券投资基金,基金
江西鑫盛投资有限公司,一般法人
英孚国际投资有限公司,一般法人
西部利得成长精选灵活配置混合型证券投资基金,基金
金冠国际有限公司,一般法人
保利久联控股集团有限责任公司,一般法人
南京理工大学,一般法人
国元证券股份有限公司约定购回式证券交易专用证券账户,一般法人
金鼎宣颐(北京)投资有限公司,一般法人
中国华电集团有限公司,一般法人
宁波宁电投资发展有限公司,一般法人
新疆力道广告有限公司,一般法人
社保基金1101组合,社保基金
贵州乌江水电开发有限责任公司,一般法人
贵州乌江能源投资有限公司,一般法人
南京港(集团)有限公司,一般法人
莱州市农业科学院,一般法人
莱州市高新投资有限责任公司,一般法人
上海景熙资产管理有限公司,信托公司
华孚控股有限公司,一般法人
华孚时尚股份有限公司-第三期员工持股计划,一般法人
安徽飞亚纺织有限公司,一般法人
招商财富-华孚财富2号专项资产管理计划,一般法人
泰达宏利基金-招商银行-长安国际信托-长安信托·华孚色纺定增单一资金信托,一般法人
泰达宏利基金-招商银行-陆家嘴信托-陆家嘴信托-鸿泰18号单一资金信托,一般法人
深圳市华人投资有限公司,一般法人
金元顺安基金-兴业银行-上海爱建信托-爱建信托欣欣7号定向增发事务管理类单一资金信托,一般法人
金鹰基金-工商银行-万向信托-万向信托-星辰39号事务管理类单一资金信托,一般法人
北京同创金鼎投资管理有限公司,信托公司
德华创业投资有限公司,一般法人
德华集团控股股份有限公司,一般法人
上海国盛海通股权投资基金合伙企业(有限合伙),一般法人
上海天亿实业控股集团有限公司,一般法人
上海天亿资产管理有限公司,一般法人
上海美馨投资管理有限公司,一般法人
北京世纪长河科技集团有限公司,一般法人
华宝中证医疗交易型开放式指数证券投资基金,基金
华宝中证医疗指数分级证券投资基金,基金
华泰柏瑞积极成长混合型证券投资基金A,基金
大成策略回报混合型证券投资基金,基金
大成蓝筹稳健证券投资基金,基金
广发中证医疗指数分级证券投资基金,基金
汇添富悦享定期开放混合型证券投资基金,基金
汇添富民丰回报混合型证券投资基金A,基金
汇添富民营新动力股票型证券投资基金,基金
汇添富民营活力混合型证券投资基金A,基金
遵义市大中企业管理有限公司,一般法人
中国国际金融香港资产管理有限公司,QFII
广西国光投资发展有限公司,一般法人
苏州工业园区惠真股权投资中心(有限合伙),一般法人
财通基金-浦发银行-海际证券有限责任公司,一般法人
中国机械工业集团有限公司,一般法人
恒大人寿保险有限公司,保险公司
深圳市宝信投资控股有限公司,一般法人
深圳市宝贤投资有限公司,一般法人
中泰证券股份有限公司转融通担保证券明细账户,一般法人
宁波峰梅实业有限公司,一般法人
招商盛合灵活配置混合型证券投资基金A,基金
象山联众投资有限公司,一般法人
共青城清晶微投资管理合伙企业(有限合伙),一般法人
华泰柏瑞量化创优灵活配置混合型证券投资基金,基金
国泰CES半导体行业交易型开放式指数证券投资基金,基金
国联安中证全指半导体产品与设备交易型开放式指数证券投资基金,基金
广发小盘成长混合型证券投资基金,基金
西藏紫光春华投资有限公司,一般法人
金信量化精选灵活配置混合型发起式证券投资基金,基金
三花控股集团有限公司,一般法人
东方新能源汽车主题混合型证券投资基金,基金
九泰泰富定增主题灵活配置混合型证券投资基金,基金
九泰锐智定增灵活配置混合型证券投资基金,基金
光大保德信先进服务业灵活配置混合型证券投资基金,基金
光大保德信新增长混合型证券投资基金,基金
光大保德信欣鑫灵活配置混合型证券投资基金A,基金
国泰价值经典灵活配置混合型证券投资基金(LOF),基金
国泰区位优势混合型证券投资基金,基金
国泰央企改革股票型证券投资基金,基金
国泰智能汽车股票型证券投资基金,基金
国泰智能装备股票型证券投资基金,基金
国泰金鹏蓝筹价值混合型证券投资基金,基金
国泰金鹰增长灵活配置混合型证券投资基金,基金
国泰金鼎价值精选混合型证券投资基金,基金
富国中证新能源汽车指数分级证券投资基金,基金
富国中证智能汽车指数证券投资基金(LOF),基金
工银瑞信新能源汽车主题混合型证券投资基金A,基金
汇添富中证新能源汽车产业指数型发起式证券投资基金(LOF)A,基金
泓德优势领航灵活配置混合型证券投资基金,基金
泓德优选成长混合型证券投资基金,基金
泓德研究优选混合型证券投资基金,基金
浙江三花绿能实业集团有限公司,一般法人
深圳安鹏资本创新有限公司,一般法人
中元国际工程设计研究院有限公司,一般法人
平安大华基金管理有限公司-深圳平安大华汇通财富管理有限公司,一般法人
云南省能源投资集团有限公司,一般法人
云南能源投资股份有限公司-第一期员工持股计划,一般法人
云天化集团有限责任公司,一般法人
新疆立兴股权投资管理有限公司,一般法人
佛山市顺德区昌连荣投资有限公司,一般法人
佛山市顺德区瑞奇投资有限公司,一般法人
深圳市得胜资产管理有限公司,一般法人
东阳市博驰投资合伙企业(有限合伙),一般法人
横店集团东磁股份有限公司-第二期员工持股计划,一般法人
横店集团东磁股份有限公司回购专用证券账户,一般法人
中国中钢股份有限公司,一般法人
中钢集团马鞍山矿山研究院有限公司,一般法人
安徽省国有资本运营控股集团有限公司,一般法人
霍尔果斯航信股权投资有限公司,一般法人
上海紫竹高新区(集团)有限公司,一般法人
安庆市金安汇汽车配件制造有限公司,一般法人
深圳市亚威投资管理有限公司,一般法人
深圳昭时股权投资基金管理有限公司,一般法人
韶关金启利贸易有限公司,一般法人
上海博观投资管理有限公司,信托公司
云南世博广告有限公司,一般法人
云南世博旅游控股集团有限公司,一般法人
长安国际信托股份有限公司-长安信托-长安投资1039号证券投资单一资金信托,一般法人
广东省建筑科学研究院集团股份有限公司,一般法人
广东省水利电力勘测设计研究院,一般法人
广东省水电集团有限公司,一般法人
中航国际成套设备有限公司,一般法人
五矿资本控股有限公司,一般法人
大成景恒混合型证券投资基金A,基金
宁波汇众壹号股权投资合伙企业(有限合伙),一般法人
杭州炬元资产管理有限公司,信托公司
江山市经济建设发展公司,一般法人
浙江海港资产管理有限公司,一般法人
浙江省中医药健康产业集团有限公司,一般法人
绍兴市城市建设投资集团有限公司,一般法人
华澳国际信托有限公司-华澳·臻智117号-宏润建设2018年员工持股集合资金信托计划,一般法人
浙江宏润控股有限公司,一般法人
中邮核心优势灵活配置混合型证券投资基金,基金
国网电子商务有限公司,一般法人
西部信托有限公司-西部信托·陕煤-朱雀产业投资单一资金信托,一般法人
华峰集团有限公司,一般法人
国泰聚利价值定期开放灵活配置混合型证券投资基金,基金
东华软件股份公司-第一期员工持股计划,一般法人
东方红价值精选混合型证券投资基金A,基金
东方红战略精选沪港深混合型证券投资基金A,基金
东方红收益增强债券型证券投资基金A,基金
东方红汇利债券型证券投资基金A,基金
东方红汇阳债券型证券投资基金A,基金
东方红领先精选灵活配置混合型证券投资基金,基金
光大保德信多策略优选一年定期开放灵活配置混合型证券投资基金,基金
北京东华诚信投资管理中心(有限合伙),一般法人
北京东华诚信电脑科技发展有限公司,一般法人
北京合创电商投资顾问中心(有限合伙),一般法人
中国建筑材料科学研究总院有限公司,一般法人
莱州明发隔热材料有限公司,一般法人
