机构名称,类型
嘉实信用债券型证券投资基金A类,基金
嘉实债券开放式证券投资基金,基金
嘉实周期优选混合型证券投资基金,基金
嘉实增强信用定期开放债券型证券投资基金,基金
嘉实新优选灵活配置混合型证券投资基金,基金
嘉实新思路灵活配置混合型证券投资基金,基金
嘉实新添元定期开放混合型证券投资基金A,基金
嘉实新添华定期开放混合型证券投资基金,基金
嘉实新添泽定期开放混合型证券投资基金,基金
嘉实新添荣定期开放灵活配置混合型证券投资基金A,基金
嘉实新起航灵活配置混合型证券投资基金,基金
嘉实深证基本面120交易型开放式指数证券投资基金联接基金A,基金
嘉实研究增强灵活配置混合型证券投资基金,基金
嘉实研究阿尔法股票型证券投资基金,基金
嘉实稳固收益债券型证券投资基金,基金
嘉实稳宏债券型证券投资基金A,基金
嘉实策略优选灵活配置混合型证券投资基金,基金
国开泰富开泰灵活配置混合型证券投资基金A,基金
国开泰富开航灵活配置混合型发起式证券投资基金,基金
国投瑞银优化增强债券型证券投资基金A/B,基金
国投瑞银双债增利债券型证券投资基金(LOF)A,基金
国投瑞银成长优选混合型证券投资基金,基金
国投瑞银核心企业混合型证券投资基金,基金
国投瑞银沪深300金融地产交易型开放式指数证券投资基金,基金
国投瑞银沪深300金融地产交易型开放式指数证券投资基金联接基金,基金
国投瑞银瑞源灵活配置混合型证券投资基金,基金
国投瑞银瑞福深证100指数证券投资基金(LOF),基金
国投瑞银稳定增利债券型证券投资基金,基金
国投瑞银策略精选灵活配置混合型证券投资基金,基金
国投瑞银美丽中国灵活配置混合型证券投资基金,基金
国投瑞银锐意改革灵活配置混合型证券投资基金,基金
国泰策略价值灵活配置混合型证券投资基金,基金
国联安鑫汇混合型证券投资基金A,基金
国融融信消费严选混合型证券投资基金A,基金
国融融君灵活配置混合型证券投资基金A,基金
国融融盛龙头严选混合型证券投资基金A,基金
国融融银灵活配置混合型证券投资基金A,基金
圆信永丰多策略精选混合型证券投资基金,基金
大成中证互联网金融指数分级证券投资基金,基金
大成债券投资基金A/B,基金
大成新锐产业混合型证券投资基金,基金
大成景丰债券型证券投资基金(LOF),基金
大成景兴信用债债券型证券投资基金A类,基金
大成消费主题混合型证券投资基金,基金
大成深证成份交易型开放式指数证券投资基金,基金
天弘中证银行指数型发起式证券投资基金A,基金
天治中国制造2025灵活配置混合型证券投资基金,基金
天治低碳经济灵活配置混合型证券投资基金,基金
太平灵活配置混合型发起式证券投资基金,基金
安信聚利增强债券型证券投资基金A,基金
富兰克林国海天颐混合型证券投资基金A,基金
富兰克林国海沪深300指数增强型证券投资基金,基金
富兰克林国海焦点驱动灵活配置混合型证券投资基金,基金
富国MSCI中国A股国际通指数增强型证券投资基金,基金
富国中证价值交易型开放式指数证券投资基金,基金
富国中证红利指数增强型证券投资基金,基金
富国中证银行指数型证券投资基金,基金
富国文体健康股票型证券投资基金,基金
富国金融地产行业混合型证券投资基金,基金
工银瑞信四季收益债券型证券投资基金,基金
工银瑞信精选金融地产行业混合型证券投资基金A,基金
工银瑞信金融地产行业混合型证券投资基金,基金
广发中证全指金融地产交易型开放式指数证券投资基金,基金
广发中证全指金融地产交易型开放式指数证券投资基金发起式联接基金A,基金
广发对冲套利定期开放混合型发起式证券投资基金,基金
广发沪深300指数增强型发起式证券投资基金A,基金
广发深证100指数分级证券投资基金,基金
广发量化多因子灵活配置混合型证券投资基金,基金
建信优选成长混合型证券投资基金A,基金
建信深证100指数增强型证券投资基金,基金
建信深证基本面60交易型开放式指数证券投资基金联接基金A,基金
建信积极配置混合型证券投资基金,基金
建信稳定增利债券型证券投资基金C,基金
建信稳定添利债券型证券投资基金A,基金
建信鑫稳回报灵活配置混合型证券投资基金A,基金
建信龙头企业股票型证券投资基金,基金
招商中证银行指数分级证券投资基金,基金
招商增荣灵活配置混合型证券投资基金(LOF),基金
招商央视财经50指数证券投资基金A,基金
招商深证100指数证券投资基金A,基金
摩根士丹利华鑫主题优选混合型证券投资基金,基金
摩根士丹利华鑫强收益债券型证券投资基金,基金
摩根士丹利华鑫深证300指数增强型证券投资基金,基金
新华增强债券型证券投资基金A,基金
新疆前海联合新思路灵活配置混合型证券投资基金A,基金
新疆前海联合泳隆灵活配置混合型证券投资基金A,基金
方正富邦深证100交易型开放式指数证券投资基金,基金
易方达50指数证券投资基金A,基金
易方达丰惠混合型证券投资基金,基金
易方达双债增强债券型证券投资基金A类,基金
易方达增强回报债券型证券投资基金A类,基金
易方达岁丰添利债券型证券投资基金,基金
易方达深证100交易型开放式指数基金,基金
易方达深证100交易型开放式指数证券投资基金联接基金A,基金
易方达瑞富灵活配置混合型证券投资基金I,基金
易方达瑞财灵活配置混合型证券投资基金I,基金
易方达积极成长证券投资基金,基金
易方达稳健收益债券型证券投资基金A,基金
易方达裕如灵活配置混合型证券投资基金,基金
易方达裕惠回报定期开放式混合型发起式证券投资基金,基金
易方达银行指数分级证券投资基金基础份额,基金
景顺长城核心竞争力混合型证券投资基金A,基金
汇安丰泽灵活配置混合型证券投资基金A,基金
汇安多策略灵活配置混合型证券投资基金A,基金
汇安成长优选灵活配置混合型证券投资基金A,基金
汇添富优势精选混合型证券投资基金,基金
汇添富外延增长主题股票型证券投资基金,基金
汇添富深证300交易型开放式指数证券投资基金联接基金,基金
汇添富美丽30混合型证券投资基金,基金
河南鸿宝企业管理有限公司,一般法人
泰康泉林量化价值精选混合型证券投资基金A,基金
泰达宏利创金灵活配置混合型证券投资基金A,基金
海富通欣益灵活配置混合型证券投资基金C,基金
海富通阿尔法对冲混合型发起式证券投资基金,基金
深圳中电投资股份有限公司,一般法人
深证300交易型开放式指数证券投资基金,基金
深证300价值交易型开放式指数证券投资基金,基金
深证基本面120交易型开放式指数证券投资基金,基金
深证基本面60交易型开放式指数证券投资基金,基金
深证成份交易型开放式指数证券投资基金,基金
深证红利交易型开放式指数证券投资基金,基金
申万菱信价值优利混合型证券投资基金,基金
申万菱信新经济混合型证券投资基金,基金
申万菱信智能驱动股票型证券投资基金,基金
申万菱信沪深300价值指数证券投资基金A,基金
申万菱信深证成指分级证券投资基金,基金
红塔红土盛通灵活配置混合型发起式证券投资基金A,基金
英大睿盛灵活配置混合型证券投资基金A,基金
融通深证100指数证券投资基金A/B,基金
融通深证成份指数证券投资基金A/B,基金
西部利得新盈灵活配置混合型证券投资基金,基金
诺安利鑫灵活配置混合型证券投资基金,基金
诺德新宜灵活配置混合型证券投资基金,基金
诺德深证300指数分级证券投资基金,基金
鑫元核心资产股票型发起式证券投资基金A,基金
鑫元行业轮动灵活配置混合型发起式证券投资基金A,基金
银华-道琼斯88精选证券投资基金,基金
银华明择多策略定期开放混合型证券投资基金,基金
银华智荟分红收益灵活配置混合型发起式证券投资基金,基金
银华核心价值优选混合型证券投资基金,基金
银华深证100交易型开放式指数证券投资基金,基金
银华深证100指数分级证券投资基金,基金
银华裕利混合型发起式证券投资基金,基金
银河主题策略混合型证券投资基金,基金
银河和美生活主题混合型证券投资基金,基金
银河嘉谊灵活配置混合型证券投资基金A,基金
银河强化收益债券型证券投资基金,基金
银河旺利灵活配置混合型证券投资基金A,基金
银河智慧主题灵活配置混合型证券投资基金,基金
银河沪深300价值指数证券投资基金,基金
银河蓝筹精选混合型证券投资基金,基金
银河鑫月享6个月定期开放灵活配置混合型证券投资基金A,基金
银河银泰理财分红证券投资基金,基金
长信价值优选混合型证券投资基金,基金
长信利富债券型证券投资基金,基金
长信利尚一年定期开放混合型证券投资基金,基金
长信量化多策略股票型证券投资基金A,基金
长城久嘉创新成长灵活配置混合型证券投资基金,基金
长城久悦债券型证券投资基金,基金
长城久泰沪深300指数证券投资基金A,基金
长城双动力混合型证券投资基金,基金
长城新优选混合型证券投资基金A,基金
长安裕腾灵活配置混合型证券投资基金A,基金
长安鑫兴灵活配置混合型证券投资基金A,基金
长安鑫利优选灵活配置混合型证券投资基金A,基金
长安鑫富领先灵活配置混合型证券投资基金,基金
长安鑫益增强混合型证券投资基金A,基金
长盛中证金融地产指数分级证券投资基金,基金
长盛同享灵活配置混合型证券投资基金A,基金
长盛同益成长回报灵活配置混合型证券投资基金(LOF),基金
长盛盛世灵活配置混合型证券投资基金A,基金
