股票代码,pid
002090,1350
002091,3024
002092,21323
002093,51276
002094,42688
002095,12167
002096,6828
002097,48397
002098,16997
002099,37379
002100,40131
002101,13675
002102,27025
002103,49402
002104,265
002105,4567
002106,3617
002107,28344
002108,15393
002109,41178
002110,43801
002111,25004
002112,12762
002113,47040
002114,19722
002115,34072
002116,26488
002117,3550
002118,15452
002119,31560
002120,48678
002121,421
002122,3047
002123,6847
002124,36654
002125,48777
002126,29536
002127,28602
002128,29269
002129,35587
002130,46671
002131,35841
002132,38017
002133,52091
002134,32060
002135,13103
002136,40569
002137,11399
002138,3017
002139,49581
002140,20606
002141,44115
002142,48709
002144,43134
002145,46714
002146,53987
002147,8897
002148,47474
002149,27391
002150,29757
002151,15930
002152,3999
002153,20263
002154,41597
002155,50253
002156,22860
002157,18712
002158,36991
002159,47550
002160,28564
002161,32720
002162,16669
002163,30760
002164,13905
002165,17740
002166,20576
002167,3219
002168,44070
002169,19747
002170,38163
002171,5770
002172,48555
002174,47183
002175,794
002176,7712
002177,52994
002178,29369
002179,5748
002180,61
002181,18918
002182,13738
002183,26048
002184,38813
002185,26156
002186,2316
002187,16123
002188,12807
002189,30334
002190,33556
002191,20628
002192,51638
002193,7534
002194,20150
002195,20126
002196,37477
002197,42229
002198,34296
002199,26583
002200,23912
002201,11121
002202,15788
002203,5033
002204,26325
002205,32946
002206,5976
002207,5351
002208,2125
002209,5983
002210,14710
002211,8979
002212,4260
002213,22404
002214,13578
002215,47311
002216,43930
002217,6291
002218,16234
002219,50155
002220,35729
002221,46493
002222,46487
002223,465
002224,6368
002225,9038
002226,21097
002227,49464
002228,14768
002229,36911
002230,49685
002231,22365
002233,27364
002234,34116
002235,29900
002236,28030
002237,5421
002238,38793
002239,12225
002240,24186
002241,8901
002242,47443
002243,30051
002244,44761
002245,10999
002246,35999
002247,26203
002248,28579
002249,34103
002250,31924
002251,49499
002252,4900
002253,14095
002255,46846
002256,41351
002258,45668
002259,31426
002261,27042
002262,53321
002263,42809
002264,45299
002265,32263
002266,45334
002267,48310
002268,29336
002269,47806
002270,17678
002271,38775
002272,41
002273,33046
002274,44973
002275,51898
002276,35104
002277,7744
002278,2979
002279,38026
002280,39958
002281,42293
002282,7342
002283,30685
002284,48942
002286,15431
002287,3220
002288,5661
002289,13773
002290,24890
002291,32942
002292,1692
002293,13276
002294,53615
002295,10268
002296,25381
002297,17371
002298,15228
002299,51407
002300,523
002301,5336
002302,39306
002303,17663
002304,7242
002305,44493
002306,43337
002307,14692
002308,31344
002309,4162
002310,9208
002311,43084
002312,48961
002313,47544
002314,35138
002315,50793
002316,8124
002317,21974
002318,49491
002319,17207
002320,26753
002321,21204
002322,4974
002324,10492
002325,16145
002326,17171
002327,19630
002328,42196
002329,50940
002330,44635
002331,47768
002332,19492
002333,29067
002334,47346
002335,32586
002336,45278
002337,18690
002338,13886
002339,49408
002340,25913
002341,3306
002342,46503
002343,43200
002344,20604
002345,26039
