股票代码,公司名称,英文名称,曾用名,所属申万行业,主营业务,公司网址,注册资金,员工人数,电话,传真,邮政编码,办公地址,公司简介,所属地域,简写名称
000001,平安银行股份有限公司,"Ping An Bank Co., Ltd.",深发展A->S深发展A->深发展A,银行 — 银行,经有关监管机构批准的各项商业银行业务,www.bank.pingan.com,194.06亿元,32758,86-0755-82080387,86-0755-82080386,518001,广东省深圳市罗湖区深南东路5047号,"平安银行股份有限公司是中国第一家面向社会公众公开发行股票并上市的商业银行.主营业务经营范围是经有关监管机构批准的各项商业银行业务.公司在22个经济发达城市设立了约300家分支机构的全国性商业银行,在北京、中国香港设立代表处,并与境外众多国家和地区的600多家银行建立了代理行关系.2010年,深发展荣获""最受尊敬银行""、""最佳企业社会责任奖""、 ""最强势盈利银行""、""最佳零售银行""、""中国最佳供应链金融服务提供商""等殊荣.总行营业部、深圳江苏大厦支行等15家网点荣获年度""中国银行业文明规范服务千佳示范单位""称号。",广东省,平安银行
000002,万科企业股份有限公司,"China Vanke Co., Ltd.",深万科A->万科A->G万科A,房地产 — 房地产开发Ⅱ,房地产开发和物业服务,www.vanke.com,113.02亿元,112059,86-0755-25606666;86-0852-23098888,86-0755-25531696;86-0852-23288097,518083,广东省深圳市盐田区大梅沙环梅路33号万科中心,万科企业股份有限公司的主营业务为房地产开发和物业服务；公司主要产品及服务为房地产、物业管理、投资咨询；公司荣获中央电视台颁发的“2018年CCTV中国十佳上市公司”、国际权威金融杂志《机构投资者》（Institutional Investor）颁发的“2018年度亚洲区（日本除外）最佳企业管理团队和公司治理奖”、《董事会》杂志颁发的第十三届中国上市公司董事会“金圆桌奖”董事会治理特殊贡献奖等若干奖项。,广东省,万科Ａ
000004,深圳中国农大科技股份有限公司,"Shenzhen Cau Technology Co.,Ltd",深安达A->ST深安达->深安达A->北大高科->国农科技->*ST国农->G*ST国农->*ST国农->ST国农->*ST国农->ST国农,医药生物 — 化学制药,生物制药,www.sz000004.cn,8397.67万元,210,86-0755-83521596,86-0755-83521727,518000,广东省深圳市南山区中心路(深圳湾段)3333号中铁南方总部大厦503室,"深圳中国农大科技股份有限公司主营经营通讯、计算机、软件、新材料、生物技术和生物特征识别技术、新药、生物制品、医用检测试剂和设备的研究与开发;信息咨询;计算机软件及生物技术的培训(以上各项不含限制项目)、兴办实业(具体项目另行申报)、房地产开发与经营.旗下拥有山东华泰制药有限公司、深圳五洲医药公司、武汉软件有限公司、北京国农置业有限公司等子公司.医药产业上,公司主要产品有克林霉素磷酸酯、门冬氨酸钾镁、水溶性维生素等.公司为进一步扩大公司房地产主营业务,于2007年收购了北京国农置业有限公司33.33%的股权,收购完成后将持有该公司99%的股权。",广东省,国农科技
000005,深圳世纪星源股份有限公司,Shenzhen Fountain Corporation,深原野A->深星源A->世纪星源->ST星源->*ST星源->ST星源->GST星源->ST星源,公用事业 — 环保工程及服务,绿色低碳城市社区建设相关的服务业务,www.fountain.com.cn,10.59亿元,745,86-0755-82208888,86-0755-82207055,518001,广东省深圳市罗湖区深南东路2017号华乐大厦3楼,深圳世纪星源股份有限公司1990年最初设立时的主营业务是与纺织、印染、时装相关的行业，经过二十多年的市场洗练，主营业务逐渐转型为与绿色低碳城市社区建设相关的服务业务方向，即城市交通、清洁能源基础设施建设经营、不动产开发建设、投资和综合物业管理服务、环境处理。,广东省,世纪星源
000006,深圳市振业(集团)股份有限公司,"Shenzhen Zhenye(Group) Co.,Ltd.",深振业A->G深振业,房地产 — 房地产开发Ⅱ,从事房地产开发与销售,www.zhenye.com,13.5亿元,377,86-0755-25863381;86-0755-25863061,86-0755-25863012,518057,广东省深圳市南山区科技南路16号深圳湾科技生态园11栋A座42-43层,"深圳市振业(集团)股份有限公司是以土地开发、房产销售及租赁、物业管理为主业的国有控股上市公司，拥有深圳市振业物业管理有限公司、贵州振业董酒股份有限公司，广西振业(北海)股份有限公司等多家所属企业.公司主要从事房地产行业，先后开发了振业大厦、翠海花园、星海名城、振业城等代表性项目，产品类别涉及普通居民住宅、商用物业、Townhouse等多种类型，累计开发面积达到100万平方米。公司先后被授予中国房地产综合效益百强企业、中国上市公司百强企业，2006年公司开发的振业城项目顺利通过建设部3A终审，被列为""国家节能示范小区""。",广东省,深振业Ａ
000007,深圳市全新好股份有限公司,"Shenzhen Quanxinhao Co.,Ltd",深达声A->ST达声->深达声A->G深达声->深达声A->ST达声->ST零七->零七股份,商业贸易 — 商业物业经营,物业管理和房屋租赁业等,www.sz000007.com,3.46亿元,84,86-0755-83280053,86-0755-83281722,518049,广东省深圳市福田区梅林街道梅康路8号理想时代大厦6楼,深圳市全新好股份有限公司主营业务主要为物业管理和房屋租赁业等。公司主要产品和服务有旅游饮食、物业管理及停车费、房屋租赁。,广东省,全新好
000008,神州高铁技术股份有限公司,"China High Speed Railway Technology Co.,Ltd.",深锦兴A->亿安科技->ST亿安->*ST亿安->ST亿安->亿安科技->宝利来->G宝利来->宝利来->*ST宝投->ST宝利来->宝利来,机械设备 — 运输设备,专业致力于为轨道交通安全运营提供监测、检测、维修、保养设备和服务及整体解决方案,www.shenzhou-gaotie.com,27.81亿元,2631,86-010-56500561,86-010-56500561,100044,北京市海淀区高粱桥斜街59号院1号楼中坤大厦16层,"神州高铁技术股份有限公司成立于1989年10月。2015年1月,公司通过发行股份及支付现金购买资产的方式,完成了对北京新联铁科技股份有限公司100%股权的收购,并正式更名为“神州高铁技术股份有限公司”,由此进入轨道交通安全运维行业。
　　神州高铁是以轨道交通运营维护及安全监测、检测为主业的平台化上市公司,是我国轨道交通运营安全维护领域领先的系统化解决方案和综合数据服务提供商,专业致力于轨道交通安全检测监测技术、数据采集及分析技术和智能化维护技术的研发与应用。公司下属十余家参控股子公司,形成了无损探伤、机器视觉监测、自动测量、环保清洗等核心技术,产品和服务覆盖轨道交通机车车辆、工务、供电、信息化...",北京市,神州高铁
000009,中国宝安集团股份有限公司,"China Baoan Group Co., Ltd.",深宝安A->ST深宝安->深宝安A->S深宝安A,综合 — 综合Ⅱ,新能源、新材料及其它高新技术产业、生物医药业、房地产业以及其他行业,www.chinabaoan.com,25.79亿元,13620,86-0755-25170336;86-0755-25170382,86-0755-25170367;86-0755-25170300,518020,广东省深圳市罗湖区笋岗东路1002号宝安广场A座28-29层,"中国宝安集团股份有限公司是一家综合类股份制集团公司,主营业务是高新技术产业、房地产业、生物医药业,曾连创""新中国第一家股份制企业、发行新中国第一张股票、第一张可转换债券、第一张中长期认股权证、成功策划武汉商场成为深交所第一家异地上市公司、首次通过证券二级市场收购上市公司上海延中实业、开办新中国第一个财务顾问公司安信财务,协助川盐化、甘长风等20多家国企改制上市""等多项新中国第一.公司为广东省和深圳市确定为重点发展的70家、30家大型企业集团之一和深圳市政府评定的深圳市最高企业类别:一类一级企业.目前拥有上市公司马应龙药业(600993)和全资企业及控股企业二十多家。",广东省,中国宝安
000010,深圳美丽生态股份有限公司,"Shenzhen Ecobeauty Co.,Ltd.",深华新A->ST深华新->深华新->*ST华新->S*ST华新->SST华新->ST华新->深华新->美丽生态,建筑装饰 — 园林工程,从事苗木种植、园林绿化工程施工和养护为一体的综合性园林服务。,www.eco-beauty.cn,8.2亿元,545,86-0755-88260216,86-0755-88260215,518101,广东省深圳市宝安区宝兴路6号海纳百川总部大厦B座1701-1703室,深圳美丽生态股份有限公司2013年股权分置改革完成后，主营业务确定为园林绿化业务。目前公司两家全资子公司具有风景园林工程设计专项甲级、市政行业设计专业乙级、工程设计（建筑工程）乙级及文物保护工程勘察古建筑设计丙级、旅游规划设计资质证乙级、国家壹级城市园林绿化企业资质、市政公用工程施工总承包贰级（含多项增项）、绿化造林施工资质乙级、绿化造林设计资质乙级等多项设计和施工资质，公司资质可比肩国内一线企业，具有较强的综合竞争力。,广东省,美丽
000011,深圳市物业发展(集团)股份有限公司,Shenzhen Properties & Resources Development (Group) Ltd.,深物业A->ST深物业->深物业A->S深物业A->S*ST物业->S深物业A,房地产 — 房地产开发Ⅱ,从事房地产开发经营，兼营物业管理、房屋租赁、出租车客运、餐饮服务等,www.szwuye.com.cn,5.96亿元,5504,86-0755-82211020,86-0755-82210610;86-0755-82212043,518014,广东省深圳市罗湖区人民南路国贸大厦39层、42层,深圳市物业发展(集团)股份有限公司主营业务为主要服务为从事房地产开发经营，兼营物业管理、房屋租赁、出租车客运、餐饮服务等。主要服务为房地产业务、物业管理业务、房屋租赁业务、餐饮业务、仓储业务。公司于2019年7月荣获“深圳房地产开发行业品牌价值企业”和“建圳30年副会长单位”称号，并已连续多年荣获“中国房地产开发企业500强”、“广东省企业500强”等诸多荣誉。,广东省,深物业Ａ
000012,中国南玻集团股份有限公司,"Csg Holding Co.,Ltd.",深南玻A->南玻科控->南玻A->G南玻,建筑材料 — 玻璃制造,"平板玻璃、工程玻璃等节能建筑材料,硅材料、光伏组件等可再生能源产品及超薄电子玻璃等新型材料和高科技产品的生产、制造和销售",www.csgholding.com,31.08亿元,10800,86-0755-26860666,86-0755-26860685,518067,广东省深圳市南山区蛇口工业六路一号南玻大厦,"中国南玻集团股份有限公司是由中国香港招商局轮船股份有限公司、深圳建筑材料工业集团公司、中国北方工业深圳公司及广东国际信托投资公司共同投资于1984年9月在深圳市成立的中外合资经营企业,是中国玻璃行业最具竞争力和影响力的大型企业.公司目前拥有下属企业25家,在国内30多个大中城市布有销售网点.公司主营高档浮法玻璃原片、工程及建筑玻璃、汽车玻璃、精细玻璃、光伏科技绿色能源产品(高纯硅材料、太阳能超白玻璃、晶体硅太阳能电池、薄膜太阳能电池及其组件)建筑玻璃幕墙及太阳能光伏幕墙工程的设计与安装等业务.据08年中报显示,太阳能产业已正式成为公司主营业务中的一部分。",广东省,南玻Ａ
000014,沙河实业股份有限公司,"Shahe Industrial Co.,Ltd",深华源A->ST深华源->深华源A->沙河股份->G沙河,房地产 — 房地产开发Ⅱ,房地产开发和销售,www.shahe.cn,2.02亿元,148,86-0755-86091298,86-0755-86090688,518053,广东省深圳市南山区白石路2222号沙河世纪楼,"沙河实业股份有限公司主要从事房地产开发以及配套工程开发建设、新型建材的生产与建设、物业租赁与管理、物资供销、国内外商业、及投资兴办实业等.公司以房地产开发与经营为主要业务,现已成功开发出荔园新村、祥祺花园、鹿鸣园、宝瑞轩、世纪村、世纪假日广场等10多个住宅、商务项目,面积逾100多万平方米.其中,世纪村通过国家建设部""3A""性能住宅认定,荣获""全国人居优秀推荐楼盘""称号.公司以深圳为依托,积极寻求对外扩张,并在湖南长沙、河南新乡等地开发新项目.公司拥有丰富的土地储备,曾在全国率先实行住宅质量保证书和住宅使用说明制度.连续多年被深圳权威资信机构评为""AAA""级信誉企业和深圳市守法纳税大户,曾获深...",广东省,沙河股份
000016,康佳集团股份有限公司,"Konka Group Co.,Ltd",深康佳A->G康佳A,家用电器 — 视听器材,彩电业务、手机业务、白电业务、供应链贸易,www.konka.com,24.08亿元,18965,86-0755-26609138,86-0755-26601139,518057,广东省深圳市南山区粤海街道科技园科技南十二路28号康佳研发大厦23-24层,"康佳集团股份有限公司是中国首家中外合资电子企业,是中国彩电行业和手机行业骨干龙头企业,公司A、B股股票同时在深圳证券交易所上市.康佳集团已形成消费多媒体、移动通信、信息网络和相关配套器件四大主导产业,主要产品为彩电、移动电话、平板电脑、液晶显示器等,兼及冰箱、精密模具、注塑件、高频头、印制板、FBT等相关领域.康佳现拥有国家级的技术开发中心和博士后工作站,并在美国硅谷设立了研发实验室,具有强大的技术开发实力,每年新产品产值率在90%以上.""康佳""i-sport36液晶电视曾获""消费电子冠军产品(中国区)""评选液晶电视类大奖。
    2019年，公司自主研发的《数字电视广播系统与核心芯片国产化...",广东省,深康佳Ａ
000017,深圳中华自行车(集团)股份有限公司,Shenzhen China Bicycle Company (Holdings) Limited,深中华A->ST中华A->*ST中华A->S*ST中华->SST中华A->ST中华A->*ST中华A,汽车 — 其他交运设备,电动自行车、自行车及零配件的生产和销售以及物业管理。,www.cbc.com.cn,5.51亿元,53,86-0755-28181666;86-0755-25516998,86-0755-28181009,518030,广东省深圳市罗湖区笋岗东路3002号万通大厦1201,深圳中华自行车(集团)股份有限公司主营业务为电动自行车、自行车及零配件的生产和销售以及物业管理。主要产品为：阿米尼牌自行车、电动自行车。,广东省,深中华Ａ
000018,神州长城股份有限公司,"Sino Great Wall Co., Ltd.",深中冠A->G深中冠->深中冠A->ST中冠A->*ST中冠A->ST中冠A->*ST中冠A->中冠A->神州长城->*ST神城,建筑装饰 — 专业工程,建筑装饰工程设计与施工及建筑相关工程施工,www.sgwde.com,16.98亿元,821,86-010-67862670,86-010-67863571,100176,北京市大兴区经济技术开发区锦绣街3号神州长城大厦,神州长城股份有限公司主营业务为建筑装饰工程设计与施工及建筑相关工程施工。2015年9月18日，中冠股份、神州长城全体股东、华联集团及深圳市中冠创业有限责任公司共同签署《资产交割确认书》，明确本次交易项下置入资产和置出资产的交割事宜已实施完毕。,广东省,神城Ａ退
000019,深圳市深粮控股股份有限公司,"Shenzhen Cereals Holdings Co.,Ltd.",深深宝A->G深宝A->深深宝A,商业贸易 — 贸易Ⅱ,茶及天然植物精深加工为主的食品原料(配料)生产研发和销售业务;粮油储备粮油贸易粮油加工等粮油流通及粮油储备服务业,www.slkg1949.com,11.53亿元,1096,86-0755-83778690,86-0755-83778311,518033,广东省深圳市福田区福虹路9号世贸广场A座13楼,"深圳市深粮控股股份有限公司是中国食品饮料行业首家上市公司,是中国大陆最早生产利乐软包饮料、发酵型乳酸菌饮料的企业之一,拥有多家全资、控股、参股子公司.主要经营生产食品罐头、饮料、土产品(生产场所营业执照另行申办);国内商业、物资供销业(不含专营、专控、专卖商品);进出口业务(按深贸管审证字第080 号外贸企业审定证书办理),是中国食品饮料行业首家上市公司，是中国大陆最早生产利乐软包饮料、发酵型乳酸菌饮料的企业之一。公司下属深宝华城科技公司已成功跻身于以提供健康绿色的茶叶深加工及天然植物提取高新技术产品和成套技术解决方案为核心竞争力的“国家级高新技术企业”行列，现已通过了多家国内及全球知名品牌食...",广东省,深粮控股
000020,深圳中恒华发股份有限公司,"Shenzhen Zhongheng Huafa Co., Ltd.",深华发A->ST华发A->深华发A->ST华发A->*ST华发A->S*ST华发->SST华发A->ST华发A,电子 — 电子制造,精密注塑件的加工、销售;液晶显示器的加工、销售;轻型包装材料的加工、销售以及物业租赁业务。,www.hwafa.com.cn,2.83亿元,1016,86-0755-86360201,86-0755-86360206,518057,广东省深圳市南山区大冲商务中心2号楼33层,"深圳中恒华发股份有限公司是国家大型企业和国家彩电定点生产企业.公司全资拥有彩色电视机厂、印制电路板厂、精密注塑厂及位于深圳市中心黄金地段的华发大厦等5万多平方米的物业,主要生产经营各种彩色电视机、液晶显示器、液晶显示屏(在分支机构生产经营)、收录机、音响设备、电子表、电子游戏机、电脑等各类电子产品及配套的印制线路板、精密注塑件、轻型包装材料(在武汉生产经营)、五金件(含工模具),电镀及表面处理、焊锡丝,房地产开发经营(深房地产第7226760号),物业管理.在武汉市、吉林市成立联营公司,在全国省府(除拉萨市)和直辖市设立分支机构.产品均通过美国UL标准认证.公司被评为中国500家最大工业企业、...",广东省,深华发Ａ
000021,深圳长城开发科技股份有限公司,"Shen Zhen Kaifa Technology Co.,Ltd.",深科技A->G深科技->深科技A->长城开发,计算机 — 计算机设备,计算机硬件、通讯设备等。,www.kaifa.cn,14.71亿元,21974,86-0755-83200095,86-0755-83275075,518035,广东省深圳市福田区彩田路7006号,"深圳长城开发科技股份有限公司是一家以研发和生产硬盘磁头产品、多功能电表产品、税控产品等为主业的大型高科技外向型上市公司.公司集研发、生产、销售等于一体,在中国香港、新加坡、美国等地均设有分支机构和研发队伍.公司在国内率先通过ISO9001等质量体系认证,引进并推广了6Sigma和工业工程(IE)技术等先进管理方法.公司的主导产品硬盘磁头占全球市场份额的10%以上,是全球第二大磁头专业制造商.电表产品遍布欧洲、南亚和东南亚,累计出口超过1600万台,创下了三项""深圳企业新纪录"",成为中国最大的远程控制电表及系统研发制造商.公司首批获税控收款机生产企业资质和生产许可证,年生产能力达到70万台,是国...",广东省,深科技
000023,深圳市天地(集团)股份有限公司,"Shenzhen Universe(Group)Co.,Ltd.",深天地A->G深天地,建筑材料 — 其他建材,混凝土的生产和销售、房地产的开发与销售,www.sztiandi.com,1.39亿元,1088,86-0755-86154212,86-0755-86154040,518057,广东省深圳市南山区高新技术产业园(北区)朗山路东物商业大楼10楼,深圳市天地(集团)股份有限公司主营业务是混凝土的生产和销售、房地产的开发与销售。,广东省,深天地Ａ
000025,深圳市特力(集团)股份有限公司,"Shenzhen Tellus Holding Co., Ltd",深特力A->ST特力A->GST特力A->G特力A,汽车 — 汽车服务,汽车销售、汽车检测维修及配件销售、物业租赁及服务,www.tellus.cn,4.31亿元,337,86-0755-83989378;86-0755-83989339,86-0755-83989386,518031,广东省深圳市福田区深南中路中核大厦十五楼,深圳市特力(集团)股份有限公司的主营业务为汽车销售、汽车检测维修及配件销售、物业租赁及服务；公司的主要产品为汽车销售、汽车维修及检测、珠宝批发及零售、物业租赁及服务；公司位于水贝、布心片区最大业主地位。,广东省,特力Ａ
000026,飞亚达(集团)股份有限公司,Fiyta Holdings Ltd.,飞亚达A->S飞亚达A,轻工制造 — 家用轻工,"主要从事钟表及其零配件的设计、开发、制造、销售和维修业务，包括""飞亚达""表的产品经营和世界名表的商业连锁销售",www.fiytagroup.com,4.43亿元,5162,86-0755-86013669,86-0755-83348369,518057,广东省深圳市南山区高新南一道飞亚达科技大厦20楼,"飞亚达(集团)股份有限公司主营业务是从事钟表及其零配件的设计、开发、制造、销售和维修业务，包括""飞亚达""表的产品经营和世界名表的商业连锁销售。主营业务为手表零售服务业务、手表品牌业务、精密制造业务、租赁业务等。公司是国家技术创新示范企业、国家级工业设计中心和国家认定的企业技术中心、工信部认定的“两化”融合贯标单位,下属制造型企业均为国家级高新技术企业。",广东省,飞亚达Ａ
000027,深圳能源集团股份有限公司,"Shenzhen Energy Group Co.,Ltd.",深能源A->G深能源->深能源A,公用事业 — 电力,"各种常规能源和新能源的开发、生产、购销,以及城市固体废物处理、城市燃气供应和废水处理等",www.sec.com.cn,39.64亿元,6649,86-0755-83684138,86-0755-83684128,518033,"广东省深圳市福田区金田路2026号能源大厦北塔楼9,29-31,34-41层",深圳能源集团股份有限公司的主营业务为各种常规能源和新能源的开发、生产、购销，以及城市固体废物处理、废水处理和城市燃气供应等；公司的主要产品包括电力、燃气、蒸汽、运输。公司积极参与广东省环境保护厅组织的企业环境信用评价工作，在2017年企业环境信用中取得优异成绩（2018年10月公布），公司纳入评价的妈湾、沙角B、河源3家燃煤电厂及盐田、南山、宝安3家垃圾焚烧发电厂全部荣获了环保诚信企业“绿牌。,广东省,深圳能源
000028,国药集团一致药业股份有限公司,China National Accord Medicines Corporation Ltd.,深益力A->一致药业->G一致->一致药业,医药生物 — 医药商业Ⅱ,药品的研发、生产，中西成药、中药材、生物制品、生化药品、保健品、医疗器械的批发销售和连锁零售。,www.szaccord.com.cn,4.28亿元,24821,86-0755-25875195;86-0755-25875222,86-0755-25195435,518029,广东省深圳市福田区八卦四路15号一致药业大厦,"国药集团一致药业股份有限公司是集制药工业、医药批发、零售连锁为一体的医药上市公司,控股股东为国药控股有限公司.主要经营医药企业受托管理、资产重组,医药实业投资项目的咨询服务,举办医疗器械的展览展销,中药材、中成药、中药饮片、化学原料药、化学药制剂、抗生素、生化药品、生物制品的批发(经营期限以许可证为准).公司坚持走研发、制药、分销、物流、零售一体化发展道路,旗下拥有致君制药、万乐公司、一致药店等公司,其中一致药店为国内最大规模的连锁药店之一.公司为国药控股在中国南区的医药分销、物流、生产、研发和投资中心公司,还承担深圳市政府的国家药品储备任务,并享有麻醉药品经营权及甘草、麻黄草专营权。国药一致...",广东省,国药一致
000030,富奥汽车零部件股份有限公司,Fawer Automotive Parts Limited Company,莱英达A->ST英达A->ST盛润A->*ST盛润A->ST盛润A->*ST盛润A->S*ST盛润->SST盛润->ST盛润A->*ST盛润A,汽车 — 汽车零部件,汽车零部件的生产与销售,www.fawer.com.cn,18.11亿元,7560,86-0431-85122797,86-0431-85122756,130011,吉林省长春市绿园区汽车经济技术开发区东风南街777号,富奥汽车零部件股份有限公司是一家主营汽车零部件产品的研发、生产和销售的企业，富奥股份生产、销售的汽车零部件产品品种覆盖重、中、轻、微型商用车和高、中、低档乘用车等系列车型。公司主要产品类型为包括环境系统、底盘系统、制动和传动系统、转向及安全系统、电子电器、发动机附件。2009年，富奥股份被中国汽车品牌发展研究会、中国国际汽车工业节能技术研究会等六家机构联合授予“2009达沃斯（中国）汽车零部件制造十大最具综合实力企业”称号。2011年，富奥股份被吉林省科学技术厅等四部门联合认定为“高新技术企业”，富奥股份研发中心被吉林省工业和信息化厅等六部门联合认定为“省级企业技术中心”。在激烈的市场竞争中，...,吉林省,富奥股份
000031,大悦城控股集团股份有限公司,"Grandjoy Holdings Group Co.,Ltd.",深宝恒A->G宝恒->G中粮地->中粮地产,房地产 — 房地产开发Ⅱ,房地产开发、经营、销售、出租及管理住宅、商用物业、工业物业,www.grandjoy.com,39.26亿元,4238,86-010-85017888;86-0755-23999288,86-0755-23999009,518048,"广东省深圳市福田区福华一路1号大中华国际交易广场35层,北京市朝阳区朝阳门南大街8号中粮福临门大厦13层",大悦城控股集团股份有限公司的主营业务为房地产开发、经营、销售、出租及管理住宅、商用物业、工业物业；主要业务包括：房地产开发、经营、销售、出租及管理住宅、商用物业，经营业态以住宅为主。公司立足环北京、环上海、环深圳三大核心城市群，重点关注以长江中游城市群、成渝城市群、一带一路沿线为主的中心城市及高潜力城市，打造了壹号、祥云、锦云、鸿云四条品牌住宅产品线，细分产品类型，实现区位、规模、定位上的互补。,广东省,大悦城
000032,深圳市桑达实业股份有限公司,"Shenzhen Sed Industry Co.,Ltd",深桑达A->G深桑达,通信 — 通信设备,电子制造、电子商贸、电子物流服务等在内的一体化现代电子信息服务。,www.sedind.com,4.13亿元,457,86-0755-86316073,86-0755-86316006,518057,广东省深圳市南山区科技园科技路1号桑达科技大厦15-17层,"深圳市桑达实业股份有限公司是一家以电子整机产品、新兴电子元器件等电子高新技术产品为主导的企业.公司主要产品包括手机、税控收款机、高速公路紧急电话等电子整机产品和高清数字电视FBT、DC-AC电源等电子元器件.此外,公司还涉足房地产、商贸等多个领域,开发有无锡馨园、棕榈堡项目、棕榈湾海景花园等房地产项目。",广东省,深桑达Ａ
000034,神州数码集团股份有限公司,"Digital China Group Co.,Ltd",深华宝A->ST深华宝->深华宝A->深信泰丰->ST深泰->*ST深泰->S*ST深泰->SST深泰->ST深泰->*ST深泰->ST深泰->深信泰丰,计算机 — 计算机应用,"云管理服务及数字化方案提供商,IT领域分销和增值服务商",www.digitalchina.com,6.54亿元,4228,86-010-82705411,86-010-82705651,100085,北京市海淀区上地九街九号数码科技广场,"神州数码集团股份有限公司是国内领先的云管理服务及数字化方案提供商,为企业客户提供从IaaS、PaaS到SaaS的各类产品、服务及企业数字化解决方案,是中国最大的、涉及领域最广的IT领域分销和增值服务商。",广东省,神州数码
000035,中国天楹股份有限公司,China Tianying Inc.,中科健A->*ST科健->ST科健->*ST科健->S*ST科健->*ST科健->ST科健->*ST科健->ST科健->*ST科健->中科健,公用事业 — 环保工程及服务,以BOO、BOT方式投资、建设和运营城市生活垃圾焚烧发电项目，研发、生产、销售垃圾焚烧发电及环保成套设备,www.ctyi.com.cn,25.24亿元,8631,86-0513-80688810,86-0513-80688820,226600,江苏省南通市海安市黄海大道(西)268号,中国天楹股份有限公司是以BOO、BOT方式投资、建设、运营城市生活垃圾焚烧发电项目，研发、生产、销售垃圾焚烧发电及环保成套设备。作为国内首家专注垃圾焚烧发电业务的上市企业，公司专注于城市生活垃圾焚烧发电项目以及环保设备生产制造，是江苏省十二五环保产业发展重点培育的龙头企业之一。,江苏省,中国天楹
000036,华联控股股份有限公司,China Union Holdings Ltd.,深惠中A->华联控股->G华联->华联控股->*ST华控,房地产 — 房地产开发Ⅱ,房地产开发及自有物业租赁管理业务,www.udcgroup.com,14.84亿元,835,86-0755-83667450;86-0755-83667257,86-0755-83667583,518031,广东省深圳市福田区深南中路2008号华联大厦11层,"华联控股股份有限公司是深圳市最早从事专业化纤产品生产与经营的国营内联企业,2006年,公司主营业务平稳地实现了从传统纺织服装行业向石化新材料(PTA)行业为主、房地产为辅的重大转变,公司已发展成为具有较大经营规模优势和较强竞争力的大企业集团.公司所属华联发展集团是以纺织为基础多元化经营的中央直属的国家级大型企业集团,曾被评为""世界纺织业500强中国入选企业第一名"".集团现有全资、控股企业二十余家及""华联控股""、""深中冠""等两家上市公司,已形成以纺织服装、高科技、房地产物业和石化新材料为支柱的产业体系和国际化的经营格局.2008年,受PTA产品上游原材料价格大幅上涨和其下游聚酯行业市场需求不足双...",广东省,华联控股
000037,深圳南山热电股份有限公司,"Shenzhen Nanshan Power Co., Ltd.",深南电A->G南电->深南电A->*ST南电A,公用事业 — 电力,生产经营供电供热、从事发电厂(站)的相关技术咨询和技术服务,www.nsrd.com.cn,6.03亿元,520,86-0755-26948888;86-0755-26003611,86-0755-26003684,518053,广东省深圳市南山区华侨城汉唐大厦16、17楼,深圳南山热电股份有限公司主营业务为生产经营供电、供热，从事发电厂(站)的相关技术咨询和技术服务。公司拥有3家全资或控股燃机发电厂，现有7套9E型燃气－蒸汽联合循环发电机组，总装机容量126万千瓦（其中：南山热电厂3×18万千瓦、中山南朗电厂2×18万千瓦、东莞高埗电厂2×18万千瓦）。,广东省,深南电Ａ
000038,深圳大通实业股份有限公司,"Shenzhen Capstone Industrial Co.,Ltd.",深大通A->ST深大通->深大通A->*ST大通->S*ST大通->*ST大通,传媒 — 营销传播,新媒体传媒运营、广告发布,www.chinadatong.com,5.23亿元,246,86-0755-26926508,86-0755-26910599,518057,广东省深圳市南山区科苑中路15号科兴科学园B2栋302室,"深圳大通实业股份有限公司是一家以房地产开发为主业的上市公司.主营房地产开发,经营;国内贸易;兴办实业,计算机软硬件开发及销售,经营进出口业务。",广东省,深大通
000039,中国国际海运集装箱(集团)股份有限公司,"China International Marine Containers (Group) Co., Ltd",深中集A->中集集团->G中集,机械设备 — 金属制品,主要从事集装箱、能源、化工及液态食品装备、海洋工程装备、空港设备的制造及服务业务,www.cimc.com,35.84亿元,50865,86-0755-26691130;86-0755-26802706,86-0755-26826579,518067,广东省深圳市南山区蛇口港湾大道2号中集研发中心8楼,"中国国际海运集装箱(集团)股份有限公司是中国最早的集装箱专业生产厂和最早的中外合资企业之一,主要经营集装箱、道路运输车辆、罐式储运设备、机场设备制造和销售服务.道路运输车辆业务是中集集团目前的重点发展业务,自2002年以来,中集利用其在管理、技术、品牌和规模经营等方面的优势,通过收购兼并和投资建设的方式,整合行业资源,实现规模性扩张.公司目前成为全球规模最大、品种最齐全的集装箱制造集团,客户包括全球最知名的船公司和租箱公司,产品遍及北美、欧洲、亚洲等全球主要的海陆物流系统,在集装箱行业确立了世界级地位。",广东省,中集集团
