股票代码,公司名称,英文名称,曾用名,所属申万行业,主营业务,公司网址,注册资金,员工人数,电话,传真,邮政编码,办公地址,公司简介,所属地域,简写名称
000719,中原大地传媒股份有限公司,"Central China Land Media Co.,Ltd",焦作碱业->焦作鑫安->ST鑫安->SST鑫安->S*ST鑫安->*ST鑫安->大地传媒,传媒 — 文化传媒,"从事中小学教材、教辅的编制、印刷及发行业务,服务于河南省内的中小学在校学生。",www.zyddcm.com,10.23亿元,14747,86-0371-87528527,86-0371-87528528,450016,河南省郑州市管城回族区金水东路39号中国(河南)出版产业园A座,"中原大地传媒股份有限公司为从事中小学教材、教辅的编制、印刷及发行业务,服务于河南省内的中小学在校学生。主要产品为一般图书、教材教辅、期刊、音像制品、物资销售业务、印刷业务等。",河南省,中原传媒
000720,山东新能泰山发电股份有限公司,"Shandong Xinneng Taishan Power Generation Co.,Ltd.",山东电缆->鲁能泰山->G泰山->鲁能泰山->*ST能山->ST能山->*ST能山->新能泰山->*ST新能,房地产 — 房地产开发Ⅱ,产业园开发运营业务、电线电缆业务,www.sz000720.com,12.9亿元,851,86-025-87730881,86-025-87730829,210000,江苏省南京市玄武区沧园路1号金元天甲1号楼五楼,"山东新能泰山发电股份有限公司是一家以电力、电线电缆为主业，集生产、经营、科研于一体的公司。公司的主要产品包括电力生产、销售；电线电缆、电子产品、电器机械及器材、输变电设备、橡皮及塑料制品的生产、销售；金属材料压延加工；高速公路护栏、铁塔、型材的生产、销售与安装等。本公司先后承担了北京天安门线路改造、大秦、宝中、京九铁路、三峡工程、北京西客站等230多项国家重点建设项目的部分配套任务。1996年，公司通过了国际标准化组织发布的ISO9000《质量管理和质量保证》国际标准体系的审核。公司是全国同行业中列入全国300户重点企业的企业之一。公司未来向智慧供应链转型将主要在物流仓储平台,电商交易平台,供...",山东省,新能泰山
000722,湖南发展集团股份有限公司,"Hunan Development Group Co.,Ltd",金果实业->G金果->金果实业->*ST金果,公用事业 — 电力,水力发电综合开发经营以及医疗、养老业务的投资、建设及运营管理,www.hnfzgf.com,4.64亿元,663,86-0731-88789296,86-0731-88789290,410015,湖南省长沙市天心区芙蓉中路三段142号光大发展大厦B座第27楼,湖南发展集团股份有限公司主营业务为水力发电综合开发经营以及医疗、养老业务的投资、建设及运营管理。主要经营活动为以自有资产进行养老、养生、医疗机构的投资、建设、运营管理及股权投资、并购（不得从事吸收存款、集资收款、受托贷款、发放贷款等国家金融监管及财政信用业务）；水力发电综合开发经营；健康咨询服务；医疗器械、老年用品、药品、保健用品的研发、生产及销售；休闲旅游及房地产开发经营；酒店经营及物业管理。目前产品主要为电力。,湖南省,湖南发展
000723,山西美锦能源股份有限公司,"Shanxi Meijin Energy Co.,Ltd.",天宇电气->ST天宇->天宇电气->S天宇->天宇电气,采掘 — 煤炭开采Ⅱ,焦化厂、煤矿、煤层气的开发、投资，批发零售煤炭、金属材料、建材、日用杂平、劳保用品，煤炭、焦炭、煤矸石、金属镁、铁矿粉、生铁的加工与销售。,www.mjenergy.cn,40.99亿元,6906,86-0351-4236095,86-0351-4236092,30002,山西省太原市迎泽区劲松北路31号哈伯中心12层,"山西美锦能源股份有限公司是一家主要从事焦化厂生产、煤矿、煤层气的开发、投资、批发零售焦炭的公司。公司的主要产品为煤炭、焦炭、焦炭化产品、天然气、氢燃料电池汽车等。汾西太岳持有国土资源部颁发的C1000002014121210136705号采矿许可证,开采矿种为煤、1#2#,生产规模210万吨/年,开采方式为地下开采,矿区面积为37.414平方公里,工艺流程为井下机械化开采原煤并洗选,销售模式为直销。根据有关部门组织的专家审查,截止2018年末,保有资源储量10509.12万吨。东于煤业持有国土资源部颁发的C1400002009121220046804号采矿许可证,开采矿种为煤、03#-9#,生...",山西省,美锦能源
000725,京东方科技集团股份有限公司,"Boe Technology Group Co., Ltd.",京东方A->G京东方->京东方A->*ST东方A,电子 — 光学光电子,显示器件业务、智慧系统产品业务、智慧健康服务业务,www.boe.com,347.98亿元,68175,86-010-64318888,86-010-64366264,100176,北京市大兴区经济技术开发区西环中路12号,"京东方科技集团股份有限公司（BOE）创立于1993年4月，是全球领先的半导体显示技术、产品与服务提供商。产品广泛应用于手机、平板电脑、笔记本电脑、显示器、电视、车载、数字信息显示等各类显示领域。
　　2014年，京东方（BOE）全球首发产品覆盖率38%，年新增专利申请量5116件；2015年上半年，新增专利申请量3250件，累计可使用专利超过32000件，位居全球业内前列。此外，京东方（BOE）手机面板出货量同比增长38%，市占率达18%；平板电脑面板出货量同比增长37%，市占率达32%，均位列全球第一。电视面板出货量同比增长154%，尤以UHD面板出货量增速迅猛，使京东方电视面板市占率增至1...",北京市,京东方Ａ
000726,鲁泰纺织股份有限公司,"Lu Thai Textile Co.,Ltd",鲁泰A->G鲁泰,纺织服装 — 纺织制造,生产销售中、高档衬衫用色织布面料、印染面料、成衣等产品。,www.lttc.com.cn,8.58亿元,25851,86-0533-5285166;86-0533-5266188,86-0533-5418805,255086,"山东省淄博市淄川区松龄东路81号,山东省淄博市高新技术开发区铭波路11号","鲁泰纺织股份有限公司是一家经营纺织品的公司,其公司的主导产品为衬衣用色织布面料和衬衫等,该公司是具有棉花种植、纺纱、漂染、织布、整理、制衣综合垂直生产能力的纺织企业集团,世界产量最大的高档衬衣色织面料生产厂商.公司现拥有从日本、德国、瑞士等国家引进的具有国际先进水平的机器设备8800多台(套).公司主要产品为纱线、色织布、衬衣三大系列,公司产品""鲁泰格蕾芬""衬衫、色织布面料双双被国家质检总局和国家名推委认定为""中国名牌""和""国家免检""产品,并被评为""商务部重点培育和发展的出口名牌""及""山东省质量管理奖""等称号.公司生产经营业绩一直位居全国纺织行业前列,产品85%销往日本、美国、英国、意大利、新...",山东省,鲁泰Ａ
000727,南京华东电子信息科技股份有限公司,"Nanjing Huadong Electronics Information &Technology Co.,Ltd",华东电子->华东科技->G华电,电子 — 光学光电子,电子产品、平板显示器件及模块、石英晶体产品、电子线路产品、真空电子、照明器材及材料的生产、加工、销售、技术服务等,www.huadongtech.com,45.3亿元,6394,86-025-66852685;86-025-66852686;86-025-66087777-5606,86-025-66852680,210033,江苏省南京市栖霞区天佑路7号,"南京华东电子信息科技股份有限公司是一家主要从事晶体元器件、显示器件、新型电子器件、电子材料及真空电子器件的生产销售、动力供应等的公司.公司的主要产品显像管、显示管、LCD、GPS、照明、节能光源、晶体元器件、商用空调、医疗电子设备、太阳能系列产品、计算机配件等门类.""电工""牌主导产品已全部通过ISO9001质量保证体系认证,并通过ISO14001环境体系认证,其中荧光灯产品全国首先通过ISO9002质量体系认证的光源产品。",江苏省,华东科技
000728,国元证券股份有限公司,Guoyuan Securities Company Limited,北京化二->S京化二->S*ST化二->S*ST国元,非银金融 — 证券,证券的代理买卖;证券自营买卖;证券承销;证券投资咨询;客户资产管理等,www.gyzq.com.cn,33.65亿元,3452,86-0551-62207968;86-0551-62207323,86-0551-62207322,230022,安徽省合肥市蜀山区梅山路18号,"国元证券股份有限公司主要从事证券(含境内上市外资股)的代理买卖、代理证券的还本付息、分红派息、证券代保管、鉴证;代理登记开户、证券的自营买卖、证券(含境内上市外资股)的承销(含主承销)、受托投资管理等,拥有36家证券营业部、20家证券服务部,并控股全国最早成立的十家基金管理公司之一的长盛基金管理有限公司,是一个资产质量高、综合实力强、经营范围广的综合类证券公司。",安徽省,国元证券
000729,北京燕京啤酒股份有限公司,"Beijing Yanjing Brewery Co.,Ltd.",燕京啤酒->G燕啤,食品饮料 — 饮料制造,生产和销售啤酒,www.yanjing.com.cn,28.19亿元,32447,86-010-89490729,86-010-89495569,101300,北京市顺义区双河路9号,"北京燕京啤酒股份有限公司是一家以啤酒为主的企业.公司经营范围:制造啤酒、矿泉水、啤酒原料、饲料、酵母、塑料箱;餐饮服务;普通货物运输;生产纸箱(限分公司经营);销售啤酒、矿泉水、啤酒原料、饲料、酵母、塑料箱、五金交电、建筑材料、日用百货;技术咨询、技术培训、技术转让;货物进出口;技术进出口;代理进出口.2010 年,公司啤酒生产销售量位于世界啤酒行业前八名。",北京市,燕京啤酒
000731,四川美丰化工股份有限公司,"Sichuan Meifeng Chemical Industry Co.,Ltd.",四川美丰->S川美丰,化工 — 化学制品,化学肥料、合成氨、尿素、三聚氰胺、塑料包装袋及PVC管材管件等制造、销售,www.scmeif.com,5.91亿元,2387,86-0838-2304235,86-0838-2304228,618000,四川省德阳市旌阳区蓥华南路一段10号,四川美丰化工股份有限公司是一家以化肥制造为主的企业.公司主要从事化学肥料、合成氨、尿素、碳酸氢铵、三聚氰胺、塑料包装袋及PVC管材管件等制造、销售。,四川省,四川美丰
