股票代码,股东股票代码2,持有数量,占流通股比例,股份类型,十大流通股东排名,日期
300451,600177,2884.75万,5.29%,流通A股,3,2019-09-30
300457,600999,614.71万,2.44%,流通A股,6,2019-09-30
300477,300340,881.82万,1.84%,流通A股,5,2019-09-30
300483,601688,43.32万,0.86%,流通A股,9,2019-09-30
300497,002326,1829.44万,9.55%,流通A股,1,2019-09-30
300499,002123,389.45万,3.12%,流通A股,6,2019-09-30
300519,002500,34.20万,0.30%,流通A股,10,2019-09-30
300554,601688,44.53万,0.96%,流通A股,7,2019-09-30
300557,000786,150.71万,4.47%,流通A股,2,2019-09-30
300575,600958,65.01万,1.05%,流通A股,9,2019-09-30
300576,600030,30.76万,0.77%,流通A股,10,2019-09-30
300577,600030,151.82万,2.36%,流通A股,8,2019-09-30
300599,000563,36.95万,0.41%,流通A股,10,2019-09-30
300604,000776,104.10万,0.82%,流通A股,8,2019-09-30
300605,601688,27.68万,0.38%,流通A股,9,2019-09-30
300607,600837,100.01万,1.74%,流通A股,9,2019-09-30
300610,002500,28.64万,0.57%,流通A股,10,2019-09-30
300638,601881,46.00万,1.15%,流通A股,4,2019-09-30
300643,601881,679.00万,8.11%,流通A股,2,2019-09-30
300644,600287,919.10万,22.30%,流通A股,1,2019-12-02
300653,601881,78.11万,1.80%,流通A股,5,2019-09-30
300656,000997,735.08万,14.37%,流通A股,1,2019-09-30
300663,600570,483.51万,2.62%,流通A股,6,2019-09-30
300685,600958,191.67万,2.10%,流通A股,9,2019-09-30
300712,002498,530.40万,6.76%,流通A股,3,2019-09-30
300717,601688,15.86万,0.37%,流通A股,9,2019-09-30
300720,002500,20.77万,0.50%,流通A股,10,2019-09-30
300725,000750,208.35万,2.07%,流通A股,9,2019-09-30
300752,600030,9.80万,0.34%,流通A股,7,2019-09-30
300759,000750,281.62万,4.29%,流通A股,2,2019-09-30
300767,601688,22.04万,1.10%,流通A股,8,2019-09-30
300772,000776,103.03万,1.40%,流通A股,1,2019-09-30
300775,601688,20.36万,0.41%,流通A股,6,2019-09-30
300777,601688,15.35万,0.38%,流通A股,9,2019-09-30
300780,601688,22.32万,0.61%,流通A股,1,2019-09-30
300790,601198,5.22万,0.18%,流通A股,5,2019-09-30
300792,000776,5.77万,0.29%,流通A股,1,2019-09-30
430229,000776,55.10万,-,三板流通A股,5,2019-06-30
600012,001965,4.04亿,24.37%,流通A股,3,2019-09-30
600016,600811,12.80亿,2.92%,流通A股,9,2019-09-30
600020,001965,3.47亿,15.43%,流通A股,2,2019-09-30
600021,601727,2300.61万,0.98%,流通A股,10,2019-09-30
600021,600900,1.27亿,5.40%,流通A股,3,2019-09-30
600021,600958,3528.17万,1.50%,流通A股,6,2019-09-30
600025,601377,3300.00万,0.37%,流通A股,5,2019-09-30
600027,600642,1.43亿,1.64%,流通A股,5,2019-09-30
600027,601727,7500.00万,0.86%,流通A股,8,2019-09-30
600028,601211,1.15亿,0.09%,流通A股,10,2019-09-30
600029,601021,1.41亿,1.19%,流通A股,9,2019-09-30
600033,001965,4.87亿,17.75%,流通A股,2,2019-09-30
600035,001965,2.63亿,17.23%,流通A股,2,2019-09-30
600037,600977,1354.10万,0.97%,流通A股,10,2019-09-30
600037,600208,2031.14万,1.46%,流通A股,7,2019-09-30
600037,600637,2031.14万,1.46%,流通A股,8,2019-09-30
600070,000672,414.50万,0.94%,流通A股,8,2019-09-30
600097,600604,383.39万,1.69%,流通A股,7,2019-09-30
600098,600900,4.90亿,17.98%,流通A股,2,2019-09-30
600109,000690,1892.95万,0.63%,流通A股,10,2019-09-30
600116,600900,1.60亿,16.08%,流通A股,1,2019-09-30
600129,600998,2343.75万,4.31%,流通A股,2,2019-09-30
600133,600345,3364.07万,4.85%,流通A股,2,2019-09-30
600137,000027,107.95万,1.11%,流通A股,8,2019-09-30
600155,600395,7157.38万,6.34%,流通A股,5,2019-10-09
600155,600903,3578.69万,3.17%,流通A股,9,2019-10-09
600166,000570,1.41亿,2.15%,流通A股,4,2019-11-28
600166,000338,8000.00万,1.22%,流通A股,7,2019-11-28
600168,300070,3573.11万,5.04%,流通A股,2,2019-09-30
600173,600352,5009.65万,7.16%,流通A股,2,2019-09-30
600180,600030,1784.66万,1.76%,流通A股,5,2019-09-30
600184,600999,1374.28万,2.70%,流通A股,8,2019-09-30
600190,600811,3.08亿,15.39%,流通A股,2,2019-09-30
600236,600900,3.05亿,3.88%,流通A股,4,2019-09-30
600260,601162,606.93万,0.64%,流通A股,7,2019-09-30
600273,600030,1604.26万,1.13%,流通A股,6,2019-09-30
600277,600030,700.41万,0.26%,流通A股,10,2019-09-30
600280,600030,3470.14万,3.05%,流通A股,3,2019-09-30
600298,601211,1246.49万,1.51%,流通A股,8,2019-09-30
600305,601788,500.00万,0.64%,流通A股,9,2019-09-30
600318,600585,3633.14万,7.51%,流通A股,3,2019-09-30
600320,601800,8.56亿,16.24%,流通A股,2,2019-09-30
600323,600886,6601.45万,8.62%,流通A股,4,2019-09-30
600346,600030,8024.67万,1.73%,流通A股,6,2019-09-30
600350,001965,7.71亿,16.02%,流通A股,2,2019-09-30
600361,000882,354.90万,0.53%,流通A股,7,2019-09-30
600368,001965,1.56亿,13.86%,流通A股,2,2019-09-30
600377,001965,5.89亿,11.73%,流通A股,2,2019-09-30
600377,601211,4824.44万,0.96%,流通A股,7,2019-09-30
600388,600030,1920.27万,1.80%,流通A股,6,2019-09-30
600392,600111,1872.33万,1.31%,流通A股,7,2019-09-30
600396,600726,3.08亿,20.92%,流通A股,1,2019-09-30
600435,601066,1187.52万,0.80%,流通A股,6,2019-09-30
600476,600269,686.40万,4.26%,流通A股,3,2019-09-30
600508,601898,4.51亿,62.43%,流通A股,1,2019-09-30
600513,600511,375.21万,1.31%,流通A股,3,2019-09-30
600525,002130,2925.85万,2.24%,流通A股,5,2019-09-30
600528,601390,7258.51万,3.95%,流通A股,4,2019-09-30
600530,600611,1.43亿,18.36%,流通A股,1,2019-09-30
600530,600661,1.06亿,13.53%,流通A股,2,2019-09-30
600533,600064,1.28亿,12.20%,流通A股,2,2019-09-30
600545,601066,3792.41万,3.37%,流通A股,6,2019-09-30
600548,001965,8721.13万,4.00%,流通A股,4,2019-09-30
600549,600064,2528.60万,1.80%,流通A股,5,2019-09-30
600573,000729,1.25亿,50.08%,流通A股,1,2019-09-30
600578,600642,7234.00万,1.36%,流通A股,7,2019-09-30
600589,000009,250.00万,0.36%,流通A股,10,2019-09-30
600590,600100,1.67亿,19.98%,流通A股,1,2019-09-30
600594,600684,868.60万,1.10%,流通A股,7,2019-09-30
600606,600620,2.78亿,2.29%,流通A股,6,2019-09-30
600611,600635,4.73亿,20.02%,流通A股,1,2019-09-30
600613,600827,153.60万,0.29%,流通A股,8,2019-09-30
600619,000651,9022.32万,10.41%,流通A股,2,2019-09-30
600629,600604,165.76万,0.37%,流通A股,10,2019-09-30
600630,600827,109.00万,0.26%,流通A股,8,2019-09-30
600640,300113,1033.35万,1.75%,流通A股,6,2019-09-30
600640,300364,514.23万,0.87%,流通A股,8,2019-09-30
600641,600837,377.78万,0.47%,流通A股,9,2019-09-30
600642,600900,1.82亿,4.00%,流通A股,3,2019-09-30
600642,000539,5553.23万,1.22%,流通A股,6,2019-09-30
600647,600622,245.70万,1.77%,流通A股,4,2019-09-30
600657,600269,1.00亿,6.58%,流通A股,2,2019-09-30
600658,000725,1374.73万,1.23%,流通A股,7,2019-09-30
600668,002233,1002.78万,2.91%,流通A股,2,2019-09-30
600673,601688,2776.47万,1.13%,流通A股,6,2019-09-30
600674,600900,4.96亿,11.26%,流通A股,2,2019-09-30
600688,600028,54.60亿,50.44%,流通A股,1,2019-09-30
600711,601688,1739.50万,1.14%,流通A股,5,2019-09-30
600711,600153,900.00万,0.59%,流通A股,8,2019-09-30
600712,601688,627.09万,1.16%,流通A股,8,2019-09-30
600713,000623,919.95万,1.03%,流通A股,5,2019-09-30
600714,002500,105.51万,0.37%,流通A股,8,2019-09-30
600722,000937,1.77亿,26.06%,流通A股,2,2019-09-30
600725,601328,1892.58万,1.54%,流通A股,10,2019-09-30
600740,000983,8804.55万,13.40%,流通A股,1,2019-09-30
600741,600104,18.39亿,58.32%,流通A股,1,2019-09-30
600743,600533,2358.44万,1.01%,流通A股,6,2019-09-30
600748,600030,2950.83万,1.60%,流通A股,6,2019-09-30
600757,600843,1029.85万,0.85%,流通A股,4,2019-09-30
600763,601881,400.00万,1.25%,流通A股,5,2019-09-30
600812,000937,2.50亿,15.33%,流通A股,3,2019-09-30
600827,600327,5562.01万,3.12%,流通A股,4,2019-09-30
600829,600664,4.34亿,74.82%,流通A股,1,2019-09-30
600831,600637,1952.70万,2.75%,流通A股,3,2019-09-30
600831,600100,941.35万,1.33%,流通A股,5,2019-09-30
600833,000623,1082.14万,4.85%,流通A股,2,2019-09-30
600834,600649,833.45万,1.75%,流通A股,2,2019-09-30
600835,601727,4.91亿,48.02%,流通A股,1,2019-09-30
600837,600827,2.14亿,1.86%,流通A股,9,2019-09-30
600841,600104,4.16亿,48.05%,流通A股,1,2019-09-30
600841,000581,1298.76万,1.50%,流通A股,2,2019-09-30
600845,600019,5.79亿,51.25%,流通A股,1,2019-09-30
600870,601099,2154.22万,4.12%,流通A股,6,2019-09-30
600881,000623,1.29亿,3.99%,流通A股,8,2019-09-30
600884,600030,1497.45万,1.33%,流通A股,6,2019-09-30
600886,600900,7.20亿,10.61%,流通A股,2,2019-09-30
600888,600089,2.35亿,27.91%,流通A股,1,2019-09-30
600888,600883,7180.64万,8.54%,流通A股,2,2019-09-30
600901,601009,6.30亿,34.61%,流通A股,1,2019-09-30
600909,000543,2.00亿,7.40%,流通A股,2,2019-09-30
600909,600278,1.69亿,6.25%,流通A股,4,2019-09-30
600909,600287,1.00亿,3.70%,流通A股,6,2019-09-30
600909,600120,7200.00万,2.66%,流通A股,9,2019-09-30
600919,601688,6.40亿,5.61%,流通A股,3,2019-09-30
600926,601628,1.18亿,5.65%,流通A股,3,2019-09-30
600926,600865,3528.00万,1.69%,流通A股,6,2019-09-30
600929,601881,230.00万,0.68%,流通A股,10,2019-09-30
600958,600170,1.34亿,1.99%,流通A股,10,2019-09-30
600958,600639,1.39亿,2.07%,流通A股,9,2019-09-30
600961,000898,463.16万,0.88%,流通A股,6,2019-09-30
600982,600051,224.00万,0.30%,流通A股,8,2019-09-30
600984,000157,1946.00万,2.48%,流通A股,6,2019-09-30
600993,000009,1.26亿,29.32%,流通A股,1,2019-09-30
600998,000538,2724.80万,1.63%,流通A股,10,2019-09-30
600999,601800,2.09亿,3.13%,流通A股,6,2019-09-30
601005,601077,2.89亿,3.24%,流通A股,4,2019-09-30
601009,600064,8.35亿,9.85%,流通A股,3,2019-09-30
601012,601225,1.45亿,3.84%,流通A股,6,2019-09-30
601066,600030,3.84亿,18.05%,流通A股,2,2019-09-30
601107,001965,6.64亿,21.73%,流通A股,3,2019-09-30
601128,601328,2.47亿,9.59%,流通A股,1,2019-09-30
601188,001965,2.17亿,16.52%,流通A股,3,2019-09-30
601198,600350,1.20亿,4.35%,流通A股,2,2019-09-30
601199,000700,4815.10万,5.15%,流通A股,3,2019-09-30
601211,000027,1.54亿,1.73%,流通A股,7,2019-09-30
601228,600098,1.00亿,6.93%,流通A股,4,2019-09-30
601229,000100,2.53亿,3.75%,流通A股,4,2019-09-30
601229,600018,1.42亿,2.10%,流通A股,8,2019-09-30
601236,601688,109.49万,0.30%,流通A股,7,2019-09-30
601326,601006,4275.00万,1.72%,流通A股,4,2019-09-30
601377,600741,1.62亿,2.42%,流通A股,5,2019-09-30
601518,001965,1.90亿,15.63%,流通A股,2,2019-09-30
601577,600031,4975.09万,5.00%,流通A股,3,2019-09-30
601579,600790,1.02亿,20.51%,流通A股,2,2019-09-30
601588,600859,1.25亿,3.72%,流通A股,3,2019-09-30
601598,600258,1335.47万,0.38%,流通A股,9,2019-09-30
601615,601688,197.92万,0.72%,流通A股,5,2019-09-30
601615,601901,175.09万,0.63%,流通A股,7,2019-09-30
601688,002024,1.78亿,1.96%,流通A股,9,2019-09-30
601698,601688,95.33万,0.24%,流通A股,9,2019-09-30
601718,000778,1.93亿,4.39%,流通A股,3,2019-09-30
601798,600583,1777.00万,5.01%,流通A股,3,2019-09-30
601801,601811,1.25亿,6.26%,流通A股,3,2019-09-30
601808,600837,370.92万,0.08%,流通A股,9,2019-09-30
601838,601811,8000.00万,4.29%,流通A股,4,2019-09-30
601877,601377,2650.01万,1.49%,流通A股,8,2019-09-30
601881,600380,2598.30万,0.53%,流通A股,5,2019-09-30
601901,600864,1.98亿,2.40%,流通A股,5,2019-09-30
601939,600900,8.66亿,0.35%,流通H股,6,2019-09-30
601985,600023,4.46亿,2.86%,流通A股,3,2019-09-30
601997,600903,7327.60万,2.39%,流通A股,7,2019-09-30
601998,601939,1.69亿,0.36%,流通H股,5,2019-09-30
603008,603816,1737.50万,5.44%,流通A股,3,2019-09-30
603022,002500,94.15万,0.47%,流通A股,7,2019-09-30
603055,601066,121.60万,0.86%,流通A股,6,2019-09-30
603069,000886,5925.00万,18.75%,流通A股,2,2019-09-30
603069,002320,1185.00万,3.75%,流通A股,3,2019-09-30
603079,002126,286.10万,7.84%,流通A股,1,2019-09-30
603127,000750,155.71万,1.98%,流通A股,5,2019-09-30
603139,002500,36.45万,0.68%,流通A股,6,2019-09-30
603169,600720,800.00万,0.77%,流通A股,3,2019-09-30
603177,601688,19.78万,0.32%,流通A股,9,2019-09-30
603188,600285,1600.00万,2.78%,流通A股,3,2019-09-30
603192,601688,14.50万,0.54%,流通A股,5,2019-09-30
603227,002226,4800.00万,7.29%,流通A股,2,2019-09-30
603227,002096,2000.00万,3.04%,流通A股,4,2019-09-30
603228,601377,245.20万,1.75%,流通A股,4,2019-09-30
603299,002274,1251.00万,2.24%,流通A股,2,2019-09-30
603299,600981,1097.82万,1.96%,流通A股,4,2019-09-30
603332,601688,9.89万,0.33%,流通A股,8,2019-09-30
603358,601688,239.79万,1.74%,流通A股,5,2019-09-30
603389,601688,32.31万,0.43%,流通A股,9,2019-09-30
603421,601688,32.40万,0.44%,流通A股,8,2019-09-30
603505,601377,284.00万,2.53%,流通A股,4,2019-09-30
603508,002161,1629.83万,10.34%,流通A股,4,2019-09-30
603530,601688,17.58万,0.44%,流通A股,6,2019-09-30
603533,601881,802.00万,4.92%,流通A股,5,2019-09-30
603578,002500,50.01万,1.57%,流通A股,4,2019-09-30
603580,002500,53.30万,1.26%,流通A股,8,2019-09-30
603595,002475,661.50万,9.49%,流通A股,2,2019-09-30
603595,000750,96.80万,1.39%,流通A股,9,2019-09-30
603598,002500,76.08万,0.28%,流通A股,10,2019-09-30
603606,601881,909.60万,1.42%,流通A股,10,2019-09-30
603613,000750,75.69万,2.15%,流通A股,2,2019-09-30
603613,000776,42.27万,1.20%,流通A股,6,2019-09-30
603658,600958,145.37万,0.35%,流通A股,8,2019-09-30
603666,601108,38.01万,1.35%,流通A股,8,2019-09-30
603667,600282,497.06万,4.38%,流通A股,2,2019-09-30
603685,002500,21.19万,0.37%,流通A股,8,2019-09-30
603686,600350,2065.66万,4.97%,流通A股,2,2019-09-30
603689,601918,1411.20万,8.43%,流通A股,2,2019-09-30
603707,601881,540.69万,1.46%,流通A股,8,2019-09-30
603709,601688,18.66万,0.93%,流通A股,9,2019-09-30
603712,000100,1.47亿,40.18%,流通A股,1,2019-09-30
603713,600352,188.89万,2.78%,流通A股,5,2019-09-30
603797,601688,57.50万,0.64%,流通A股,5,2019-09-30
603817,601688,48.46万,0.27%,流通A股,10,2019-09-30
603822,002500,40.65万,0.55%,流通A股,9,2019-09-30
603826,002736,205.99万,1.09%,流通A股,9,2019-09-30
603885,600611,2316.02万,1.29%,流通A股,7,2019-09-30
