股票代码,pid,持有数量,占流通股比例,股份类型,十大流通股东排名,日期
000038,69855,196.00万,0.86%,流通A股,9,2019-09-30
000043,69856,458.07万,0.69%,流通A股,10,2019-09-30
000045,59642,114.67万,0.23%,流通A股,10,2019-09-30
000045,59643,489.96万,0.97%,流通A股,3,2019-09-30
000045,59644,322.48万,0.64%,流通B股,4,2019-09-30
000045,59645,287.31万,0.57%,流通A股,5,2019-09-30
000045,59646,159.65万,0.32%,流通A股,6,2019-09-30
000045,59647,143.90万,0.28%,流通A股,7,2019-09-30
000045,59648,138.85万,0.27%,流通A股,8,2019-09-30
000045,59649,133.89万,0.26%,流通A股,9,2019-09-30
000046,59650,1.14亿,2.21%,流通A股,4,2019-09-30
000046,59651,4413.95万,0.85%,流通A股,8,2019-09-30
000048,69857,229.01万,0.59%,流通A股,10,2019-09-30
000048,69858,964.42万,2.47%,流通A股,3,2019-09-30
000048,69859,879.64万,2.25%,流通A股,4,2019-09-30
000048,69860,734.14万,1.88%,流通A股,5,2019-09-30
000048,69861,708.69万,1.81%,流通A股,6,2019-09-30
000048,69862,334.78万,0.86%,流通A股,8,2019-09-30
000049,59652,107.50万,0.52%,流通A股,10,2019-09-30
000049,59653,158.92万,0.77%,流通A股,7,2019-09-30
000049,59654,110.01万,0.54%,流通A股,9,2019-09-30
000050,69863,1657.86万,0.91%,流通A股,10,2019-09-30
000055,59655,3407.17万,3.04%,流通A股,3,2019-09-30
000055,59656,423.70万,0.38%,流通A股,8,2019-09-30
000056,69864,997.02万,0.87%,流通A股,10,2019-09-30
000056,69865,2157.69万,1.88%,流通B股,5,2019-09-30
000056,69866,1994.02万,1.74%,流通A股,6,2019-09-30
000058,59657,715.58万,0.91%,流通B股,2,2019-09-30
000058,59658,331.81万,0.42%,流通B股,3,2019-09-30
000058,59659,294.00万,0.37%,流通B股,4,2019-09-30
000058,59660,178.00万,0.23%,流通B股,8,2019-09-30
000058,59661,138.95万,0.18%,流通A股,9,2019-09-30
000059,59662,489.97万,0.31%,流通A股,10,2019-09-30
000059,59663,3242.69万,2.03%,流通A股,4,2019-09-30
000059,59664,2207.08万,1.38%,流通A股,5,2019-09-30
000059,59665,588.92万,0.37%,流通A股,7,2019-09-30
000059,59666,567.04万,0.35%,流通A股,8,2019-09-30
000059,59667,499.98万,0.31%,流通A股,9,2019-09-30
000061,59668,1500.00万,0.88%,流通A股,10,2019-09-30
000061,59669,1348.74万,0.80%,流通A股,11,2019-09-30
000061,59670,1726.63万,1.02%,流通A股,8,2019-09-30
000062,59671,314.50万,0.30%,流通A股,10,2019-09-30
000062,59672,2827.02万,2.71%,流通A股,2,2019-09-30
000062,59673,2388.66万,2.29%,流通A股,3,2019-09-30
000062,59674,496.73万,0.48%,流通A股,6,2019-09-30
000062,59675,496.73万,0.48%,流通A股,7,2019-09-30
000065,69867,139.63万,0.22%,流通A股,10,2019-09-30
000065,59676,414.35万,0.66%,流通A股,4,2019-09-30
000065,59677,387.65万,0.62%,流通A股,5,2019-09-30
000065,69868,155.89万,0.25%,流通A股,9,2019-09-30
000066,59678,1300.01万,0.52%,流通A股,10,2019-09-30
000066,59679,4139.67万,1.66%,流通A股,3,2019-09-30
000066,59680,2000.01万,0.80%,流通A股,5,2019-09-30
000066,59681,1788.89万,0.72%,流通A股,9,2019-09-30
000068,59682,211.93万,0.21%,流通A股,10,2019-09-30
000068,59683,727.26万,0.72%,流通A股,4,2019-09-30
000068,59684,671.27万,0.67%,流通A股,5,2019-09-30
000068,59685,389.22万,0.39%,流通A股,6,2019-09-30
000068,59686,312.32万,0.31%,流通A股,7,2019-09-30
000068,59687,295.37万,0.29%,流通A股,8,2019-09-30
000068,59688,225.67万,0.22%,流通A股,9,2019-09-30
000070,69869,362.43万,0.46%,流通A股,10,2019-09-30
000070,59689,1166.59万,1.47%,流通A股,4,2019-09-30
000070,59690,737.49万,0.93%,流通A股,6,2019-09-30
000070,59691,491.19万,0.62%,流通A股,7,2019-09-30
000078,59695,550.10万,0.21%,流通A股,6,2019-09-30
000078,69870,495.01万,0.19%,流通A股,7,2019-09-30
000078,69871,487.91万,0.19%,流通A股,8,2019-09-30
000078,69872,470.10万,0.18%,流通A股,9,2019-09-30
000089,59696,1601.29万,0.78%,流通A股,6,2019-09-30
000089,59697,1444.00万,0.70%,流通A股,7,2019-09-30
000096,59698,712.73万,1.40%,流通A股,10,2019-09-30
000096,59699,1941.58万,3.80%,流通A股,2,2019-09-30
000096,59700,978.62万,1.92%,流通A股,5,2019-09-30
000096,59701,730.56万,1.43%,流通A股,8,2019-09-30
000096,59702,726.68万,1.42%,流通A股,9,2019-09-30
000099,59703,208.82万,0.34%,流通A股,10,2019-09-30
000099,59704,1226.00万,2.02%,流通A股,3,2019-09-30
000099,59705,985.17万,1.63%,流通A股,4,2019-09-30
000099,59706,369.56万,0.61%,流通A股,7,2019-09-30
000099,59707,289.50万,0.48%,流通A股,9,2019-09-30
000150,69873,471.00万,0.58%,流通A股,10,2019-09-30
000150,59708,9904.82万,12.29%,流通A股,2,2019-09-30
000150,69874,1145.34万,1.42%,流通A股,3,2019-09-30
000150,69875,1056.80万,1.31%,流通A股,4,2019-09-30
000150,69876,670.88万,0.83%,流通A股,8,2019-09-30
000151,59709,73.46万,0.28%,流通A股,10,2019-09-30
000151,59710,282.68万,1.06%,流通A股,2,2019-09-30
000151,59711,119.26万,0.45%,流通A股,6,2019-09-30
000151,59712,93.50万,0.35%,流通A股,7,2019-09-30
000151,59713,84.63万,0.32%,流通A股,8,2019-09-30
000151,59714,74.71万,0.28%,流通A股,9,2019-09-30
000153,59715,165.82万,0.53%,流通A股,10,2019-09-30
000153,59716,330.00万,1.06%,流通A股,7,2019-09-30
000153,59717,276.70万,0.89%,流通A股,8,2019-09-30
000153,59718,249.67万,0.80%,流通A股,9,2019-09-30
000155,59719,1245.00万,0.98%,流通A股,8,2019-09-30
000156,59720,1099.17万,0.86%,流通A股,7,2019-10-18
000158,69877,1139.72万,0.70%,流通A股,9,2019-09-30
000159,69878,70.00万,0.15%,流通A股,10,2019-09-30
000159,69879,251.82万,0.52%,流通A股,2,2019-09-30
000159,69880,140.00万,0.29%,流通A股,3,2019-09-30
000159,69881,121.55万,0.25%,流通A股,5,2019-09-30
000159,69882,92.88万,0.19%,流通A股,6,2019-09-30
000159,69883,77.25万,0.16%,流通A股,8,2019-09-30
000159,69884,76.75万,0.16%,流通A股,9,2019-09-30
000301,59722,707.17万,0.58%,流通A股,6,2019-09-30
000301,59723,468.01万,0.38%,流通A股,7,2019-09-30
000301,59721,378.00万,0.31%,流通A股,8,2019-09-30
000333,59725,8803.22万,1.30%,流通A股,6,2019-09-30
000333,59726,5179.19万,0.76%,流通A股,8,2019-09-30
