股票代码,pid,持有数量,占流通股比例,股份类型,十大流通股东排名,日期
002422,62145,1416.74万,1.37%,流通A股,10,2019-12-05
002422,43690,3804.52万,3.68%,流通A股,2,2019-12-05
002422,62146,2719.50万,2.63%,流通A股,4,2019-12-05
002422,62147,1511.99万,1.46%,流通A股,7,2019-12-05
002422,62148,1445.85万,1.40%,流通A股,8,2019-12-05
002422,62149,1424.38万,1.38%,流通A股,9,2019-12-05
002423,70616,105.94万,0.21%,流通A股,10,2019-09-30
002423,70617,411.10万,0.82%,流通A股,4,2019-09-30
002423,70618,407.17万,0.81%,流通A股,5,2019-09-30
002423,70619,263.19万,0.52%,流通A股,6,2019-09-30
002423,70620,222.55万,0.44%,流通A股,7,2019-09-30
002423,70621,180.21万,0.36%,流通A股,8,2019-09-30
002424,20658,1.85亿,25.46%,流通A股,1,2019-09-30
002424,62150,250.93万,0.34%,流通A股,10,2019-09-30
002424,3675,3899.28万,5.36%,流通A股,4,2019-09-30
002424,62151,265.97万,0.37%,流通A股,8,2019-09-30
002424,62152,254.00万,0.35%,流通A股,9,2019-09-30
002425,62153,1536.39万,1.89%,流通A股,3,2019-09-30
002425,62154,1128.44万,1.39%,流通A股,4,2019-09-30
002425,2302,893.15万,1.10%,流通A股,5,2019-09-30
002425,62155,822.34万,1.01%,流通A股,6,2019-09-30
002425,62156,727.00万,0.89%,流通A股,7,2019-09-30
002425,62157,524.43万,0.64%,流通A股,8,2019-09-30
002425,62158,446.52万,0.55%,流通A股,9,2019-09-30
002426,70622,2143.86万,0.93%,流通A股,10,2019-09-30
002426,70623,1.42亿,6.12%,流通A股,2,2019-09-30
002426,70624,1.14亿,4.93%,流通A股,4,2019-09-30
002426,45971,9059.30万,3.91%,流通A股,5,2019-09-30
002426,70625,2700.00万,1.17%,流通A股,7,2019-09-30
002426,70626,2298.00万,0.99%,流通A股,9,2019-09-30
002427,62159,247.42万,0.64%,流通A股,10,2019-09-30
002427,62160,277.60万,0.72%,流通A股,8,2019-09-30
002427,62161,257.41万,0.67%,流通A股,9,2019-09-30
002428,70627,219.82万,0.34%,流通A股,10,2019-09-30
002428,70628,995.46万,1.54%,流通A股,5,2019-09-30
002428,3093,290.70万,0.45%,流通A股,6,2019-09-30
002428,70629,243.87万,0.38%,流通A股,7,2019-09-30
002429,70630,910.51万,0.23%,流通A股,10,2019-09-30
002429,62162,4094.70万,1.03%,流通A股,3,2019-09-30
002429,62163,2081.32万,0.52%,流通A股,6,2019-09-30
002429,62164,2016.57万,0.51%,流通A股,7,2019-09-30
002429,70631,1205.28万,0.30%,流通A股,9,2019-09-30
002431,62166,3314.92万,2.50%,流通A股,3,2019-09-30
002431,62165,983.50万,0.74%,流通A股,8,2019-09-30
002432,62167,454.00万,1.05%,流通A股,3,2019-09-30
002432,62168,411.00万,0.95%,流通A股,4,2019-09-30
002432,62169,282.00万,0.65%,流通A股,5,2019-09-30
002432,62170,220.95万,0.51%,流通A股,6,2019-09-30
002432,62171,161.36万,0.37%,流通A股,8,2019-09-30
002432,62172,159.08万,0.37%,流通A股,9,2019-09-30
002433,70632,239.00万,0.32%,流通A股,10,2019-09-30
002433,4529,995.00万,1.35%,流通A股,4,2019-09-30
002433,70633,384.50万,0.52%,流通A股,9,2019-09-30
002434,70634,750.01万,0.74%,流通A股,8,2019-09-30
002435,70635,324.05万,0.72%,流通A股,10,2019-09-30
002435,62177,1577.81万,3.48%,流通A股,2,2019-09-30
002435,70636,459.00万,1.01%,流通A股,5,2019-09-30
002435,47003,394.45万,0.87%,流通A股,7,2019-09-30
002435,5891,325.42万,0.72%,流通A股,9,2019-09-30
002436,70637,8289.79万,6.57%,流通A股,1,2019-09-30
002436,70638,616.20万,0.49%,流通A股,10,2019-09-30
002436,37318,7087.99万,5.61%,流通A股,3,2019-09-30
002436,70639,6690.28万,5.30%,流通A股,4,2019-09-30
002436,70640,6329.96万,5.01%,流通A股,5,2019-09-30
002436,70641,4311.10万,3.41%,流通A股,6,2019-09-30
002436,70642,3985.89万,3.16%,流通A股,7,2019-09-30
002436,70643,1000.01万,0.79%,流通A股,9,2019-09-30
002437,70644,833.71万,0.38%,流通A股,10,2019-09-30
002437,70645,1392.00万,0.64%,流通A股,6,2019-09-30
002437,70646,988.02万,0.45%,流通A股,7,2019-09-30
002437,70647,852.70万,0.39%,流通A股,9,2019-09-30
002438,62181,881.98万,2.20%,流通A股,4,2019-09-30
002438,70648,369.07万,0.92%,流通A股,6,2019-09-30
002438,70649,368.17万,0.92%,流通A股,7,2019-09-30
002438,70650,351.67万,0.88%,流通A股,8,2019-09-30
002438,70651,310.73万,0.77%,流通A股,9,2019-09-30
002439,43670,4756.08万,7.50%,流通A股,2,2019-09-30
002439,37008,1185.19万,1.87%,流通A股,5,2019-09-30
002440,62184,1.92亿,20.53%,流通A股,1,2019-09-30
002440,62186,6415.19万,6.84%,流通A股,2,2019-09-30
002440,35151,4533.28万,4.84%,流通A股,3,2019-09-30
002440,41863,1813.94万,1.94%,流通A股,5,2019-09-30
002440,62187,1355.03万,1.45%,流通A股,7,2019-09-30
002440,62185,1207.00万,1.29%,流通A股,9,2019-09-30
002441,62189,4800.00万,12.26%,流通A股,1,2019-09-30
002441,70652,270.62万,0.69%,流通A股,10,2019-09-30
002441,15128,3962.71万,10.12%,流通A股,2,2019-09-30
002441,62190,3212.10万,8.20%,流通A股,3,2019-09-30
002441,14701,800.00万,2.04%,流通A股,7,2019-09-30
002441,62188,300.27万,0.77%,流通A股,9,2019-09-30
002442,62192,9789.79万,20.41%,流通A股,1,2019-09-30
002442,70653,382.69万,0.80%,流通A股,10,2019-09-30
002442,62193,3288.56万,6.86%,流通A股,3,2019-09-30
002442,70654,3263.25万,6.80%,流通A股,4,2019-09-30
002442,70655,1439.11万,3.00%,流通A股,6,2019-09-30
002442,70656,896.57万,1.87%,流通A股,7,2019-09-30
002442,70657,671.03万,1.40%,流通A股,8,2019-09-30
002442,70658,568.53万,1.19%,流通A股,9,2019-09-30
002443,70659,138.69万,0.27%,流通A股,10,2019-09-30
002443,62195,1500.00万,2.94%,流通A股,4,2019-09-30
002443,62197,324.73万,0.64%,流通A股,5,2019-09-30
002443,62198,222.00万,0.43%,流通A股,6,2019-09-30
002443,62194,185.25万,0.36%,流通A股,7,2019-09-30
002443,70660,155.50万,0.30%,流通A股,8,2019-09-30
002443,70661,148.53万,0.29%,流通A股,9,2019-09-30
002444,3826,1522.11万,1.50%,流通A股,4,2019-09-30
002445,62202,2375.00万,1.85%,流通A股,5,2019-09-30
002445,62203,2074.66万,1.61%,流通A股,7,2019-09-30
002445,62204,1881.93万,1.46%,流通A股,8,2019-09-30
002445,62200,1543.74万,1.20%,流通A股,9,2019-09-30
002446,70662,1272.43万,2.05%,流通A股,1,2019-09-30
002446,10913,1231.30万,1.99%,流通A股,2,2019-09-30
002446,70663,740.00万,1.19%,流通A股,4,2019-09-30
002446,70664,635.66万,1.03%,流通A股,6,2019-09-30
002447,62205,2.37亿,17.54%,流通A股,1,2019-09-30
002447,62206,2490.75万,1.84%,流通A股,3,2019-09-30
002447,70665,747.39万,0.55%,流通A股,4,2019-09-30
002447,70666,711.27万,0.53%,流通A股,5,2019-09-30
002447,70667,539.96万,0.40%,流通A股,6,2019-09-30
002447,70668,532.73万,0.39%,流通A股,7,2019-09-30
002447,70669,479.82万,0.36%,流通A股,9,2019-09-30
002448,26157,2696.73万,5.74%,流通A股,1,2019-09-30
002448,18461,225.06万,0.48%,流通A股,10,2019-09-30
002448,17012,843.57万,1.79%,流通A股,2,2019-09-30
002448,62208,415.86万,0.88%,流通A股,3,2019-09-30
002448,62209,408.29万,0.87%,流通A股,4,2019-09-30
002448,62211,276.60万,0.59%,流通A股,5,2019-09-30
002448,70670,266.35万,0.57%,流通A股,6,2019-09-30
002448,70671,256.08万,0.54%,流通A股,7,2019-09-30
002448,70672,241.39万,0.51%,流通A股,8,2019-09-30
002448,70673,236.50万,0.50%,流通A股,9,2019-09-30
002449,62212,964.03万,1.59%,流通A股,7,2019-09-30
002451,62213,1.77亿,42.44%,流通A股,1,2019-09-30
002451,70674,34.59万,0.08%,流通A股,10,2019-09-30
002451,62216,60.02万,0.14%,流通A股,6,2019-09-30
002451,62217,52.22万,0.13%,流通A股,8,2019-09-30
002451,62214,42.24万,0.10%,流通A股,9,2019-09-30
002452,38738,3359.67万,7.62%,流通A股,1,2019-09-30
002452,31243,386.75万,0.88%,流通A股,10,2019-09-30
002452,62219,2621.20万,5.94%,流通A股,2,2019-09-30
002452,13289,794.00万,1.80%,流通A股,3,2019-09-30
002452,62220,598.43万,1.36%,流通A股,4,2019-09-30
002452,62221,563.56万,1.28%,流通A股,6,2019-09-30
002452,62222,497.15万,1.13%,流通A股,7,2019-09-30
002452,62223,412.00万,0.93%,流通A股,8,2019-09-30
002452,62218,401.38万,0.91%,流通A股,9,2019-09-30
002453,70675,388.13万,0.70%,流通A股,10,2019-10-25
002453,62225,1301.19万,2.35%,流通A股,2,2019-10-25
002453,62226,700.05万,1.26%,流通A股,4,2019-10-25
002453,62227,632.00万,1.14%,流通A股,5,2019-10-25
002454,62228,2.75亿,44.12%,流通A股,1,2019-09-30
002454,62229,1003.15万,1.61%,流通A股,4,2019-09-30
002454,62230,801.51万,1.28%,流通A股,5,2019-09-30
002454,62231,570.09万,0.91%,流通A股,7,2019-09-30
002455,22886,3591.50万,9.12%,流通A股,1,2019-09-30
002455,35737,509.58万,1.29%,流通A股,10,2019-09-30
002455,62232,2712.00万,6.88%,流通A股,2,2019-09-30
002455,62233,999.00万,2.54%,流通A股,4,2019-09-30
002455,62234,800.00万,2.03%,流通A股,6,2019-09-30
002455,62235,772.91万,1.96%,流通A股,7,2019-09-30
002455,62236,667.89万,1.70%,流通A股,8,2019-09-30
002457,62237,119.63万,0.36%,流通A股,10,2019-09-30
002457,62238,3377.47万,10.10%,流通A股,2,2019-09-30
002457,62239,258.56万,0.77%,流通A股,5,2019-09-30
002457,62240,194.19万,0.58%,流通A股,6,2019-09-30
002457,62241,158.00万,0.47%,流通A股,7,2019-09-30
002457,62242,142.94万,0.43%,流通A股,8,2019-09-30
002458,23227,5162.83万,14.44%,流通A股,1,2019-09-30
002458,70676,277.10万,0.78%,流通A股,10,2019-09-30
002458,62243,809.75万,2.27%,流通A股,4,2019-09-30
002458,62244,554.86万,1.55%,流通A股,5,2019-09-30
002458,62245,453.02万,1.27%,流通A股,7,2019-09-30
002458,44787,445.26万,1.25%,流通A股,8,2019-09-30
002459,70677,231.77万,0.60%,流通A股,10,2019-09-30
002459,62246,605.64万,1.57%,流通A股,2,2019-09-30
002459,62247,477.20万,1.23%,流通A股,4,2019-09-30
002459,70678,406.91万,1.05%,流通A股,5,2019-09-30
002459,70679,316.22万,0.82%,流通A股,6,2019-09-30
002459,70680,287.50万,0.74%,流通A股,7,2019-09-30
002459,70681,250.03万,0.65%,流通A股,8,2019-09-30
002459,70682,234.06万,0.60%,流通A股,9,2019-09-30
002460,2609,6744.26万,6.74%,流通A股,2,2019-09-30
002460,25138,2522.47万,2.52%,流通A股,3,2019-09-30
002460,62249,1171.00万,1.17%,流通A股,6,2019-09-30
002460,62250,1131.62万,1.13%,流通A股,7,2019-09-30
002460,62248,583.72万,0.58%,流通A股,9,2019-09-30
002461,70683,294.86万,0.22%,流通A股,10,2019-09-30
002461,62251,425.94万,0.31%,流通A股,6,2019-09-30
002462,70684,162.00万,0.65%,流通A股,10,2019-09-30
002462,62252,571.93万,2.28%,流通A股,5,2019-09-30
002464,70685,145.95万,0.28%,流通A股,10,2019-09-30
002464,62253,3229.52万,6.19%,流通A股,3,2019-09-30
002464,70686,207.43万,0.40%,流通A股,6,2019-09-30
002464,70687,199.91万,0.38%,流通A股,7,2019-09-30
002464,70688,154.53万,0.30%,流通A股,9,2019-09-30
002465,62255,2574.34万,1.20%,流通A股,6,2019-09-30
002465,62256,2327.79万,1.08%,流通A股,7,2019-09-30
002466,62257,5898.45万,5.18%,流通A股,2,2019-09-30
002467,33512,5460.01万,4.73%,流通A股,1,2019-09-30
002467,70689,663.80万,0.58%,流通A股,10,2019-09-30
002467,62258,3900.00万,3.38%,流通A股,2,2019-09-30
002467,62259,3192.38万,2.77%,流通A股,3,2019-09-30
002467,62260,2011.92万,1.74%,流通A股,4,2019-09-30
002467,62261,1630.00万,1.41%,流通A股,5,2019-09-30
002467,62262,1095.70万,0.95%,流通A股,7,2019-09-30
002467,62263,801.30万,0.69%,流通A股,8,2019-09-30
002467,62264,800.00万,0.69%,流通A股,9,2019-09-30
002468,48955,825.11万,2.49%,流通A股,6,2019-09-30
002468,70690,541.01万,1.63%,流通A股,8,2019-09-30
002468,70691,430.97万,1.30%,流通A股,9,2019-09-30
002469,70692,248.52万,0.54%,流通A股,10,2019-09-30
002469,62267,488.03万,1.05%,流通A股,3,2019-09-30
002469,40960,372.38万,0.80%,流通A股,4,2019-09-30
002469,70693,279.90万,0.60%,流通A股,6,2019-09-30
002469,70694,270.00万,0.58%,流通A股,7,2019-09-30
002469,70695,262.50万,0.57%,流通A股,8,2019-09-30
002469,70696,260.14万,0.56%,流通A股,9,2019-09-30
002470,27917,1.48亿,5.48%,流通A股,2,2019-09-30
002471,62268,207.54万,0.16%,流通A股,10,2019-09-30
002471,62269,860.87万,0.68%,流通A股,3,2019-09-30
002471,62270,403.60万,0.32%,流通A股,4,2019-09-30
002471,62271,379.57万,0.30%,流通A股,5,2019-09-30
002471,62272,285.35万,0.23%,流通A股,6,2019-09-30
002471,62273,263.71万,0.21%,流通A股,7,2019-09-30
002471,62274,257.60万,0.20%,流通A股,8,2019-09-30
002471,62275,213.12万,0.17%,流通A股,9,2019-09-30
002472,62276,4714.28万,8.55%,流通A股,1,2019-10-08
002472,31628,727.88万,1.32%,流通A股,10,2019-10-08
002472,62277,2758.54万,5.01%,流通A股,3,2019-10-08
002472,62278,2672.54万,4.85%,流通A股,4,2019-10-08
002472,62279,1601.23万,2.91%,流通A股,5,2019-10-08
002472,2766,1499.22万,2.72%,流通A股,6,2019-10-08
002472,27082,1077.49万,1.96%,流通A股,7,2019-10-08
002472,70697,971.43万,1.76%,流通A股,9,2019-10-08
002473,62280,139.40万,0.87%,流通A股,10,2019-09-30
002473,62281,228.80万,1.43%,流通A股,6,2019-09-30
002473,62282,183.37万,1.15%,流通A股,7,2019-09-30
002473,62283,167.55万,1.05%,流通A股,8,2019-09-30
002473,62284,148.70万,0.93%,流通A股,9,2019-09-30
002474,27901,3225.39万,6.87%,流通A股,1,2019-09-30
002474,70698,184.36万,0.39%,流通A股,10,2019-09-30
002474,35513,1362.19万,2.90%,流通A股,2,2019-09-30
002474,70699,1076.05万,2.29%,流通A股,3,2019-09-30
002474,70700,400.46万,0.85%,流通A股,5,2019-09-30
002474,70701,299.42万,0.64%,流通A股,6,2019-09-30
002474,70702,205.00万,0.44%,流通A股,8,2019-09-30
002476,54333,3414.52万,5.91%,流通A股,2,2019-09-30
002476,62285,698.75万,1.21%,流通A股,5,2019-09-30
002476,62286,363.41万,0.63%,流通A股,6,2019-09-30
002476,62287,264.43万,0.46%,流通A股,8,2019-09-30
002476,62288,219.55万,0.38%,流通A股,9,2019-09-30
002478,70703,600.78万,1.01%,流通A股,10,2019-09-30
002478,9367,5517.93万,9.24%,流通A股,2,2019-09-30
002478,62290,1977.21万,3.31%,流通A股,3,2019-09-30
002478,62291,1533.67万,2.57%,流通A股,4,2019-09-30
002478,62289,1109.05万,1.86%,流通A股,6,2019-09-30
002478,70704,721.97万,1.21%,流通A股,8,2019-09-30
002479,62292,1150.00万,1.30%,流通A股,6,2019-11-27
002480,62293,647.60万,1.01%,流通A股,8,2019-09-30
002481,48859,4376.52万,3.95%,流通A股,2,2019-09-30
002481,62294,849.03万,0.77%,流通A股,3,2019-09-30
002481,62295,560.00万,0.51%,流通A股,5,2019-09-30
002481,62296,550.00万,0.50%,流通A股,6,2019-09-30
002481,62297,387.22万,0.35%,流通A股,8,2019-09-30
002481,62298,385.00万,0.35%,流通A股,9,2019-09-30
002482,62299,1.92亿,12.55%,流通A股,2,2019-09-30
002482,62300,1373.02万,0.90%,流通A股,9,2019-09-30
002483,62301,262.57万,0.39%,流通A股,10,2019-09-30
002483,62302,559.59万,0.83%,流通A股,5,2019-09-30
002483,62303,294.18万,0.44%,流通A股,7,2019-09-30
002483,62304,278.74万,0.42%,流通A股,8,2019-09-30
002484,70705,385.45万,0.50%,流通A股,10,2019-09-30
002484,62306,7467.37万,9.78%,流通A股,2,2019-09-30
002484,70706,610.50万,0.80%,流通A股,8,2019-09-30
002484,70707,509.34万,0.67%,流通A股,9,2019-09-30
002486,62307,209.41万,0.25%,流通A股,10,2019-09-30
002486,62308,2535.00万,3.05%,流通A股,3,2019-09-30
002486,62309,305.98万,0.37%,流通A股,5,2019-09-30
002486,62310,275.40万,0.33%,流通A股,6,2019-09-30
002486,62311,250.00万,0.30%,流通A股,7,2019-09-30
002486,62312,215.74万,0.26%,流通A股,8,2019-09-30
002486,62313,215.20万,0.26%,流通A股,9,2019-09-30
002487,62315,2340.90万,4.36%,流通A股,2,2019-09-30
002487,62316,1071.80万,1.99%,流通A股,3,2019-09-30
002487,62317,770.00万,1.43%,流通A股,4,2019-09-30
002487,62318,602.44万,1.12%,流通A股,5,2019-09-30
002487,62319,495.27万,0.92%,流通A股,6,2019-09-30
002487,32552,193.64万,0.36%,流通A股,8,2019-09-30
002488,62320,5062.50万,6.58%,流通A股,1,2019-09-30
002488,62321,5062.50万,6.58%,流通A股,2,2019-09-30
002488,8886,3164.06万,4.11%,流通A股,3,2019-09-30
002488,19203,2845.31万,3.70%,流通A股,4,2019-09-30
002488,70708,1286.95万,1.67%,流通A股,9,2019-09-30
002489,62322,826.24万,0.44%,流通A股,10,2019-09-30
002489,62323,4898.19万,2.61%,流通A股,2,2019-09-30
002489,62324,3735.52万,1.99%,流通A股,3,2019-09-30
002489,32195,3365.17万,1.79%,流通A股,4,2019-09-30
002489,47319,3233.25万,1.72%,流通A股,5,2019-09-30
002489,50043,3209.36万,1.71%,流通A股,6,2019-09-30
002489,62325,3034.47万,1.62%,流通A股,7,2019-09-30
002490,62326,5890.43万,9.76%,流通A股,2,2019-09-30
002490,62328,2616.20万,4.33%,流通A股,3,2019-09-30
002490,62327,1483.74万,2.46%,"流通A股,流通H股",4,2019-09-30
002490,62329,230.01万,0.38%,流通A股,8,2019-09-30
002490,62330,192.60万,0.32%,流通A股,9,2019-09-30
002491,49411,452.36万,0.38%,流通A股,10,2019-09-30
002491,45802,1399.85万,1.19%,流通A股,3,2019-09-30
002491,62331,1140.11万,0.97%,流通A股,4,2019-09-30
002491,70709,500.00万,0.42%,流通A股,9,2019-09-30
002492,62333,150.15万,0.38%,流通A股,10,2019-09-30
002492,62334,750.00万,1.88%,流通A股,3,2019-09-30
002492,62335,740.55万,1.86%,流通A股,4,2019-09-30
002492,62336,235.52万,0.59%,流通A股,8,2019-09-30
002492,53354,228.75万,0.57%,流通A股,9,2019-09-30
002493,8765,1.07亿,1.84%,流通A股,5,2019-09-30
002493,62337,6435.00万,1.11%,流通A股,6,2019-09-30
002494,44159,3018.01万,10.23%,流通A股,1,2019-09-30
002494,62338,125.80万,0.43%,流通A股,10,2019-09-30
002494,62339,556.47万,1.89%,流通A股,3,2019-09-30
002494,62340,491.40万,1.67%,流通A股,4,2019-09-30
002494,62341,245.33万,0.83%,流通A股,5,2019-09-30
002494,62342,206.26万,0.70%,流通A股,6,2019-09-30
002494,62343,153.68万,0.52%,流通A股,8,2019-09-30
002495,62345,6376.49万,8.93%,流通A股,1,2019-09-30
002495,62344,390.15万,0.55%,流通A股,10,2019-09-30
002495,62346,4529.83万,6.34%,流通A股,2,2019-09-30
002495,15812,4011.37万,5.62%,流通A股,3,2019-09-30
002495,26270,1954.86万,2.74%,流通A股,4,2019-09-30
002495,25468,1423.46万,1.99%,流通A股,5,2019-09-30
002495,62347,957.85万,1.34%,流通A股,6,2019-09-30
002495,62348,830.15万,1.16%,流通A股,7,2019-09-30
002495,62349,830.00万,1.16%,流通A股,8,2019-09-30
002495,62350,781.68万,1.09%,流通A股,9,2019-09-30
002496,40253,1.59亿,16.43%,流通A股,1,2019-09-30
002496,62351,392.33万,0.40%,流通A股,10,2019-09-30
002496,62352,1815.10万,1.87%,流通A股,3,2019-09-30
002496,62353,1260.66万,1.30%,流通A股,4,2019-09-30
002496,62354,652.82万,0.67%,流通A股,5,2019-09-30
002496,62355,534.53万,0.55%,流通A股,6,2019-09-30
002496,62356,533.35万,0.55%,流通A股,7,2019-09-30
002496,62357,522.98万,0.54%,流通A股,8,2019-09-30
002496,62358,416.38万,0.43%,流通A股,9,2019-09-30
002497,44955,3437.98万,4.06%,流通A股,1,2019-09-30
002497,62359,771.70万,0.91%,流通A股,10,2019-09-30
002497,62360,3190.00万,3.77%,流通A股,2,2019-09-30
002497,62361,1762.11万,2.08%,流通A股,3,2019-09-30
002497,62362,1529.39万,1.81%,流通A股,4,2019-09-30
002497,62363,850.01万,1.00%,流通A股,7,2019-09-30
002497,62364,833.20万,0.98%,流通A股,8,2019-09-30
002497,62365,821.40万,0.97%,流通A股,9,2019-09-30
002498,62366,222.43万,0.07%,流通A股,10,2019-09-30
002498,62367,734.43万,0.22%,流通A股,4,2019-09-30
002498,62368,390.43万,0.12%,流通A股,6,2019-09-30
002498,62369,297.00万,0.09%,流通A股,7,2019-09-30
002498,62370,230.00万,0.07%,流通A股,9,2019-09-30
002499,62371,190.00万,1.01%,流通A股,10,2019-09-30
002499,62372,2703.81万,14.31%,流通A股,2,2019-09-30
002499,62373,855.07万,4.52%,流通A股,3,2019-09-30
002499,62374,849.91万,4.50%,流通A股,4,2019-09-30
002499,62375,444.67万,2.35%,流通A股,5,2019-09-30
002499,62376,359.66万,1.90%,流通A股,6,2019-09-30
002499,62377,299.87万,1.59%,流通A股,7,2019-09-30
002499,62378,273.87万,1.45%,流通A股,8,2019-09-30
002499,62379,228.56万,1.21%,流通A股,9,2019-09-30
002501,70710,606.16万,0.53%,流通A股,10,2019-09-30
002501,62383,2670.80万,2.35%,流通A股,2,2019-09-30
002501,62381,720.00万,0.63%,流通A股,8,2019-09-30
002501,70711,700.00万,0.62%,流通A股,9,2019-09-30
002502,62386,902.59万,1.29%,流通A股,10,2019-09-30
002502,62385,2840.15万,4.07%,流通A股,2,2019-09-30
002502,62384,1471.09万,2.11%,流通A股,7,2019-09-30
002502,70712,949.16万,1.36%,流通A股,9,2019-09-30
002503,62388,1.33亿,6.25%,流通A股,4,2019-09-30
002503,62389,1.05亿,4.94%,流通A股,6,2019-09-30
002503,62387,3849.69万,1.81%,流通A股,9,2019-09-30
002504,62391,1404.16万,3.39%,流通A股,1,2019-09-30
002504,70713,212.00万,0.51%,流通A股,10,2019-09-30
002504,62392,771.39万,1.86%,流通A股,2,2019-09-30
002504,62393,580.00万,1.40%,流通A股,3,2019-09-30
002504,62394,473.08万,1.14%,流通A股,4,2019-09-30
002504,62395,350.00万,0.84%,流通A股,5,2019-09-30
002504,62396,275.55万,0.66%,流通A股,6,2019-09-30
002504,62397,242.95万,0.59%,流通A股,7,2019-09-30
002504,62390,226.65万,0.55%,流通A股,8,2019-09-30
002504,70714,217.00万,0.52%,流通A股,9,2019-09-30
002507,62398,431.62万,0.56%,流通A股,9,2019-09-30
002508,62399,1224.00万,1.31%,流通A股,3,2019-09-30
002508,10033,592.32万,0.63%,流通A股,9,2019-09-30
002509,62400,3.93亿,18.82%,流通A股,1,2019-09-30
002509,70715,2306.18万,1.10%,流通A股,10,2019-09-30
002509,62401,9001.79万,4.31%,流通A股,4,2019-09-30
002509,62403,2742.00万,1.31%,流通A股,8,2019-09-30
002510,62404,1425.44万,1.81%,流通A股,2,2019-09-30
002510,62405,1220.50万,1.55%,流通A股,3,2019-09-30
002510,21589,1128.61万,1.43%,流通A股,4,2019-09-30
002510,46959,865.02万,1.10%,流通A股,6,2019-09-30
002510,51456,698.09万,0.89%,流通A股,7,2019-09-30
002510,70716,596.06万,0.76%,流通A股,8,2019-09-30
002510,70717,567.96万,0.72%,流通A股,9,2019-09-30
002511,62406,1786.65万,1.42%,流通A股,5,2019-09-30
002512,46808,6439.12万,7.69%,流通A股,3,2019-09-30
002512,62407,4228.16万,5.05%,流通A股,4,2019-09-30
002512,62409,2450.00万,2.93%,流通A股,6,2019-09-30
002512,62408,2446.18万,2.92%,流通A股,7,2019-09-30
002512,17141,1533.23万,1.83%,流通A股,8,2019-09-30
002513,62410,981.66万,3.12%,流通A股,6,2019-09-30
002514,70718,336.24万,0.83%,流通A股,10,2019-09-30
002514,44065,2984.13万,7.36%,流通A股,2,2019-09-30
002514,22977,1730.00万,4.27%,流通A股,3,2019-09-30
002514,62412,553.23万,1.36%,流通A股,4,2019-09-30
002514,62413,455.95万,1.12%,流通A股,5,2019-09-30
002514,62414,436.98万,1.08%,流通A股,6,2019-09-30
002514,62415,382.04万,0.94%,流通A股,7,2019-09-30
002514,62416,364.06万,0.90%,流通A股,8,2019-09-30
002514,62411,336.42万,0.83%,流通A股,9,2019-09-30
002515,70719,4164.00万,5.07%,流通A股,3,2019-09-30
002515,38428,3192.18万,3.89%,流通A股,4,2019-09-30
002515,70720,1025.45万,1.25%,流通A股,7,2019-09-30
002516,41490,1.71亿,18.82%,流通A股,1,2019-09-30
002516,70721,589.55万,0.65%,流通A股,10,2019-09-30
002516,62418,685.69万,0.75%,流通A股,8,2019-09-30
002516,62417,679.76万,0.75%,流通A股,9,2019-09-30
002517,54334,1.15亿,7.78%,流通A股,1,2019-09-30
002517,70722,3088.91万,2.08%,流通A股,10,2019-09-30
002517,36997,6511.80万,4.39%,流通A股,4,2019-09-30
002517,70723,5700.00万,3.84%,流通A股,5,2019-09-30
002517,70724,5514.59万,3.72%,流通A股,6,2019-09-30
002517,70725,3285.09万,2.21%,流通A股,9,2019-09-30
002518,70726,172.23万,0.31%,流通A股,10,2019-10-21
002518,62419,2662.72万,4.77%,流通A股,2,2019-10-21
002518,62420,670.47万,1.20%,流通A股,3,2019-10-21
002518,62422,553.03万,0.99%,流通A股,4,2019-10-21
002518,62423,475.75万,0.85%,流通A股,5,2019-10-21
002518,52610,395.74万,0.71%,流通A股,6,2019-10-21
002518,62424,369.78万,0.66%,流通A股,7,2019-10-21
002518,62425,287.01万,0.51%,流通A股,8,2019-10-21
002519,62426,688.54万,0.83%,流通A股,10,2019-09-30
002519,24887,2461.70万,2.98%,流通A股,3,2019-09-30
002519,62427,2280.00万,2.76%,流通A股,5,2019-09-30
002519,70727,1850.52万,2.24%,流通A股,6,2019-09-30
002519,70728,906.58万,1.10%,流通A股,7,2019-09-30
002519,70729,833.00万,1.01%,流通A股,8,2019-09-30
002520,70730,219.36万,0.44%,流通A股,10,2019-09-30
002520,5856,1093.50万,2.20%,流通A股,2,2019-09-30
002520,22107,570.22万,1.15%,流通A股,5,2019-09-30
002520,62429,314.38万,0.63%,流通A股,7,2019-09-30
002520,70731,304.75万,0.61%,流通A股,9,2019-09-30
002521,62430,2814.59万,6.62%,流通A股,1,2019-09-30
002521,13746,2017.40万,4.75%,流通A股,2,2019-09-30
002521,62431,531.12万,1.25%,流通A股,5,2019-09-30
002521,62432,465.06万,1.09%,流通A股,8,2019-09-30
002522,62433,3.54亿,41.36%,流通A股,1,2019-09-30
002522,62434,400.00万,0.47%,流通A股,10,2019-09-30
002522,62435,2127.79万,2.49%,流通A股,2,2019-09-30
002522,7321,1584.76万,1.85%,流通A股,3,2019-09-30
002522,62436,1274.53万,1.49%,流通A股,4,2019-09-30
002522,62437,1222.17万,1.43%,流通A股,6,2019-09-30
002522,62438,1018.22万,1.19%,流通A股,7,2019-09-30
002522,62439,593.28万,0.69%,流通A股,8,2019-09-30
